diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
31,37200,6,0,182000,182000,132,0,0,0,False,7270358473014756395,False,False,False,0,MS4wLjABAAAAAhV1NM5uPNyTb03pae0xdWS8gmdvQ659hD4vgRD-ydrF6gU3EFnSiVznWaWkIOrA,False,0,False,tinakid007,False,1586169257,1696345781
23,497300,0,0,8600000,8600000,1568,0,0,0,False,7068319196648031237,False,False,False,0,MS4wLjABAAAAgFc1WD3mj55bbgZi9fQlLnWcGMUPvJcyJhCx5Xj9f2DuNjpf5XJLg4uFQINo7ehD,False,0,False,american.rights,False,1586169257,1696345781
244,21600,472,0,2174,2174,78,0,0,0,False,7098946131100451886,False,False,False,0,MS4wLjABAAAA-nHbstZl6cBZE3wcIOeYtR8nw6GRCb6B4fSueMOeg5rip3wAFckSvKhFsmkbD5TR,False,0,False,gamehuang8,False,1586169257,1696345781
748,3900000,20,0,213500000,213500000,856,0,0,0,False,6625381914843365381,False,False,False,0,MS4wLjABAAAAPtqRI1I9GfP4XN9FEg5ZWUCsMRYpqNXWYdwLLjbvU36iNh8TcnbGAgJaedeacVKL,False,0,False,lingualizer,True,1586169257,1696345781
101,3400000,57,0,69700000,69700000,258,0,0,0,False,7177009603617457198,False,False,False,0,MS4wLjABAAAA4zMvg2VLVHXWd36NXmxFwO9-gECW3pFk1-zQpK6gzFSpVBOPeJyiC5DKnFv8r84F,False,0,False,that40yearguy,False,1586169257,1696345781
196,193,0,0,7640,7640,7,0,0,0,False,7106496811170808838,False,False,False,0,MS4wLjABAAAAICHVIJvjePDviKVxuRIlTBgHXn4lZgCcAxwdGBeW9QOw3HfRhwrfOy6HGl2PnnU5,False,0,False,warra_warra_,False,1586169257,1696345781
24800,1758,100,0,0,0,0,0,0,0,False,7246553280485508122,False,False,False,0,MS4wLjABAAAAA_m5IJxgzmjaRW5BQsukgxFr0r0YdEAsS34GpbsyXQJzwl6O2OzfpXalaR147B61,False,0,False,mayonaisguy232,False,1586169257,1696345781
941,206900,157,0,14500000,14500000,926,0,0,0,False,6860445574312592390,False,False,False,0,MS4wLjABAAAAF7aAaWClo7_MUPzHmb-4cQG4JJvFd9NO-qjbtqyM06teYVAPKNER0X-JCii1euMP,False,0,False,stumbling.through.oxford,False,1586169257,1696345781
2868,55100,289,0,841500,841500,230,0,3,0,False,6812138077851976709,False,False,False,0,MS4wLjABAAAAyTsyQqphPoFVxaqI0ZpPIW1ptpGc8Opl25fRfyQFRWYp3u6NvZAOeBuUJZZW-w50,False,0,False,keyboardkelly,False,1586169257,1696345781
33000,1000000,840,0,30400000,30400000,731,0,0,0,False,6827395506356962309,False,False,False,0,MS4wLjABAAAAG4c7Kig8kidslhTeLhiqtPNfarx3aRG3PPOuAh7CgPwW4L7Xb5qDQHAx_MEJiy09,False,0,False,pianocole,False,1586169257,1696345781
14200,9000000,2897,0,376500000,376500000,1857,0,0,0,False,280966517868019712,False,False,False,0,MS4wLjABAAAAy84KfmePG9AI9zx1Ll82EpfnCb0RIEGHXD4h6V3FmMeGrDWWE94_uH7cYRGEKkPQ,False,0,False,haileeandkendra,True,1586169257,1696345781
0,346900,40,0,8000000,8000000,446,0,0,0,False,6941880158320526337,False,True,False,0,MS4wLjABAAAA6wNvJ2B_TMGwVfuPW9IhBuSznHpvBv2-6xKMXiN9xiStNiB0z-YWki4V8afjGi86,False,0,False,raniel.herco,False,1586169257,1696345781
4501,109700,379,0,672100,672100,345,0,0,0,False,6899661053447062529,False,False,False,0,MS4wLjABAAAAmdvk1nBX9cAQcqVc6Ck2pHmfvmInN5fwSP6nmsvKNV0ZWKsYEv6Eq0KXK1ieTw9I,False,0,False,goofy_facepaint,False,1586169257,1696345781
4447,142900,80,0,2900000,2900000,697,0,0,0,False,6803608732502934534,False,False,False,0,MS4wLjABAAAANX7SH-SMqE9huIxvYqHMle4k6lsjtIBk_uerheG92VfbpsLFLlWJiDvPlcyQIzGz,False,0,False,fahimfeda,False,1586169257,1696345781
3288,202300,55,0,6700000,6700000,911,0,0,0,False,6827724289594639365,False,False,False,0,MS4wLjABAAAA7ExJ_9nIWJwPe7LJZVIPtIpZy8Gizdc3njPQa0klbrOhG99R4DSn7BqksmEM-j5q,False,0,False,haylieopappa,False,1586169257,1696345781
2154,422200,529,0,20600000,20600000,717,0,0,0,False,6918077571403334661,False,False,False,0,MS4wLjABAAAAaNMBB0BUb1fLdkdCUB2HD3leCWlZI8IimZjd8oCJQjAimezoFa7l89T0mbDw3Z02,False,0,False,vadarproblemet,False,1586169257,1696345781
111,118100,22,0,1000000,1000000,236,0,0,0,False,7069741600361120774,False,False,False,0,MS4wLjABAAAAGln8v9fkylJBscCUj-KLvdarjlVyCobthG3JJpbKCSPca9V-TwVFZ8kuQh9LWU3G,False,0,False,normal_sverige,True,1586169257,1696345781
