diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
880,15,26,0,54,54,1,0,0,0,False,7240516614310528046,False,False,False,0,MS4wLjABAAAADRQ9N0tXA8XPUCSB-vKxO4lhibKzH5bqJlcgpca6GHV_l4BrTivKgr8bFEAD1tsQ,False,0,False,thegirlz_0,False,1693279114,1696086506
38,258,39,0,150,150,21,0,0,0,False,7169753699606971438,False,False,False,0,MS4wLjABAAAA6ZDoLXQY7uIIloGu7lS_hLhyTURjclm27YWnsk1N-HlRSM_0xANt9G965jDnq42h,False,0,True,sailorfashion2022,False,1693279114,1696086506
2983,7453,68,0,52000,52000,560,0,3,3,False,6794311430097093637,False,False,False,0,MS4wLjABAAAAup77jznPQnrSmyGSo5Y_1zraTnlWGDbVJBb1yIz2tbERHROdGFPSkK1_tMwMNvD5,False,3,False,xkingshadezx,False,1693279114,1696086506
6080,1066,400,0,3061,3061,11,0,0,3,False,6821327288056546309,False,False,False,0,MS4wLjABAAAAjvTQmGYKD9AD1UnUhGzG-yL0SGUaW0sKq2vwg-afsrgaU_9eUSzfQQzcKmm645yI,False,0,False,adorekaydaaa,False,1693279114,1696086506
9,4748,2,0,888,888,111,0,0,0,False,7267007421363717163,False,False,False,0,7285857935480261422,MS4wLjABAAAA4s_AwplmaOWJTnnHr2x0Kog-TS3C2GC1ZG2Uavtt78V1Sx2NUd7CfXSBsPXaAStH,False,0,False,highlanddailylifeus,False,1693279114,1696086506
22100,2088,5949,0,1824,1824,63,0,3,3,False,6732223713939735558,False,False,True,0,MS4wLjABAAAAHPiFKaZh1f2WxpKorK3NhTvv89qalw9HIphaER6n1Sa-NTKYNnoJg_Cu6JRXKwbL,True,3,False,brownchickenbrowncow42,False,1693279114,1696086506
244,21600,472,0,2174,2174,78,0,0,0,False,7098946131100451886,False,False,False,0,MS4wLjABAAAA-nHbstZl6cBZE3wcIOeYtR8nw6GRCb6B4fSueMOeg5rip3wAFckSvKhFsmkbD5TR,False,0,False,gamehuang8,False,1693279114,1696086506
46,90000,735,0,2586,2586,0,0,0,0,False,7194172451998499882,False,False,False,0,MS4wLjABAAAA6Dxs6I2AJd9PsDhwUXDli9HS1m6HW-g7KtlLQ9eXpJYrwpaHswWj0BSeky__6RnV,False,0,False,peopleshowlive,False,1693279114,1696086506
17300,179,1786,0,80,80,5,0,0,0,False,7264459929153897515,False,False,False,0,MS4wLjABAAAAaxyW1YrYs8T1_so22jkmywYawtMu3IyTlmMBsHwWr95luaUxrtHKI0CsVL1xUxs3,False,0,False,luis.arenas54,False,1693279114,1696086506
121,4,12,0,15,15,4,0,3,1,False,7269975572237960235,False,False,False,0,MS4wLjABAAAA_eJyfB5CXBq1xGyfJDdtfal-w9C3VZOqQ21VmPKk3cWW-SwMLibF485Wbucx93oA,False,1,False,aliyahvillegas7,False,1693279114,1696086506
1243,1400,3277,0,962,962,53,0,0,0,False,6892452010115171334,False,True,False,0,MS4wLjABAAAAN3n7RWQt0Ef0nhtbTOTD2mefTHEsqIvVhifBv8Dl7ghf7h_7Jm9yKYLU9JhQGuNw,False,0,False,keshamiddletonbeyallen,False,1693279114,1696086506
8150,485,101,0,58500,58500,21,0,0,0,False,6547067508872052742,False,True,False,0,MS4wLjABAAAAl-x4d60R_YvXfoh0oDfyD1BX0_sAKkpVsnd24Qc1g_AozZUiuVGTRCJQ4Kw_xhMP,False,0,False,cleewee,False,1693279114,1696086506
16800,10300,9724,0,16600,16600,89,0,0,0,False,7197093377140655109,False,False,False,0,MS4wLjABAAAAdMxyAsFbWXAizgTSZDfyXc1FuVZ3nP77_6FyEV2RSoQ1TUOyEBE3UaKvPkk9Ehos,False,0,False,olgaphobamabeka,False,1693279114,1696086506
17000,5400,3781,0,13000,13000,184,0,3,3,False,6917999357837116417,False,False,False,0,MS4wLjABAAAACBXn4tNYH080fTj95jRyuslX01N7jhURIqqWvX37-xU3bWETaiqR6ATlaKeTF3VI,False,0,False,najib_roasts,False,1693279114,1696086506
81,5397,1730,0,22,22,2,0,0,0,False,7205478425330402310,False,False,False,0,MS4wLjABAAAAxiP5hkQeQr5Xf3PUEquVodHwLwaCZc83eYC6pzO78SolYMFPJL1hqH0zih7Od93j,False,0,False,myqtinplbqb,False,1693279114,1696086506
402,768,625,0,176,176,10,0,0,0,False,7244245495697245190,False,False,False,0,MS4wLjABAAAA9TiC9TfF5wtJu7qwhLQxeVPybK0Z8_ChCULF8A-Sg_FwtNB_pBIQtIoMiK0Ruyc-,False,0,False,officialsaylessdomore,False,1693279114,1696086506
3759,4586,5337,0,3724,3724,262,0,0,0,False,6835817339997717509,False,False,False,0,MS4wLjABAAAA-Mo0jC0GkNC5HEViOtLDwR9FG311BWVH560W70j3e4COMKnzGTnoWHdaWQDJ8jp7,False,0,False,neilmasters24,False,1693279114,1696086506
1071,1699,1416,0,1553,1553,59,0,0,0,False,6932596150084994054,False,False,False,0,MS4wLjABAAAAziCTgOozC5bDgz-k4MyqfNwgdIS9FEz2sr7oDZ4VNgVua_FoD-GxdHiKfYQVfO4w,False,0,False,eva_evasnotaryservice,False,1693279114,1696086506
1115,1422,141,0,731,731,92,0,0,0,False,6861343377725719558,False,False,False,0,MS4wLjABAAAAurh9lf9lJ-N1XvWC6q7nnX4M02wdYIC0M_iFc2b-7rp4gFSIHngWG7VZUKAisDEe,False,0,False,cleve.richkidc,False,1693279114,1696086506
22500,2624,1709,0,2876,2876,56,0,0,0,False,7084242279515112454,False,False,False,0,MS4wLjABAAAAk-X2But_wkunz_1AzfXRQ2V0YzNJEkD1DASeH11OFRaKLCE4iPBfhf38bLFlkLwV,False,0,False,t.aaajjj,False,1693279114,1696086506
1961,12000,9132,0,3435,3435,21,0,0,0,False,6839567496933426181,False,False,False,0,MS4wLjABAAAAXPa1LfU_QS05yME2jY4AAbtWce2XZnxef_1yl4M-N3ryP67yoc3301XZK1x4wVMF,False,0,False,tina_the_libra,False,1693279114,1696086506
3692,1805,1744,0,1008,1008,19,0,0,0,False,6820412807705019398,False,False,False,0,MS4wLjABAAAAhs0yQ5gfkcfvcN9tOlMHBKkunR6A1Q7fRtNxmC8u-A2-ql_X9VA3n69xgaemCZCL,False,0,False,viempress1,False,1693279114,1696086506
3843,1079,969,0,310,310,4,0,0,0,False,7114248976593421355,False,True,False,0,MS4wLjABAAAACGWiS2s3Vgi1enrMBCLMKV0rp5wRdDwF5ATIvzkG8geJFSyBGb0VeA57PJy53QOc,False,0,False,scorpio_queen279,False,1693279114,1696086506
1581,12400,9928,0,19400,19400,385,0,3,1,False,3807390,False,False,False,0,MS4wLjABAAAALyFfxcgTVAThTRz7t_gCimaf2KOgpNwUGi3j7xq56Ms,False,0,False,ladydee5,False,1693279114,1696086506
2265,13600,5522,0,13700,13700,104,0,0,0,False,7085460881203168302,False,False,False,0,MS4wLjABAAAAiDf-yGzCrqCzIFNdmi3RJyHseIe7Trta6_OjJAR4QE1oHQEEhFd3SVn-C0e2xXHt,False,0,False,jacobcdavis,False,1693279114,1696086506
9459,41200,4386,0,43700,43700,73,0,0,0,False,6541686652157870086,False,False,False,0,MS4wLjABAAAASxFz2gYLEx96dolJp_y4t3UpzBSmJmPF8sHJNQAwi6u3rc6BiGP60I6Oo3x9Uhra,False,3,False,onerodinero,False,1693279114,1696086506
178,19400,313,0,72400,72400,26,0,0,0,False,7253880993060373509,False,False,False,0,MS4wLjABAAAAK13qQaSmDeGm5YzTHpzVQFykBOkbavLV4zDr_AmJMjcRW3xlrVL1-eyYE51rT3Rl,False,0,False,cyberthics,False,1693279114,1696086506
656,26500,8662,0,39000,39000,388,0,3,0,False,6813696997325865989,False,False,False,0,MS4wLjABAAAA2agVMOB-mlCQrehQRZAzt_oVetTZjI_r9JMWAeEYv4Gf-GA9rcPa88sWhEPYVfq_,False,0,False,queenluna.wolfpack23,False,1693279114,1696086506
222,10800,6668,0,4364,4364,21,0,0,0,False,7148240667570504747,False,False,False,0,MS4wLjABAAAAh1YxCGitwBIqq7Elp0IHInIq1mKU5YxPfr3IXYG5uB6ID4sngTdr-5_nJwKX3xom,False,0,True,realqueenofdealsandfinds,False,1693279114,1696086506
4716,2163,5643,0,1497,1497,196,0,0,0,False,7161463693095027718,False,True,False,0,MS4wLjABAAAASMbZVoYgHK_Bm1vgLTXyqBLWlLGdmIAJfbsEpr7wVqIQKLtxjEhCZHws0M7qwzyc,False,0,False,tanbeelvis,False,1693279114,1696086506
6369,5999,9734,0,3130,3130,188,1,3,0,False,7121878752372376582,False,False,False,0,MS4wLjABAAAAErZOghCgHEjyjIPIM5D8sf2uiRS899agPw07Ca5t-BNopAh1PWTrTTc6hGXcuXa3,False,0,False,1signmillion_musiq,False,1692238025,1693279113
14900,7465,5719,0,3379,3379,23,0,0,0,False,6882097619213206534,False,False,False,0,7285808658570873646,MS4wLjABAAAADM5WGy5T-lQ8Vv703xbFA-3yYbImp3iE1wiE7WZzqP4KdRbU8kPTas0HjKFYp_-t,False,0,False,investingwith_andrewj,False,1692238025,1693279113
2693,1296,2321,0,542,542,21,0,0,0,False,6836046669655639045,False,False,False,0,MS4wLjABAAAAqnYUB6DGmHB3deIhGIdAka-yI4bxr8A4715cXap9uDD-ourLeHmSFqbsUg0oJDwk,False,0,False,katrinascustoms,False,1692238025,1693279113
492,672,1044,0,61,61,6,0,0,0,False,6811716579945006086,False,False,False,0,MS4wLjABAAAA8bseJY961GrMY0BVyqlGDH-j8a_ovx3xMMQllWdLbz3rYODSY0J4cXoG6Enkl6Wg,False,0,False,marcusrecords123,False,1692238025,1693279113
16900,68600,625,0,737700,737700,138,0,0,0,False,6813225529560564741,False,False,False,0,MS4wLjABAAAA9Qlyq8miSyRn3KgZBx_zUrQMqz6ZF2LFJTsb7F8fEfO1rsWH3tmJFkeTHG44SUS1,False,0,False,queen.r92,False,1692238025,1693279113
