diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
248,141700,231,0,618600,618600,21,0,0,0,False,7278839227412071466,False,False,False,0,MS4wLjABAAAAPbazxABTwDSZkFiBAlue7MVv-PgI-JrIR2AGO3Zs5okfsAJhXL1Idr5Vw_g4OBgr,False,0,False,coldest.moments363,False,1694876473,1696252803
17,145,2,0,2637,2637,2,0,0,0,False,7176204264342488069,False,False,False,0,MS4wLjABAAAAiwW_gZl877RdtXQDY1RJGnyqUV7bnffk98QLOrn3_KGbPlO7M5DjbZBDVZjINHGg,False,0,False,stalkolsz,False,1694876473,1696252803
35500,746,2703,0,311,311,6,0,0,0,False,7246414370350171163,False,False,False,0,MS4wLjABAAAATleeULjcfrvU0kiaNZvCyxtEs1j7CLGmNlwLwpJGXGRDzqN7QryYBnT6asGhFYud,False,0,False,vikcsahh_____,False,1694876473,1696252803
25200,94100,27,0,2000000,2000000,355,0,0,0,False,6683418203484193798,False,False,False,0,MS4wLjABAAAAGI_qPxC3jS-zABjhsJGBLQApr5y8xrNp_W9eOzRH5-0-xfKgEqUfSamDLNPRTCkJ,False,0,False,vvsomaofficial,False,1694876473,1696252803
5274,133000,2231,0,4900000,4900000,4378,0,0,0,False,7190569819016020997,False,False,False,0,MS4wLjABAAAAdQ9SgnmtRTDnVqSTrLa9SZUodTYjDCTlSfXNnqlzQAW6clF2dvSSP_jAROiMHfK-,False,0,False,laughingllamao,False,1694876473,1696252803
28300,1200000,0,0,15200000,15200000,229,0,3,0,False,7071544630332064774,False,False,False,0,MS4wLjABAAAA_B8jNjXrpQdyvVcO6RKMMztgwJvo-UfqKYBuSDBM-KEH5S2O6ogUdxRJedz8DXsa,False,0,False,ahmatabdelhak,False,1694876473,1696252803
46,2100000,26,0,34000000,34000000,49,0,3,0,False,7260923766406022186,False,False,False,0,MS4wLjABAAAAVZGSh0W9SbN-HUXc86cRUb1xmEgdNI5Eh2ARyyGmPITNwLrTcJJuqn3Z8UzFep2E,False,0,False,littlemanyu,False,1694876473,1696252803
122,1300000,1,0,19200000,19200000,582,0,0,3,False,7197847064074683398,False,False,False,0,MS4wLjABAAAAgFZwoOdONbG6xxfTYaqXr4OjtZu06GMGTZQF7yMOrwsrC7WSxjWUzw8aYF-4wimK,False,3,False,_justfunnyclips_,False,1694876473,1696252803
3076,43500,9998,0,138500,138500,160,0,0,0,False,7159188502810215430,False,False,False,0,MS4wLjABAAAAsK25R4EX4FPK74MaY6OVwxwUlScEM0KPCBA9xVMKJOMa_VWUdrhkJ61XbZjCfNC6,False,0,False,tdoriina,False,1694876473,1696252803
1556,412000,9,0,5500000,5500000,412,0,0,0,False,7259318094043825178,False,False,False,0,MS4wLjABAAAAgDEN6y28mNQY6sDs5fkhrg8XnmtD-OKiIOJljVJLp_2oDlC9_GEZz-CcqhUV2ShH,False,0,False,petscute966,False,1694876473,1696252803
11700,1408,1384,0,27100,27100,40,0,0,0,False,7130274480026649606,False,True,False,0,MS4wLjABAAAAhcMpwLe7tRs0UmGwfCb4WQG_p3FlVvAZine18_CQ5nkweSmyrFfdxJ8ciqX4U7lx,False,0,False,szaboantal321,False,1694876473,1696252803
732,34500,93,0,897200,897200,18,0,3,0,False,7215395442954241029,False,False,False,0,MS4wLjABAAAAULGoR6RpoC6I8cW8wT-qEpUgCtwLrYDJ-PeYbFc56fF50JKrIF34H1gFYj1aN91a,False,0,False,mr_random_000,False,1694876473,1696252803
580,265500,1,0,4700000,4700000,163,0,0,0,False,7274635945894331425,False,False,False,0,MS4wLjABAAAALwbXS4H_xD-df5SebU1rfxs3HJncdUqM_YYDCrocMX_wdTCzp_KaDg9nCFAWD1jF,False,0,False,funny_petss.ss8,False,1694876473,1696252803
13400,28,405,0,39,39,3,0,3,1,False,7128766247457932293,False,False,False,0,MS4wLjABAAAAZXsDzJI1iZzx4O2XTtehzf1pLmfavqFrqy2N4zdAqHM6kLuVrBPg939lgrZtJwid,False,1,False,animexstrangerthingsedit,False,1694876473,1696252803
