diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
4912,462,1397,0,216,216,22,0,0,0,False,7218186279032177669,False,False,False,0,MS4wLjABAAAABsaQgoPpioKR0yCJHtO4yQOX3Bz2TUGmcvX0stlA-ypUdWaT2M5MrYwVxdhBE-OW,False,0,False,user5918155393515,False,1696138770,1696363595
85000,1814,4060,0,6520,6520,134,0,0,0,False,6794913245632168962,False,False,False,0,MS4wLjABAAAAmK7we0zWwsmTgfg1tgThVerARsCLNxCCsIFOy5BPZy0lm-q6wEapDf0X1EdSXb5-,False,0,False,hxi_70,False,1696138770,1696363595
1354,2106,936,0,4501,4501,81,0,3,3,False,7153946388605453338,False,False,False,0,MS4wLjABAAAA6YhbI2FUeYU0IIV11oyYJ5snSFXmHgh8yFtc35KYMzQR5XMO4Tw2iUZGchq8Gd_X,False,0,False,8627o,False,1696138770,1696363595
4767,1891,23,0,140,140,0,0,3,3,False,7087170611898598406,False,False,True,0,MS4wLjABAAAAovpvqZ17Yhi0ItVRDegwRE9XkTQu0c3j1le8-hUHZQlwVK7iT6kwtYV9svJ9N4kz,True,3,False,zalimsin.00,False,1696138770,1696363595
23600,606,4182,0,466,466,41,0,0,0,False,6928371409283892229,False,False,False,0,MS4wLjABAAAAL-rnxBICJbvgC8_OLV6Tqc6_aLMCkwcLu9ZKjrZMiLvIFDDiiRqEET31ZhanKZd1,False,0,False,iqlaas00,False,1696138770,1696363595
19400,5222,7379,0,10800,10800,99,0,0,0,False,7020475797095334918,False,False,False,0,MS4wLjABAAAATGtJfVOCsVkNmw2E28v3JuWxsHjYGoyE9okg6IiXd3au_JrczXTc312GKFawJeqY,False,0,False,user72322840910175,False,1696138770,1696363595
1909,24900,5062,0,169900,169900,49,0,0,0,False,7214156700638659590,False,False,False,0,MS4wLjABAAAAII0TBSrRc8n5g0XdCwn8yNxwZaCB3cS0GYZhxRuMocT33Rgg1UdcXGYMfQLJ6few,False,0,False,d1affjwd1ex,False,1696138770,1696363595
8781,2265,419,0,20000,20000,118,0,0,0,False,7171491126867084294,False,False,False,0,MS4wLjABAAAAWzJdDuPvGJHU37TjmAaWaDJ1XkRQ-tedwmAccb3nwbSKx-B6bTJyx9PYalBr6N_e,False,0,False,user3388503536781,False,1696138770,1696363595
17200,280600,1541,0,1700000,1700000,240,0,3,0,False,7094506412139217925,False,False,False,0,MS4wLjABAAAAtUPpHUWfMwLrVjBZ882YgF4OGbsqH5adzVdGPKAJZRjpHnEYIi_3OpdP0Gn7O34a,False,0,False,joker_strong55,False,1696138770,1696363595
18100,1815,9052,0,468,468,84,0,0,0,False,6990840814441219077,False,False,False,0,MS4wLjABAAAAe0Ucu0IWtW-bfJjKvA1Kx3UScVHVHODBPS5d4kRkDCO7HAyF_rntvcp3B4_26au2,False,0,False,user4174017925794,False,1696138770,1696363595
