diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
16000,38600,524,0,417500,417500,68,0,0,0,False,7069823886666793989,False,False,False,0,MS4wLjABAAAAesa10X0hbn8hczsUJc-u8qdSUzgeL58BNydg0QY6dzSwx9GB6gY-32qXw57HWBxf,False,0,False,minibotsitoff,False,1695600928,1696359802
36,948,1051,0,131,131,8,0,0,0,False,7270894885125112838,False,False,False,0,MS4wLjABAAAAqCo_ZyXJf0SEhc6R5lp6JDp_LU6FTltlLH3ilkYOMpVm78CdVFjyxPw2fRqEEHu0,False,0,False,antuan21_3110,False,1695600928,1696359802
100300,424,3826,0,506,506,3,0,0,0,False,6738579280017540101,False,True,False,0,MS4wLjABAAAAxvTqiFqLta_LLluWvcCVGB-9UIk1GqVTlC-gGG6wQcMAQR6UbuIIOik8SI5uqtXN,False,0,False,houssein.1980,False,1695600928,1696359802
533,121,202,0,229,229,11,0,0,0,False,7064164951522755590,False,False,False,0,MS4wLjABAAAAaAoDfkqUlrqARm9DyXp5ovOiLasgGZrO4vxbTmw7RAWodxjB0bRGfVxO0sbt2IPD,False,0,False,jeannoelkoffi,False,1695600928,1696359802
14100,50600,7946,0,111500,111500,1525,0,3,0,False,7063615896719983621,False,False,False,0,MS4wLjABAAAAbStawUlUGO1ISjB8zn_97NN5iXRBAN1vARWp7IVuEyk3eGvVsENip-Digf67z9mu,False,0,False,tv_man_hombretelevision,False,1695600928,1696359802
16,64200,1,0,276300,276300,10,0,0,0,False,7273664207562900485,False,False,False,0,MS4wLjABAAAApyeQO0XsMYWrYqRnXc8qCZ25-KSuiTntu5mkR0AGfd-xC566Ct0pi5NIB-hSx3nB,False,0,False,theedolpi5,False,1695600928,1696359802
639,2488,31,0,38500,38500,13,0,0,0,False,7130745976050074630,False,False,False,0,MS4wLjABAAAA9HEUqmPl9JdN0YlzAhQJX1V2qRBupQVNLU5ilbI75kHhRCP5YTWCF4w_IHKhnBW4,False,0,False,polillaalbina,False,1695600928,1696359802
2982,507,743,0,2356,2356,66,0,0,0,False,7225390400268928006,False,False,False,0,MS4wLjABAAAAGPHTzuq5hFKMTnKGNykRHCSgqIDHoSkK0hTSo6HQ-sP_49KUr-eKDE8Z_d22kmmK,False,0,False,loboinsano09,False,1695600928,1696359802
21000,147200,449,0,5800000,5800000,2314,0,0,0,False,6828737726940447750,False,False,False,0,7285856809536588549,MS4wLjABAAAAnIqx3HHKBWKq_yoAxxzUn2YWs5qt4lXycQL4U82RbnBJPwj2l9eKocgP5v5LYUq8,False,0,False,patriciacahuantico,False,1695600928,1696359802
759,401,424,0,1085,1085,50,0,0,0,False,6857151351060825093,False,False,False,0,MS4wLjABAAAAI2C3iETG772TKIkfxbR83cGnHxVucqL5rG6291_4hLAv3Spj5wcDUl1xTidx53Hu,False,0,False,mariaabreu055,False,1695600928,1696359802
