diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
616,1400000,0,0,58400000,58400000,2500,0,0,0,False,6951759381520958469,False,False,False,0,MS4wLjABAAAA0MNK9OdbAothMPCz9DPTnZFep9CwMaiJVlq7fDyFXOis83PC_bpXC3B00yK0qJRn,False,0,False,spllitz,False,1694665973,1696286076
15100,48500,614,0,182400,182400,254,0,0,0,False,7071701372433875974,False,False,False,0,MS4wLjABAAAAZvjBclgE2ihOv-IJBFllwk7BnKo2ODbgLDScWxvoiJIN7SNdvfAkFADhOevUK7bt,False,0,False,cloudymidzy,False,1694665973,1696286076
10500,19200,4655,0,936600,936600,192,0,3,0,False,6563337283915186177,False,True,False,0,MS4wLjABAAAAT6kO6qn9-_wVx94un3xP_1-sGKQSdb4CnTgMPGTJtCcH1fmpV8P07BCztK_diK6e,False,0,False,joshyfinds,False,1694665973,1696286076
2556,4223,1523,0,58400,58400,154,0,3,1,False,7126120979696403457,False,False,False,0,MS4wLjABAAAA7QUPrDpjWyvV7ZjUYbXNNui4Xti3w_DcAvwPP4jfXseTXqufs8vt6LFY-6NVoyYA,False,1,False,jesuslover.113,False,1694665973,1696286076
13500,83300,230,0,658,658,6,0,0,3,False,6931907692316312578,False,False,False,0,MS4wLjABAAAALwsI6gaKxWj9YzWaaO1H7sdKBK2_aa_7joE20YKMmBMrgs8tqyoGFTYclCdvWD1p,False,3,False,chikardo00,False,1694665973,1696286076
1379,104200,1783,0,813900,813900,152,0,0,0,False,7273000849503716385,False,False,False,0,MS4wLjABAAAADsFvg5_lWdeNw12DV-rmV9dJQ-hZ-5TEnylro050qUhwqU1nyijzTffLijO3PKGa,False,0,False,dragonroght1888262,False,1694665973,1696286076
13,36300,6,0,1400000,1400000,68,0,0,0,False,7259285369620628526,False,False,False,0,MS4wLjABAAAABvaIenNX5ZBR0XElcDXULhDS18H_3UGS9cM6a8ZEl7CD6tII6eBnW7wGifOu4HlY,False,0,False,hhsk352,False,1694665973,1696286076
32,597,0,0,53600,53600,2,0,3,3,False,7149762535523517466,False,False,False,0,MS4wLjABAAAA_hXKN-sANfg5ErbZ_w2yu4IqPRg-gLxhIv1Y7OfQwdhyw7jkWPf4_TFGm9asgvF6,False,3,False,itmeuzumi,False,1694665973,1696286076
216,101500,1,0,3000000,3000000,88,0,0,0,False,7251962667086693402,False,False,False,0,MS4wLjABAAAAIuh9SrV-JuS2OvqPa0LqECPfWAwLNqNp5uTCEWSTgxkxf1AUlcvXA6KAIyBAa8uN,False,0,False,redorblue11,False,1694665973,1696286076
14,33200,3,0,1217,1217,0,0,0,0,False,7271180560629154849,False,False,False,0,MS4wLjABAAAAnGROAXn-RUbK6fJQJlHEXtvF7X9pEDUwGpdLXriSBPh49nXb8JXT5urT6cAfmpkk,False,0,False,giftingcheaper,False,1694665973,1696286076
