diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
1174,5491,10,0,231500,231500,13,0,0,0,False,7252595834310804485,False,False,False,0,MS4wLjABAAAA8OTevb3ZKplDFbgLoKrJqbfwRwfOimyRCH_tfLM2rI5T7jqT4h3r8s5EIfrpuOpQ,False,0,False,tolaha.09,False,1696253574,1696365201
2484,1663,664,0,3109,3109,51,0,0,0,False,7015556058698105883,False,True,False,0,MS4wLjABAAAAPXSZnPFQeb8c2w6ej8UCWIU7kzrb8O0PEGiH2qrla_li-LZJb0pwZwBf7advDmD4,False,0,False,hicupid,False,1696253574,1696365201
4735,76,73,0,92,92,4,0,0,0,False,6809480481802339330,False,False,False,0,MS4wLjABAAAA4c0nUDBXBiYvR-JkpmfgDKvBqXw6SDLVGSEuKdYYdNEWZwZkLfP2bC7A1w3n1V6V,False,0,False,nguyenvantrong16629,False,1696253574,1696365201
1873,17,7,0,1,1,0,0,0,0,False,7141012578938995714,False,False,False,0,MS4wLjABAAAAj5LY-Ukph0Ir7YwI67GWSYQo9156CvFvEFjeO9Ok7UVXXJB7RgqvqW3jUsa7kZO0,False,0,False,user6eunj2gtnb,False,1696253574,1696365201
28600,176,303,0,0,0,0,0,3,3,False,6925303218440619010,False,False,False,0,MS4wLjABAAAAiPigFcDhfHIVjUodvpHO39mqNxEPUZx-r6atrVNBponOwkU-QijbaJ0NrhkPoH6M,False,3,False,ngochanx6,False,1696253574,1696365201
43500,30,15,0,0,0,0,0,3,0,False,7003357286912754693,False,False,False,0,MS4wLjABAAAAuioZaRZaqjGFbCxzc9J8thQdJZZSsi-R6uqgYBMa5IDSRbhTHbHuyVKTQsOB95vs,False,3,False,linh.com118,False,1696253574,1696365201
317,147,239,0,0,0,0,0,0,0,False,7139204316825584666,False,False,False,0,MS4wLjABAAAAZaVzFhEyFANLciw5Re6EJCaqx-QCRN1TxdYh2B5rSD47B08A0P2RRd256oOc3c_d,False,0,False,nhi.akakajss,False,1696253574,1696365201
1923,434,7,0,4310,4310,7,0,0,0,False,7274110460999664686,False,False,False,0,MS4wLjABAAAAan04r0YKAjRbqGW2F5H5tZboE1MyaUyZjOBy6_vhyfxhxq4UPMK5avKb_skBeFmb,False,0,False,sillylilili,False,1696253574,1696365201
38,259,541,0,97,97,5,0,0,0,False,7160858357033026565,False,False,False,0,MS4wLjABAAAAiWKPOgKIcaWIO_dFR_iwYOcu12-fX2ZfyI0SbzD68HytA9uKQv0FFAAD_cy5yLOu,False,0,False,anderson.f.l.nova,False,1696253574,1696365201
49,60,321,0,21,21,3,0,0,0,False,7285395724815139845,False,False,False,0,MS4wLjABAAAAT-FFkNdz2UFlSXDFGghjUt5Raid_Z6GC1oTeAVIe57uHqWXi2EjRzdIfE41WSrGW,False,0,False,haritz_9047,False,1696253574,1696365201
29,309,500,0,102,102,19,0,0,0,False,7272647727266186248,False,False,False,0,MS4wLjABAAAAhkH_b_mPzsINy8R8_OgyokgE4AzNgBTxW8Ew79i0hxdsDxQtJ1MvLnYpxQwdnD9V,False,0,False,perempuanmu61,False,1696253574,1696365201
3353,2144,4435,0,1089,1089,24,0,0,0,False,7095314077093774341,False,False,False,0,MS4wLjABAAAAT1bcJJIiVfek_riN8E7DzFbDdsbspiTl4CA2bpa5EnB5J2-0idXSEsW0LG1XgAbf,False,0,False,elmagboun2,False,1696253574,1696365201
128,404,336,0,172,172,26,0,0,0,False,7279759642510607365,False,False,False,0,MS4wLjABAAAALwATePl4TCJhIha9iQkVlcyS7XtQ-NeYTR9la9M75Z47jfl0lS1rdr0QWxqHpCDv,False,0,False,finzz_53,False,1696253574,1696365201
19,633,45,0,0,0,0,0,0,0,False,7271618929599005701,False,False,False,0,MS4wLjABAAAAmRGmUbFPP2CcCwY2p-2s3YO9F2b-7CAOOH4DFp008Nd5x5EvY9N_ttrP_Q-lHQah,False,0,False,salmaabdjul10,False,1696253574,1696365201
211,314,292,0,0,0,0,0,0,0,False,7271511403193697286,False,False,False,0,MS4wLjABAAAANmMxrQc9vyRLhJbH3K9ACwSSfEf5w2JPj95zCXRuF6RPg520wyt7-v4ao5x1Dhv2,False,0,False,gojo29284,False,1696253574,1696365201
118,307,322,0,0,0,0,0,0,0,False,7280065445888967686,False,False,False,0,MS4wLjABAAAAWIa5E3K6mjEftRRE1mpUQp7lPlGcshB6Af7ZoDGVEqabT0p1YDhKjx9PQspHK7fG,False,0,False,sobat.anime8,False,1696253574,1696365201
212,747,654,0,1191,1191,34,0,0,0,False,7198576929317078022,False,False,False,0,MS4wLjABAAAAfICRWQbu7Y8qItpl-bqqRd9kHURm_W5iYjlSYVn9dAjAif718z9hRAqdjESm8wS0,False,0,False,skl_hendre_do_teko_teko,False,1696253574,1696365201
33800,353,728,0,1395,1395,66,0,3,0,False,7142487161467421742,False,True,False,0,MS4wLjABAAAAklR6FIIyWuj6OWfIuXFO9-Tr8-WM4gYYnI-qqwihD56Ld6BJ7yBdSMYRfYM1evF4,False,1,False,gear5hahaha,False,1696253574,1696365201
970,744,501,0,133,133,1,0,0,0,False,7065802393418761221,False,False,False,0,MS4wLjABAAAAFEJb9LNBPLS09ndfJKn1oGPxJqIZLQEg-8OTGG6aTibg7Fz6KKqP1aQ82RhSKCFg,False,0,False,wsoozz_,False,1696253574,1696365201
19000,204,1504,0,144,144,1,0,0,0,False,6662256174064992258,False,False,False,0,MS4wLjABAAAAqkoCm1Ky1Do0hxddfC3C_BrsGahL7JuMC_rZN9WoZJRbYIkUgUAu5wft-OoE9-Px,False,0,False,hoavt_84,False,1696253574,1696365201
346900,17900,13,0,338600,338600,0,0,3,3,False,6622024290277670913,False,False,False,0,MS4wLjABAAAAHnJYIk8njo_h2haA--aabfnFOxZJGMGydzE9l3pWVAmnf5NKeq2JuhQhNkNyn0wU,False,3,False,t_phat2303,False,1696253574,1696365201
869,772,2507,0,0,0,0,0,3,3,False,7166500741274879003,False,True,True,0,MS4wLjABAAAAaYQzkOJBZHPVraBrvvnn4Z85UVqgKGjGuvucon2VGrIMkqq96YL73vp8ijhFOf9P,True,3,False,erwin_dwi_prasetyo,False,1696253574,1696365201
2269,523,2053,0,339,339,17,0,0,0,False,7073634607514354690,False,False,False,0,MS4wLjABAAAA9Vn2D2qZb3Xo8-jv82Qvh6ajXcwZb23c3bRtHxQI0HxXZ7iMNUvzJCaMIlAxlSL3,False,0,False,longquan0274,False,1696253574,1696365201
774,53,302,0,688,688,1,0,0,0,False,7051966351506113538,False,False,False,0,MS4wLjABAAAApJ5sTX0tlcFsCCOJNB0U62w4r_J1xLSre2nW6iD4i-P4A_xjYxGd2-1WLsjSk0dZ,False,0,False,tranminhhuy47,False,1696253574,1696365201
550,136300,25,0,3900000,3900000,344,0,3,0,False,7228225412034855937,False,False,False,0,MS4wLjABAAAAkffUxGNJVVSwqaEfvQXHpTrNZ4T8PyavVBjgTyE-A6Nap75MzxPnJN1hnvGLE1CT,False,0,False,meme_funny86,False,1696253574,1696365201
325,1111,64,0,12900,12900,52,0,0,0,False,7137208678344197146,False,False,False,0,MS4wLjABAAAAEzu4fr6f_0YXBN9xzq7NY2-BW61sHTQrcQhxyf68AGOw4eSAXewHsal0oK9GUXjJ,False,0,False,user9kq6s9hyhe,False,1696253574,1696365201
15,221300,1,0,6000000,6000000,665,0,0,0,False,7209340963574973467,False,False,False,0,MS4wLjABAAAADXK0vxk6r-CfauW-9AnyWUFLAfh9-mYy0rcYzKPA8NnVvR2SRyScxndjQrzlzbch,False,0,False,memefunnydxd1,False,1696253574,1696365201
294,22000,38,0,770500,770500,28,0,0,0,False,7247082042927154182,False,False,False,0,MS4wLjABAAAALK_BSI8ufZIQfLRX1MWsBZpvXHmdG3WOzr2r3M5dhnxoT-wE2uNespGQ7H-RKW1T,False,0,False,fmemeddoah4,False,1696253574,1696365201
30300,3120,45,0,77900,77900,17,0,0,0,False,7098200568397841409,False,False,False,0,MS4wLjABAAAA1Yonw2JjUUUOuECmrU5BtcHK8nCMsazW4Ot0OtT88S29cLHB8vUtcCbVU33GVznm,False,0,False,hangwaifu,False,1696253574,1696365201
9981,1862,2124,0,10700,10700,594,0,0,0,False,7159093473110770715,False,False,False,0,MS4wLjABAAAAf2KxIkqh6FUV3XccVhn3HCaiZ4_VLbHh9pKYhip1fUs_iNUPNXTnovNGQx0tqft7,False,0,False,user829095107,False,1696253574,1696365201
202,416,269,0,885,885,63,0,0,0,False,6971281825374454786,False,False,False,0,MS4wLjABAAAAF4vbE4Ie0647oSX4TAt5qSaHMVzQCEfQUp_J0O1pyRcUKQGHGeADJOLNZY4VuhgP,False,0,False,ngu.chin8,False,1696136206,1696253439
93,1501,0,0,52500,52500,28,0,0,0,False,7205235444752122882,False,False,False,0,MS4wLjABAAAAY19nIQ_nq67UTWNKV1XZPZ0uf3nF3TAuuOCTbwazUiVj98PAOoOb3yGqsyzOce7A,False,0,False,lanhlungboi38,False,1696136206,1696253439
638,30,110,0,0,0,0,0,3,3,False,7208101896615134235,False,False,True,0,MS4wLjABAAAAPzt_3JHl-4GWY5SGoYfwWjswvkF_L2gJPtAlPWwMPqtiM6IcPcRGSbYuU-wkSYPn,True,3,False,lekhoinguyen13,False,1696136206,1696253439
194,6958,43,0,204600,204600,45,0,0,0,False,7274935403860460576,False,False,False,0,MS4wLjABAAAAu05aEEA9SJhe-Ez54VmicaduSV8TwB5QtkNQZzMsQvwpjSRp3a8GC0bN1i8SB8qM,False,0,False,t06794365u0,False,1696136206,1696253439
10100,28,23,0,1,1,0,0,0,0,False,6946929229653296129,False,False,False,0,MS4wLjABAAAAZd3mO3ctpgl-dKBCtmBKnbG6eprjRBz8q_HgHzd97ihgew_NRloJord_oYxCmckg,False,0,False,bao.tran105,False,1696136206,1696253439
375,237700,75,0,17200000,17200000,761,0,0,0,False,7259682110910219290,False,False,False,0,MS4wLjABAAAAS6q2xEd5Nakbe8meAthRhD_vCHgtpcvBYqAElBOsu9jC5R6467vP4qXEDGhe_fXV,False,0,False,langlieuofficial,False,1696136206,1696253439
32,465,0,0,20200,20200,15,0,0,0,False,7252824057666438190,False,False,False,0,MS4wLjABAAAA_Htynk6Dka194zEZop9de8_0R-FdY4YbyFV0ryMvWqsdXQ4nCuJ_TunyG8rNSbsI,False,0,False,3m09az8fdy57109,False,1696136206,1696253439
6,23,101,0,189,189,10,0,0,0,False,7284440113068917766,False,False,False,0,MS4wLjABAAAAquW4-srL02BiDaw944Pmtk0_RtU58nsQRcNTqTy_2l5R4zIWBK6H6_Vge-XDxCfC,False,0,False,kudo.shinichi1522011,False,1696136206,1696253439
32,49700,0,0,11400,11400,7,0,0,0,False,7117554311371113498,False,False,False,0,MS4wLjABAAAA0LWYnk4EC_dgzZrRqs7GcAB4Le2BHbImRsmQUtKDHdOZXo_HQX-tRnjYIM_5c5PB,False,0,False,sdmpleeh,False,1696136206,1696253439
705,454000,53,0,11300000,11300000,924,0,0,0,False,7265160596567163937,False,False,False,0,MS4wLjABAAAAKUpDdpuavPzxGI4_4IafdaXlbxnd1HacChTJ01SfTSnMQQS7H7QLLgdqrlnobsUW,False,0,False,meemhaihuoc102,False,1696136206,1696253439
5831,13,26,0,2,2,1,0,0,0,False,7132693773121750017,False,False,False,0,MS4wLjABAAAAguKHX-L6PDU68zxBIp-ykr8N1pzuOPxLZ1n4ZlCl2HfN5i7BENSv56riKzXoJMa4,False,0,False,vu_555,False,1696136206,1696253439
263,546,54,0,746,746,32,0,3,1,False,7140180705732920346,False,False,False,0,MS4wLjABAAAAQzILtuxniYrUq8wtM1Q1HzUsx-1K6CWBdn7SstjheeA541xM-utWwTLuKGjwX82f,False,1,False,huy_yeu_vn,False,1696136206,1696253439
