diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
549,6790,89,0,64200,64200,35,0,0,0,False,7269046993144595461,False,False,False,0,MS4wLjABAAAAWZBwvDoSAUGCirZ36whSe2T3UuVbfKmp7JOgN6RZTeyEYRCYbd-fompO_HaTDCxk,False,0,False,dem_4black,False,1696039533,1696340763
18,2200000,1,0,58900000,58900000,316,0,0,0,False,6808559129864127490,False,False,False,0,MS4wLjABAAAAMrgcrYsPajfpuG4Nkf78pb5IFKzw1i9sxRBejkeKYEXNwjSjf9hIXlMH9VhMkJCX,False,0,False,davidwilliamdw,False,1696039533,1696340763
246,58600,99,0,951300,951300,224,0,0,0,False,6569470386097225730,False,False,False,0,MS4wLjABAAAAALJc_iD2Ch7xWQFGAzMeQi_yBoJ8qsdDgzkKLAGLJTdUxLOyYk4ek8Q_fU--52gG,False,0,True,siamdram,False,1696039533,1696340763
133,247000,99,0,2100000,2100000,55,0,0,0,False,7263837770867033093,False,False,False,0,MS4wLjABAAAArW76o_l9SLHoQExlkN7PioqSjYcP7PRg0bGTMS7rHIQbK5qIJAcEt4oOlpn06K9D,False,0,False,bhumsmart,False,1696039533,1696340763
24700,1775,1927,0,3570,3570,227,0,0,0,False,7148624205037962266,False,False,False,0,MS4wLjABAAAAgtsenSWL47tBqeicjaFblwbruUNx48e4vIsNL0aPnvBffUUva2sVtYRO83ZkVWD8,False,0,False,userq6jf4pa6wy,False,1696039533,1696340763
20600,196600,54,0,693500,693500,314,0,0,0,False,6609437207797219330,False,False,False,0,MS4wLjABAAAAOk4uw-sRx8wsoKoNBI9mwUrnENSr-4pNzwWtH91M99EiATCwLl4TPdaPGTKqhaWV,False,0,False,cat_nnn01,False,1696039533,1696340763
26300,1157,1019,0,360,360,11,0,3,0,False,7120381265840243739,False,False,False,0,MS4wLjABAAAAerxETk7KtBroV5ENzRTP3Cdqa_7tLFtQvCkiFJ7L_R5TME3k2DKPf0ESNN9qMh8r,False,0,False,44.noey.44,False,1696039533,1696340763
9427,693,1514,0,2137,2137,327,0,0,0,False,7097791173951325186,False,False,False,0,MS4wLjABAAAADqXK5ditmAYLUoZxzVxy812yBTsfwzCj-sTdmBzDJmUsvBbWMHM1HEDHnrHGy4rm,False,0,False,irin_thayika,False,1696039533,1696340763
72,10400,16,0,63800,63800,6,0,0,0,False,7280858599429489670,False,False,False,0,MS4wLjABAAAA4CM8q1cga1w4cgsTjnn51DMeEnN2JJRrEQEp-FlkmVKzwexTQ_7zBHENcPdHb17F,False,0,False,m_t.728,False,1696039533,1696340763
856,14600,173,0,73100,73100,5,0,0,0,False,7243005627813987334,False,False,False,0,MS4wLjABAAAAW93Xdu8A0NV-iLZIb8yFIVqlih0jWY3DAZSuhzYcWPUoCjMPd3tDQoApItMYwxaU,False,0,False,lustj8,False,1696039533,1696340763
4977,13100,102,0,460500,460500,376,0,3,0,False,7222493490284971034,False,False,False,0,MS4wLjABAAAAoAVwj089mbpaLMkdTsG7lIADH6r1cgfl8XQ3IzqhfsIB2tn2adtmkRWIws52V61Q,False,0,False,mana23_zazauwu,False,1696039533,1696340763
56,266,55,0,3556,3556,24,0,0,0,False,7153166948317332485,False,False,False,0,MS4wLjABAAAAjFO1lCz7JH9U7Kp9IU1Lq5zue2HfifpwqC35673WVePsh543o-ftWLWuYZ7jWi6T,False,0,False,sara.empire2,False,1696039533,1696340763
72,79,3,0,45,45,4,0,0,0,False,7280521614668055557,False,False,False,0,MS4wLjABAAAA8c6xvYZLQ_niUuKrk4wEJWEWG0zNP04ZLF9wCg3n286s4Kbi4bnr0im4YE--0tRA,False,0,False,ohunty_,False,1696039533,1696340763
5209,658,4910,0,1397,1397,125,0,0,0,False,7262702387714376706,False,False,False,0,MS4wLjABAAAAWkfIa2PwI_KkLnEnoDT51oywUy4AIMcERvOBj56fY7YzrDT74Cmhze07mQUNwrfR,False,0,False,callmax_naja,False,1696039533,1696340763
2129,890100,144,0,35600000,35600000,1400,0,0,0,False,6948689487553053697,False,False,False,0,MS4wLjABAAAAWfKooX_syeiP3dfaR4hJ2UmqXGTE47DMym6emDTyl4ajnKQyR2KUSDAuID7Ql3SU,False,0,False,hisoping,False,1696039533,1696340763
1299,1537,153,0,9113,9113,31,0,0,0,False,6993214603467785218,False,False,False,0,MS4wLjABAAAAcoRjvVhRUfCOD5KmMBfAmDcEAIUJeGhkr41ADLkDU4-VFol2DgB80jmLVKJwm0P2,False,0,False,teeboonyarit3,False,1696039533,1696340763
15900,989,1534,0,1407,1407,161,0,0,0,False,7224061244351923202,False,False,False,0,MS4wLjABAAAAgvxn203BsNReu6ud5OHVCu4DOS-IbNuvE3g-YPCgBGqkJsjWDWo4LPNk-bwiiL78,False,0,False,user4828379429,False,1696039533,1696340763
3029,87,23,0,14,14,8,0,0,0,False,6853634229906572289,False,False,False,0,MS4wLjABAAAABgEoMsylqoalsqoabYpSCWmoJ37cM57GtAtzEjGsYaSAupTZmG72d93ZGgdB7TS9,False,0,False,nontayajapaan,False,1696039533,1696340763
1261,143,687,0,1079,1079,182,0,3,3,False,7051617414261916698,False,False,True,0,MS4wLjABAAAAAt1citsW_m0lXlxtQdgjHWvoedWaGbkuijwcYuMJpYzdq09Z8_qFJc3SK7L1aqc7,True,3,False,august4606,False,1696039533,1696340763
184,1001,1318,0,869,869,109,0,0,0,False,7247150527308809222,False,False,False,0,MS4wLjABAAAAr7BiZ2XjgO5n0H27ZT9UTnddkfz0ptKKzJvjNlgLbDiZGcrx2JCz0xIaY15mUcJW,False,0,False,user7944074745484,False,1696039533,1696340763
