diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
3710,146600,3456,0,627800,627800,106,0,0,0,False,7108892664552506414,False,False,False,0,MS4wLjABAAAABiBH8wYGbPJvnLwFmnrqkLq2qn7PNETlVVtV3Tny6PHrlyhc8CdVDz5o2y2ShLx_,False,0,False,gorilla.puzzler,False,1694424386,1696199876
15200,18300000,975,0,679800000,679800000,3060,0,0,0,False,14561319,False,False,False,0,MS4wLjABAAAA17PuWEUrcyFMZolDictAAzK68iNxvx-DJH4P3urGbm0,False,0,False,austinsprinz,True,1694424386,1696199876
662,19100,458,0,3824,3824,106,0,0,3,False,7266398287053161505,False,False,False,0,MS4wLjABAAAAg6fmTfNnXAf4BoIS8b-nHFlXBacSEafre5VvM7yt5MxxM9wXY4UrWixwHhJbkarL,False,1,False,mrs.goodvibes_,False,1694424386,1696199876
54100,517,154,0,66500,66500,6,0,3,3,False,6728801202986943494,False,False,False,0,MS4wLjABAAAAB6l3e5I0NzxMlGCYdGF5wyc6xkx1SRjbkdMFC-HmBBjT-D8vuswYav7sEbVfxszg,False,3,False,die_eine_aus_tuerkiye53,False,1694424386,1696199876
17500,43200,200,0,174800,174800,10,0,0,0,False,7214212967889077253,False,False,False,0,MS4wLjABAAAAttPtGBdPjH-mjlgqSoyPYX7T6AfYajbQemPDYzU4arzaTMNQJ6RXZwZy0wWM9jRO,False,0,False,live_johnny,False,1694424386,1696199876
184,512,17,0,131,131,4,0,0,0,False,7279459022645150752,False,False,False,0,MS4wLjABAAAAmQbvboY5SWlAfOT015D1R9KW9iJumiRdVBWW4W0y0zOthURxSehMI9PN6WAbBOlm,False,0,False,01dil0n,False,1694424386,1696199876
1317,72,345,0,117,117,7,0,3,1,False,7214893843090031622,False,False,False,0,MS4wLjABAAAAOL8EEUVmYq_iOsGud_92EkaQSNHvT0GeGGfKB8opgSwVafRES-AD0s4HBHS5ezIz,False,1,False,torge.sct_,False,1694424386,1696199876
3653,1125,1642,0,194,194,9,0,0,0,False,6926492303457616897,False,False,False,0,MS4wLjABAAAAh-igB-UvpR7fJwItX0AIoWg_LGPYhrbYYOwgbqw-2Dz6E-eWCLJ8eyCQDllfvjCB,False,0,False,nikotete1,False,1694424386,1696199876
1126,142500,126,0,2100000,2100000,94,0,0,0,False,7097833431879484422,False,False,False,0,MS4wLjABAAAAuiaGqRXPt3T4YUuyfliXUKXgyvdhWGOKCrBk_uoulnIuB3c-xJ7vtpA_7kRp3XLL,False,0,False,noahymoses,False,1694424386,1696199876
5243,19700,1000,0,42700,42700,6,0,0,0,False,7181430830601438214,False,False,False,0,MS4wLjABAAAAN53JY6yY8ao_CmToaCv42bI6G7IwQw5UcJLMpnYgTS_7WRzoH-DzYiaImxpg2yDu,False,0,False,kebabish_1,False,1694424386,1696199876
