diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
59,7,5,0,25,25,5,1,3,3,False,7278720322035516421,False,False,False,0,MS4wLjABAAAAOJf1jkToB0U4bJLuWI_-YX4XMlKur14TKwHlkNPaqv9n026ELM5VLI4ko-0F1VUg,False,3,False,user2525823728003,False,1695578949,1696353640
936,21800,470,0,11000,11000,10,0,0,0,False,7008052797224551429,False,False,False,0,MS4wLjABAAAAbBAuz1bIHL8ejrSsRq-m-YVV5_zoNdRblcmf6PGTTJnq8czLCBBbBrl0eYXyyof8,False,0,False,pbl9,False,1695578949,1696353640
2716,1002,1959,0,240,240,6,0,3,3,False,7009538066491163653,False,False,False,0,MS4wLjABAAAA36jme9slTJvW88Wx7NmOicupj8ydfkcQV3vpDR3RqMLvctsbLJLDDeWuQ19Vzp4O,False,3,False,aishaiym04,False,1695578949,1696353640
288,14000,1278,0,144600,144600,63,0,0,0,False,7200407211108156422,False,False,False,0,MS4wLjABAAAA5fsH_FDDPZBEYjEZd1I5Lk7flWzdymQPZcuJAr1M864ZLM_szDfwf9nz_vxctoVo,False,0,False,nnnikahoma,False,1695578949,1696353640
3972,76200,454,0,194100,194100,36,0,0,0,False,7046679953341580314,False,True,False,0,MS4wLjABAAAAnV593UArLVgeDRncAWeFURNxXksOwLqXW0eCh5MN7jcaCgg5lJQ5phNoW6OfmyRo,False,0,False,yulyulyatim,False,1695578949,1696353640
124,26400,384,0,50800,50800,3,0,0,0,False,7221565359856796674,False,False,False,0,7285853190648843015,MS4wLjABAAAAuKvVA6KdF08CoM9SXsSYqu3u8UqES4hxJlY2Du0TU_Pfo2W__8OZnFCX5QcsvFAy,False,0,False,unneisanyurushite,False,1695578949,1696353640
3502,19300,121,0,309000,309000,188,0,0,0,False,6803233032747123717,False,False,False,0,MS4wLjABAAAAjBgQMWODbgkC-K_QZn9NXxiCoZ-YzNUbn-K-Zhdak5qllcOODrTN3Ts1X5B19dJ4,False,0,False,adilet.daniarovich99,False,1695578949,1696353640
933,1300000,15,0,34200000,34200000,289,0,0,0,False,7073333907819004930,False,False,False,0,MS4wLjABAAAAWLbVQih-yQJ452Z9zhX_pclddd-q7YyQgg3KqhdU-Apw1DPObR3xKpa3XUnvzbVP,False,1,False,lmusic_edits,False,1695578949,1696353640
540,222000,16,0,3800000,3800000,97,0,0,0,False,7268637160768144390,False,False,False,0,MS4wLjABAAAAqsXiyyzxin53ncUCTaXDcFAITTzAQSrt71E1gIpe2VAzCKYIA4kplOi9qVjuh_I1,False,0,False,lx.nxti,False,1695578949,1696353640
142,42,88,0,45,45,4,0,3,3,False,6602136211958153221,False,False,True,0,MS4wLjABAAAAeGIlrMV4ffXbjaPCfFMgDtJTFz1IxeIk73lSsw9tidqMPaoQPR5NJaOy9mG9YQgK,True,3,False,medina_051021,False,1695578949,1696353640
25600,79,256,0,93,93,7,0,3,3,False,6870412638469440514,False,True,True,0,MS4wLjABAAAAHaeYXIavgctf6cxmfPFd-b1oJpTK0KpjWRLvntaZgwhcm-Xs15D4GHIzFwU1fxQj,True,3,False,aviotsos,False,1695578949,1696353640
1273,204,66,0,710,710,6,0,3,3,False,6704886265462670342,False,False,False,0,MS4wLjABAAAA1_8DFbJ1kMBYeHk1gNFjzXdTT-AXX92VBLaevrJ1W9MZzx8vSSo7zM9zqke5n6ub,False,3,False,aithegin,False,1695578949,1696353640
7328,320200,499,0,4800000,4800000,423,0,0,0,False,7065852550583026693,False,False,False,0,MS4wLjABAAAA0MAChGryQFioZAwDdjJby1oK5LDjnyKbsZzbkYWO3oxkR6M7UwUYnHBDXwirK_i5,False,0,False,imluvmusic,False,1695578949,1696353640
2222,469700,19,0,8400000,8400000,991,0,0,0,False,7152494037060011054,False,True,False,0,MS4wLjABAAAAo8Fc_XEPyATWGz8lDkGRBdYjO8o7-8WQTZWsosf_nRW2xeULkmjrlkG9Tr7-5hNO,False,0,False,funnyduesvip,False,1695578949,1696353640
239,6554,2876,0,2343,2343,30,0,0,0,False,7281202433946010630,False,False,False,0,MS4wLjABAAAAV-iTvLnLqD5_PRZbcz7E0n9avMkxwuHLsJO0zAljep3av5CRg_qIr3ChdzVerM81,False,0,False,anarka97.00,False,1695578949,1696353640
255,7908,282,0,644,644,29,0,0,0,False,7194621325276988443,False,False,False,0,MS4wLjABAAAAd3LpagWxztLWy_TBhOEMuvR55_iKXgvWtCHQ3NcYkBZ3f_zfhJ4rkKg9T0z-DqeL,False,0,False,just848evo,False,1695578949,1696353640
783,121900,20,0,236400,236400,209,0,3,0,False,6880676209039311873,False,False,False,0,MS4wLjABAAAA_UTHsRT_paHtHMiYOKgg50NVBBE8v9ImRok9-Ar-uyPYiEBUFFBFSBWeFEgn6ecS,False,0,False,colortwerk,False,1695578949,1696353640
2,206400,21,0,2598,2598,0,0,0,0,False,6867826103605888005,False,False,False,0,7285860393631746858,MS4wLjABAAAAVI-ZQUJfL5AV2McFifSDbqyp3HkMOdVdhD-00ljWrbWdOISb7Rl6ausc_baVZSKt,False,0,False,beest_king,False,1695578949,1696353640
