diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
1436,23000,196,0,65200,65200,185,0,0,0,False,7227401139201115178,False,False,False,0,MS4wLjABAAAAjZJsiFp5VugQ60veubEW4dynzAjdLqkp_7aQnOR5j7rowPjiLe_-yUK0HLXHIZ5T,False,0,False,curryisthegoat10,False,1695602951,1696342810
5148,217800,20,0,5600000,5600000,43,0,0,0,False,7257490316222530565,False,False,False,0,MS4wLjABAAAADEMYDMkCZkZFoWYn8zkdFACdTsQjOuEQaWHsEnskvKR6rnAYinKn3g_ZeWFkuz1T,False,0,False,nanayandclaro,False,1695602951,1696342810
1326,37100,66,0,224500,224500,54,0,0,0,False,7190380513822327814,False,False,False,0,MS4wLjABAAAATizs6cbbK5bKD0CZC_229uGuy9YM73jcoIvcJs4bSP7mryvO13iu1EdZEVpv6ibR,False,0,False,sykofn_,False,1695602951,1696342810
0,6827,0,0,45000,45000,10,0,0,0,False,7284589281182630918,False,False,False,0,MS4wLjABAAAAIyXeE1bEt1LAdj2UWFnEJ0Ne99T5wAnKCaslfoiSZ4EkWKeSV8IYFYYFBe-CtUz4,False,0,False,saenjrqje3y,False,1695602951,1696342810
158,462,1216,0,559,559,32,0,0,0,False,7229313017606046726,False,False,False,0,MS4wLjABAAAAZWSN6DFat_mTgZAhwuFEfb8kM3XfliVEZEQbZKVQs5tdIcG6VgN_ksPXiR-FXCTq,False,0,False,pet_lover,False,1695602951,1696342810
203,53600,461,0,750200,750200,339,0,0,0,False,6990629106410210309,False,False,False,0,MS4wLjABAAAAIyMsU2YhitWWsvertGnVBCEQv28Q0x-o4OwVX3h6XS4-BNij465MQ1pW_IPnmQXk,False,0,False,sende.shop,False,1695602951,1696342810
350,3,20,0,0,0,0,0,0,0,False,7284134684627567621,False,False,False,0,MS4wLjABAAAAayzSG6o647Tq0S3EUuvRvPA6IK3iZBBADalrQRaU8nxD-LTsUm0-MemvhWuClpXY,False,0,False,nicole_xfqt,False,1695602951,1696342810
1,39900,471,0,115100,115100,14,0,0,0,False,7177435536796599301,False,False,False,0,MS4wLjABAAAA_9sKsdJEV8WahifupnMiyzenSDxaFhFoFsN42UYQjMnnlsyj8DmZ4km_TA0im3Mu,False,0,False,supra_clan_for_life,False,1695602951,1696342810
288,32600,186,0,9600000,9600000,91,0,0,0,False,6815265976062886917,False,False,False,0,MS4wLjABAAAABNtFEHsX7xzralKwYCrf2VfoAxb3NY1pHNM_QF7FYkJmGUREN88XuOPv6uCVcJfk,False,0,False,hollywoodtakeee,False,1695602951,1696342810
2306,22,431,0,16,16,0,0,3,3,False,6904565200655270914,False,False,True,0,MS4wLjABAAAAXSWOIWVqhm3Dxwso8eMwayOwPEZb98Ta12sv1ED4oaq3JY73pcMCfoF6eWbM7NZR,True,3,False,titianqalbumudav,False,1695602951,1696342810
5,2100000,0,0,33700000,33700000,504,0,0,0,False,7237085929213772846,False,False,False,0,MS4wLjABAAAAGGay1K4BqAqljiTEAwaM6K-C4wwYk651sJeu1B7hzOMSXYjAwnfN67CPcGdVKnmI,False,0,False,defuqboomofficial,False,1695602951,1696342810
10800,67500,37,0,4500000,4500000,149,0,3,3,False,7230118127047476250,False,False,False,0,MS4wLjABAAAADnR9MyXfP7cCa2jKetYUc32NsX1SeBGhFf3CL6JSGI6jSlbb6pVcRT9qjwQAL2LX,False,3,False,.shaun07,False,1695602951,1696342810
115,4,15,0,0,0,0,0,0,0,False,6733735628791628802,False,False,False,0,MS4wLjABAAAAI3sjovDf0NsJrpX0dL2HAT9C0DzZOSPqyCxkJhBlN4v17SG0VuwJTx90Egr5eZf1,False,0,False,akotoggagq7,False,1695602951,1696342810
5,33,12,0,0,0,0,0,0,0,False,6898537275392410625,False,False,False,0,MS4wLjABAAAA5rWLbjiqPRO_klQ4Eq0CqFkOqANYWf-Hevt2yjfckeAPExXEx5xGMtNfo_gNAPiu,False,0,False,rosaliedimafelix,False,1695602951,1696342810
7,20,104,0,2,2,3,0,3,3,False,7281294740984382469,False,False,True,0,MS4wLjABAAAAtpg0BgvY4lXOVyBqYZbe4K0955MI6AVEpNei21kSsRwAFYwwt6DvpqxEg7Upxzjo,True,3,False,rene.jun.balajadia,False,1695602951,1696342810
157,14200,2,0,210500,210500,73,0,0,0,False,7270707061066073094,False,False,False,0,MS4wLjABAAAA3eDmsx-pX4SSeiJLdpLYPy2T3iFlPxqPzMIpwV2IDEYNNWhPiJvNzhqpW5lpAQ87,False,0,False,sadrovic28,False,1695602951,1696342810
8250,461900,32,0,4700000,4700000,136,0,0,0,False,7145508866297218054,False,False,False,0,MS4wLjABAAAA1mFA50umP-8u-KLrF139bj5BjGw5jlZjjRP6qBPqh-SsB4qfcjh0G0JRoG-bGeu0,False,0,False,sanee..m..xr,False,1695602951,1696342810
24900,87400,723,0,891900,891900,95,0,0,3,False,6938046876986475521,False,False,False,0,MS4wLjABAAAAJIhnd4GubWt7oJtmgpMrUBwi7CMsorsXAOAWd4liz-Vsy94TSLfSYjK1t5S_3MYE,False,3,False,aichef22,False,1695602951,1696342810
50100,21100,10000,0,60900,60900,54,0,0,0,False,7117548563929252870,False,False,False,0,MS4wLjABAAAAfJu4cuONhQxI9xVeoKadDwjcnActOxDGa0Pt-VAOf0uPpHdYwj-Q8ysx1uWpL8QB,False,0,False,cars_hub_121,False,1695602951,1696342810
53,1010,1155,0,43,43,4,0,0,0,False,6843266607075787781,False,False,False,0,MS4wLjABAAAAFmYVKL2orpA8sp3UnySXnmSgtYrL5XbbMKNEE4FPaDYbNjUTPc4-ROtergKnGlrp,False,0,False,user2989273966562,False,1695602951,1696342810
3641,214,1668,0,1304,1304,417,0,3,3,False,6979251388295791617,False,True,False,0,MS4wLjABAAAAuEtukB1xYSijWc5ISIWAYUjqr5nuCTzctVSUJ8vQX-qPVla67bxL9oeNq2fjYfxT,False,3,False,akoyungbffniaby,False,1695602951,1696342810
28100,122700,141,0,3400000,3400000,130,0,0,0,False,6977083045749294085,False,True,False,0,MS4wLjABAAAAd13yzh533JDHngv4FkgQzxFeluiCUnEGrpbzuAfQ1Ce_Ykx6ChShwSzYq0dM1a78,False,0,False,actlikemillionaire,False,1695602951,1696342810
1591,144,505,0,154,154,6,0,3,3,False,6879266032201597954,False,False,False,0,MS4wLjABAAAAn4lN2QKdv-VWybl9qal5x4tLw0tonzWDzcuZbUBWq8AzNeo2gux8TzmGYYogX8Zs,False,3,False,eumeeii,False,1695602951,1696342810
3381,4724,143,0,7850,7850,20,0,0,0,False,7006257174746268673,False,False,False,0,MS4wLjABAAAAqyGTY5kxYVnPv8n-bLUydwOsHs_-mmj8YORnaly8MDFVrev-hC2w3Bb_RY5b9A-8,False,0,False,izumi_kabog,False,1695602951,1696342810
0,39700,0,0,731600,731600,174,0,0,0,False,7256204995221537838,False,False,False,0,MS4wLjABAAAA_vF4S9zc-ZHONq5_1pVwqS7RXS7-rDTuhP1amKxndW-14dp2dKkTp5JHTTiE2pNk,False,0,False,winterkloudzoffcial,False,1695602951,1696342810
1762,309000,12,0,2000000,2000000,188,0,0,0,False,7193685071064318982,False,False,False,0,MS4wLjABAAAAWh7wueAXaDHfINN-XU01BmNDz35keZiIK_XZtXsxpYzgKE5sPPGZbcuFPgCnfM5N,False,0,False,vezeniux,False,1695602951,1696342810
1,10300,18,0,2049,2049,7,0,0,0,False,7271619582141563910,False,False,False,0,MS4wLjABAAAAwkUBac4DR1d_nqbMG_xSYzEMe9hzd2IS75T44Bp23Ib9oz7pXz8obsP2I4DioKch,False,0,False,mukaz.channel,False,1695602951,1696342810
1688,655200,10,0,27600000,27600000,793,0,0,0,False,7194622235159364613,False,False,False,0,MS4wLjABAAAAWcSMaBB8eJxebKAEIlmhCpWq0jgTWGzCyMUBMs8l9Jl21vmDUIuFdfgk3ds6RF3Y,False,0,False,conqressesquotes,False,1695602951,1696342810
12100,34200,4446,0,133900,133900,104,0,0,0,False,7174749642436068357,False,False,False,0,MS4wLjABAAAA6isrzKZ_27AxQylyu1MM_0VYZolJESyhqavVgUea6OY0KVOLlvWVV8bmLf64NS7D,False,0,False,onlyfilip333,False,1695602951,1696342810
1119,106000,128,0,377100,377100,124,0,0,0,False,7248762006973547525,False,False,False,0,MS4wLjABAAAAB4A5Gg6g7bCNwcXx302Ii2u4jU1Wxy5k8Fl8gYwsxoJsNe856IRKw0uYq3LK-Iiz,False,0,False,football.14140,False,1695602951,1696342810
2004,62400,724,0,136900,136900,37,0,0,0,False,7175597859923067910,False,False,False,0,MS4wLjABAAAAJ7vbziV2IrfltBSXYaNPDsHecNQN2lyNcg6KOELBoRKZY4zmgJxdATf90dc1BMGe,False,0,False,matgamingyt5,False,1695120342,1695601702
0,606,0,0,36000,36000,94,0,0,0,False,7260488552236221483,False,False,False,0,MS4wLjABAAAAKHD-HZq6xK7soDDjWZKFl4NgsagRT-5mQaQ6MH2IW4gZpPqYbO80XHvgudfypZ3Y,False,0,False,maliquelov_tshirts.style,False,1695120342,1695601702
18000,218800,432,0,835900,835900,78,0,3,1,False,7166200510781228037,False,False,False,0,MS4wLjABAAAAR4Jtvun37H3FHh5UisBaLNqRVp0xsXcQkUSTKXiSroP_NWjJcdPii102vhcN_bhI,False,1,False,lefstefanidis,False,1695120342,1695601702
0,22,1,0,3,3,1,0,0,0,False,7282323327111300102,False,False,False,0,MS4wLjABAAAAKX5J6joWsIUl9wzpI5sHWMlj56sFhxFF0NK6BwL25LLHkChFcvbKd4wts6DL4xAE,False,0,False,missdiane0724,False,1695120342,1695601702
4844,37600,535,0,102200,102200,28,0,0,0,False,7120041766745375750,False,False,False,0,MS4wLjABAAAAdVzlgQKlUcMuf0wExghf2p1KjalDTB7fo8ObPGX9_ZxTWVSMBKjL5HzNaPVYuqr4,False,0,False,dora_73638,False,1695120342,1695601702
82,20900,2,0,118100,118100,37,0,0,0,False,7271905162556490758,False,False,False,0,MS4wLjABAAAAQ7QIsRdkjbNbLZWzKbfRAJT61QTN5Ml322vMtiCqj6DxhtiSiIa9_hulFmIM9-H4,False,0,False,tiktok_time561,False,1695120342,1695601702
8269,10400,1268,0,24100,24100,52,0,0,0,False,7003046756783277062,False,False,False,0,MS4wLjABAAAARqNAUm1I2lblD283GJOTJItnFCd0WaGQS0q1iguqwLxK5j1TJ5b0v43J_JdAPU-W,False,0,False,felix240810,False,1695120342,1695601702
14800,12600,1529,0,36400,36400,124,0,0,0,False,7115616054910796843,False,False,False,0,MS4wLjABAAAAIXeXhE11k-vRpowwWUqxEW0dyHCQhMjhS1yF8n54byhItLKUhtbz77NZDinVtxwo,False,0,False,randomthingsipost00,False,1695120342,1695601702
33700,282300,339,0,1500000,1500000,214,0,0,0,False,7185681764315251717,False,False,False,0,MS4wLjABAAAAZ6T182xrlxK_3AybFLyLx16CY0qDYspk4O95y2G3ZNUc8YyNdNUlLvrvnt-Yh87U,False,0,False,notificationking.23,False,1695120342,1695601702
202,117800,1,0,570400,570400,122,0,0,0,False,7263819044363961376,False,False,False,0,MS4wLjABAAAAugP8ZOKD3ffObhAvRmxEu0768yDsfKx-UW_9h1cPuWrdgW_4gLAwJi4CyFemBamj,False,0,False,jedinhos,False,1695120342,1695601702
