diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
244,21600,472,0,2174,2174,78,0,0,0,False,7098946131100451886,False,False,False,0,MS4wLjABAAAA-nHbstZl6cBZE3wcIOeYtR8nw6GRCb6B4fSueMOeg5rip3wAFckSvKhFsmkbD5TR,False,0,False,gamehuang8,False,1670710349,1694526440
19900,104200,133,0,541300,541300,234,0,3,0,False,6769085517298025478,False,False,False,0,7285847103434148650,MS4wLjABAAAA3Q-zTip9NhlOWYOzXvuuKr9pkX8oeDpdap3WoDHou9fi5ip32I5uP7EdMy9Sb7BY,False,0,False,xnemmy,False,1670710349,1694526440
7375,34300,234,0,1400000,1400000,180,0,0,0,False,6842115712875004934,False,False,False,0,MS4wLjABAAAAQlvQzGENAMXlmQDge6ltYIwbKmAJE_LtURKhpvCpn14HJ2KhL7HQ_1gGB0mPBucS,False,0,False,der.filialleiter,False,1670710349,1694526440
20500,977400,368,0,29800000,29800000,333,0,0,0,False,6844918158916617222,False,False,False,0,MS4wLjABAAAABtiL44ByoVOOQEZiQt74ajfNtpBisCdsEjAe-uADDmy1CHXgS2ZGZuIYNba4nuut,False,0,False,bluebrywow,False,1670710349,1694526440
0,5700000,0,0,0,0,0,0,0,0,False,6811587570910020614,False,False,False,0,MS4wLjABAAAAzopKNa0FjW96udI0yxTGC6fkag5kC2d5uK8TGd5DeTkJlSXVJoYtEt6OEcTwH2WW,False,0,False,eminem,True,1670710349,1694526440
146,14300000,1,0,158300000,158300000,293,0,0,0,False,173245838817808384,False,False,False,0,MS4wLjABAAAAW-m9le-3IwWQcihDj2Io53yCuEgz0wb1Np_JY3chG8vAsK_fzWmK2NWaz1nzttoD,False,0,False,edsheeran,True,1670710349,1694526440
1881,4800000,97,0,41800000,41800000,247,0,0,0,False,6568197169789288453,False,False,False,0,MS4wLjABAAAAGGBkVYif3id4ryQnuYlTcSz1EBvfvi5HIdbnQvpNzxBsoBleGqtC5KHXdit7K1FZ,False,0,False,egorik_shkred,True,1670710349,1694526440
11300,4400000,189,0,96300000,96300000,1116,0,0,0,False,62273183000,False,False,False,0,MS4wLjABAAAA-PT7qZTzW22jqHvUoN7rexoOA9zjOTFXP_scIyU1SJ0,False,0,False,anunukr,True,1670710349,1694526440
137300,4300000,657,0,53000000,53000000,1819,0,0,0,False,6516502238452519936,False,False,False,0,MS4wLjABAAAAPxcd0y9Zf8aHb-28lxYVqwc9xLGxAGBE-kf9NoqfExDV2aje_SO9OPaQiEy3lpoK,False,0,False,evgeniyalvovna,True,1670710349,1694526440
126200,3500000,1173,0,135800000,135800000,1135,0,0,0,False,6669507295225888773,False,False,False,0,MS4wLjABAAAAdRMQA4Q05NFhmj9RXLOtdxWvJu9_YbuGirV5mNkP0fSxtPjuKxt7U0A5QmoqZYEB,False,0,False,evacudmore,True,1670710349,1694526440
3969,1400000,99,0,2800000,2800000,427,0,0,0,False,6522972672585007105,False,False,False,0,MS4wLjABAAAAVHw51991MIgJfJxk8yTpAW3RT16Fy_ZnjaAorp8tLQWzHCG-7v8VkZmH0eBaE7lU,False,0,False,wincychua_,True,1670710349,1694526440
879,2500000,18,0,27300000,27300000,1107,0,0,0,False,6802906652767470598,False,False,False,0,MS4wLjABAAAA_BOQ4BKqT-RVyQiRxpOBQDXAwR5SC8Af5SQ4_L9uBdGjHcFmSZqU2eK9yb_Wgvfw,False,0,False,wydadseri,True,1670710349,1694526440
1719,36200000,5,0,430000000,430000000,259,0,0,0,False,106241438295736320,False,False,False,0,MS4wLjABAAAAQyz6nUiOMwBFRsp1pP53DNaSLsK1tBZb0L6aryILC2VQ8ppuDjVxBQfBIALq0Hdl,False,0,False,qpark,True,1670710349,1694526440
1956,92400,1707,0,8659,8659,50,0,0,0,False,6932226017272792066,False,False,False,0,MS4wLjABAAAAmMRSL8z_8wHdjcXLAGkcAn_lSzQCy1AJ_JTLjHQwEapOlUz1KD52LMiuNH1p4pYY,False,0,False,jesterq8_tv,False,1670710349,1694526440
5305,77400000,345,0,4800000000,520700000,2570,0,0,0,False,6596805238354558982,False,False,False,0,MS4wLjABAAAAY6j4BdlFScAP6iPRgfQ2WF6bjdxYyD9T41CmjSHql12E5p1nvXHkIlB7AaIw9NSy,False,0,False,kimberly.loaiza,True,1670710349,1694526440
6628,161900000,79,0,2400000000,0,1139,0,0,0,False,127905465618821121,False,False,False,0,MS4wLjABAAAAwAg0rSzO65WQfz4RzQgGv2Xdv108BgPXhRrrmNVIHQZ9PO8-flwwRtEppYTS0OjA,False,0,False,khaby.lame,True,1670710349,1694526440
14000,88400000,2554,0,5800000000,1500000000,1768,0,0,0,False,6703550784929793030,False,False,False,0,MS4wLjABAAAAVjQK614JSGmZVT3EVAiSDfznaBJOVfWPrtqDsQ9YxU368ewQrTyyEOb3OtJb4xCI,False,0,False,addisonre,True,1670710349,1694526440
49800,56900000,1993,0,3300000000,0,794,0,0,0,False,6539853526925841423,False,False,False,0,MS4wLjABAAAAiGb8Q0kNIr7hAamylsgJcqAFs7OUVuhBY6NCpHt6ujbxheY7Y0Hpc15V6mgUxjaN,False,0,False,dixiedamelio,True,1670710349,1694526440
29900,69100000,186,0,4300000000,0,1926,0,0,0,False,131039763028930560,False,False,False,0,MS4wLjABAAAA7jHC7OCxClWUxzdruWBebQ78trnI73n-F3DUf0vLr30vbU_qv0U0kG525TTczkR1,False,0,False,domelipa,True,1670710349,1694526440
9735,92900000,613,0,2300000000,0,617,0,0,0,False,6748458643983238149,False,False,False,0,MS4wLjABAAAAIQGNoHByQvokcLbWCGnIfas0OV2nctsZnRFbN7eB04xt-9usrHe3UvXJRZLxBWlJ,False,0,False,bellapoarch,True,1670710349,1694526440
414,79100000,106,0,1100000000,1100000000,429,0,0,0,False,68616495085350913,False,False,False,0,MS4wLjABAAAANnzJ9pdfxtlf3m5Ku_M-rCXVitJC13w4GavqyUD3RE8h1cZ-7O9FT-uQ9rCJjU_E,False,0,False,zachking,True,1670710349,1694526440
1571,75100000,578,0,307100000,307100000,790,0,0,0,False,107955,False,False,False,0,MS4wLjABAAAAv7iSuuXDJGDvJkmH_vz1qkDZYo1apxgzaxdBSeIuPiM,False,0,False,tiktok,True,1670710349,1694526440
108,3,20,0,0,0,0,0,0,0,False,7020429548715115525,False,False,False,0,MS4wLjABAAAA5lDWh3uzeKI4cMR_U9MxrXmPiZWNmR0o0NPOcAW7gf2HPw2sy13mZht8DcbohCcg,False,0,False,toilettensalat,False,1670710349,1694526440
755,6900000,0,0,85800000,85800000,137,0,0,0,False,6936880237864518661,False,False,False,0,MS4wLjABAAAASZpk6sU2koGzJKKlSVgUMChtGhZVmJfvrElyKocjxmgoHMH25S2ucGcTiqnQ2zEa,False,0,False,therealmaneskin,True,1670710349,1694526440
