diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
3359,10800,2948,0,0,0,0,0,3,3,False,6930248347937178630,False,False,True,0,MS4wLjABAAAAv1YyYCLbEmNr6SMPE3mqeyblreArU5j3upMxF86Jo6RcVO-IchzRiJi4689Pr3Hb,True,3,False,kamilapotepa,False,1695825335,1696359975
11700,2053,3223,0,11600,11600,118,0,3,1,False,6779276646354502661,False,False,False,0,MS4wLjABAAAAwchM-zRsEUqS_Qg1g2jt_EfEyCTnTN0E3l4m0vLV0aFil0Ueb87Boz0kjEWWGN5s,False,1,False,czarnula0405,False,1695825335,1696359975
6448,76,1004,0,203,203,15,0,0,0,False,7112100807730152454,False,False,False,0,MS4wLjABAAAAg-jDvIUT02nRVhdXYS_wpBPd5V62ClpM3-lFl9Jc7vXfxm4_M-VQ1CsuMRvoKDj0,False,0,False,aniajaworska833,False,1695825335,1696359975
117,51,110,0,69,69,9,0,0,0,False,7238853262177616923,False,False,False,0,MS4wLjABAAAAjKuSmM0MbZWfb0HHOlPLwtY5YeVhXVRDPIav8AS8EjOPQziU7UPJgjFFTHrCkvQ-,False,0,False,smokara_blanusia,False,1695825335,1696359975
241,58,104,0,491,491,36,0,0,0,False,6642761124125573125,False,False,False,0,MS4wLjABAAAAAbCiqBMWYi86QMYLZaZ-bZ4hwiliND411sQzDuVeofIeXJuKxNmhXTEUxehuvcSN,False,0,False,dy7fwhy8yx46,False,1695825335,1696359975
6924,5125,9827,0,1252,1252,9,0,0,0,False,7136464963116319749,False,False,False,0,MS4wLjABAAAARxB2VC3lQgKEpVIdQFR54dP005aRuO1VHJrRGeX693Ja9nicB2CAdWgu-AIWsCS1,False,3,False,krzysiekmarcin447,False,1695825335,1696359975
315,1086,1829,0,172,172,3,0,0,0,False,7103396731223852034,False,False,False,0,MS4wLjABAAAAFhUME-DeWKuolBztSX5hX6wEon6ZmmCz3sYULV2QlxjGg46FZH_sbvrphoKeiELp,False,0,False,_hexagon_dondiablo_,False,1695825335,1696359975
6988,1101,461,0,659,659,4,0,0,0,False,7051230545162830854,False,False,False,0,MS4wLjABAAAAoAhfQWFoJz04x7Csa7rt0DAM-WWHQ5w8SQWo1i9b7XSmfJ3Nm4wnXLaponf1n689,False,0,False,lauraqxv0,False,1695825335,1696359975
361,2088,2505,0,136,136,6,0,0,0,False,7282002338729608224,False,False,False,0,MS4wLjABAAAAPAQePqzcyGrDR6iYQlVw7i35RwTxju_xjTsIatM_91lqYPdlCjLKuJSgrzmsp4LR,False,0,False,wm45705,False,1695825335,1696359975
6,130,447,0,27,27,3,0,0,0,False,7281284147397690401,False,False,False,0,MS4wLjABAAAAeozCQW_rfHaeNtutof11nzcdMHRP8MGfXgmdG3YN1lJE9B8SHKpjoP9agN48Ki2b,False,0,False,kocur2116,False,1695825335,1696359975
663,611,991,0,1037,1037,41,0,0,0,False,7259080553516041243,False,False,False,0,MS4wLjABAAAAmu2KeHQMqP5SH9rodauQGTLwid6mOZTZFrGvdDVvDa2UyMgYkB-EKdCSF02gNPdt,False,0,False,lokalna.dziewczyn8,False,1695825335,1696359975
8486,2182,7515,0,3563,3563,51,0,0,1,False,6997815914385130502,False,False,False,0,MS4wLjABAAAAplNwy0gzIuVt60HSOKKYetzfW-ns1j8EB-pt9oDpplkDn4MgCrj2ONs6Zqa_ShTs,False,0,False,dam.janek,False,1695825335,1696359975
583,980,1100,0,198,198,16,0,0,0,False,6805103523261465605,False,False,False,0,MS4wLjABAAAASYDdX1CElh1JWyoaDVwLuOFPPzcQwKhNtkPDlqNazVkGt_zZMuOJgk78MVrGq9Za,False,0,False,mtb_20556,False,1695825335,1696359975
2112,977,979,0,1860,1860,119,0,0,0,False,7203372898076148742,False,False,False,0,MS4wLjABAAAA0VUjRnLS1muTa4xIL9BcVwNRLeOBOvjS2sbiK3PIl9qiiW3nOVCCUQJiEed3mUBx,False,0,False,ktos_napewno_okk3,False,1695825335,1696359975
32300,24100,582,0,29300,29300,291,0,3,3,False,7059137619028362245,False,False,False,0,MS4wLjABAAAAepAt2-3AN1fs1Q4GAJNnFV3QIriS1vhYsoTuSBJJnry5WPVh-Jl4kmbGp6WlX-f8,False,0,False,professorlovesbalancing,False,1695825335,1696359975
142,1014,9,0,402,402,10,0,0,0,False,7283870031103755296,False,False,False,0,MS4wLjABAAAAAA9q19_8kxNTe7WwFOvH4uTtBZ0FVqxrH7xidjTopbc2AvniBptbj9YjaJR4lEl5,False,0,False,zbyszekkucharski468,False,1695825335,1696359975
3405,1259,2729,0,732,732,63,0,3,3,False,6986566074532791301,False,False,True,0,MS4wLjABAAAA6VzVJB64nJuBMZJUmF4UG9oDuhUOtRg7__12GIIgZcHDQT-QTEyThqyaMSktgK-R,True,3,False,ksiazkara_i_koniara,False,1695825335,1696359975
238,718,690,0,611,611,44,0,0,0,False,7255318836123403291,False,False,False,0,MS4wLjABAAAA6YUU9Xs3ojkYsSptl9cSgJ4fKn-JQUzMrIYnvpBSDZSdWc26XMUK0bZl4oQBjTb8,False,0,False,kaz123.jaktamelo,False,1695825335,1696359975
664,1184,4676,0,608,608,31,0,0,0,False,7207509742046970885,False,False,False,0,MS4wLjABAAAAgzehjAUF1h9UskJIccUwbR5qpSIsSKnFDpHB6MmmXXBxlAukCP-YSYCMIVJUpltZ,False,0,False,zuzi.12._.34,False,1695825335,1696359975
1800,5326,5945,0,6545,6545,21,0,0,0,False,7080625855093326853,False,False,False,0,MS4wLjABAAAA8j-UyV3Kgx6Lbq0Dzrc9tJ_nBsabjFRvBXK4o6SMDpiPvXxZSpZV0hEDj2BxmyUZ,False,0,False,niepodroznik,False,1695825335,1696359975
376,454,457,0,274,274,15,0,0,0,False,7172244986188448773,False,False,False,0,MS4wLjABAAAAa9R8J2y8R6mu1I8-vNKcfZPlBQPTAlvxBxeXZemocb54iAGLy-QiyzgmLNGcnWEh,False,0,False,niejestemplankton,False,1695825335,1696359975
1336,159,327,0,24,24,1,0,0,0,False,7063063380739064838,False,False,False,0,MS4wLjABAAAA0v3PlfH4agZFt5QUh8juot2FlSboIDqXGVJfTqj4yC6wbMiuiy5N8PJKW9xF8BOK,False,0,False,wernon123,False,1695825335,1696359975
