diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
829,2041,2266,0,1700,1700,26,0,0,0,False,7279876233968993286,False,False,False,0,MS4wLjABAAAAjDtTpN5qdaX_XA1-Zq-DnlXjD34l6LaCWrIhbB-ws3xFFSaKn-VkCEhvonsEj_Dm,False,0,False,jhozii.o,False,1693835697,1695731498
2054,837,4,0,4578,4578,201,0,0,0,False,7243895377303274539,False,False,False,0,MS4wLjABAAAAmfc-N9dTNhixyD5OgY9FboJv0zHJUkzvJuru3H7hiGSIsEpFvcbKqVmlhxdbM4qU,False,0,False,duck_king_the5,False,1693835697,1695731498
54,14000,9961,0,321,321,3,0,0,0,False,7035156886996599813,False,False,False,0,MS4wLjABAAAAsnl416OCJRJ7-LXSbV9tSKGAoo_xE2X6447G3ytjUyt4lXznQZNLZo4FdFwQ-rEH,False,0,False,yianus10,False,1693835697,1695731498
6124,4383,7338,0,4742,4742,88,0,0,0,False,7004530880815399941,False,False,False,0,MS4wLjABAAAAlVd37z0SuNqMjYRvxQeD5veg26zh0oiI-nkC7Ymrm8WkKlvxj51rwn5ziIrhpUdB,False,0,False,jhozii0,False,1693835697,1695731498
4116,28,274,0,26,26,5,0,0,0,False,7148223892700054571,False,False,False,0,MS4wLjABAAAAGcuvEWgD-ZlW14NooWUT-ygcBQpt1iJnSQ388YvlV7HDj8tpF-LNCKBurM6qnTnP,False,0,False,anderson86804,False,1693835697,1695731498
418,21,270,0,43,43,21,0,0,0,False,7133656088522458158,False,False,False,0,MS4wLjABAAAALWHUu4_FmOiSGALY_If_96EsBqVZbCBXNUEwjIxMOg4HRgGBAnrxxbyQnAinaBYo,False,0,False,naruto_boi7,False,1693835697,1695731498
9244,43,831,0,6,6,1,0,0,0,False,7028348614057640965,False,False,False,0,MS4wLjABAAAAsQT7sogjTSF6l7pPkCNvvu1noUmXc4dJoMXKAb0Nj61cXqs_07EHIPqK0hFTCTAs,False,0,False,kariwakefield905,False,1693835697,1695731498
1616,67,927,0,0,0,0,0,0,0,False,7205055187719521326,False,False,False,0,MS4wLjABAAAAgGHDxBc8yJmWwr4SI0Q5obbohyPOubxHjEuW0105v7NIoc8l7DYVBY91qkj-7Sq2,False,0,False,matteo.zambrano,False,1693835697,1695731498
2,4693,1,0,0,0,1,0,0,0,False,7278317940723254318,False,False,False,0,MS4wLjABAAAAfDzAnFwGmnrQ-wa3UOlcQga-rxF3LZ3aAQjxK7vZ9Stwu6xbiNqOo48bSzyi-x5s,False,0,False,originebrazil,False,1693835697,1695731498
353,15100,39,0,81200,81200,198,0,0,0,False,7173345061299110918,False,False,False,0,MS4wLjABAAAABMSOKKpMKImWz30L4Gtz6Wppx9oDUOhCHs9qvGK4O_SijRXoQW6FOAgedoFlKQZz,False,0,False,quiero.chamba00,False,1693835697,1695731498
8,2607,7578,0,36,36,1,0,0,0,False,7089543439075607557,False,False,False,0,MS4wLjABAAAAeKUVBnDVuMxHc5os3O4qmKv0XXI-REry55argRKk1gbzw2Fy9X4gUKG0ANdFM3v5,False,0,False,witali_.111,False,1693835697,1695731498
