diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
31,301800,5,0,4300000,4300000,112,0,0,0,False,7268404488325678085,False,False,False,0,MS4wLjABAAAAHctJaMfAUGXaB6BxVsT8Bbma_rHcwW0XxFdCTH_zktZBCBkXJr-0AL_9akzdOqxB,False,0,False,veritasium_esp,False,1691468351,1696223068
5844,89900,668,0,1100000,1100000,295,0,0,0,False,6678232093313614853,False,False,False,0,MS4wLjABAAAAhskAQ7csB2lbzyRaw28vW0fsK9EUtv0vfKKI3Zf6I_6kCSWJ4tZi7BkQFzlolzYd,False,0,False,melissadanielamk,False,1691468351,1696223068
0,108900,0,0,545600,545600,16,0,0,0,False,7241637151225709573,False,False,False,0,MS4wLjABAAAA304813Nai0P8Aari6yFEPUZnQRGCjT9i06algcfZvTLEUcODygZupxVA3HmVkF-E,False,0,False,cfkargentina,True,1691468351,1696223068
175100,5000000,21,0,111900000,111900000,123,0,0,1,False,6962776109351994374,False,False,False,0,MS4wLjABAAAAL3kWWhgfrxUvUWSyk59IU6WacyAhEkctq8T8tbVErO2wpAIFyX1PIJa0kMQyqgtR,False,1,False,strngvi,False,1691468351,1696223068
1806,4517,1222,0,46300,46300,193,0,0,0,False,6813865528114611205,False,False,False,0,MS4wLjABAAAAycTUB1dRlYCkRIH2jz9XbKxXd1t-ZDihruF6Ic5D33rNSymBWmzuqsnz1OJ4dZW5,False,0,False,keito.com.ar,False,1691468351,1696223068
370,27900,16,0,75100,75100,139,0,0,0,False,7210351018189456390,False,False,False,0,MS4wLjABAAAAoYgOiYw8RpbhV7HLIwqxBTpY2DEHPMV6MfnKzLdP05s4bWTrw0Z_7saKsVfp8Nhl,False,0,False,isabellinashoes6,False,1691468351,1696223068
0,242900,2,0,897600,897600,130,0,3,0,False,6717829498392347649,False,False,False,0,MS4wLjABAAAA-IvpwhRTzQoSd20fYCGzFeaUi57pp4qVUOx3uu--G5GNPVEPSA761o-XBzbq5Bx_,False,0,False,hatsunemiku0831,True,1691468351,1696223068
4803,67100,250,0,444800,444800,13,0,3,0,False,7269631354777142278,False,False,False,0,MS4wLjABAAAA6IUqmFIWGOV-KrGDy2t59f2UzYKvXhanHqHb7mW4Am1mBpjrpeAQw6S-OHR2tk0U,False,0,False,plantillasdiarias,False,1691468351,1696223068
250,7714,0,0,64500,64500,788,0,0,0,False,6907979513109660678,False,False,False,0,MS4wLjABAAAAWu7RajPpTHcJXRypAhRTXQz1qWW14vEP076QqOVj35mSyENvQc9wbN6dp208XQBt,False,0,False,byr.cstore,False,1691468351,1696223068
230,3900000,2,0,170100000,170100000,961,0,0,0,False,6663969781673164806,False,False,False,0,MS4wLjABAAAAFmAfEOQ5mo3zoka8bapXS280s-5CL1ZM2S45gDueNQ9Q2F9csNaIM4RvReFS0yeX,False,0,False,elxokas,True,1691468351,1696223068
