diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
46600,605,592,0,24900,24900,2,0,3,0,False,6912516986190889990,False,False,False,0,MS4wLjABAAAA98_ORB0gS0es1sFh7WhR3oxmxIP0_2J3ob5frzblZ5G9jTF_0Yxc_wL9JRNFrwYp,False,0,False,xxxagavexxx,False,1689723212,1695980527
109,3253,101,0,0,0,0,0,0,0,False,7245697302630106117,False,False,False,0,MS4wLjABAAAAXmcfZnrGPYxpk2JGWI5OfHItPTnJCDmy1dkGfhMgbddoUSgW8fbMf0sK9q71kuT8,False,0,False,reiaks7,False,1689723212,1695980527
92100,28,242,0,32,32,0,1,3,3,False,6953968355658122245,False,False,False,0,MS4wLjABAAAACxLSepNy4rSjfpuXw6uXFgdDHAFnn8T5soQoF6QqbOqMRlLcqoBnCcA8oed_3lFT,False,3,False,_wiilldi_,False,1689723212,1695980527
48,9965,5,0,32400,32400,40,0,0,0,False,6893986231061136389,False,False,False,0,7285802536606386950,MS4wLjABAAAA53PTaG4rbBBKKsoYgFm2CXz6GL-AnKF3D6A9oFWLJ6p8xoBG8bOLhkhY-shLCvLE,False,0,False,bizzord,False,1689723212,1695980527
264,263000,75,0,2100000,2100000,288,0,0,0,False,6900249782141355013,False,False,False,0,MS4wLjABAAAAVer6hGXbILb4yZndCPFtyPm0RGvupWWWbbEQqgPKbOKQlEuVqK7R9pJ3xLxz1_5A,False,0,False,starscream2107,False,1689723212,1695980527
91,911800,1153,0,176200,176200,39,0,0,0,False,7017450348840223749,False,False,False,0,7285700595304958726,MS4wLjABAAAAADaPrxno2fvZizChqi1kkYgvh3PRK4O7J8SSET6UxdpJTbsYJuU5Z5XpmpLX5h6U,False,0,False,darlingtut,False,1689723212,1695980527
156000,7,332,0,0,0,0,0,3,3,False,6814603815394083846,False,False,True,0,MS4wLjABAAAAuFkOQu5QhP1Jn3xGk_owVUnHcNt6PDKPonUBmmM0Ml3_YxW_fZEuF4EEA_Xp7CE2,True,3,False,saturbor,False,1689723212,1695980527
169800,179,64,0,1156,1156,9,0,0,0,False,6924700238229865478,False,False,False,0,MS4wLjABAAAAiMGvolyurayQQKLiCaJj7Rcr927VYeTTqh9bZJPXS2OPX5XfFDg7-r0zEG4R56c6,False,0,False,lerchikkk_26,False,1689723212,1695980527
91600,365,3767,0,2572,2572,113,0,0,0,False,7020829388619154437,False,False,False,0,MS4wLjABAAAAtTJJ8AfeKD5amSM-h1D49WPN9hL18DidNwwmNWtuIvbC4-T80iQhRQMYDm6y50bE,False,0,False,c.x.c.x.8.2,False,1689723212,1695980527
4228,55200,194,0,85600,85600,81,0,0,0,False,6640728819081871366,False,False,False,0,MS4wLjABAAAA67GyRbPauFJpXpQFdZn7vgEq9MgHLuhi18ErM11myvTVp9m60fMMcJcBzwag33M2,False,0,False,kolin.tt,False,1689723212,1695980527
37400,75900,13,0,545400,545400,84,0,0,0,False,6882451698292409345,False,False,False,0,MS4wLjABAAAAAHk7t1qYMW_Hm-Bqno-JAgdOpW4LOkzmk923iSCTXdE3SNg0LPckZ17ZkBsTy4ry,False,0,False,sox.games,False,1689723212,1695980527
382,278500,17,0,3900000,3900000,30,0,0,0,False,7268312114703811590,False,False,False,0,MS4wLjABAAAAjSB2oyOVfiv8KGcmtKFXVE7sU3H53TxV-AEve7gD0e8oCGsprmmsWQzsHtIwOtWN,False,0,False,hagifucky,False,1689723212,1695980527
1697,491100,22,0,8500000,8500000,377,0,0,0,False,7126617483578278917,False,False,False,0,MS4wLjABAAAATIiilB9bSDwjwIiykx1Kp0qXWjUXSuA8WbXhygiF8P8hPKEzgq-9NWgOMwELp89J,False,0,False,yevchenko.ua,False,1689723212,1695980527
244,21600,472,0,2174,2174,78,0,0,0,False,7098946131100451886,False,False,False,0,MS4wLjABAAAA-nHbstZl6cBZE3wcIOeYtR8nw6GRCb6B4fSueMOeg5rip3wAFckSvKhFsmkbD5TR,False,0,False,gamehuang8,False,1689723212,1695980527
387,28600,3,0,258400,258400,167,0,3,0,False,6921274036420903941,False,False,False,0,MS4wLjABAAAAk7oiLtenaSJqSvqDraO4Kz_n0kmnG8MXp3IxEJ3yut8GBFJTSK2irSdaRHremL6V,False,0,False,musclestore.com.ua,False,1689723212,1695980527
243,3597,10,0,125100,125100,22,0,0,0,False,7188940667287962630,False,False,False,0,MS4wLjABAAAAHdHc0JixOlIu1679iB9SBREH9MuO5eZAsCIo4wC8K1GcWDgvxThsu-zzTU72AE_G,False,0,False,marimo.drlg,False,1689723212,1695980527
42500,35700,647,0,2300000,2300000,845,0,0,0,False,6974442028462752770,False,False,False,0,MS4wLjABAAAAU7vOvutldFVqIUyv0sfsygANALua941D4ldYcXbGNDeUdoq_QxLcUVRP01lp1Pm2,False,0,False,black_samurai.rus,False,1689723212,1695980527
341,13800,158,0,264500,264500,5,0,3,1,False,6761711944152908806,False,False,False,0,MS4wLjABAAAAp_BdowsTC0vaAUxCqwT9O_L2ha2tav9SqyGlrTaoM2iwk4LAoCGYqq_wyG2ui6Xe,False,1,False,user7mezlt4b8n,False,1689723212,1695980527
13900,125,208,0,5489,5489,248,0,0,1,False,7159086880419841029,False,False,False,0,MS4wLjABAAAAv2LUC2uB5fz4T_iIA4ZFtVmAlzteI2MNSheudluph6x6Rj8FWURjBKQz64T6AUU_,False,1,False,sad...vibes175,False,1689723212,1695980527
30,95200,1197,0,714400,714400,93,0,0,0,False,7126828660700415022,False,False,False,0,MS4wLjABAAAAui9MsW_zTrq1WNhoPsj0JJidZCfgYCfaht6l6jQO7SVmeFoT_RaIopZhbPHV7VZZ,False,0,False,tkswade105,False,1689723212,1695980527
63300,33,140,0,23,23,2,1,3,3,False,7111994969904186373,False,False,False,0,MS4wLjABAAAApt0vZfHOlmH20EwQxVDVR_DaEFGRBX0TiP84Gr3GtU9VS7QaPp_Q3CerWHV1Ntv2,False,3,False,mister_proper610,False,1689723212,1695980527
497,122,52,0,2345,2345,4,0,0,0,False,7253368695900374021,False,False,False,0,MS4wLjABAAAAIBJd-CA_AZ-YPFsho4VsBc6BQtRo3fOwyt7xsJQQwJFXnzzUwvuSdCmRtCQvYhVX,False,0,False,andreylyss,False,1689723212,1695980527
366,671900,14,0,3900000,3900000,388,0,0,0,False,7017077935286977541,False,False,False,0,MS4wLjABAAAAFwlnyPYy1oBj_BTFO0Ay33vp6s_wFZb3w8YVRZTM-w3uyJmWFi7mf6Ti8KkLQcIc,False,0,False,mil_alexx_pp,False,1689723212,1695980527
18400,1810,388,0,841,841,16,0,3,1,False,6786907389616112646,False,False,False,0,MS4wLjABAAAAl3LIFFdDKbe7SbGDlfBxnCM2kpV0UGs1Gt3Nt0zSoLVL4ecEolNGRz5XIvoEngfo,False,1,False,optim_us_,False,1689723212,1695980527
992,1639,1981,0,3284,3284,110,0,0,0,False,7106967826275091461,False,False,False,0,MS4wLjABAAAAiyg8SDgLAZeUFnrAeeN9gNQegS8uAvz2qSBw8IrLJGJFiILIg6Yc5ixKsg8AE2q1,False,0,False,popovychvlad5,False,1689723212,1695980527
6733,124600,67,0,7673,7673,12,0,3,0,False,6971055802309379078,False,False,False,0,MS4wLjABAAAA9Hpy6vKBzasmGL9hFaD7WoOFLzDtJ4c71gLAT4yNP1qIejuZkfX56rOXniw_VFmx,False,0,False,a_1_b_q_r_2_k_3_k_4_k_1_,False,1689723212,1695980527
39100,457,120,0,31,31,0,0,3,3,False,6912881704001340421,False,False,False,0,MS4wLjABAAAAISZMSc_OPczVGLOnGO3d9Ar4-6b3HNjYv6MQ2xRyguP-afcC-hIeBzivHKiNhEWr,False,3,False,oorreesstt,False,1689723212,1695980527
3776,137,446,0,7,7,1,0,0,0,False,6741762525573006342,False,False,False,0,MS4wLjABAAAAB0_UUWfhEYbP5LXIIa95OYnMh1L12hQVBG5qSznJinV1UJj5KPV-Ou-71EJerjMP,False,0,False,andriy.lys,False,1689723212,1695980527
110300,717,1014,0,1062,1062,0,0,0,0,False,6745344149019722758,False,False,False,0,MS4wLjABAAAAe669rKpwOJPWSYnAOL7XmzHmOhNhFC5ROFaTYTIhRIfCbioL_8frrhfVxk_6tIjr,False,0,False,1mmka_,False,1680018738,1689264556
1038,68900,1,0,2600000,2600000,235,0,0,0,False,7191935781589255174,False,False,False,0,MS4wLjABAAAAOslRGNg3Zskimq5pbfCLADRRrQDMHV42f01qAgHOzwPJD1kdwbnT3UTOKQnhgP2-,False,0,False,boroda.vlad,False,1680018738,1689264556
