diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
25800,330,1404,0,422,422,3,0,3,3,False,6897219325027976197,False,False,False,0,MS4wLjABAAAAvPrGSYhRoI7Vt232iA_zy1YW_Qxzn9F4xVAonuFSA9dQsWt_WDGLvvIa2ToUJLDi,False,3,False,carmenromero456,False,1694040954,1695056499
890,17,493,0,0,0,0,0,0,0,False,7052550090141139969,False,False,False,0,MS4wLjABAAAA_ysqwdLGFRBrxiSYdx0iiEb87XErbQ1BFGCp74PXrLHMM3QT2qBN7eKtqSma1e3l,False,0,False,karina_plihac9,False,1694040954,1695056499
42900,4720,360,0,27700,27700,31,0,3,3,False,6810312795691680773,False,False,False,0,MS4wLjABAAAAXlZdkKjTToUm5t3fnNLruZV0LCbf3zHGNE-xBzIwY8ToQgtQwA84XC6IPqRURWpu,False,3,False,gemamontes0,False,1694040954,1695056499
172,795,27,0,7279,7279,123,0,0,0,False,7007817536235521029,False,False,False,0,MS4wLjABAAAAeSsax4lppJH8eMnTzuvxqFBeG_HzhSsbB059hlIxwj89i2H82e2IUX131fCgtOJf,False,0,False,auraburgos18,False,1694040954,1695056499
97700,2788,3301,0,688,688,3,0,0,0,False,6859421382259033094,False,False,False,0,MS4wLjABAAAA1WVxAs9ByXPcSqE3ya_wPlpDh4y2sAZ6e7x5wJ9_q1orTuHxGnycYRHqb_awrQl6,False,0,False,llzxll.2,False,1694040954,1695056499
10000,592300,42,0,5600000,5600000,99,0,0,0,False,6990110866600379398,False,False,False,0,MS4wLjABAAAAE_RhXDidzBH55uySGIucLaPZNMtO7tQDWiagH8Vg9tKyIppDIiSiyKn_xmy44k_Z,False,0,False,2fn_n,False,1694040954,1695056499
0,174,772,0,0,0,0,0,0,0,False,7277005536837813253,False,False,False,0,MS4wLjABAAAAa0cApQWswRCkQ9aIZKenxH5R7KiTuMGQdT809thY5LX7_xIYpvb4EFWWwaNZy_MD,False,0,False,lenarosalind06,False,1694040954,1695056499
8153,3200000,534,0,116400000,116400000,4896,0,0,0,False,6546288169511026689,False,False,False,0,7285831184306948869,MS4wLjABAAAAz-jnjVwDvQC5bhDUdREnP2FTjgM6f7JsXGEl-5_elx7ryUAJNlZ5IOP9STTbwTpn,False,0,False,salmita_corita,True,1694040954,1695056499
16400,1687,634,0,6597,6597,39,0,0,0,False,7147661442098398214,False,False,False,0,MS4wLjABAAAAFNrfC2hq0kfatubZnQtu0d5izWd-xFe1VPCdDzYFdV-Op12SU0TMv-tWwZpdR4TT,False,0,False,andreea.saancheez,False,1694040954,1695056499
244,21600,472,0,2174,2174,78,0,0,0,False,7098946131100451886,False,False,False,0,MS4wLjABAAAA-nHbstZl6cBZE3wcIOeYtR8nw6GRCb6B4fSueMOeg5rip3wAFckSvKhFsmkbD5TR,False,0,False,gamehuang8,False,1694040954,1695056499
0,46600,24,0,1415,1415,24,0,0,0,False,7201871339967185963,False,False,False,0,MS4wLjABAAAAXlPIzuo2OCtIJFNazFLdaEvuqrPAjAvsd7zSbypzoaVCFAukQCy0sUbKAIE6pSVH,False,0,False,superuven,False,1694040954,1695056499
49800,1572,265,0,0,0,0,0,0,0,False,7221946874444842027,False,False,False,0,MS4wLjABAAAA5EN6FKa2W6AaSUiA3UtDURp5N6CPTnaQsxtpu96C0zcELAysPdqyjn-s1-llraso,False,0,False,vivianeljhma,False,1694040954,1695056499
39700,932,362,0,15200,15200,35,0,0,0,False,7165887001098372102,False,False,False,0,MS4wLjABAAAAiYMur9iwFrtNqc-Q0UX7VRNYBKcHCmK9Ozb7cEfLtIYg1cL1q826B3kXLzvO-Gf5,False,0,False,aanndreeiittaaa,False,1694040954,1695056499
1233,547100,2060,0,201500,201500,115,0,0,0,False,6954638452957152257,False,False,False,0,MS4wLjABAAAAausAHfNY6hSVt1qsSd9ODgYCM4k9oHZ-PPtcKIrJcGGBObS2hjJTaS2A0_uHc0h-,False,0,False,dimasfadillah600,False,1694040954,1695056499
2900,35,1259,0,0,0,0,0,0,0,False,7001217687934436353,False,False,False,0,MS4wLjABAAAA1zMQ5RATTczhgNi7Cpexuvas7aaoD0sosQNoDhZD9gqR1vt-m_TUVqyGZWGoUU3J,False,0,False,v.yusufova,False,1694040954,1695056499
0,185,608,0,0,0,0,0,0,0,False,7276573824279086086,False,False,False,0,MS4wLjABAAAAAlIw5Re8ewKPD3eCxkNApzGCX-tC3ElChhsSL7-AENyy4Cvko11SuxJ4SDHt19Oa,False,0,False,tabithakelsen3,False,1694040954,1695056499
19100,705,145,0,2062,2062,9,1,3,3,False,6928841410050130950,False,False,False,0,MS4wLjABAAAAhEePx2Py3Hs3OivEMZkrdVehwSwggggmPrD77jyaiuAXxLfMT5YtDyReFvCsbN6n,False,3,False,nereuchii01,False,1694040954,1695056499
1138,79100,21,0,1800000,1800000,86,0,3,0,False,6933703019637572613,False,False,False,0,MS4wLjABAAAARYmRwzbHkZAOZxFPjgWKhnv7hRtONt4gyA6cMuuvS9OhyTI6tYkp1bqPeJxMIXzr,False,0,False,nereaprins,False,1694040954,1695056499
35800,886,491,0,8330,8330,85,1,3,1,False,6591813777120051205,False,False,False,0,MS4wLjABAAAANbux1Jnd7KukqNviP-g6zMV8NddAClbBAWuMy55T7s8506-Licu-4NBkuyA3eJAF,False,0,False,paatrihrndez,False,1694040954,1695056499
