diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
1182,77100,7,0,717100,717100,19,0,3,0,False,7145835259572945925,False,False,False,0,MS4wLjABAAAAZXh2_4kvDNwSIu-hKbOOZncNCd9l7dfMmr5Gqup7LD3PgLP34P6nn63r3iYNYgnB,False,1,False,qalaidabylai,False,1602155514,1696340005
441,300600,0,0,2100000,2100000,7,0,0,0,False,7256086234035979307,False,False,False,0,MS4wLjABAAAAtN5V9sDnfyVfhmEuXF_OLcia0YG0V1pqzMV2fo79XftktTdWbsKkmXunrQAv_8T1,False,0,False,nyan_mp3,False,1602155514,1696340005
32,919,0,0,21100,21100,19,0,0,0,False,7283474430584489006,False,False,False,0,MS4wLjABAAAAA5v9WqjyuKKDL3Hya-INa1yq1I2cRK6pUedqy_VCSAAYeqLTFcK1Lu34mRPSNlNb,False,0,False,user39239080369953,False,1602155514,1696340005
1458,168300,19,0,4200000,4200000,87,0,0,0,False,7098361411735471109,False,False,False,0,MS4wLjABAAAACLhlJSaSJHluyIWFXnJQph7CKgNIeDIHcPDMjVw_M5O3O-qPgTL6qA9YoyLg2DWZ,False,0,False,mmmatsukevich,False,1602155514,1696340005
185,8026,24,0,62700,62700,113,0,0,0,False,7276523049902015534,False,False,False,0,MS4wLjABAAAAwMzRcFrzzSu1_mLm62PACwWb9G36kZ-ADxE32NHL5rfDLEBtR0vtHwTUeyIy_CKs,False,0,False,minipovar_1,False,1602155514,1696340005
23,75400,6,0,82000,82000,24,0,0,0,False,7272397608314946566,False,False,False,0,MS4wLjABAAAApAfJKOL3jvELVBU4IvCO_IMjp2gPfHJR8Rgy4H49I6fK8r_as1zWmE5w4j0gEieg,False,0,False,ayupovtut,False,1602155514,1696340005
411,1900000,46,0,17600000,17600000,410,0,0,0,False,7167271357103866885,False,False,False,0,MS4wLjABAAAA5w863P9Sao3-R6YChepHrgbpgSvFyYZ29C4v70gZ8bNNVcgG6r4HgC1F32Adw3C5,False,0,False,shokanov_magic,False,1602155514,1696340005
12700,74100,80,0,6900000,6900000,260,0,0,0,False,7048354347675517958,False,False,False,0,MS4wLjABAAAAdBuQbFxckENAObQ1pVXzCcRWWuF6qna6pi2RzCw53H6eMLXmdj-QspyOnLxQwgxL,False,0,False,memlisher.mashups,False,1602155514,1696340005
0,2247,0,0,24100,24100,2,0,0,0,False,7282135454056367109,False,False,False,0,MS4wLjABAAAAoce_i1Rzhf8JkYYq9yE0b8xDfTzliIw8ABqZ6OY3xbF11ZwvaaTUfixZCY8_4JvF,False,0,False,pon4ik.toni,False,1602155514,1696340005
201,47800,614,0,504000,504000,284,0,3,3,False,6909437522531894277,False,True,False,0,MS4wLjABAAAA73qcEmfbqrxn5abTrUNqKZ0t3D3mu_cvrJjv2iWE25eMPTbs7xgVSNZ3iAZ3qCNO,False,3,False,kairat.59,False,1602155514,1696340005
