diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
353,69200,1779,0,572200,572200,61,0,3,0,False,6710288342728868869,False,False,False,0,MS4wLjABAAAAsU8guyVGEYWjkJ--ChChAUuJm5y_giMtNfcl6HGGexsW_fpqNvW2i0L1m75gPq-6,False,3,False,leyvipuerto08,False,1696176397,1696363374
95,17100000,43,0,522000000,522000000,1451,0,0,0,False,6941611380308870149,False,False,False,0,MS4wLjABAAAA7DfOn_jwWM7Rscrl2SGPW06eYI0bUDXRoRoTcSpw_Bsndydsbk8zH3tZe2Tz9FoJ,False,0,False,ibaillanos,True,1696176397,1696363374
71,124,322,0,27,27,5,1,3,3,False,7256546832011068422,False,False,False,0,MS4wLjABAAAAn_VQqQaeoaJ4_iV81CR0gRF1IPavUpvmz4fJfgUI2Pme1Vf77y1Ivorj-_Q_Hx92,False,3,False,its_me_the_real_kai,False,1696176397,1696363374
129600,3000000,996,0,113900000,113900000,1968,0,0,0,False,189287480087605248,False,False,False,0,MS4wLjABAAAA1UntOuXQJGN1_aBaEUBtgi-auWhzSG0Fa2IXCmg28MKtPng3lPkPjFJ7OzEACNA_,False,0,False,fredyjrodriguez,False,1696176397,1696363374
1413,11,113,0,4,4,1,0,0,0,False,6982336759019340805,False,False,False,0,MS4wLjABAAAAlUjVTNtlKsNzNnqn7n4Nv2PNkatjmsWU9CZD02X4MQoNZ7CsdxjYZcSwlKuVBduo,False,0,False,esmeralda.3212,False,1696176397,1696363374
52,38200,0,0,204800,204800,85,0,0,0,False,7270985631692604421,False,False,False,0,MS4wLjABAAAAdyVjhucfoyC3Pu8VrPRDnGvn2djGW5W1_vGqhapQnvly3ZNHUHkN03GwKDbNXJFb,False,0,False,mestredoson,False,1696176397,1696363374
10,720200,8,0,3300000,3300000,26,0,0,1,False,7154784009846916101,False,False,False,0,MS4wLjABAAAALTePYF3kjnA-fGum-zs_nj_TQFQBXyqSjbcR5NBNbrhwgZbV-wUvMU9VefV5eF9M,False,1,False,heterossexuales34,False,1696176397,1696363374
44300,54000,9160,0,263300,263300,66,0,0,3,False,6760004367426323461,False,False,False,0,MS4wLjABAAAA3tGs10rVtaE_MBDtASKlkn5cVVXvHf9rVzgb0py9bHV8U4mESuyCan6OWYWGSmFK,False,3,False,rafaa_palomares,False,1696176397,1696363374
17,10100,8,0,366100,366100,41,0,0,0,False,7265507464744027142,False,False,False,0,MS4wLjABAAAAg_cjUuQHt44FF3mz6IwfDkLN13EHM0uN7mMBNEvLbRPw5IjHWBsXpwruoSP9Im78,False,0,False,the.yohantv,False,1696176397,1696363374
5305,77400000,345,0,4800000000,520700000,2570,0,0,0,False,6596805238354558982,False,False,False,0,MS4wLjABAAAAY6j4BdlFScAP6iPRgfQ2WF6bjdxYyD9T41CmjSHql12E5p1nvXHkIlB7AaIw9NSy,False,0,False,kimberly.loaiza,True,1696176397,1696363374
1864,14500,2067,0,68400,68400,126,0,3,0,False,6922428246617539590,False,False,False,0,MS4wLjABAAAANFVsweiWHcWXhdhF92HEUWIFO7kq5k1bg2R1d8K63l5uBXgVKyw2ZYCkbcxDTmgz,False,0,False,greisihernandes,False,1696176397,1696363374
11000,8076,6653,0,17300,17300,194,1,3,3,False,7139686944632210438,False,False,False,0,MS4wLjABAAAA8fD-_nYmFiHxSKzODEzH4CiV27_CvN29HQ1qkXZqBX4EWFTbjF00Um8kCyNFO6Xf,False,3,False,yohanderzon.2,False,1696176397,1696363374
50,156,601,0,91,91,1,0,0,0,False,7226128641817887749,False,False,False,0,MS4wLjABAAAAWejF6C2h74YRFJYC_i1wacRoZKYGzHRVFPKDOPZw0PK5jAaRseZdnvaQSyeONzgX,False,0,False,userspotify_oficial,False,1696176397,1696363374
446,1025,2061,0,491,491,25,0,0,0,False,6959979300407067654,False,False,False,0,MS4wLjABAAAAIMoSbj-DU4gV7li36862nUz7OG7YuyP91u5J6LETOzVvwC_HnHBAc7Yvku0qkQ2t,False,0,False,moshe1985,False,1696176397,1696363374
101,129,212,0,117,117,12,0,0,0,False,7233110295531734021,False,False,False,0,MS4wLjABAAAA7EyDun8ngoC-oVA_6YlIHYXghs9wS3V_ib6vuQ6HnjOO6AQAL_jb5f-XOtGfpYRg,False,0,False,yennifer124_,False,1696176397,1696363374
1039,497200,4174,0,1400000,1400000,145,0,3,0,False,7232952587748688901,False,False,False,0,MS4wLjABAAAAB_ZsftmBSoUQL3VvbfLQSMBHFJETxH3SoYZsA0GF9b_Uuh8HrCqRvoyyW6QchhwX,False,3,False,vision_aries4,False,1696176397,1696363374
1036,10800000,4,0,131400000,131400000,89,0,0,0,False,6743395303293142022,False,False,False,0,MS4wLjABAAAALUI1in64RnUTu9kd_7D9tZzMCiPYc09kaPiehjD1H2fA5zo-sz3p4YAYjlJ3UzpO,False,0,False,salomeferiav,False,1696176397,1696363374
9071,13300000,143,0,340300000,340300000,946,0,0,0,False,126497302000582656,False,False,False,0,MS4wLjABAAAAk5XrQYaRVnOZgRiJ-U8OXstT8B4djl0P4Js4m9vBN-cDWKrAPb3A8MGrpzniMxOD,False,0,False,arayfer_ha,True,1696176397,1696363374
8881,29900000,441,0,509900000,509900000,1883,0,0,0,False,192830514221719552,False,False,False,0,MS4wLjABAAAAaz3L920U-B74qldy0CAMU6bN_AhFrVZlUXI2nLU3ffHg1r3z832sS-CCIedpJZFx,False,0,False,emirabdulgani,True,1696176397,1696363374
88,549,171,0,1439,1439,104,0,0,0,False,7256483720973648902,False,False,False,0,MS4wLjABAAAA6W-q4wFFmujtNCGOCeWropy0LkIQwTvsRJRtGrBKjfMfj_na6hyz4HGzNHdIOXBo,False,0,False,user8005030928843,False,1696176397,1696363374
951,25,691,0,0,0,0,0,0,0,False,7099578665198420997,False,False,False,0,MS4wLjABAAAA69JnwloNcvEZXtzrSDUVXG-1EJJbRvjQAYz2e5QqIpDcDLoEoKIYlTkPUftI7Dcc,False,0,False,danielalessandros0,False,1696176397,1696363374
523,231400,32,0,8000000,8000000,1223,0,3,0,False,6967943093803156482,False,False,False,0,MS4wLjABAAAAOxR6ScsKmefPDSxRl5TyDSiztivVGEm9xj4zvBAMLPCw-xmYMEaLPQRanf2GUIwv,False,0,False,rizinffofficial,True,1696176397,1696363374
4917,2787,9967,0,1145,1145,96,1,3,3,False,7219117310593647634,False,False,False,0,MS4wLjABAAAA9Po44VTdNnLOA7Dx1hQ8hxJNVWxal9trCvHJMPx7HYo9WBAEQmUBD2P2cmcY8GsC,False,3,False,marisollopez4511,False,1696176397,1696363374
14600,855,9881,0,171,171,4,0,0,0,False,7120394100092617733,False,False,False,0,MS4wLjABAAAARzhIAbcodoJvM29-yTO0c1XZLweZwILT9GBdoEyNS26Riz6P0dJ5OeeSnSwADlkL,False,0,False,lolia264,False,1696176397,1696363374
2,260,529,0,72,72,14,0,0,0,False,7270974986198156321,False,False,False,0,MS4wLjABAAAAbHdglEmGs7BB6O1HrLMfd0BvYqzd8ausUQGmiBGb1yGxSuNBuHgrikkgio6lW9_a,False,0,False,diverse.inc,False,1696176397,1696363374
4645,184,1337,0,242,242,14,0,0,0,False,6853260150984967173,False,False,False,0,MS4wLjABAAAARX7uMkiCQA_AvNmyXsGZN5LtS2_2sYslnSiY8BTyPbFli2sbQ-ywPTvt1gJTA-LZ,False,0,False,enamorado219,False,1696176397,1696363374
