diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
29,4107,2,0,67900,67900,10,0,0,0,False,7236415910880674843,False,False,False,0,MS4wLjABAAAA6YHdS3I-hOPnlXUoKS97f1YD56xrLWPD--SX3ICtLe0W6LTePwi2VoiHdWsnCqa3,False,0,False,spotify.spotify2.0,False,1694801130,1696160853
59,825900,3,0,18300000,18300000,197,0,0,0,False,7107941397307360258,False,False,False,0,MS4wLjABAAAAoVsZqIKiw8OBWTy3WU2NNHwRWjV4NkdeHW4jLbJKth6RL5ej31dJg9kk1L0nYvbR,False,0,False,spotify.7483,False,1694801130,1696160853
803,1900000,78,0,25100000,25100000,442,0,0,0,False,6677620784334472197,False,False,False,0,MS4wLjABAAAAYaURwm-v8vTyPaMMhRIGAYAI_snYHsTOYqbyTPJMDRJqV81joCfz2jP3sn7lyMhN,False,0,False,bucks,True,1694801130,1696160853
2873,1100000,284,0,14300000,14300000,1165,0,0,0,False,6556377297039922176,False,False,False,0,MS4wLjABAAAAsX-QiY4vm2HhKktwnwz95yThyXgozXbN03JHcHXetcMFfcyTfhtSs3KvRpyTcqX7,False,0,False,ilkererenhairstudio,False,1694801130,1696160853
8235,129,280,0,1004,1004,25,0,0,0,False,7239312241904010266,False,False,False,0,MS4wLjABAAAAUn5zM9ain4xe6-InjV-lqWgcuyVybPF4rB5J4_CErDVAQYeR9iZPITxtIDv8vu7F,False,0,False,floradaneu,False,1694801130,1696160853
1889,4761,7093,0,14600,14600,3,0,0,0,False,6884891942661506049,False,False,False,0,MS4wLjABAAAANht4b_E0Gip57fPvue4y_MqitRUvwc_ySXuXAngiMp6OcWZQAGMwWf3Ssy_iranh,False,0,False,nostalgie_video_1g1f,False,1694801130,1696160853
3250,4500000,52,0,41600000,41600000,299,0,0,0,False,6827784509301376005,False,False,False,0,MS4wLjABAAAAHdR6MM9nhufTnZLqt3xcYo8OrUvMR3iyVDImYbMwWYIxhD_PQEOEoSJuBr9jQ8rP,False,0,False,arturovidal1987,True,1694801130,1696160853
285,20500,142,0,584400,584400,193,0,0,0,False,6718972195013936133,False,False,False,0,MS4wLjABAAAA-JCRyA1PQmm9dDofCCpV4zAI8HLGycw0KVs1jjo0SWvqGJHXgsUQgt0uVjv2cWSt,False,0,False,lukas_nicot,False,1694801130,1696160853
50,789,34,0,2982,2982,6,0,0,0,False,7262292814338573345,False,False,False,0,MS4wLjABAAAANomnusUeRZNekvLXjNyb1bgxT-m1seKvfjTraO2tI7IqJZi1CnWBkds-ASe22XU2,False,0,False,basketlfb,False,1694801130,1696160853
0,1001,31,0,3832,3832,3,0,0,0,False,7273790472581071905,False,False,False,0,MS4wLjABAAAAKevNVQ5T0jAT6-fQteSdbvJpM1DhA0X1gJ_c_qW8yQUhHwn4B48XiYCO8paben1H,False,0,False,basketlandes,False,1694801130,1696160853
5684,227,435,0,761,761,1,0,0,0,False,7076889995781342213,False,False,False,0,MS4wLjABAAAA0dciRwKPpFUSSt79WwWt73bSvlhXQ9pqGm4KkGiL71un2wgU2xfZ6p2UU1myL9xl,False,0,False,luigi.19.24,False,1694801130,1696160853
3,1347,638,0,68,68,1,0,0,0,False,7184421708148147205,False,False,False,0,MS4wLjABAAAAiZ_Sd7yEHL_BKQRiaxfCCVRciihG-MMCZ0iZWAQgsp6W72uPupE-Zd2irKoGgc64,False,0,False,kia_gtline,False,1694801130,1696160853
2132,144,248,0,1146,1146,3,0,0,0,False,6839438483972228102,False,False,False,0,MS4wLjABAAAA7hiS-8VH2Zvzfu8CMLD95xRiT-mqsvalOtDsOfNtbKCyNfV77nwPf0hmArjgMY31,False,0,False,lucasvlt8x,False,1694801130,1696160853
2330,373,1481,0,1081,1081,2,0,0,0,False,7273243997601137697,False,False,False,0,MS4wLjABAAAAq2kjbPZea7h3ZFwjCe7W63c5FJSwJqHwM26x8kM51iwCUX26RikWFYQ4M_PNNbhU,False,0,False,2.mona..posttt,False,1694801130,1696160853
5149,203100,118,0,3900000,3900000,402,0,3,0,False,6768271916852855814,False,False,False,0,MS4wLjABAAAASWH50p4pl2DXEiNfOyovmW0yPNgoZ8FK0VFDMjcKXFuoq0eNayIINblvhV907fAN,False,0,False,joseph.edoo,False,1694801130,1696160853
535,101,169,0,150,150,5,0,0,0,False,6959457873004905477,False,False,False,0,MS4wLjABAAAAnrSe3Cl8QVpDqgMZ9rLrk4GcqfNHZZiGrUj7C4_CZT0W-1hgB3nmfbIXtbGl56I7,False,0,False,elann86,False,1694801130,1696160853
43900,2189,9988,0,1258,1258,60,0,0,0,False,153751652934701056,False,False,False,0,MS4wLjABAAAAe8hZAKckvDMh77EeLR9TUHP3c08_fFWqqf7TYvYkDs3lV7peMXn3JfTEQN65j_xq,False,0,False,668_astral,False,1694801130,1696160853
872,53,108,0,296,296,20,0,0,0,False,7206039853208454149,False,False,False,0,MS4wLjABAAAAd9GwleQezGUFzACVGI1BvK1jcfKNwpNGFX-NnLKfj8h7hQ3EKSbqO0UXg8busvZW,False,0,False,charlie_.agz,False,1694801130,1696160853
689,186,113,0,865,865,11,0,0,0,False,7273447426361918496,False,False,False,0,MS4wLjABAAAAy8U4PkfkKpW_jrpPfT-zA3Hdcyxp6kNm_EOwoBr07k5ylTmyy4abEBgNxrih1pgV,False,0,False,prince.ethan80,False,1694801130,1696160853
7420,611,838,0,23,23,0,0,0,0,False,7136611534654784518,False,False,False,0,MS4wLjABAAAA3PYsFLOXuMQQEYSEnYuwh421Q-LqQBRyD1iEiBkbJeESOsuIyzk3T8MdvCj4PSKg,False,0,False,hugo.hdk,False,1694801130,1696160853
1059,2300000,37,0,47200000,47200000,1489,0,0,0,False,6754020373144732677,False,False,False,0,MS4wLjABAAAA5_t-lOU_38qJoVd5nI9dBfMZfDf5-9n-N-5dQTAa1zoe0JTJEcTZx7bo3eARiGlx,False,0,False,planete_rap,True,1694801130,1696160853
0,1143,0,0,1098,1098,4,0,0,3,False,7280219176059880480,False,False,False,0,MS4wLjABAAAAwblfAaOLmjDKN5qVbPC6KGcbxzcEOP0Y2CbaosCsJtDleaaasyQfFxkEUOasvJsn,False,3,False,synawrld.com,False,1694801130,1696160853
