diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
1035,49100,51,0,547200,547200,671,0,0,0,False,6807262858188620806,False,False,False,0,MS4wLjABAAAATfKuyF0rR3pTLZ-inc2JLs8B8RFLjw39Fm8DmMLB8-ytNKODX4PPWlyjKcwdHs1h,False,0,False,melcorp,False,1694299099,1695517542
5406,144600,1458,0,2900000,2900000,252,0,0,0,False,7152442396549252102,False,False,False,0,MS4wLjABAAAAoGrhsbsJELg7nGGQSV231_7HSnXq0UnksgC7goUjzH2IMjsjfMUOOgDYEqydQZOv,False,0,False,johaneditbr,False,1694299099,1695517542
1082,139400,495,0,38200,38200,44,0,0,0,False,6515826743213822976,False,False,False,0,MS4wLjABAAAAFrgT7t-zpHvYAuhH8YJnD-x4h_Mr4tkeSKBz7PcVarG84uQSrU3TEszLwyQJFdQv,False,0,False,gaskygod,False,1694299099,1695517542
74,27,10,0,309,309,6,0,0,0,False,7279858530180908037,False,False,False,0,MS4wLjABAAAAmOpMgXroZocRDy5eQ-2EZBzsIn0kUQVhwq5FVMK-ZzSRk5vUbVPubtEZjKZyXnCP,False,0,False,ierenovandovidas_,False,1694299099,1695517542
4124,16,83,0,0,0,0,0,3,0,False,6807109301825979398,False,False,False,0,MS4wLjABAAAAEBITFwZhjFLa6y10hLnCvxed-VW1KEnknadjo9ugXzBzYonumz-cSW9dYv3gMdb9,False,0,False,amandajhenny_,False,1694299099,1695517542
40000,182700,285,0,127800,127800,43,0,0,0,False,6795862560961872901,False,False,False,0,MS4wLjABAAAAyny49WTzENeyXxhYj0DB30QFhSRRbhHp-bzXotYeRpya5nUGNv9r35u2ob51anMW,False,0,False,avorsky,False,1694299099,1695517542
35,54500,0,0,0,0,0,0,0,0,False,7170050129915085830,False,False,False,0,7285721845247363845,MS4wLjABAAAAP2hAgU564DBrx8Yv8bIfzVros8wZ4ko3-TkRD8FV7-5MCivaHepJ1CgPlnY3tA1M,False,0,False,ferjon3,False,1694299099,1695517542
2821,23200,746,0,3266,3266,26,0,0,0,False,6749470682101203974,False,False,False,0,MS4wLjABAAAAqwUc_zVF2VBy0auglDpIQDoH8AMFjf5r6XtSoMWONypdYC5whah593AFOHzBJnwY,False,0,False,potato_cogui,False,1694299099,1695517542
30,19600,4,0,410400,410400,27,0,0,0,False,7203797265440605189,False,False,False,0,MS4wLjABAAAAYT-13exF57bHG8mYk-m_CmEKAQ5O6B6eiVf7NyzTPIPgKnNN8CMvOWh2AIJC83n-,False,0,False,leozynserio,False,1694299099,1695517542
3516,17600,79,0,75200,75200,51,0,0,0,False,6643128665357041670,False,False,False,0,MS4wLjABAAAAas716kYTUT1aLZF4UowqU1YiOV3BKHkhU5_bMKFH8DSAorffK-PL2W6AFjxcRGJ4,False,0,False,italianoitzz,False,1694299099,1695517542
