diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
161,21,72,0,15,15,3,1,3,3,False,7254642376273757211,False,False,True,0,MS4wLjABAAAAZEU7sEJ72Omdn9b4yTYIUE9iVpqlUEzA6Eo-1mN54HzVM9Om-cd1FWdFVmtlBxSC,True,3,False,0.9omak,False,1693328592,1696318187
112,894000,15,0,11400000,11400000,21,0,0,0,False,7261919583325340715,False,False,False,0,MS4wLjABAAAAtB9zMKZudJgzoUGlNQ779r-gveStmDdoBiGHprxUORF_S028fDWDUVdrpW8_NeUp,False,0,False,littleballtunes,False,1693328592,1696318187
0,1057,0,0,13500,13500,24,0,0,0,False,7277838803208569888,False,False,False,0,MS4wLjABAAAAkprzm94cx865221RC81IOR9LnSOPGk7BIt4CrpPFL-NUseXIe92HSojhRP4uBy9h,False,0,False,wtjnol,False,1693328592,1696318187
604,10400,6,0,47700,47700,2,0,0,0,False,7260081323174986778,False,False,False,0,MS4wLjABAAAATVqOdHN1WIDQvlYqD6ld26L_HjtcKKRh7B3_ZwbMI681FfUEb9HrAUqd9XwQlc6l,False,0,False,earthviewes,False,1693328592,1696318187
3,190100,0,0,3200000,3200000,932,0,0,3,False,7173018986593272838,False,False,False,0,MS4wLjABAAAAXJaDYmtDjBXZiAQMjAqTmoe31w713vZ3YRM0f-qn7knXcjxwc8FTnys_JxH_9-eJ,False,3,False,alschrtavw5,False,1693328592,1696318187
643,28700,243,0,187000,187000,82,0,0,0,False,7043742906263356417,False,False,False,0,MS4wLjABAAAAPtoASLPum68TtYDrH84hwSyPAGcw5KORgn7UnPnhXHGEd3HvlV946fO6YV9MYuVY,False,0,False,nono.dz.3,False,1693328592,1696318187
1341,24,87,0,55,55,6,0,3,1,False,7270995192927732768,False,False,False,0,MS4wLjABAAAAjPQ3aDYHpRS1-w5Y6suwDhsaq3mp-nxRo_eyJm8-aATWf9Jeo9K8Tb4R-wxb4We3,False,1,False,hamudderry2,False,1693328592,1696318187
7150,361,1485,0,538,538,8,0,0,0,False,7194845843106972677,False,False,False,0,MS4wLjABAAAAHl8C5ZH3k5wo1j_abWCwWa85nZzcJ8APx6JP6nn5dhU2w5G_uM-_YpEoqOl-ai4C,False,0,False,ahmadaljebara,False,1693328592,1696318187
25100,1021,1640,0,1257,1257,31,0,0,0,False,6872441874604540930,False,False,False,0,MS4wLjABAAAAj1fSGP46OKYeiIyps8aANg8RI8iPvUk62ki4GcYZeJXWj-GbpNHf0WxtkRWqvmg1,False,0,False,firasalhussein10,False,1693328592,1696318187
244,21600,472,0,2174,2174,78,0,0,0,False,7098946131100451886,False,False,False,0,MS4wLjABAAAA-nHbstZl6cBZE3wcIOeYtR8nw6GRCb6B4fSueMOeg5rip3wAFckSvKhFsmkbD5TR,False,0,False,gamehuang8,False,1693328592,1696318187
150,355,191,0,3748,3748,22,0,3,0,False,6648479136615776262,False,False,False,0,MS4wLjABAAAAO8h8KUyErvDALtjSmNggORei51JbJjhOxYTgkbYVhzU2vlGgS7-yqoATN6HR1WRY,False,0,False,user975931430,False,1693328592,1696318187
86,234,716,0,510,510,12,0,0,0,False,7143939805360096257,False,False,False,0,MS4wLjABAAAAbjc0QTi8A9NgQDfzD12c6mOAeQ52th7P2i7hu_gTJji6PIgD0hVpbxTVsUEReZeQ,False,1,False,12sm_sm,False,1693328592,1696318187
899,27300,1,0,454300,454300,363,0,3,0,False,7205163706232898562,False,False,False,0,MS4wLjABAAAAohw6WdQXB5qLBGKrTTczKzuqfBr0SeYT9kZa5Ig4y0AIMOa5-cJo4-2mItcol-PI,False,0,False,zein_z_s.official2,False,1693328592,1696318187
1639,1600000,86,0,14100000,14100000,59,0,3,0,False,6995644797450241030,False,False,False,0,MS4wLjABAAAAMvfx6BT2mDT_0MgQxQxdX5eVSuF_bUkYCsTl9czrBfevXVof2bxn_A49aQFjy-BX,False,3,False,nawres.briki,False,1693328592,1696318187
23200,6800000,1716,0,57800000,57800000,99,0,3,0,False,6647406003585400837,False,False,False,0,7285833416031980295,MS4wLjABAAAAyN66ZQgygJpSh3dF0G5ZlaiEfAuGgw5_2eUcCTO5c949EEToENc21MikMf4Q01LV,False,3,False,mix_151,True,1693328592,1696318187
24500,13600000,1813,0,249300000,249300000,2096,0,0,0,False,204350957021933568,False,False,False,0,MS4wLjABAAAAMTIweOzKPJn9q914JLRbWcRlhXeN9W8kpPjTMuw6h8W2v3W50_omfZqJgz0u6EAG,False,3,False,douhalaribiii,True,1693328592,1696318187
693,160800,45,0,1500000,1500000,132,0,3,0,False,7234189833949365250,False,False,False,0,MS4wLjABAAAAQPtfAgL4MfZBXjxzQY14r2AOhuzlIYVxCM7VKsUfJOgeNcvhoPf8YcbZjHiWS2ED,False,0,False,b_n_a_o_505,False,1693328592,1696318187
