diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
174700,1128,470,0,13500,13500,23,0,0,0,False,6933413071327478785,False,False,False,0,MS4wLjABAAAAXRhc7wFEDKty7k8XTDbrZoMx_F_c1Kads6o3W1sqrQuvsF-mOFwxZXBEx9w8BYzA,False,0,False,zeena.baker,False,1695030358,1695825988
75800,227,748,0,701,701,18,0,3,3,False,7069921801841443841,False,False,True,0,MS4wLjABAAAAqmPHv-Tu4aDqnsR--ictPRrjPH6yG2hSI9CHm6HvM8XNfHeFVIqdzbwCEAWC9TzR,True,3,False,shaylarose.25,False,1695030358,1695825988
567,56400,55,0,611300,611300,70,0,0,0,False,7043113235525452802,False,False,False,0,MS4wLjABAAAAquA4jTw57EnzWdPa3rX-l8LedvOc1xMmF0aZD7p7XRY_er86quIBIrhQqp-HDJ98,False,0,False,southsummitband,False,1695030358,1695825988
708,13400,366,0,461100,461100,58,0,3,0,False,7137279101605381122,False,False,False,0,MS4wLjABAAAAhDTP7YYbTTbeBPXUklbb6LGNcTfg32RACVFg8U3DHbfAGhto2WEiEEmalJREv2N-,False,0,False,radicallyrandomofficial,False,1695030358,1695825988
3439,1304,802,0,0,0,0,0,3,3,False,6681108432517809158,False,False,False,0,MS4wLjABAAAA_Xwo_IRPjNzUHgbTGkfgw81-d1iie8wPsjT7rjdJQKe8vAz9vqrW7dVPdx-BoEA6,False,1,False,cooko21,False,1695030358,1695825988
648,93,195,0,232,232,9,0,0,0,False,7178770893244515333,False,False,False,0,MS4wLjABAAAAEIZ0pbeWTbfTvOFR4F7W9ESB9Oefz4YnljYv6Ml-zaVq_rCDa2nCzDOEviWT9e2T,False,0,False,broson210,False,1695030358,1695825988
34,2000000,0,0,49100000,49100000,5,0,0,0,False,7269115085082182688,False,False,False,0,MS4wLjABAAAAo9wS-xPFr9G_Fvyc--Ru4Dun5cyHXR20txqZD8vBFpZnrA8okV8mQVLvl9VJ_dMA,False,0,False,anttonraccaus,False,1695030358,1695825988
69700,855,4580,0,2473,2473,16,1,0,3,False,6965276063254381574,False,False,False,0,MS4wLjABAAAAYBA9CX1fjbmDlnYNQKzvgfaPN93B4zqBnXD611u1dYYV6YTBp4UGoQfKA1KL2JZ9,False,3,False,kaylib_w,False,1695030358,1695825988
234,379,50,0,23100,23100,34,0,0,0,False,6893015521362248710,False,False,False,0,MS4wLjABAAAAjyyLpOXfjccNpCBiBN0gSWmtl0hcHTJwwMKaybikMIecdqaFCNjPimj7LxMJYzwZ,False,0,False,k9fifty,False,1695030358,1695825988
26400,910,103,0,457,457,2,0,0,0,False,7075660017270064130,False,False,False,0,MS4wLjABAAAAoOU2Gao5frZgktE0wmL3h2pqDoxwJhr7vTp0fJLH45qPNQRBb1y1LZfEmoFmVnEj,False,0,False,lidin_t,False,1695030358,1695825988
