diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
1414,501,163,0,1216,1216,41,0,0,0,False,6791651383306109954,False,False,False,0,MS4wLjABAAAADwx2GtBdKLvuBQ5b14CERUMlcvyVw8eJFy42JHAoMZhIhR1EHg9e5XUz31H7udbP,False,0,False,libra.uchulll,False,1691576805,1696090078
1494,1700000,15,0,68200000,68200000,295,0,0,0,False,6903185754722960385,False,False,False,0,MS4wLjABAAAAxh0HuISzJm5qGXmWeW9bLSjz_DDKy9dE5Nee7FJ6b3URiL776eI7TyoKt13rBQKA,False,0,False,salehsangad,False,1691576805,1696090078
2228,29000,2936,0,4860,4860,23,0,0,0,False,7178375696934126598,False,False,False,0,MS4wLjABAAAARdXbrY5Y1pkk2f7gGXQq1iliGZyC-lpAkip4Zu2qUTOAa4d472m8RlejYzWCxT0J,False,0,False,thuantnt0,False,1691576805,1696090078
2097,72600,401,0,1900000,1900000,282,0,3,3,False,6822944311962829825,False,False,False,0,MS4wLjABAAAAQ6ZqPgrZcVwp8McMsMo0bet3sEq1imZLwl_3WYPuOLPOZmZw0CvZviY1G80o_QtZ,False,3,False,javatina1,False,1691576805,1696090078
1,3233,62,0,562,562,18,0,0,0,False,7188760166271403010,False,False,False,0,MS4wLjABAAAAy2t_oHvynqPlMEQ4ITXByNXS6Iok3G7MDbPsQtvEShidmzQBINaLUJxLPwcHw4kj,False,0,False,thxb14,False,1691576805,1696090078
3,190,208,0,100,100,3,0,0,0,False,7276492471114449925,False,False,False,0,MS4wLjABAAAALHtNwpVXtwzD3mc-Kk_0W7hTayr9GJkmnYJRmU_Q5SRHvo8A0T4V4gT7zjQysFfi,False,0,False,dr.h.bambangsutopo_,False,1691576805,1696090078
20,2984,27,0,32,32,1,0,0,0,False,7260240418054751237,False,False,False,0,7285855636842171154,MS4wLjABAAAAfFJ4L5GSkKhbz57KQ8Ffij_HQGZP-N0z0RAOydmMCxgy1SrfHvhor4t35iWXFfnL,False,0,False,bbyayi001,False,1691576805,1696090078
110,522800,35,0,34200,34200,1140,0,3,3,False,7116063203273425947,False,False,False,0,7285765545252588294,MS4wLjABAAAArYqHT_WPKq6gkuEDPkgKnKU4ls7lT91eNa6cEL92c_CjLMnpDWlgQmlRo6HMzJRb,False,3,False,ikhsan___lemon,False,1691576805,1696090078
1888,174800,615,0,2400000,2400000,194,0,0,0,False,7095804689955472410,False,True,False,0,MS4wLjABAAAA9Ky8qH1u5Tyz_8GwXLD8AwJJueagAbPHgst_2OAjjBS0nHG3xDgw7p9DwrR9gzke,False,0,False,frianimation.official,False,1691576805,1696090078
567,29100,2581,0,1058,1058,13,0,0,0,False,7093165788962309163,False,False,False,0,MS4wLjABAAAA9cz075OX89zlhIvTWQYXqTXfB6keAkseT9aX4VC_-JOxRpqfU1FeUG6ydjx9inua,False,0,False,illusionslive,False,1691576805,1696090078
327,33600,967,0,89000,89000,72,0,0,0,False,6952753422245348354,False,False,False,0,7285863895273884422,MS4wLjABAAAAU-7Pdo-s0RjzLlKWR52ki-u1-GJHoTVpO1eAnoxqMFsMVeY9DjMZBCQ6YNNBbQHl,False,0,True,paramexgarut09,False,1691576805,1696090078
1126,2000000,5,0,31400000,31400000,1964,0,0,0,False,6900043037701080066,False,False,False,0,MS4wLjABAAAAxdoUJ6cXEEcs4yypC3Nkg4aKvhjsBacpkc_AoBv-6iDlIivAQZz4u6RzFxHKrM-m,False,0,False,okisetianadewi_official,False,1691576805,1696090078
244,21600,472,0,2174,2174,78,0,0,0,False,7098946131100451886,False,False,False,0,MS4wLjABAAAA-nHbstZl6cBZE3wcIOeYtR8nw6GRCb6B4fSueMOeg5rip3wAFckSvKhFsmkbD5TR,False,0,False,gamehuang8,False,1691576805,1696090078
