diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
126,18500,22,0,16400,16400,40,0,0,0,False,7114914487740302341,False,False,False,0,MS4wLjABAAAArGsF_sdw2ZfR2kLOp3JmAMK-M3_OUEkCNOC-kMT3a1m8Dg7sjfG4fIje0S7BECp3,False,0,False,bbibli0,False,1694217005,1696327794
66,6,7,0,0,0,0,1,3,1,False,7204580115534791686,False,False,False,0,MS4wLjABAAAANJmttfi0Kk50ThG_elnwmhDtU-kGg5qIkCLXSDGHrNxJ-8_3lxt2WyGS4nKATIGD,False,1,False,preppy_slay93,False,1694217005,1696327794
725,510100,386,0,472900,472900,25,0,0,0,False,7222143460076176427,False,False,False,0,MS4wLjABAAAA-wkbgWolY_yniyubez1lUXNeZDSntTKZr24G4ElvNWcPwSvYWFepSuGeR2dvU2rE,False,0,False,justjoofficial7,False,1694217005,1696327794
51100,1700000,220,0,33900000,33900000,1791,0,0,0,False,6882343866457326597,False,False,False,0,MS4wLjABAAAAZY_Qz-EmW0mwv0u08vhfrHHnCEjQ4aWQJUKNKlYIobdIGgY-YxIDAWPTKl6q4lvW,False,0,False,3sunzzz,False,1694217005,1696327794
9664,107600,915,0,1300000,1300000,297,0,3,0,False,6747751713758299141,False,False,False,0,7285856816746416928,MS4wLjABAAAACjQjKwaYtYQWWuWzexe_VuAOQv9vw-MMP7crLHbk_ESyag4UrB08cCZFPajRf8aj,False,0,False,official_m4hfzyy,False,1694217005,1696327794
15,18200,10,0,291600,291600,82,0,0,0,False,7258442389931656238,False,False,False,0,MS4wLjABAAAAfSPwu6TqBbqg-_5oFfnNw39sJTaanFmdwwUou4i853GO1ybyDCpYSjK3PVC-vjkr,False,0,False,zhong633633,False,1694217005,1696327794
5252,128,276,0,685,685,4,0,0,0,False,7218151386832290862,False,False,False,0,MS4wLjABAAAAGoOFV0s3rKfDzvaZzTpRRkf2ZooEMe9ckVhT2pQdwBRRg1XglOBprg1_yYCJwY16,False,0,False,nyonitt,False,1694217005,1696327794
1170,20,33,0,0,0,0,0,0,0,False,7178643848973222955,False,False,False,0,MS4wLjABAAAAxqfkH60o8jIOY_FgSZkYtX54y1OclZdfuR6tqn5Ht0pVp7u7TSiiiTBkbw2k-tcf,False,0,False,wandarivera067,False,1694217005,1696327794
12,736,2,0,9962,9962,10,0,0,0,False,7271661400367596587,False,False,False,0,MS4wLjABAAAA8hjYnBHm3PTptv134p7aHPAkwTZvf44WFK_ScOVAemAHCvSIupkdOxggWBXLMwxE,False,0,False,stepmomwhatudoin,False,1694217005,1696327794
36,253500,1,0,3513,3513,25,0,0,0,False,7270858320779428870,False,False,False,0,7285861216076040965,MS4wLjABAAAAnqXa5D-7U8x8qiUKN5qkOa7-gGnbnEqNbVyBuO_8x2Iul5qtIzzupoBmJGB-GcfL,False,0,False,jeffl1ma,False,1694217005,1696327794
1,12,3,0,1040,1040,10,0,0,0,False,7281684415045846059,False,False,False,0,MS4wLjABAAAAkr58pySIDu1Dd2xN3XKY1vct99u569Jvq3I_D-uO6UMN1Lp9BB0qkNmvvLmz3jQO,False,0,False,kai.clips000,False,1694217005,1696327794
8529,19600,65,0,85100,85100,28,0,0,0,False,7145832225958560773,False,False,False,0,MS4wLjABAAAAjizhXYiZUQwr4KzRtOsHiGMJatyMx_YD3zA6XTKTwRlIb1VuKEuSTYxQFt_HI3If,False,0,False,blue_strawhat2,False,1694217005,1696327794
56,791900,15,0,42300000,42300000,184,0,0,0,False,7224804373394113543,False,False,False,0,MS4wLjABAAAALX7rJcN44TXRS_1u5C-84ckke_DhFAUWRmX7fiaCHvlb6uv1gxMocqS-B_QraypU,False,0,False,jeffreyxreacts,False,1694217005,1696327794
536,30,99,0,302,302,17,0,0,0,False,7265428149206336554,False,False,False,0,MS4wLjABAAAAYT6F5oGG8mI0l4byZRdnR8bj8RN9eRszN5Geml_L4OjkfjS-T3OFrA4I2kz4almw,False,0,False,aj_novak084,False,1694217005,1696327794
99,22,125,0,0,0,1,0,0,0,False,7255938486481372202,False,False,False,0,MS4wLjABAAAA5rgBJ0vbzpq92vTWvQtAf13imqFch2V4zCcamxhQQvbMvu70YoJy3oVARz0wIU6p,False,0,False,nofacejayeditz,False,1694217005,1696327794
2048,86600,1026,0,939200,939200,121,0,0,0,False,6503485926629442569,False,False,False,0,MS4wLjABAAAAnOXtHGCJUOiufUjlFG1WYSvkLfWna_AzCE_3kqdxBAKWm76qNnD-5raJtvRLRAre,False,3,False,monique2266,False,1694217005,1696327794
0,304,0,0,2744,2744,188,0,0,0,False,7271607889151886378,False,False,False,0,MS4wLjABAAAAlBlv1zi1C2MKRvwNiTY9Kv5zZMP3feL84oTsGfjI9E7q37-v6Aspd0xKgPqpTECu,False,0,False,idun296,False,1694217005,1696327794
1583,19300,3546,0,400800,400800,332,0,0,0,False,7115433096371356677,False,False,False,0,MS4wLjABAAAAX4qTz2wq8PzgoEhMVJ79z7QtvP6soaF4VComvdLnSbY0WoBxx23t4-KBPXG3M-gG,False,0,False,joogabrielflamengo5137,False,1694217005,1696327794
71,3500000,3,0,59800000,59800000,1721,0,0,0,False,7092103379279021102,False,False,False,0,MS4wLjABAAAAdZ_2DfsKCvxsBdV-ZGYzP2U2-3fEzgVd1fZijsyxTpNBQsvaM0L5tI8YFfbwy329,False,0,False,dharmannstudios,False,1694217005,1696327794
9600,73700,2,0,6629,6629,48,0,0,0,False,6853962218590077958,False,False,False,0,MS4wLjABAAAAscHYL3_M_yA3taUBho2SXpYiAUcb3k5lMsIUX574TqRABH364_0_9lex9VPcoZjm,False,0,False,codeiinexx,False,1694217005,1696327794
2735,355000,742,0,2400000,2400000,428,0,0,0,False,7181048409716753414,False,False,False,0,MS4wLjABAAAAnLyWzyki94JGL8-4-cvhU3t2yPgj7D3pL4gpe-NJ3BPSorS8vR1DYu1TXgv6t1is,False,0,False,ghost_scx,False,1694217005,1696327794
