diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
802,137900,129,0,2600000,2600000,112,0,0,0,False,217901266214219776,False,False,False,0,MS4wLjABAAAA1ktcQeZnkJJC_Z7pGGD6Uboe20SND2XKwEfOHe-eNvxe7hdwhN7sIsliXqgULtq1,False,0,False,victorialand5,False,1692030352,1696025624
71200,4628,7713,0,108800,108800,362,0,0,0,False,7055401935675507717,False,False,False,0,MS4wLjABAAAA31HMpJM05D0xprg4tntESBRJYmfs-B4w9MisdvxTFTBwQ2jD0c-PonQ8pMk4aU9V,False,0,False,havxsx,False,1692030352,1696025624
0,144800,0,0,1000000,1000000,4,0,0,0,False,7282558691279930373,False,False,False,0,MS4wLjABAAAAL_BQawNH2V2Hg5Ik4SjT9gUuVzXAD2xPNE0VMMowRBrgWc0zQXKobjDSvQoIh6ch,False,0,False,princessryls,False,1692030352,1696025624
149700,27700,2606,0,262900,262900,269,0,0,0,False,6751547172846830598,False,False,False,0,MS4wLjABAAAAYHtfjkzaaKnwP8Jt2TnGW8M2NjAvHUnJwIeuqDua4H_41yivo9SwwCMcs2_INdVR,False,0,False,tama_mexicant,False,1692030352,1696025624
8758,1200000,866,0,23300000,23300000,103,0,3,0,False,7039726700595037185,False,False,False,0,MS4wLjABAAAAFTncoG1g6NaBGdH9HMsmtegU08_J3zyQRQUogRn0t5MJRwb55g6RkgQmgwzEfxL7,False,0,False,kiaro.yun,False,1692030352,1696025624
5832,276400,86,0,759300,759300,228,0,0,0,False,6833542187914626053,False,False,False,0,MS4wLjABAAAAlVNbipEHp6RrDlERvWfAu7qkvP-4bzeYEeEbsICPMMIonMCOR_5YhU37nQ9PCU-Z,False,0,False,andrermusic,False,1692030352,1696025624
1907,3136,470,0,6301,6301,39,0,0,0,False,7252811523651552262,False,False,False,0,MS4wLjABAAAAiS6xwmllTfU2cqRItMBftkmaTCB_uR4WWyyK8HrGlrTqiVPw2hrVgu2LV51j7u8M,False,0,False,ian88069,False,1692030352,1696025624
43000,2879,3664,0,49900,49900,273,0,0,0,False,7213453825474315270,False,False,False,0,MS4wLjABAAAA8ZNhJVJZ-i5joHSz-OF0L_2TAnSroUTil_FfhHmne0zeYhDhqZV37V3NK3CfpOmY,False,0,False,los_gemelos_82632,False,1692030352,1696025624
500,820000,37,0,53100000,53100000,313,0,0,0,False,7269947258648396842,False,False,False,0,MS4wLjABAAAAUi7sGWwkzOmV0YTSMNzyRbWZy-zsAYnz8sAvMuKbExRbPnKfskN3fFdIweLcRJft,False,0,False,ragstorichesanimalrescu,False,1692030352,1696025624
16700,2100000,153,0,17800000,17800000,1064,0,0,0,False,6770099328963920902,False,False,False,0,MS4wLjABAAAAU1LUUBsshDJROFVck2cNpMltS930YdMQxm6FKe10h68D_9_ir4yrTVPQYY7W4arN,False,0,False,malteada4,True,1692030352,1696025624
1014,12800,153,0,68100,68100,74,0,0,0,False,7125121658608976901,False,False,False,0,MS4wLjABAAAA3aHXrgh5MwExdeH06BgNlwf8-S7Z8kcP46Adpil982ElzfouljHN6-7bsIN-MlW5,False,0,False,elyeff_2,False,1692030352,1696025624
28300,689000,30,0,19900000,19900000,271,0,3,0,False,7054869733786944517,False,True,False,0,MS4wLjABAAAADrWrmSz6M-8hjRPmpvwoT7js6Qr29dgzNa2duPtsUj5qY35rfP_3Y6Po4hGa9XyM,False,0,False,huevardt,False,1692030352,1696025624
17800,81200,295,0,1400000,1400000,26,0,0,3,False,6972666836211123205,False,False,False,0,MS4wLjABAAAAO1x94abi9I5vsaaw8qWR7PyPfPuJbJJdE15msezgY2TIJhXscQT6M7t6r32bdmG6,False,3,False,lady_storytimes,False,1692030352,1696025624
