diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
9655,307200,368,0,516500,516500,126,0,0,0,False,6901788109388006401,False,False,False,0,MS4wLjABAAAA5KdZsCn20hc2GvzoPYc-CmVT-Iasdpjwt6BCATOcOM-jTnEzTaUJqv8KZ2Fw2TiI,False,0,False,007vinni,False,1696073019,1696270930
684,11400000,790,0,74900000,74900000,478,0,3,0,False,168255996132413440,False,False,False,0,MS4wLjABAAAA_JHnOwngZ8IdJ4eaisqVO-KR_ZJFt-Z19r-yk0cSwKl_QdHjwATdzw2924qG-15S,False,0,False,portiolli,True,1696073019,1696270930
83200,4258,533,0,270300,270300,10,0,0,0,False,6576605387578359814,False,False,False,0,MS4wLjABAAAAzU56ILrj3pkinWxDVCNzUZ3t1y6wbP1J3DBoMd4Ac55Eu_1nXI_dLSoWABHGjEDs,False,0,False,mwmq3,False,1696073019,1696270930
886,17,56,0,34,34,3,0,0,0,False,7192243199648433158,False,False,False,0,MS4wLjABAAAAQw1VnIxYM0oZjEKDkb2q6h2xVTxVvC8Y6AANNMP-Pn_BcLwiDoxAoqP-yk1bDQt8,False,0,False,eiilopesxz,False,1696073019,1696270930
94,612800,0,0,5100000,5100000,5155,0,0,0,False,7241940751714141189,False,False,False,0,MS4wLjABAAAAmQsT9g1Yb0uJ8GUBRqEWPqtAOOAgw5ayWPr6FJ8srBjmKKSAC54poCmEjkSN4c25,False,0,False,historiasedicas,False,1696073019,1696270930
40000,1400000,104,0,22600000,22600000,583,0,0,0,False,6971484332930401285,False,False,False,0,MS4wLjABAAAAJ1LCY92-ocxnqNwBDTFeUKN9ytC6WRR5dtc1gm-ExEe3dpHq_W5zR1OYlqENLsI_,False,0,False,creepercraft_77,False,1696073019,1696270930
9478,1044,445,0,12500,12500,32,0,0,0,False,7095491492386718726,False,True,False,0,MS4wLjABAAAAfOVm97HfsKZqqJmDa62Rgbe7w9IZrAEuUAck377NXke6OGwRcZFagA03hUZfzduQ,False,0,False,gingerell4,False,1696073019,1696270930
108,345200,5,0,1900000,1900000,904,0,0,0,False,7144178426936771590,False,False,False,0,MS4wLjABAAAA-T2fX0cB4BLb6HJk46JaTzkq-rqe0QASX05DkAqEWft7WSVRJnYscKmFLimcva7H,False,0,False,vuaxe.vn,False,1696073019,1696270930
27600,231000,8780,0,1800000,1800000,739,0,0,0,False,7183314482632950785,False,True,False,0,MS4wLjABAAAA32nwRjhQ9J9D-YGcw-6391qGhbEm1a85ODycKGzIpXgyiCAJFNBEjCBdQPHA_Cm2,False,0,False,senasugyama1,False,1696073019,1696270930
6,222000,6,0,2000000,2000000,60,0,0,0,False,7267409497277760545,False,False,False,0,MS4wLjABAAAAuDsyIBXnmqujG0dkG_ZVoOf3voEbVAWviHqKpBE-16ks00BnR0rGlAIfY5fx4IHf,False,0,False,showshair1,False,1696073019,1696270930
296,1002,807,0,2450,2450,18,0,0,0,False,7281619907677045766,False,True,False,0,MS4wLjABAAAA3g90Wly-fEwDZoFzmwx6AaHoWzpb_Qeqsn4RrpTar3oPr1KRbhzvE-x4hshxXfNc,False,0,False,chiara.pinscher,False,1696073019,1696270930
208,296,16,0,1193,1193,87,0,0,0,False,7163637661302277125,False,False,False,0,MS4wLjABAAAAPR7BcnQ2sEohxuoMl1PP3epHfwmRs36g3ntrTH54dQw1RGjmJae2oENEW7tSff1B,False,0,False,pedroenzo4528,False,1696073019,1696270930
252,3056,1240,0,7574,7574,314,0,0,0,False,6876523010540700677,False,False,False,0,MS4wLjABAAAAff5QboYPpawu3Px1P5tOuhKhVslJN2Qtvp6aUFfCqCYLYRAwKrNGyZJ45V9Px_L3,False,0,False,meushopexclusive,False,1696073019,1696270930
2133,401300,213,0,8700000,8700000,301,0,0,0,False,7002448081054090246,False,False,False,0,MS4wLjABAAAARMyCeBN7XD0IfCOERIhv-nGvsgJLqN7wH4_VSEAyRmxxJYLYFlDw6xLAham6Kslr,False,0,False,humoky,False,1696073019,1696270930
3472,1853,438,0,8642,8642,93,0,0,0,False,7236122991683732485,False,False,False,0,MS4wLjABAAAA1YxIzAFulEoLuOHyN6VHQzFZelm8e5_8yCRsv02BIfGZbu8E1NiBsK0760fYpjtb,False,0,False,retr.games.rj,False,1696073019,1696270930
831,127100,66,0,4300000,4300000,162,0,0,0,False,6769956489497183237,False,False,False,0,MS4wLjABAAAAAVEWetTX65pXrWcHeJRXgXhH9GuJyN6DoTlJLghrBqARRsjO5aTL_8GyZHZI--fc,False,0,False,shidoky_,False,1696073019,1696270930
9,488000,1,0,4600000,4600000,12,0,0,0,False,7276768340436517921,False,False,False,0,MS4wLjABAAAA2OHowIFaPlp3DMAbBzd0P5x4k5pg5P6KUfYOwQLat66UaVuEZ7h4eb0SE-IVqKcu,False,0,False,falling_balls,False,1696073019,1696270930
1246,28700,32,0,202400,202400,198,0,0,0,False,6813142319865512966,False,False,False,0,MS4wLjABAAAAz9sY2GFhCuW7PvQ3ucBKRU6fpE9ocNnIQUxbmx4fO6hWlOUJWJGCB_W2BV_lRRvl,False,0,False,_andre_fontes_,False,1696073019,1696270930
1977,2100000,128,0,64200000,64200000,155,0,0,0,False,7154095480720114693,False,False,False,0,MS4wLjABAAAAec9fv7f2Q1S97ZKYAI8y25m4uHt2WxYaOquPCL2eXDfbhlbNIKFxSGoqOnDEqKaJ,False,0,False,friqtao,False,1696073019,1696270930
187,2297,39,0,15900,15900,53,0,0,0,False,7277530290154865669,False,False,False,0,MS4wLjABAAAAi5bDJo5aF0QC2-Z-6-7LDm9Kl0EZmRcueT2v6Ux7b289zo8dq4nQOLsmQYF4DxW_,False,0,False,musicisawesome22,False,1696073019,1696270930
2085,5000000,464,0,107900000,107900000,206,0,0,0,False,6843142069609006086,False,False,False,0,MS4wLjABAAAAEHFhz5VV0aJg3K7p7eJy0v5BA-bmHqpvFEny-bFGT-7r2L9uYdpjP0WnDp9OmKuG,False,0,False,joshplaysdrums,True,1696073019,1696270930
4343,113200,806,0,1300000,1300000,33,0,3,3,False,6818261147415806981,False,False,False,0,MS4wLjABAAAASozQsGntm6_PrbiemHWa3sHWbF9abD7h-N6WV2xpyNEsol7fkJL9YeXRGNjQNs0n,False,3,False,brando_tcg,False,1696073019,1696270930
2242,2998,1233,0,74500,74500,61,0,0,0,False,7191924226890630149,False,False,False,0,MS4wLjABAAAA76zW81LTt2lDJiHIkbwmzHiN-BnjrtweN8sYKpsDctW5Y74fbAjPDmL2orYRFp1g,False,0,False,dgzinn_100,False,1696073019,1696270930
67,265,13,0,3131,3131,236,0,0,0,False,6814601564159116293,False,False,False,0,MS4wLjABAAAAoZcJ3RC6mkdvVZ5GT3QjjkzXdimxZdfEzM4U4ojJP7bd0L0zqcl2hy7jz_ZszF_v,False,0,False,heitorlima_oficial,False,1696073019,1696270930
271,1900000,3,0,44200000,44200000,257,0,3,0,False,6783449436430402565,False,False,False,0,MS4wLjABAAAAVyG5EXgHb-JPBt3mCNLtxSdNqxw1eRqsUnl_86xp98LzuSMD0aE086S_Wj65maLs,False,0,False,cyranmakesmusic,False,1696073019,1696270930
15,24900,0,0,0,0,0,0,0,0,False,7249932449806107674,False,False,False,0,MS4wLjABAAAAfFTrtQp7W42CtIlFBmAMRo6wp7sNYD2KhBVnJekac9bq5TFS_VsD4efFF3wG71bB,False,0,False,mubaraziz,False,1696073019,1696270930
31300,248100,2714,0,2100000,2100000,95,0,0,0,False,6610104229410078726,False,False,False,0,MS4wLjABAAAABKen8ZdHicJjafjFaVQPvyL8QDz22V2Y4fy6zFu4XwoAiK1DiDOkebA8a-eysJdT,False,0,False,garubeats,False,1696073019,1696270930
381,69500,357,0,24400,24400,70,0,0,0,False,7171113373056074779,False,False,False,0,MS4wLjABAAAAqaShE2Da1DAxhP-Ms9B-4hv8_22bDzcglJVOPovk7WjNFvXnMQqp-PeTkIVPQKC8,False,0,False,nguoinhenlive,False,1696073019,1696270930
46100,427,183,0,3060,3060,68,0,0,0,False,6721002578425005057,False,False,False,0,MS4wLjABAAAAH0VbIVkrQmJGVvxG7gyqfFBQgf91NAModDex0N9xuhTr_QKVxQIj3-jfFa3tSpfc,False,0,False,cortesdahoraff,False,1696073019,1696270930
10,11400000,4,0,142200000,142200000,136,0,3,0,False,6599050370055340033,False,False,False,0,MS4wLjABAAAAp74yIxDyl4NuXvkuUs49YmUlH5yXUpN_ejp4xs7JzEJpyruCJi2mhCl4P9Ebcwb5,False,0,False,maytree_music,True,1696073019,1696270930
