diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
942,104,427,0,26,26,1,0,0,0,False,7215636397460767750,False,False,False,0,MS4wLjABAAAAU1RvEDc37LQDTSpnelx7VjZzg7Jg5lOxUUZk7nmn1s4pfHjh53x1pcmW-qUh-TQD,False,0,False,leonel_723__okk,False,1694190259,1696124345
54,55700,30,0,98900,98900,28,0,0,0,False,7162614466399650818,False,False,False,0,MS4wLjABAAAAGicOuw9J6mTtemS38E5UwBQkghXli2-5ovhnyExggOfLYu9wjV5jGoViW7kw0nND,False,0,False,kantoutanutarou,False,1694190259,1696124345
373,11,399,0,1,1,1,0,0,0,False,7284162297923437600,False,False,False,0,MS4wLjABAAAAtMy752RdS2BVpeV74aIc8nWiTeI6WbJcibfiCcz1QWxSkvm1iteUHl-s_Luw8ckW,False,0,False,mazie_ucv_2609,False,1694190259,1696124345
47,162600,25,0,0,0,0,0,0,0,False,7163068617016263685,False,False,False,0,7285675000006249222,MS4wLjABAAAAOfiV6D3uy8Qq02PQ8arNiv7cy1xCQdcJ08FuJ8lPzVo_OBPy_vWSqyVYKqu7M-gT,False,0,False,eunatasha.oliveira,False,1694190259,1696124345
2617,17000,44,0,1729,1729,18,0,0,0,False,6802675239361954822,False,False,False,0,MS4wLjABAAAAXD-mijs0QMrSNGxAu-dtjRAaH36xmv49WlGQPndKkut-HnqDa8kLUA4kgFeyKQ3t,False,0,False,weroo_mx1,False,1694190259,1696124345
6783,659,1231,0,5674,5674,124,0,0,0,False,7032344520299152390,False,False,False,0,MS4wLjABAAAAgd_37TPtDAKFVbKClq72KgLaMOxJJV-C-1sdgCkaFnwd8k_yr-2mKUWTc97cR8Kp,False,0,False,izukudark2,False,1694190259,1696124345
65700,26300,5263,0,74300,74300,107,0,0,0,False,7072543454802871302,False,False,False,0,MS4wLjABAAAATYo5-sKqk0sWOvC05b2YAFC5DLCY8xejRo9AmuTMsTkD0Bc4BRPypK78KwBqWIR-,False,0,False,influyentetiktok,False,1694190259,1696124345
8793,1097,1042,0,979,979,30,0,0,0,False,7111515120748004358,False,False,False,0,MS4wLjABAAAAqSc8OW_l2g1Yof4Ed25_2UG4b-YTLPtkCrhFKe_wvFLlVAF9d-QLTY7dhW_jpPR7,False,0,False,_teodoro00,False,1694190259,1696124345
487,194600,243,0,514900,514900,67,0,0,0,False,165690353700888576,False,False,False,0,MS4wLjABAAAAPXFjuXQnMgVBXJQ-fcM9H1JlRNh0KyAL6gJHFA69QFW1g3KY3Z1o-SciRvVSLlry,False,0,False,santiagoangelyt,False,1694190259,1696124345
4483,147500,422,0,1300000,1300000,87,0,0,0,False,7200820218016449542,False,False,False,0,7285804078696073989,MS4wLjABAAAANWxCCQxUjAtOGnWOb55CboeeHIHIS99v_jxZl35pEwyb6oAtDvO3fIhh2LuDm4yq,False,0,False,ignavicxdd,False,1694190259,1696124345
28,755500,4,0,783200,783200,8,0,0,0,False,7269817257529066528,False,False,False,0,MS4wLjABAAAARoZy2vcfyg3Egl1zNm-XHYhyxYd_Q-Phk9yBoRCaUWNpEVebXrPr5fURLkkJh8fE,False,0,False,isrhaul2,False,1694190259,1696124345
302,255,275,0,82,82,29,0,0,0,False,7254004561768907781,False,False,False,0,MS4wLjABAAAAthqgZ5ecBb1lDUhWXyzX3ycZVCVJqkgRYQE_H9OBHMUkfSA8f_2HTeOAx2IWv-Yz,False,0,False,user4587425970221,False,1694190259,1696124345
80,1100000,8,0,69600000,69600000,214,0,0,0,False,7214184651747886122,False,False,False,0,MS4wLjABAAAAxatXNvRxNG7-wsyo87lR1WijPDXtt03UvZ9bRCSgef4VHIPWT77cIKkkrIa3KR8d,False,0,False,king_mvp23,False,1694190259,1696124345
3899,89000,203,0,1100000,1100000,80,0,0,0,False,6974420484939547653,False,False,False,0,MS4wLjABAAAAt-jVUxtnvXzZt1yF70lW7bzQ9ncb48uNPXmxTvOtA7zzlBWgIGYTnXWI4jGE68Cn,False,0,False,halulumi,False,1694190259,1696124345
2399,7410,221,0,4637,4637,22,0,3,1,False,6816816122940113926,False,False,False,0,MS4wLjABAAAAICk7gG5w8xK5d5enlQv5bLj2cZQNzTp9kOX9cZI728UpjqZWQoPqS_WED_fbnEVA,False,1,False,retro.og_,False,1694190259,1696124345
5601,27700,1879,0,250300,250300,175,0,0,0,False,268887706691330048,False,False,False,0,MS4wLjABAAAAr9qBzap8aZVZBTjZiUEi39keLy3u8kkK8jMlcMPGItAAqpHIZAeEti36Y_uI0lC8,False,0,False,juuanfa,False,1694190259,1696124345
627,42900,330,0,261100,261100,5,0,0,0,False,7064950609414276123,False,False,False,0,MS4wLjABAAAAlSPj0G3ACCFncQMKwYd3ff1V1Vuc4PEsfJG6zOZ7PmhZUGBDMwEXTVwr3xnCax-x,False,0,False,depers21,False,1694190259,1696124345
77,2832,88,0,1022,1022,4,0,0,0,False,7127772831338087451,False,False,False,0,MS4wLjABAAAA4uxhrLF63UPf_hh7D8ttO7fcmTMqdjOKdkkr210aFV5382-nzKd7C-LH4dskA40N,False,0,False,realzetoo,False,1694190259,1696124345
16500,291700,666,0,1700000,1700000,114,0,0,0,False,7008726959295726598,False,False,False,0,MS4wLjABAAAAfWz_XOh2vF8McXVFS1L4v3bIYssWH4dwHpYXolayECuNCClhLKk3icUQtsZPVtt-,False,0,False,mikepops03,False,1694190259,1696124345
1431,841900,302,0,5300000,5300000,200,0,0,0,False,6734079896744150022,False,False,False,0,MS4wLjABAAAA4VTFyf6AZxpCaEXx4kYjPnG8GZcxZF3MPcse0H8XopT_gmgkv5zynaj50GznCDFq,False,0,False,thenikking7,False,1694190259,1696124345
244,21600,472,0,2174,2174,78,0,0,0,False,7098946131100451886,False,False,False,0,MS4wLjABAAAA-nHbstZl6cBZE3wcIOeYtR8nw6GRCb6B4fSueMOeg5rip3wAFckSvKhFsmkbD5TR,False,0,False,gamehuang8,False,1694190259,1696124345
33800,2510,530,0,268200,268200,88,0,0,0,False,6893261805939409922,False,False,False,0,MS4wLjABAAAAt_ju073K7ajMFKxV9RvtAZUBE-qgyDo_FxztEEn5Sy6nTUvcNg6SKfW6ArwISQ7l,False,0,False,marcosantoniogonzale,False,1694190259,1696124345
163,3861,5842,0,678,678,2,0,0,0,False,7272191081335833605,False,False,False,0,MS4wLjABAAAAVw0YCTE5pfx5LeCih9GlCzJxqLmAn1ZJ-NgJpbfJM4PH-5BKQ2sibpEEwLaGE_6S,False,0,False,de.todo.un.poco9662,False,1694190259,1696124345
38,746500,24,0,36000000,36000000,132,0,0,0,False,7264975850411115552,False,False,False,0,MS4wLjABAAAAa_In3jKhnFOasA18ExcW_O6cd_8QewubxeArcVIgVG0S1rzO-S5AwVbXZmGr59t8,False,0,False,basketwithball2.0,False,1694190259,1696124345
24200,127100,1717,0,2800000,2800000,281,0,0,0,False,6626492780367790086,False,False,False,0,MS4wLjABAAAA2FiuaF1wN9UzCZ1DcLYC7MeDIYRXChZL08qwHMl5ki8iHEj4ucRGX68zGbxnHH3R,False,0,False,identidad47,False,1694190259,1696124345
37900,9000000,85,0,157200000,157200000,2156,0,0,0,False,6643141859110010886,False,False,False,0,MS4wLjABAAAAnYn64E0c9nf0uRBAP76nOUHJjK9miisGvTXfuvszLNTKn4Mx9tphJWR_TfFlWw0J,False,0,False,soynaash,False,1694190259,1696124345
249,2898,1687,0,2705,2705,63,0,0,0,False,7209764147633325062,False,False,False,0,MS4wLjABAAAAARtXmy0nGSH2qmPfXGQm7XR0GyElPXfE1HrFAFf4pB3GrMBnwolvnTplwL3gbE7A,False,0,False,eldamon_juega,False,1694190259,1696124345
140900,12800,4409,0,150100,150100,17,0,3,0,False,6888859442932597761,False,False,False,0,MS4wLjABAAAA3bX6Xr4CmtFKBgtVUBOaSLGaY2CsgcDB6vAGwGZdw7_JAkjgk2jMSUPvZSg2vrHs,False,0,False,esp_.geography,False,1694190259,1696124345
2823,17300,2507,0,45200,45200,96,0,0,0,False,6819825748816528390,False,False,False,0,MS4wLjABAAAAIDtEKKVH7nU19zExSxFcdigK1GRiL4XbribUQpUVClIa2NEy4ZBhHFbFO4JdHWxy,False,0,False,kadoff__,False,1694190259,1696124345
14700,19,160,0,14,14,12,0,0,0,False,7052865920615810053,False,False,False,0,MS4wLjABAAAAEn9cq2yUvhUy3FuWOq30q0tY84k7REZfqN3jdmcHd9cqEuy2iblpOnw0gNKrYm9v,False,0,False,____juann___,False,1692237008,1694099886
318700,1100,1454,0,4701,4701,19,0,0,0,False,6784214284345345029,False,False,False,0,MS4wLjABAAAAnaDRqqaH8JKI3kykR28vF4QzulvyGifM8Qo36AJv7Cl_7vi-3PYgtbboK9qQqB7w,False,0,False,prisciiojedaa,False,1692237008,1694099886
194,56700,0,0,458300,458300,0,0,0,0,False,6910355332230661125,False,False,False,0,MS4wLjABAAAAOhuxXa0t1QVtFqygquBqODEaUc7KvqpGOD0FHMe616dZ5S1IQb8qdHXcSz1yU0ZN,False,0,False,cutesunarara,False,1692237008,1694099886
434,19700,30,0,501200,501200,79,0,0,0,False,7099933610287154182,False,False,False,0,MS4wLjABAAAA1T7iwhR7HE_5iCtH9uF-ULv29g0u99UIL_1aT3VNTu8imddpUKRcHxlWn-ckuGLh,False,0,False,neitcomosiempre,False,1692237008,1694099886
1347,395000,5116,0,18000000,18000000,554,0,0,0,False,7211321381950538758,False,False,False,0,7285810881173162757,MS4wLjABAAAANMXU_UI7z9Erf5s5LU6pDNx4lv6n9doODoIOImog9geG4MtwYFbHX_LuegYELgSi,False,0,False,unshowmas0xd,False,1692237008,1694099886
16400,45200,5367,0,76900,76900,47,0,3,1,False,6857525395038782469,False,False,False,0,MS4wLjABAAAA5igDavAX6DsLfDCSr_Zxf-wj36fSeUUQpUG_hv6xLqU5pYUipKQUgoSY4gtjemct,False,1,False,alanmaqp,False,1692237008,1694099886
369,12900,0,0,304600,304600,42,0,0,0,False,7198583044759897093,False,False,False,0,MS4wLjABAAAAhdf3p6Pw_tGKDn_xuJlDMeR8A33VoxVuvPt64pHdYRI9w91tDniDC5LgTy2X46WD,False,0,False,edithvideos4,False,1692237008,1694099886
557,48,386,0,37,37,8,0,0,0,False,6876812134053118982,False,False,False,0,MS4wLjABAAAAJfSd5yba-hHOl7jgNrb_CNoYv8IQ9E9zms3TbQ48J4xrwAA4Mw1O6wbPyWNgkqyH,False,0,False,bastian._.rey,False,1692237008,1694099886
15,533,11,0,1495,1495,24,0,0,0,False,7233919437346112517,False,False,False,0,MS4wLjABAAAAJ5Y2hPWHVqEenlEtfJXxp3j1FjDfEQY8T_J3p5LgRvmbk0ALBq_k2IQG_5HRee_0,False,0,False,alpasoricoyrapido,False,1692237008,1694099886
35100,180,9983,0,246,246,57,0,3,1,False,6915979699488703494,False,False,False,0,MS4wLjABAAAAm8kRD_K83DQJG4Uf8LPYOYqvCPofuJY3dxooGo4E-l7rSOxntEdItcTbLdDjeyoK,False,1,False,franciscogatti0,False,1692237008,1694099886
1474,8211,1858,0,3290,3290,165,0,0,0,False,7069473115122713605,False,False,False,0,7285825186561198853,MS4wLjABAAAAQEEdHQ45AvldXD2L-gJO7niRCerqe_w3vojKvbLxnq-p2jtoyEFd8zdwUZV5gyRu,False,0,False,velocitty99,False,1692237008,1694099886
727,23200,418,0,1462,1462,0,0,3,0,False,7182081284214014982,False,False,False,0,MS4wLjABAAAAN0xZhTXQq-EHV5C17q_pEH_sGvxc4myMgaUdsIQ_XsThbVbJuXaW_olQWwm4s8Qt,False,0,False,sultan.farid.hasan,False,1692237008,1694099886
2821,7324,87,0,471,471,9,0,0,0,False,7032774116461675525,False,False,False,0,MS4wLjABAAAAQdrezV8RKVQt9EDsZcLVZyVu9tngEdVCz31EqrYIhF214E1gFhgsO9iBUJigUZEO,False,0,False,same3juan,False,1692237008,1694099886
451,9,49,0,30,30,4,0,0,0,False,7271802983988986886,False,False,False,0,MS4wLjABAAAAHD_jnhZ1-Sl5hjKmcEbQ1zBb-I5v3aRzvtPc-npcMk9zMIcT7PQQyhK47hWMPpaP,False,0,False,titan.camara82,False,1692237008,1694099886
2,2144,8,0,90,90,8,0,0,0,False,7228774141838623749,False,False,False,0,MS4wLjABAAAA7UNmMMRvIgT_nf4zt7pIBE4cKnu7Gw2Wo-UBdBRr4PQ49w6V7tPYJ3ApaUrzvMJA,False,0,False,danyplei7,False,1692237008,1694099886
16500,919,8179,0,3659,3659,149,0,3,1,False,7065847878983386117,False,False,False,0,MS4wLjABAAAAP4CK7gz9K1vCvcPddKXytH_vkxBV9NR95C18NiA20GkpgoqlOyMKYIDn8VZDN550,False,1,False,lautaronavarro417,False,1692237008,1694099886
498,3347,2242,0,1755,1755,38,0,0,0,False,7129941343824069637,False,False,False,0,MS4wLjABAAAAStf_oI4qEgcGObI_FrLNEE01D5R2Ap6QFaDSU4L93wXTkasYxjvhUNOJJYfmMfyg,False,0,False,axelitoxldz,False,1692237008,1694099886
1026,30900,261,0,241800,241800,296,0,0,0,False,6749288868963927045,False,False,False,0,MS4wLjABAAAAvCeymfp28TRODhaZ5Cw10tq91tNJAmgw1UBo2o4pojy4XlfBQFqVqx6rvO-9vFEr,False,0,False,fancroo,False,1692237008,1694099886
960,315500,131,0,2700000,2700000,62,0,0,0,False,7109495518016062469,False,False,False,0,MS4wLjABAAAA9SLYxM_kD8_HpmNk1S-QIz3pFuYG6Z4eEKUpYdUJRE5jg_JJ23wuRiyL1dW4odgJ,False,0,False,manueruq,False,1692237008,1694099886
30800,95900,5934,0,877900,877900,807,0,0,0,False,6869811502397490181,False,False,False,0,MS4wLjABAAAA7oY1CQOKSXb4S_G2VYwg0rYJgs0T7G1DonyAO0gnG8gjIKZiVyxuYunLry6VFUUY,False,3,False,zetamikel,False,1692237008,1694099886
842,339,105,0,4620,4620,3,0,0,0,False,238821230131494912,False,False,False,0,MS4wLjABAAAAFkvmpRPupZbf-FMI8er3YRb_MKTu85y-668u3EZW4ASgmoT-y9e3WIaG5umpiGqP,False,0,False,josejaaaa,False,1692237008,1694099886
2372,2057,128,0,109000,109000,14,0,0,0,False,7232725994670474246,False,False,False,0,MS4wLjABAAAACX-zXRISb6PFQ_esXqYv8ITfmzhR8Rj6H-c5gUQzPbSkXVBCknadm_eKMfC10_8e,False,0,False,momoluvsrx,False,1692237008,1694099886
31300,9485,2334,0,2545,2545,20,0,0,0,False,7165398314136404997,False,False,False,0,MS4wLjABAAAAHxNGYVkj91f8sK5HGSJ7Pk0BCHOjodYtRLFnYzE0DI8H-C-dqD470lA9wDMsVHZb,False,0,False,tik...tok...er,False,1692237008,1694099886
3169,3151,3723,0,4143,4143,455,0,0,0,False,6555201417940975621,False,True,False,0,MS4wLjABAAAAA2rbKpQAvO5D_hdivd129UTJJXLltKCRvb-S7QFSrnJHwRcNMguW_a55mTtaYAF_,False,0,False,pilarsarmientopin,False,1692237008,1694099886
32600,7456,465,0,355200,355200,125,0,0,0,False,6645230363664089093,False,False,False,0,MS4wLjABAAAArUhcFh4LHlgvmyEo2dvACQxemd0CshGCRSSv0yzDYPrT--vrf9yerZFM269MQvwc,False,0,False,xleomarie_,False,1692237008,1694099886
17800,249,951,0,557,557,4,0,0,0,False,7098793840782476330,False,False,False,0,MS4wLjABAAAAT54cV0ra7pJc6dX_88w5LItCmPc0hhgclhtvZGIFVmRl-9HxDkdmy8dU1Y3bh20V,False,0,False,863.kamylo,False,1692237008,1694099886
4892,2535,5665,0,3206,3206,217,0,0,0,False,7140371973307761710,False,True,False,0,MS4wLjABAAAA1HZGc6bqdfYoTm421zZu8dIA9Ytm4dA-MAS7L_cKjhaw4v1A9mVLa71d0TAgKUWE,False,0,False,sakuragoslar,False,1692237008,1694099886
808,2279,2222,0,158,158,5,0,0,0,False,7234317632177439749,False,False,False,0,MS4wLjABAAAAonxtaKcENX8VSZHoOYRcgOJUzebNHHaIQvDEn7US1BzVwcq4N8kskEXoi_JlPkn1,False,0,False,victorgonzlez00,False,1692237008,1694099886
2455,4825,9527,0,113300,113300,766,0,0,0,False,7047310291566543878,False,True,False,0,MS4wLjABAAAAQce9WG7Qy6JdvSXsmU8I_qhE44g6ROG8FOSsV6i8uMTkSAEqosO0kAmv0MI_HK7F,False,0,False,michitok82,False,1692237008,1694099886
