diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
108,868800,8,0,14900000,14900000,207,0,0,0,False,7078013172616496170,False,False,False,0,MS4wLjABAAAAYuc389ef-OuTN5vzq6vDkNuG18XUns23qZKsptwBfz3xx8oSY4XQLjEQdocKK2PO,False,0,False,overwatch,True,1694935895,1696334634
30800,626700,4719,0,13200000,13200000,160,0,0,0,False,6788945463971513349,False,False,False,0,MS4wLjABAAAAXAIHLe8BxSGmJCR2HKqbI-YuWD7iVF9fpd8Q5Tdw582QuzuXlyouGjdV_QDyjmPa,False,0,False,javadoodles,False,1694935895,1696334634
300,4163,2204,0,227200,227200,47,0,0,0,False,7241155200400016411,False,False,False,0,MS4wLjABAAAA38Di_wQkTjJjwt0RdsmOWfvKuGaqS6BLE_75fWL7tHKO0grNMaKtOQRJQtRKPeVR,False,0,False,sir.zoot,False,1694935895,1696334634
114,5981,10,0,119600,119600,31,0,0,0,False,7243212780420449306,False,False,False,0,MS4wLjABAAAAx37ELJGmyrsAJ8y-JvAnZczrK1B8szMlBSM5DjP4d2O-4L0NGWDVzhSiRo_JYsMK,False,0,False,meanwhileinsweden,False,1694935895,1696334634
804,124300,67,0,3400000,3400000,54,0,0,0,False,7127811841053918214,False,False,False,0,MS4wLjABAAAAbvHAinZDp2UzmVYW8NYK-KoKz6fyyu-W4eBcRu5wVifnRBgWhoz6Gnl_LwQOieLN,False,0,False,weedensprod,False,1694935895,1696334634
71400,543,103,0,162500,162500,46,0,0,0,False,6932487492571612166,False,False,False,0,MS4wLjABAAAAvkmLE7i_I3SLzziK6RSLaLHHr-lnh4LUtYeKHeJzqky22dp_xn8QkCj-QxBowVAU,False,0,False,sgxnojump3r,False,1694935895,1696334634
3,22000,3,0,732600,732600,46,0,0,0,False,7258081187037987883,False,False,False,0,MS4wLjABAAAANU90z3TuhUJhHpcrOkOOYPIJg6ZoET-RzGBjyL-uHHbkd2H6eqmhEL5NsUAm2vLt,False,0,False,snkr_slides,False,1694935895,1696334634
8,39100,3,0,945100,945100,16,0,0,0,False,7278363905607844907,False,False,False,0,MS4wLjABAAAAUR7BFVnJTPq4c1OCX-iVlbyQVg2RYgyJEpz0K6BPo6Rvx_1zTQH4SvWom549sjEh,False,0,False,gios9s,False,1694935895,1696334634
1997,72400,17,0,955700,955700,49,0,0,0,False,7108064486817743877,False,False,False,0,MS4wLjABAAAAA-FhAsfMUU7U_AJ8kYOKEG16N2bE-FCg-d8yFP85_5dHL1PmRETZgp8ifPP5SCUS,False,0,False,biloeffect,False,1694935895,1696334634
775,271700,12,0,13100000,13100000,233,0,0,0,False,7248236920656036890,False,False,False,0,MS4wLjABAAAAksEL3ekK8gxEBifHF_7xvyNQ2wTlzGU3X9q5OIBCOfVCkOZX3L7E-AOpkA7vM-1u,False,0,False,zootube5,False,1694935895,1696334634
108,14500,251,0,333400,333400,137,0,0,0,False,7257162671954560027,False,False,False,0,MS4wLjABAAAA9bzKxIavEByF0dqSpBIMHT0J6lrZv91sjo3wEnRcTNI7pjfc6c7Ai_YC63qAxybn,False,0,False,bruceee.leee,False,1694935895,1696334634
22200,1747,234,0,76800,76800,54,0,0,0,False,6812301909924873222,False,False,False,0,MS4wLjABAAAA1mHnh8kgIctOyiYicnq4lUQcZtOhjLtz9mS7mfpIEspDPw8JLaoYog6rgDTJH68Q,False,0,False,tildepussochkram,False,1694935895,1696334634
89,130500,61,0,27200000,27200000,822,0,0,0,False,7155822979425879045,False,False,False,0,MS4wLjABAAAAiC9BVFIQr1u7k0QYs4wTU_S0y6L-9ew2MTINpAnR7fVm5MmyD8fGJmKeW1vbkGtm,False,0,False,overwatch.videoz,False,1694935895,1696334634
17600,100,300,0,0,0,0,0,3,3,False,6753286817115816966,False,False,False,0,MS4wLjABAAAA--BHcnOJ7kBjhrlV3TSUgcdFTyYeIh91Hz7OdeUiLFK5CyI4aUdElnUHVRgB596s,False,3,False,arudalb,False,1694935895,1696334634
31600,827600,675,0,122300000,122300000,1201,0,0,3,False,6788393943199876101,False,False,False,0,MS4wLjABAAAARYtZ36cTiNwBEfgIPCf4MvbEMbV2aLeKLomcJbLppwpKHoe2NsLZobU1ZnjEniet,False,3,False,phenomenal_gaming,False,1694935895,1696334634
132,854300,2,0,11200000,11200000,261,0,0,0,False,7194124025600803846,False,False,False,0,MS4wLjABAAAAnz3GO6DOvYrqKPi0jPOco-Am517QUzArFMDUDPz9o38w-68rfBwZcUnP6g3p2mNR,False,0,False,glowuptrickz,False,1694935895,1696334634
42,121900,9,0,5900000,5900000,96,0,0,0,False,7257621936308962346,False,False,False,0,MS4wLjABAAAAee8TrYVdwWE3QqulrrVxvW9mEd66kUM6pLKYZOhMuJVnQjlalJAbHLcVQhC-S0Bn,False,0,False,m0us316.music,False,1694935895,1696334634
240,2567,4,0,65100,65100,34,0,0,0,False,7184852501480358917,False,False,False,0,MS4wLjABAAAA8rvVrnZnJJDQ911lbEQsKSmnd0g4Rv2_TWgUH7MVO0WEcQiK5B2frELzm5HlpEkl,False,0,False,lostmeforevernow,False,1694935895,1696334634
429,60700,526,0,6500000,6500000,368,0,0,0,False,7205946600287781893,False,False,False,0,MS4wLjABAAAAg5eQ2VZQdQxACgAXOWw1JfvHLCGz3QTlFYkz4CX_HSle6udYZkE-k5d5LScGUUZD,False,0,False,laugh_130,False,1694935895,1696334634
25,1361,2,0,16400,16400,3,0,3,1,False,7233889858569061402,False,False,False,0,MS4wLjABAAAAjtmvtZ37DYht1d4JnMDuzRRKFaFQDZEWGEHJS8aXkMVrzvLYt6B1mNjaNk_8BVeS,False,1,False,vad.ska.man.hetta8,False,1694935895,1696334634
19900,330700,2,0,7000000,7000000,29,0,0,0,False,7253786223495463962,False,False,False,0,MS4wLjABAAAA-MnFl8ZkTjTYbdQQaZ-RMRV1NdB3Rqf3XvztV3n21MpPrJVOgCPMwobwvnyEn9JT,False,0,False,daily.slideshows80,False,1694935895,1696334634
175,22500,3,0,1100000,1100000,68,0,0,0,False,7256844948821476395,False,False,False,0,MS4wLjABAAAAo0ttNDbG54cTL4dox4zPxWnobYD5-sDm7nvrB9xDMQozR1d_hgCpR-AFndRPGwlK,False,0,False,trywingman,False,1694935895,1696334634
13,1029,1,0,217700,217700,38,0,0,0,False,7067779132751135750,False,False,False,0,MS4wLjABAAAAtttLql8MopxI-dl8t6MjAN4dBG7zYQ1loKriwrn_uTpssdfG2PJjCYKuLZlto21N,False,0,False,j4kk75,False,1694935895,1696334634
19500,1657,215,0,246000,246000,24,0,0,0,False,6907066449974543365,False,False,False,0,MS4wLjABAAAAdxq-jicsbHBIHVjHD_L7ZUgjaCTle28ABpwAEaY7jjZpZojYBb4PGXBHsMX231TI,False,0,False,lowkeysmfd,False,1694935895,1696334634
185,411,0,0,34800,34800,8,0,0,0,False,7275849430723707937,False,False,False,0,MS4wLjABAAAAMHfPrjsZpMVNWWi6AzJkhXuDtn528M9dE9Xm2xz-jv-qGEK_TYNx96FVy2HsQwSw,False,0,False,matthew.crosser,False,1694935895,1696334634
871,158,262,0,265,265,25,0,0,0,False,7119805793306248198,False,False,False,0,MS4wLjABAAAA9iElWWdNrUMKQ_xG6WyR51mLtw-dpIZwEI5SBz6lwr4frScygjLZISf9SaZjgnDI,False,0,False,hza9900,False,1694935895,1696334634
3187,248300,16,0,11600000,11600000,236,0,0,0,False,7058738417836295174,False,False,False,0,MS4wLjABAAAAeNR8yXiE9RZt83Bh0QVMlh2rNws6J9spl1MgKggbsV9h1scwdA0b9k6PICWP1STj,False,0,False,dresplug,False,1694935895,1696334634
74700,7300000,1133,0,426100000,426100000,1544,0,0,0,False,6566224483814916102,False,False,False,0,MS4wLjABAAAAJRnhMBEyF--YBEvGtFOTOaynTt7FpFO61wyC8Tru5lwVLR_2AvqCvNtpEFc4em6l,False,0,False,miantwins,True,1694935895,1696334634
2483,753100,114,0,30500000,30500000,1329,0,0,0,False,6814864401860199430,False,False,False,0,MS4wLjABAAAAEWlXq1sBbZS8DXZkBgQ76r6VuFXzKPTpS-WWG-cfxSL1Ju9e2Pc7Q3oQOWb0in0b,False,0,False,yorrriiick,False,1694935895,1696334634
507,5740,17,0,232700,232700,38,1,3,3,False,6940016831676269574,False,False,False,0,MS4wLjABAAAA9q4QQ9zgoEiu6igN3pvD5MSNIXkkcIpY0oqlgR1pdc82zUDeS5kln-GkjDMgVKt1,False,3,False,k.memes1,False,1694935895,1696334634
65,503,1,0,8462,8462,6,0,0,0,False,6951864832065061894,False,False,False,0,MS4wLjABAAAAcqfdKPyrkNfSNmItJAbcxenM3_TBooYD9P1dlGuHNIXh18FAbfZeUJkeGmUOO140,False,0,False,startklar_achoooo,False,1693903589,1694889842
4,7128,0,0,93600,93600,13,0,0,0,False,7278242814113907745,False,False,False,0,MS4wLjABAAAAGT_exgK-CAa1439mTTGdVVbK5wfkWGC2MWXYENwXdd8JwoaWdJGhXMNkpI2i4Dcu,False,0,False,smokers_official,False,1693903589,1694889842
232,6,9,0,17,17,2,0,0,0,False,7191490501354177582,False,False,False,0,MS4wLjABAAAAofZnOAlOYElpgn2X0FsGG6I2ky_URB-SEJhwwXbmgr1TTzp8E9MeExybN5uS3fWC,False,0,False,leesleepylol,False,1693903589,1694889842
2180,37300,9916,0,1400000,1400000,1865,0,3,3,False,7011538383831729157,False,True,False,0,MS4wLjABAAAA_SFIH0DTZzwF1lZKa1zJBuQUFAUcQ89PNq_8GFnsgsugjGayVNIf20Htx_c01I6f,False,3,False,maxpower946,False,1693903589,1694889842
124,271600,18,0,4300000,4300000,51,0,0,0,False,7275207996202976261,False,False,False,0,MS4wLjABAAAA0tBLnSVp9jFCAJFa7DAAw9KJFL1_rV1rZXzTRmAhGSeZceuUbriw8QH6dF8hDtqJ,False,0,False,verizonslideshows,False,1693903589,1694889842
858,16900,35,0,847700,847700,231,0,0,0,False,7208912394017866757,False,False,False,0,MS4wLjABAAAAGy5CJyuXFzLhpqRUuyvLurLH-oBxGn5vMknYnrNzE3t8X1KA1uyCWS0rDDAn9z1s,False,0,False,sverigesmedia,False,1693903589,1694889842
31100,6408,588,0,629700,629700,109,0,0,0,False,7215955508578780206,False,False,False,0,MS4wLjABAAAAS1tuZlt_TjyXIqg5OEcX1eGJ6Jt_-kwBrFFx5cRcfPw_l9n5hIdcu8sCrNPDENlj,False,0,False,clapped_obs_chevy,False,1693903589,1694889842
1511,1887,8,0,189800,189800,10,0,0,0,False,7256441127133709339,False,False,False,0,MS4wLjABAAAA8orvCiZe0Gpc229DgNWAmbT4zcgIAWlY7GoZx4xJPkPEUERi7JkCL0i8GaHGaYFt,False,0,False,vadihelasveariket,False,1693903589,1694889842
1,70800,0,0,1800000,1800000,27,0,0,0,False,6603482527872188422,False,False,False,0,MS4wLjABAAAAnyEUE_ug7H72PPfsF6_OiZTsWg9qAmSOt5eZI9n1KwvSIrfvPghjBXjiq-yuXJWk,False,0,False,.callthegames,False,1693903589,1694889842
1161,1137,146,0,54700,54700,17,0,0,0,False,7215897935178302470,False,False,False,0,MS4wLjABAAAA73c8QUBc7-MbtfoyTBStDVL_C7i5HhIItAaLWckCipwIysX447EsTn8uRTcHJt_G,False,0,False,alvisssssssssssssss,False,1693903589,1694889842
102,1877,23,0,50200,50200,3,0,0,0,False,7269749613774144544,False,False,False,0,MS4wLjABAAAAZkGC3Dj0hiK__3Md1jCh6ySDVMhZ3pV5rIsG0DTxrwsc6M_D8VVn0qQsKoI3urUt,False,0,False,alma.krasniq1,False,1693903589,1694889842
2,17200,1,0,429100,429100,16,0,0,0,False,7273862462116676640,False,False,False,0,MS4wLjABAAAAv0SniUyhklL4mkighkSyVrQcJFNB2hQKvkaTznScm54dpKAH9b_XJ0tIW3nLrizP,False,0,False,klckrnt,False,1693903589,1694889842
1246,6880,971,0,2300000,2300000,530,0,0,0,False,6928598522121012229,False,False,False,0,MS4wLjABAAAA7zohmPqYHoGOlpzw5XqT128qkhTBLzCT5-qjpP887QsM9bDsofAvZ1TgLrAvfLcl,False,0,False,dtank_ow,False,1693903589,1694889842
525,3084,2,0,152900,152900,33,0,0,0,False,7205938330381353989,False,False,False,0,MS4wLjABAAAA0CVu2yAsZc3tabRe0IdjmiviKkhuE70ekTbXaS8qENDdzRjt1Obnc-MaGEC0sC0a,False,0,False,europesnuss,False,1693903589,1694889842
1929,160800,64,0,2600000,2600000,57,0,0,0,False,7236026290049467419,False,False,False,0,MS4wLjABAAAA8LrFkqzqXPu43WzHvxP4zvShqk88NrDEi62GZjS8O57PkPZVk17-TzbmPIWUE64A,False,0,False,kapplastavarna2.0,False,1693903589,1694889842
4578,11500,141,0,668400,668400,191,0,0,0,False,7021086887692829702,False,False,False,0,MS4wLjABAAAAj5hRJ7wsW7o1wgmVjHRUC-8eqK_ok42srASfHfz4WcEG3tIh0rIotHAedsj8JFWU,False,0,False,alyaamelie,False,1693903589,1694889842
239700,687,5553,0,39800,39800,2,0,3,1,False,6671237827680468997,False,False,False,0,MS4wLjABAAAAb9Cnios2x6Ret8K9tFSpCH0fB-4CWzM5rnOh_oCshrb9u2HlOgTScaA56GcgtA6v,False,1,False,nicolastok57,False,1693903589,1694889842
198,19200,1,0,1200000,1200000,71,0,0,0,False,7244400729329402907,False,False,False,0,MS4wLjABAAAAWr2Ztpvk5fSGTqnA2YC_qpzfUs2jVJ6EFF5AfLGrLd6hFAFnPaxnu74Xw33fsQWj,False,0,False,short_stories.w,False,1693903589,1694889842
70500,53900,484,0,3600000,3600000,317,0,3,3,False,7108801206571746309,False,False,False,0,MS4wLjABAAAAHU1EKunJ226Zkya6aaPieU44hxpQojciMZi9sgmTETi7RWmHIU4VVGJaaVPX_0IA,False,3,False,e9abe10na,False,1693903589,1694889842
