diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
72900,1100000,34,0,10800000,10800000,173,0,3,1,False,6753376699545404421,False,False,False,0,MS4wLjABAAAABlg-GfnLCrjRw4Obfj7iUcrdfIxkhH4t3yw_j1Df-h7E4rNtnZSVQL5pwfZ8YcTl,False,1,False,itskrufy,False,1694352597,1696099040
3104,1095,2251,0,651,651,26,0,0,0,False,7180062796960777222,False,False,False,0,MS4wLjABAAAAu2nKQdMrWYedyEGXVpJnRYxw6jD27S5OUZzDGwbZYoLgaDcCgMSgigT0Mew9sCgQ,False,0,False,http.fran_atencioo,False,1694352597,1696099040
176,23,78,0,0,0,0,0,0,0,False,7267529864478753825,False,False,False,0,MS4wLjABAAAAUiOfqDuYDY-ZJhaCp9rQc4lTKPAtgCGWeng2M16pRTzbep88itU-T24uGnBqwHoG,False,0,False,tudomifavv,False,1694352597,1696099040
465,1800000,1,0,35000000,35000000,166,0,0,0,False,7195431440590636038,False,False,False,0,MS4wLjABAAAA6K0Iobnttj63fqwxjCw2lGgd6CMaJHCwmVbLuJe9nsjJO1IdSWWLJl3Geuu6h68i,False,0,False,_elcromass,False,1694352597,1696099040
188,1700000,3,0,21600000,21600000,23,0,0,0,False,6868727653965497349,False,False,False,0,MS4wLjABAAAAEPAaknuedqvm7DAigsN3ZGKJOeox191whoWimIXfK6A1ABmw2KLMm0cX0rnRUii_,False,0,False,elcromass,False,1694352597,1696099040
5039,20,273,0,60,60,15,0,0,0,False,7243440223106204678,False,False,False,0,MS4wLjABAAAA-Pd494iXvYPAvjM8SztJVwiO0PKXCq9W1b7ClBn_uct3VD0ilqCyp-gXQ0eL1ULk,False,0,False,kelvin.lopez1,False,1694352597,1696099040
760,50,166,0,0,0,0,1,3,3,False,6821323684783981573,False,False,False,0,MS4wLjABAAAAO-k_-gHmKodxuXLarc-TpgSWXqpXMZj-sdD8y72V9HJ582nQ_y3fQ3rRBDxykp2t,False,3,False,okk.torena,False,1694352597,1696099040
11000,313600,27,0,8800000,8800000,357,0,0,0,False,6980479718878544902,False,False,False,0,MS4wLjABAAAAhPREeDMyOodDCMaVXEN4ZEe39bmoxrhnZ3snYSKqNn3vLNw8dsmk0Px8v6kBYKD8,False,0,False,jozhi7,False,1694352597,1696099040
5485,1449,6104,0,1054,1054,91,1,0,0,False,6847946144787497990,False,False,False,0,MS4wLjABAAAA-gPE4Msmq_vH9BAdIwVAt05TzfWIxRC3KLGy-erdYH0Hna8dIFSvSNGIRNC0n8EI,False,0,False,futbol_1252,False,1694352597,1696099040
4179,37,548,0,12,12,6,1,3,3,False,7268423740266415110,False,False,False,0,MS4wLjABAAAAcmd7IZ8JUloUExg6Gls0toTo3LEMxy_p76ZlMUwNjrOuq1M43kKdOZAoOq47OZKS,False,3,False,luch0__r,False,1694352597,1696099040
902,1200000,24,0,39200000,39200000,473,0,0,0,False,6893159884369363974,False,False,False,0,MS4wLjABAAAA9w3UQzvBQak98fwWV2qlwPyqmthHWDALXZ96gsOUTIyTXLAzOOpFfrBJRHKwROGd,False,0,False,harryalexok,False,1694352597,1696099040
1122,59,220,0,11,11,0,0,3,1,False,6906283068258157574,False,False,False,0,MS4wLjABAAAAqg3q8P0zTaV_x-IvMsPw4bvnk8_BffpNg2DncFTV0eBUPcwtY_l1yK42DaDnXXf1,False,1,False,dancostannn,False,1694352597,1696099040
11700,1813,2249,0,12100,12100,22,0,0,0,False,7260639842445427717,False,False,False,0,MS4wLjABAAAArSwlVqmQXy0kQDblJSVG0xp-96sTpTo6SefbUhhg_8r1q1ezIPrdyio1yC9Ca32b,False,0,False,_ana__x_,False,1694352597,1696099040
352,36,208,0,0,0,0,0,0,0,False,7277063738515489798,False,False,False,0,MS4wLjABAAAAiV-BEZYfqrwd8Sc7cEhwkdmE8zEJErkfgyRHUGr49NqsSPSBCdTvmGd7iymxRQUA,False,0,False,alejandro.dossant0,False,1694352597,1696099040
52300,220,538,0,0,0,0,0,3,3,False,6895861074869339137,False,False,False,0,MS4wLjABAAAAlMVEvnWujaI6kWuxPHV1Nsg4U56UaDZyeqD2Hof2skDGmxOYORLtJT5VoZxqyrfk,False,3,False,alzuu___,False,1694352597,1696099040
246,31,51,0,0,0,0,1,3,3,False,7263247414881190918,False,False,False,0,MS4wLjABAAAA3lWUIAlwzC_s7s5r7JAxHP6jA3NfLoxVxe7hZxF7pgX35SDHv6kBV2ZkdrnD6uMc,False,3,False,user137327584255,False,1694352597,1696099040
2127,1123,4075,0,1813,1813,73,0,0,0,False,6685016803753624582,False,False,False,0,MS4wLjABAAAAtun8PWKGOadCsBjDiwhb-K1YN5IBtbIgIBhFD60Z8j7ra2zMWNWG2wEBd9ufd7B-,False,0,False,yonatan_campos,False,1694352597,1696099040
13600,50900,405,0,1500000,1500000,39,0,3,1,False,7228268726172271621,False,False,False,0,MS4wLjABAAAAuuqm96R3RPI9_YyuDcjG0oOiZq0blkO0aOXB2zcqvtCRnIWtQyFXF_mP6QAHzEs_,False,1,False,seba_calistenia,False,1694352597,1696099040
1370,320400,169,0,3300000,3300000,256,0,0,0,False,6783951098739819526,False,False,False,0,MS4wLjABAAAAwCkk68h9HoWUJiSCxa_X_Iye2rqe9aNlIdcIeTrteJYVpeMW_HNdJHyq3VBreoZH,False,0,False,chrisrg,False,1694352597,1696099040
106,6,2,0,0,0,0,0,0,0,False,7269568648431518725,False,False,False,0,MS4wLjABAAAAThAjgR9pTWiKEkhF_GwWFxy64voHCba9B_Jf8Z4PpIMkhAMzxFchFIf4a2o72n0m,False,0,False,beliiiiii80,False,1694352597,1696099040
68,174900,16,0,1600000,1600000,56,0,3,3,False,6917425058806285318,False,False,False,0,MS4wLjABAAAAaY2WVJa0F7-r7m130k5_YY-_RsVIqeD5sffDt9zFBO6ntoeMz-iLBjYrEt4Q3alN,False,3,False,yanpolgg,False,1694352597,1696099040
11100,339,86,0,0,0,0,0,3,3,False,6962552433382900741,False,False,True,0,MS4wLjABAAAAmo6ajd_S_NqUX-wNgefI3BbksxIBAx9a1BViWp5DzUfcVZBz9M-mrZ_8achbfrtE,True,3,False,grana_d_mi_vida1,False,1694352597,1696099040
244,21600,472,0,2174,2174,78,0,0,0,False,7098946131100451886,False,False,False,0,MS4wLjABAAAA-nHbstZl6cBZE3wcIOeYtR8nw6GRCb6B4fSueMOeg5rip3wAFckSvKhFsmkbD5TR,False,0,False,gamehuang8,False,1694352597,1696099040
