diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
301800,3918,223,0,23800,23800,1,0,3,3,False,6731639737042863109,False,False,False,0,MS4wLjABAAAAPv9dFAqfCPYjdZlAx--t5ZuQf1Uogo0uI3eWjWfLGVodGl9sqziPU7iYVfLSsQ_O,False,3,False,emyyy.585,False,1695598254,1696334194
3162,286800,2106,0,91900,91900,61,0,0,0,False,7116933363688801285,False,False,False,0,7285799282492738337,MS4wLjABAAAAr_zCRq4oA9QDiaVUMvG6eE9W7egCnf-APNKjdGvNVeiYmuH-7DjtsjVsZ9WtMEA1,False,0,False,issaspielt,False,1695598254,1696334194
181,3,3,0,145,145,5,0,0,0,False,7263982626653373473,False,False,False,0,MS4wLjABAAAAOMvUL0IOCI47cqWNFpLIL8hKCPhUC9vsmL9RBpEJveD52Z-odARu6Q6Isevu1y1F,False,0,False,katie..sims..am,False,1695598254,1696334194
98,558,11,0,3237,3237,15,0,0,0,False,7133159077718819846,False,False,False,0,MS4wLjABAAAAQQ-Ou5rIV7jWgrvYn7omcRibN_jQxAKRTR7j9HkR92Jdg6h2GPuxQ1YmTUGTrv3R,False,0,False,bautzofficial,False,1695598254,1696334194
47100,1389,261,0,498,498,5,0,0,0,False,6755140178778342405,False,False,False,0,MS4wLjABAAAAXdOWI3H3r_gSQ0XvVu2TDTrz5ceIft3_5Lsx1Rr9PaXIA2TNdZdvAhlmAoxO7AB7,False,0,False,ben.jsn7,False,1695598254,1696334194
791,41,114,0,0,0,0,0,0,0,False,7256832223964857370,False,False,False,0,MS4wLjABAAAAToTamQjnIQA_NqJ3c9RQadsvxEdPsDbq3t-cxNJlYa3tJIOVj7wmkUuavgWV3cA4,False,0,False,dxvide.39,False,1695598254,1696334194
10800,2000000,99,0,89800000,89800000,1249,0,0,0,False,6810855425619411974,False,False,False,0,MS4wLjABAAAAWi5tgAYJan4a9eHs4wpW4kP-UozT3eb3mhPGCcJZY3lPWiF84oodtWshoub8UTTA,False,0,False,shpe1im,False,1695598254,1696334194
8648,48,277,0,1294,1294,35,0,0,0,False,7223429973674476550,False,False,False,0,MS4wLjABAAAAhd3c0f8349ehqblpnb1NFoDbZP4i6AQI6fLak3H47x4tOLMlt2_7GpdjPVnnnRig,False,0,False,cheesy_el_bonita,False,1695598254,1696334194
33900,780,82,0,24800,24800,5,0,0,0,False,7180851436871746566,False,False,False,0,MS4wLjABAAAAB2O6xhayF4gz9x11GHjn5rG1pF-pASpzmZHYinmDsu1733uutatbWW9d9bJCCGf-,False,0,False,dav1d_1strate,False,1695598254,1696334194
787,29,34,0,129,129,2,0,0,0,False,7030550472533394438,False,False,False,0,MS4wLjABAAAAXbVF7PwkR_9d6ig5g8dK1CraWK2JyMnBN3wBHdVBf5O2453pEbt7GMydQ9QiHuUb,False,0,False,alexx.krjkk,False,1695598254,1696334194
21300,345,334,0,2112,2112,0,0,0,0,False,7046049925297554437,False,False,False,0,MS4wLjABAAAAJ8OMiQ7gK7A8-F2Gy2VI1Hsy5IqKE5xC-bLEXnf6Mzkjc9ZHo7Npey32MNI-0yI7,False,0,False,lenakirsch2611,False,1695598254,1696334194
17900,235,24,0,448,448,4,0,0,0,False,7110971387271529477,False,False,False,0,MS4wLjABAAAAQEaDqc99qSRwli37iv0Ya4OqO4ncpuC9-E3414ladzKuqOEX9pGebKh9_t1EOPBY,False,0,False,ronaldo_567007,False,1695598254,1696334194
1224,414,827,0,582,582,1,0,0,0,False,7283479150311769120,False,False,False,0,MS4wLjABAAAA8xr83fqPtpzOidAmltF5TStyrTP2cl_p5GMlZiI-FE07F5mCxbvTpGQGJ-BAllRc,False,0,False,ofc.ruya,False,1695598254,1696334194
20700,1260,166,0,42100,42100,19,0,3,0,False,291026408397697024,False,False,False,0,MS4wLjABAAAAHY_fmqc0gMaZxYKGfnnrRBZA7ZqXPOoLHi1ZvV_QCiPViRIhL6bVP3qdQSgZiqFq,False,0,False,nadischka2,False,1695598254,1696334194
29,541,16,0,11700,11700,18,0,3,1,False,7271243271237633057,False,False,False,0,MS4wLjABAAAABx0DmL2yfvdDSzJRtJ56yvzLxM1D1X_sGorTrPGKBxj2c1R4KGyjr2Z7U48cnCRI,False,1,False,48_jo8l,False,1695598254,1696334194
36,253600,1,0,3513,3513,25,0,0,0,False,7270858320779428870,False,False,False,0,7285857907764841221,MS4wLjABAAAAnqXa5D-7U8x8qiUKN5qkOa7-gGnbnEqNbVyBuO_8x2Iul5qtIzzupoBmJGB-GcfL,False,0,False,jeffl1ma,False,1695598254,1696334194
27800,7449,178,0,349100,349100,23,0,3,3,False,7001782856578335750,False,False,False,0,MS4wLjABAAAAOYCJKRgd0eEzqAqZ22ks-M_oMcb_f5hqGcCw9hS8u0QgiWK8_6dSC8J-WBlkwfyB,False,3,False,max.russ_7,False,1695598254,1696334194
527,118,75,0,556,556,0,0,0,0,False,7271655596259165217,False,False,False,0,MS4wLjABAAAATuUJo7ZRhNyqIhwwn9fZornZpVCObx_0sEDlpv6n6WQ8akDqdtqofBZ5su0uo_Af,False,0,False,abowwwwww._kejsi,False,1695598254,1696334194
105400,117,766,0,324,324,0,1,3,3,False,6971474595321840646,False,False,True,0,MS4wLjABAAAAQEAiXaVtedf2UpisirydchCwMk0Ls-kgqoRkr6mGy9vZ-34U7mFcGlNshzj5KTzH,True,3,False,j7.lquraaa,False,1695598254,1696334194
103500,1200000,236,0,31900000,31900000,2055,0,0,0,False,6762964462096040965,False,False,False,0,MS4wLjABAAAAVWNFumVXPjG5xxKR-zNA7PXtidlEeka61ehHCl_ef7zwxHxI-vhx1JlsFKt7RfR7,False,0,False,lucamolisina,False,1695598254,1696334194
1905,514200,14,0,3600000,3600000,214,0,0,0,False,7054181569887962114,False,False,False,0,MS4wLjABAAAA7OLb0LqfeHKdQAvYHeVMud0b_5yfAalMQ-m7l3-3Dm_prZ4yoyu2WJT-PWivQg9I,False,0,False,chrkarma,False,1695598254,1696334194
4276,13000,19,0,84300,84300,57,0,0,0,False,7149532770367931398,False,False,False,0,MS4wLjABAAAA1K86d1__mF2GP68GUPh9SviH3bXMJ0m7TfrQm4tvhOfETNGCHFfWvXlG2dkcOW_7,False,0,False,zepeto_girlhappy,False,1695598254,1696334194
14,25300,0,0,246100,246100,37,0,3,0,False,7187117284820517893,False,False,False,0,MS4wLjABAAAA66toGCJxu2o-hoi8dr6w1wQSpyTK7sklgnShnkfXvyXX4nHGlGWkdzSzUMTqZkE-,False,0,False,08posters,False,1695598254,1696334194
2404,14600,163,0,125600,125600,81,0,0,0,False,6918744238192837637,False,False,False,0,MS4wLjABAAAAw7MRM4xqULPsMpVXhWGjFwp_9DMXY0VLj-IeVAscQeYWiiQBXdzCocxr6QWJLBas,False,0,False,valuxery.de,False,1695598254,1696334194
387,579,252,0,408,408,10,0,3,3,False,6939921520593077253,False,False,False,0,MS4wLjABAAAA4SluY4_grv-CvcGGTdpKytLMM0m30ptl9_zkuBCS4fOXQRSeGYdtcnC-IoijrxBS,False,3,False,daddyjay2014,False,1695598254,1696334194
500,31700,601,0,145300,145300,191,0,0,0,False,7062073838390166533,False,False,False,0,MS4wLjABAAAAmSjRCipG4xWKeBgzYugDdtyXTUKHb2E8kE2aMsSx_Q_7uD6OB1d9cxWWTA-eCLjQ,False,0,False,himmelsfluesterer,False,1695598254,1696334194
10700,75600,427,0,424100,424100,70,0,0,0,False,7199263424378078213,False,False,False,0,MS4wLjABAAAAwEMR_dXu1IK81FMTSzDRrX9yACHl74XmC4WP9dbtvGOOHl7PdmxeEIXs-MI770RO,False,0,False,.chzrve,False,1695598254,1696334194
