diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
37600,893,676,0,1300,1300,21,0,0,0,False,59082059880620032,False,False,False,0,MS4wLjABAAAA7XXX9KSphxL8huW-jT9ihTyRXAoCibE8DJaCYLVdYV1QjHJBmyOiWsFvNOEpGUmM,False,0,False,jadetrippxox,False,1689340951,1696307088
10,890,8,0,3690,3690,40,0,3,0,False,7001952578611627013,False,False,False,0,MS4wLjABAAAAmzF8_HDGhLkGv2uY0zJtGzu6-Q45GkVXqnlVIjrIsuyJ8KD9kMsbpyUc7VXDVniZ,False,0,False,eurovap,False,1689340951,1696307088
1716,195300,977,0,15400,15400,35,0,0,0,False,7078020066231583786,False,False,False,0,MS4wLjABAAAAtN-x9q3qWmSGuYhGDaVtKIV5pzPWddw7Yxe5kpMsOfReI32Mqzz6CFlmZLiva2pg,False,0,False,live_game_room,False,1689340951,1696307088
4234,789,330,0,21200,21200,1103,0,3,3,False,6664642444811943942,False,False,True,0,MS4wLjABAAAAg0FGBqt_8xWG29nJ4I8HEOeJCzxDIQ1yIKPj2RvnM3b6TL2vStacJBQVu5gkMXA7,True,3,False,katynka42161,False,1689340951,1696307088
887,2460,1532,0,588,588,18,0,0,0,False,6596061265042391041,False,False,False,0,MS4wLjABAAAA_HXw48kp1jN3HjbGuoTOJveP1Pbov86nkcQNeUIkE6TwG0gxDeCGzY3qhD3eb_lk,False,0,False,flo15_p,False,1689340951,1696307088
115100,129400,266,0,15900,15900,0,0,3,0,False,131553159067336704,False,False,False,0,MS4wLjABAAAAIx04LJ73MouR8XBl6Zn5_jBQ4Oe4lcJCeFN0kiEqfvpF8lo1KRL6K22rPZBSplLF,False,0,False,cbcgod,False,1689340951,1696307088
22600,5287,9995,0,4791,4791,169,0,3,3,False,6832778690724938757,False,False,False,0,MS4wLjABAAAA923SWReQwRbtNmZqK6Iyd7tBTPKARVVo443QAVfdtpSj2g9pz3Iq-bRYun2WO7bZ,False,3,False,numberoneislolo,False,1689340951,1696307088
30,23500,4,0,228,228,0,0,0,0,False,7265388373647787051,False,False,False,0,MS4wLjABAAAAanBtsr8V9idbu8BG4ty4Y1SElqtJAnkExaDixDk5uASzgX5kRVwRhAiK5yJ6UTE3,False,0,False,origineus,False,1689340951,1696307088
281,172700,6,0,797700,797700,343,0,0,0,False,7175847939817145350,False,False,False,0,MS4wLjABAAAABCAQNmtv6lHC-7PwwwbJYR2QqPGVH6gV3lSi_351TSYvFsU4ypkTBpCPZjTJv__A,False,0,False,purejuicefr,False,1689340951,1696307088
244,21600,472,0,2174,2174,78,0,0,0,False,7098946131100451886,False,False,False,0,MS4wLjABAAAA-nHbstZl6cBZE3wcIOeYtR8nw6GRCb6B4fSueMOeg5rip3wAFckSvKhFsmkbD5TR,False,0,False,gamehuang8,False,1689340951,1696307088
4789,217,1383,0,310,310,57,0,0,0,False,6821874423744021506,False,False,False,0,MS4wLjABAAAAwly_8mfNnW6a6VP4bg-oh61tLDqNxeHgUqjvyCWXpdYfQ8eUlSI_yOsSgsXMHeB9,False,0,False,abangempire3,False,1689340951,1696307088
6,2719,177,0,428,428,27,0,3,0,False,7244257869032948737,False,False,False,0,MS4wLjABAAAABAJFSn-i0Gpz8CiDLWtqWHB7EmNe-LnnfKmMqSWRns9eTTggcqAM44diWwSdRIg2,False,0,False,zebra.1919,False,1689340951,1696307088
18700,18900,9305,0,20900,20900,82,0,3,0,False,6854313802864641030,False,False,False,0,MS4wLjABAAAAqprkZ4rZdZ5eASIB1T_t-s72BydN6n85QvJfGk9eoePVJYaWXucDZGgU5ZpvwrJF,False,0,False,recirc,False,1689340951,1696307088
