diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
21,10800000,14,0,75000000,75000000,491,0,3,0,False,6646882771904528390,False,False,False,0,MS4wLjABAAAAhnSTrDTQvQKPb2drcok_Ne3WBIayqZBVAGo9y86tv-95fOkD19zzIxtAf1TEzt0w,False,0,False,fortnite,True,1694986876,1696345663
195,162,38,0,1003,1003,4,0,0,0,False,7160437344654771205,False,False,False,0,MS4wLjABAAAAcNbMzI6YV8nGhL7S_g_khHGqsyE7eAZmY8nNXjUoheyEXWXE0ZhkxZ2Iyjq0w3G2,False,0,False,gateacre.schoo1,False,1694986876,1696345663
213300,1521,341,0,26400,26400,304,0,3,1,False,144968214949699584,False,False,False,0,MS4wLjABAAAAPM1jcqcJvgMd1P8HOUqNp2nxE3mRw0VQhC27DnM-W4UqVYiB4mD4TC6sOtJJO9f9,False,1,False,ellisa_makeup,False,1694986876,1696345663
4740,253,309,0,72,72,0,0,0,0,False,7120365068572165126,False,False,False,0,MS4wLjABAAAAKE2EtjyykMDnSHdHOXMsibd2SgN9KhCy7NuYYzrp_mL4GqrYJ6Ahg0IaiQ-M4UZm,False,0,False,lexiemcpeak12,False,1694986876,1696345663
112300,2700000,1678,0,219300000,219300000,1012,0,3,3,False,6781862773111538694,False,False,False,0,MS4wLjABAAAA4DpRzF4GWDMjWVGzvvRwigCtvPrzRsUOhi4-L4y_nFgMi_chYds2hz0_rJ2fV7DG,False,3,False,thenursery_nurse,False,1694986876,1696345663
1968,34,91,0,0,0,0,0,0,0,False,7253090411353785370,False,False,False,0,MS4wLjABAAAARm5ghjWbrOH9Cfb26viDUqydLBU61KeS6SEj6P143xSWooyIPg4zBagldUP27nFO,False,0,False,aiyannax0x,False,1694986876,1696345663
55600,1200000,470,0,208100000,208100000,2274,0,0,0,False,7142601628657402885,False,False,False,0,MS4wLjABAAAAZucKY8cItEZTdyhegOKeZVMHw7dKw5D19nyY4_8mGfP9vzcW2uyzZeRAQ0V5qsE-,False,0,False,culanator,False,1694986876,1696345663
32000,5100000,1289,0,93200000,93200000,1313,0,0,0,False,6897294724613309446,False,False,False,0,MS4wLjABAAAAorx_iNZHIvvbRalD4tyzdyU8Z7AY3UHar31dGAwWvrY3GTyVXP3vpyq5n6ZijdAo,False,0,False,plastic3d,True,1694986876,1696345663
1933,27,63,0,77,77,7,0,3,3,False,6818212352400819205,False,False,True,0,MS4wLjABAAAAIWG4fH52u5MlcgDWUZ5lAon81SDcGf8qFQHBS_yqpyaoh6IHP1y33kk2QRbJR0Um,True,3,False,nickielang12,False,1694986876,1696345663
248,27600,1,0,899100,899100,84,0,0,0,False,7232717623309599750,False,False,False,0,MS4wLjABAAAADsX-0XO3wU5CQTHmdrEqJsXwkh0oHvr4D2dZb_-n6I6cQRQDaify7f0fKcaCzf4j,False,0,False,healtheducare1_,False,1694986876,1696345663
53600,2100000,96,0,133300000,133300000,1751,0,0,0,False,6735882598855869446,False,False,False,0,MS4wLjABAAAAij3IY5HpkugVkD6muGO8VvSBWwTEihqnSueFNtlK7p7eYvndovrmM5OiWAOi4ojd,False,0,False,holly_laing,True,1694986876,1696345663
1607,3200000,502,0,141700000,141700000,513,0,0,0,False,6796340984155423749,False,False,False,0,MS4wLjABAAAA6eayJFrrG3Jh6rEeSj0HVcN1f6dZLNhoVEbGCp9M69S4OU_bN348OSAbu_cRXDpB,False,0,False,kylegordonisgreat,True,1694986876,1696345663
0,10200,1,0,7419,7419,17,0,0,0,False,7275631167108678689,False,False,False,0,MS4wLjABAAAArIP79GDLaTHYL3sjz2EWDESPzRUU6Ty9jmpPdwQ1g04zou6mFimYps6qL-ooCy7n,False,0,False,hgdfk05,False,1694986876,1696345663
2,33900,2,0,366700,366700,24,0,0,0,False,7281407915783816225,False,False,False,0,MS4wLjABAAAA4l8cGwXZ7Y6nSHI-OYAozaW1iHoISpBUmpC6dC0QZUGX8nP60RBVwe0X450zJopX,False,0,False,couplewithak,False,1694986876,1696345663
