diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
87,684200,58,0,1900000,1900000,30,0,0,0,False,6962503772648293382,False,False,False,0,MS4wLjABAAAAuhDWSvdi8lwYt7jLhHHo1HKtgQB_sLpvcTsdBmhHEAUbV6aJjX2gWsEwjTEv_-Zx,False,0,False,kizzyedgell,False,1693257874,1696111388
16600,4541,1210,0,12200,12200,0,0,0,0,False,6783356971872420869,False,False,False,0,MS4wLjABAAAAN4N54rzbOwuORl9acQlBHL51KlAULnqmuuuWJI9lBsbf9VEKpXntnZBQGpmlDHYu,False,3,False,runew3,False,1693257874,1696111388
365,264400,2,0,2500000,2500000,69,0,0,0,False,7199680350556111878,False,False,False,0,MS4wLjABAAAAVgDyak0lwtLr1oT0cg2-26-2y7HtitzfNao8oVhgNwvCxjANSfx95TukPWmz7pyf,False,0,False,jamomile_singing,False,1693257874,1696111388
1473,909400,67,0,8900000,8900000,49,0,0,0,False,6938202131406439429,False,False,False,0,MS4wLjABAAAALfxvmFJaYYAUICHptHMrei3sbDFjPC7MS5OrnY9XREjL4vkVvEt-Gr2_4WTJR0KG,False,0,False,jamomile,False,1693257874,1696111388
6585,692700,246,0,159900000,159900000,3722,0,0,1,False,140657139294957568,False,False,False,0,MS4wLjABAAAAO1CKcb3PYAg-XUuRc7szLJbswk7oPXzf-O4FgNS8jzBK5IK8WXs1RtKMz2iMmMJK,False,0,False,anders_broe,False,1693257874,1696111388
22200,55,288,0,1262,1262,68,0,3,0,False,7196435689579365382,False,False,False,0,MS4wLjABAAAA69Yh4wFtz9ZC1o_mOHQiXTy3Vfv3y6gwUlio15GEE-rdP9dCyJfIQvyZRVuCZ_NS,False,0,False,urfav.har,False,1693257874,1696111388
913,127300,322,0,3600000,3600000,212,0,0,0,False,7024092792952325126,False,False,False,0,MS4wLjABAAAAXW11MrcA0PysD6yIbxwsePgDGZMUDXBIZkOkeBVmqHumDXXHoQv08WW1saIaZN63,False,0,False,daredrops,True,1693257874,1696111388
70000,543700,253,0,9900000,9900000,75,0,0,0,False,6807872950639264773,False,False,False,0,MS4wLjABAAAArgd-nTvmBDYhr1iWStN9Tonh0Gk9wEn01ZlKk5ZhJ-xSbve1T8rs31JPZiChgwIT,False,0,False,kenyagracebaby,False,1693257874,1696111388
50,2654,29,0,47000,47000,7,0,0,0,False,7278391906118190113,False,False,False,0,MS4wLjABAAAAAarlehmh3Kzp0FdZAWMLopHDSwj62svGuT8Qn4K-EtuKV5O-1hVJXCyiQtNp5uci,False,0,False,s1tuation5hip,False,1693257874,1696111388
43700,7812,578,0,143100,143100,191,0,0,0,False,6820317153436419078,False,False,False,0,MS4wLjABAAAAZ2dmzyEmwLrB_lzemMwKWNkw1Be8ctP3rHUf_CH_4ze-xX0zBk-LaRuug9HYwMqf,False,0,False,._.zuk0,False,1693257874,1696111388
291100,2237,7098,0,11900,11900,7,0,3,3,False,6919474076604646402,False,False,False,0,MS4wLjABAAAAQzLZodud4sw3zAULaC22Oy9Z1pvJxgg3Wt-7AzP3Tiyylnt61vi5q1ZURrrPv2oY,False,3,False,mmegan.daviess,False,1693257874,1696111388
122200,1300000,376,0,48000000,48000000,87,0,3,0,False,6629049487104458758,False,False,False,0,MS4wLjABAAAAzDpdNhtWxV71ZyPxUIuInxUPSgPCNJK23AmqZ0vvIfZ6DUshFgA4eCwjv4vSBXML,False,0,False,keybastos,False,1693257874,1696111388
48900,155700,183,0,8900000,8900000,943,0,0,0,False,6681763293528474629,False,False,False,0,MS4wLjABAAAAfWFB-7l4Mjzv156yiW7m_8Md6YpCHqVCks6ZfYls7Yq6QyagZuq0IsKURN5WM2UK,False,0,False,righleyengelhardt,False,1693257874,1696111388
1812,43900,30,0,718500,718500,186,0,0,0,False,7249443338629530650,False,False,False,0,MS4wLjABAAAApn3ufkbip9fMhv-yDFCZKZQah2YP__50bCQaE2ht7tK6BmzSNfLtMnBF1Vbl-9qf,False,0,False,spedup.a5,False,1693257874,1696111388
47500,43200,2135,0,1300000,1300000,970,0,3,0,False,6974610578582488070,False,False,False,0,MS4wLjABAAAAQoYxf8WwlTOzEa5FzeuJqYoH0ZbJiXnJNycCFGL-r804YO8iylHz6sG7oVnhUTcP,False,3,False,delululuka,False,1693257874,1696111388
1,2,2,0,0,0,0,0,0,0,False,7277165065832498209,False,False,False,0,MS4wLjABAAAAH0rndfPqsCyhxSz7CbaE2jhZvbyRmDWZplkcJZhFxRlNhKyXbTc-fGRNUpnUqKTe,False,0,False,melissa5574894,False,1693257874,1696111388
1239,24000,24,0,208800,208800,34,0,0,0,False,7262229931537581074,False,False,False,0,MS4wLjABAAAAyB85RokFqR3d8855U7uMBN-jWOfx0sxlWUlmj5K2Bny1ggJVayEGi-E-94KT78iw,False,0,False,unknownalexandermyg,False,1693257874,1696111388
6941,862200,1707,0,45700000,45700000,4875,0,0,0,False,6782664819692291078,False,False,False,0,MS4wLjABAAAAGUdR1xMULgC6ow0_5h66OmqyhDzqrMIOeLYCaucvkKoMw8hTbj3z-65B_VkwOe_O,False,0,False,lauraorgill,True,1693257874,1696111388
9320,2300000,3,0,35100000,35100000,171,0,0,3,False,6838888129575945221,False,False,False,0,MS4wLjABAAAAQtQz93YlVWhXLtvDhL7IZJogsgswSc5b7QdU34MCkrhLLpX4EtEXOJxPAwPsUKK7,False,3,False,sockienorris,True,1693257874,1696111388
