diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
1484,18900,679,0,99300,99300,91,0,0,0,False,7248435458807874565,False,False,False,0,MS4wLjABAAAA5YKvN2wcddQJgk_Tzm3c0FgJ2vXdMX-z19ADcmxy8n31g_39tqw07MCyaIj-fVTB,False,0,False,tiagoxr5,False,1695241564,1696364864
66,59,17,0,0,0,0,0,0,0,False,7099422606567687174,False,False,False,0,MS4wLjABAAAAAfPJ8eStNUij4gnkoL5pc_CvCaUPoJG_8t8qwozPWrnrmh7tyPwULkFWPF-UDAZZ,False,0,False,joseramos7925,False,1695241564,1696364864
147900,61000,2851,0,741200,741200,191,0,0,3,False,6971842470545114118,False,False,False,0,MS4wLjABAAAAZmdMkiHM0sUjwpKYK2LGeHpe5aoFeFkDl0wnhhGcmUIN2UySYE-I10cY9TmLISTz,False,3,False,luis_vp18,False,1695241564,1696364864
3502,32600,42,0,1700000,1700000,467,0,0,1,False,7050099880655684614,False,False,False,0,MS4wLjABAAAA0umL8ofieAH_haMlGzGHg-vbyaPJ24d1EilFqJnIRwmAieF1KGM0eb46uzXMB6ni,False,1,False,javixx.8,False,1695241564,1696364864
717,100300,1258,0,264400,264400,130,0,0,0,False,7240908203528356870,False,False,False,0,MS4wLjABAAAAkFAFyExGa5OtPBLFQYtckUZNaY4cIZegJThEsQs3gk2RRqsooDsqTZ0SrVwM12cR,False,0,False,akko_313,False,1695241564,1696364864
25900,835400,994,0,6900000,6900000,1830,0,0,0,False,6819076729887720453,False,False,False,0,MS4wLjABAAAAOG81lEphns6Cys9tQ04EAhZXHbw0y7Sh9z49ZpQqyY54mOsNkSA8vNq4VDK0BFc2,False,0,False,cirugiaplasticanicaragua,False,1695241564,1696364864
7364,418600,132,0,7100000,7100000,180,0,0,0,False,7232444428191237126,False,False,False,0,MS4wLjABAAAA6ASjXgHYDTQPQ4IQ5gjJKA4tYTHn0DHAV_PlK4ZKiT2ro3ADgLUlZ4Rz3qwcnv3U,False,0,False,_.caingt._,False,1695241564,1696364864
1267,47000,191,0,52500,52500,28,0,0,0,False,6987915654008161286,False,False,False,0,MS4wLjABAAAA3By9qQXUiDWrWZ_kjNKDYciSG4wxfwZo1m_k6xgWxxtPoJ3Z-73kevfTGRvXuD-y,False,0,False,mrossa__,False,1695241564,1696364864
14,132500,19,0,634200,634200,57,0,0,0,False,6922573716191134726,False,False,False,0,7285832255119854342,MS4wLjABAAAACAu5diI0BvHOFAI1oc0svhCaIjbvosnEY3a6U4bFt-YErihXpHIVSb6nFH4kOwW9,False,0,False,golemcito_gamesoficial,False,1695241564,1696364864
5099,173700,4882,0,461400,461400,15,0,0,0,False,7250987026282660869,False,False,False,0,MS4wLjABAAAAZtOmeXPNYI1yuBbL_SJ1huGQKo3hSHH2_OFG7Kt3mpQEzMP5ayL-3Ty0EXuByO9G,False,0,False,catalinx80,False,1695241564,1696364864
1773,45900,83,0,156000,156000,52,0,0,0,False,6694838988929057797,False,False,False,0,MS4wLjABAAAAflkq4w4xttc7eCcjWqnNcBsTPitf4XePPirtTS_ZXxdL6Gvjxj02HTfNeOoerOfh,False,0,False,bexfootball,False,1695241564,1696364864
9037,660000,470,0,3300000,3300000,89,0,0,0,False,7079612019914605573,False,False,False,0,MS4wLjABAAAApCT9anyPVTj6r5tDMbGrPNMxNM2JYzHu3oaetwIjT_Wt9vXzNukBvgg6d7rdFkA0,False,0,False,irlandagl1,False,1695241564,1696364864
