diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
194,256000,2,0,5600000,5600000,67,0,0,0,False,7233858873744376859,False,False,False,0,MS4wLjABAAAAJ8YJeMS-Wbnrk1UXzVIAHNDQm9PzFZ3k-fXmd8p-Gg7OoGw3KVi88AhzBnJrLs8b,False,0,False,funnymias,False,1694315215,1696331672
145700,1406,620,0,18100,18100,24,0,0,0,False,7069783997102834693,False,False,False,0,MS4wLjABAAAAsbDuf4sQiHKquvEargHnOycP9ye_uZI0TQJU7jnkp6UfBErxZQryMlbfjnp1Axx5,False,0,False,martafdezzrguezz01,False,1694315215,1696331672
1351,670,27,0,5125,5125,51,0,0,0,False,7251360026856752155,False,False,False,0,MS4wLjABAAAAyhZqiFVWcXoLSfuHJhWQZWKM0we47hFHGEkRZEVV5UZ9sdXc0fQwQ_ToCaI5CFG0,False,0,False,kendallmartiin,False,1694315215,1696331672
50400,617,620,0,7018,7018,1,0,3,3,False,146750471268003840,False,False,False,0,MS4wLjABAAAA6IAU-bgYAzlex-wLr773wMxxqoshDax59ceLfL5Lpq8wYYBoO6JoMA8M9lrOo9Xn,False,3,False,geeeema._,False,1694315215,1696331672
3853,9659,6,0,1100000,1100000,28,0,0,0,False,6846453876347765765,False,False,False,0,MS4wLjABAAAAKf2jFCs60WbpzCyUlyrNR6jn02BMLAWFL3TEsjIJXW6aTVUfbdWGGuCs_5SbnZtC,False,0,False,laaaaaaaaaaaau__,False,1694315215,1696331672
43300,34400,189,0,5800000,5800000,186,0,0,0,False,7063679266857731077,False,False,False,0,MS4wLjABAAAAh0FAUxY8HE7r_H-w9DFiT3VbpkmkXUFaDtRQeTf-Gk1gS1DDSJNSbQjFBKNdLgTq,False,0,False,yosinmas212,False,1694315215,1696331672
1719,30,44,0,36,36,1,0,3,0,False,6809394198798746630,False,False,False,0,MS4wLjABAAAAwbPtFq_PSjk_AMZKMnJSXwB78MSgq2E0vGcApg1PsrhNMIE4KaVq7cvcBWD-NdG5,False,0,False,goyafred,False,1694315215,1696331672
146,176500,53,0,1500000,1500000,185,0,0,0,False,6972185471167022086,False,False,False,0,MS4wLjABAAAAaFfxzdEfoanSuotSCw8vQj63e-CcMIx2AEhskoULYW2O-pP16PfXrz1cb2iKMSSQ,False,0,False,growfik,False,1694315215,1696331672
29000,142400,831,0,2800000,2800000,502,0,0,0,False,6888896830093968390,False,False,False,0,MS4wLjABAAAAck71N_Y8mrgcC8FuLpTb-F_yeh_p1VjalPZ3jlSyH2xwHvXcoWbEAaGu9-q5Cqv1,False,0,False,violeta.verano,False,1694315215,1696331672
6597,1800000,262,0,16000000,16000000,82,0,3,0,False,6926392953159123974,False,False,False,0,MS4wLjABAAAADcabib1G8dTpgwH6Unq_cgXD8uJuSG2CWO1CBcj_oF3HJQgKmMFFCh5kIHcvgRnc,False,0,False,officiale_ethan,False,1694315215,1696331672
444,727500,168,0,7000000,7000000,455,0,0,0,False,6801516108610225157,False,False,False,0,MS4wLjABAAAA-pEnhsFLXkaYV2F7GLOH64MZIUkZwQS3Zri6oHxRaSyJ3nTOzasaTPnDX48kl_cj,False,0,False,arkangelfloress,False,1694315215,1696331672
15300,568,425,0,2070,2070,22,0,3,3,False,6850432666820232197,False,False,False,0,MS4wLjABAAAAmUJhU_7CpWlslb-FC69MUL3I-G2pLVOZ8pRV52k57MuPvj8oW3EyWwpl6HEI-Vpq,False,3,False,caarlitaacm,False,1694315215,1696331672
1021,1715,124,0,2717,2717,19,0,3,3,False,6796679311518336006,False,False,False,0,MS4wLjABAAAAJHp3aY2twG6BLA9pQb_pjw-IvEFYlhA5C59-TAanJ82QdxXVbtT0_uEtMT3DHijk,False,3,False,paaulaaaa.8,False,1694315215,1696331672
12200,6928,128,0,41000,41000,29,0,0,0,False,6958760016925524998,False,False,False,0,MS4wLjABAAAAqK-XnNHEnxWVQ2du3wjKnb6LLZiLstO-DReU3Z_ZA5Zjv8nWruLVwEVZb_LYdLpn,False,0,False,_.gemaamb,False,1694315215,1696331672
1304,937,158,0,37100,37100,64,0,0,0,False,6819642964722074629,False,False,False,0,MS4wLjABAAAAAeSBQIARgR4LPtvmvX2jqxnTDU278sPbH63U18Gkydq6l5ZTAalslosDxgPedFsC,False,3,False,mariaahidalgo__,False,1694315215,1696331672
235200,8888,566,0,192400,192400,121,0,0,0,False,6804527812852401158,False,False,False,0,MS4wLjABAAAA1Qubq6sCgh97PoBSBHrSOH7pkLB5pu6ScwT2p_Eg8Xe1w8akgbf5zttYMo8BU36i,False,0,False,luucianaavarro,False,1694315215,1696331672
65300,1239,1969,0,19200,19200,149,0,0,0,False,88060635854303232,False,False,False,0,MS4wLjABAAAAYVzF1Y5yG14oiJolF1_LjHjv2QXGhMy3gYnao01wN-hrJGg_oCVFlyRRQXld7rbW,False,0,False,elenamorenofdez,False,1694315215,1696331672
67300,5918,697,0,28700,28700,87,0,3,1,False,6592443386123452421,False,False,False,0,MS4wLjABAAAAYgkuAOBGe6Ja0uPSb3qNnh_PKwgpnp1BMQ2ymy_DisDHwxxXFbseQ8sPru07yD2O,False,1,False,_.caarlixx._,False,1694315215,1696331672
23700,153600,182,0,1300000,1300000,181,0,0,0,False,141003287142576128,False,False,False,0,MS4wLjABAAAAcz_aAxrkx-M6h-jwJiQCIp307imcvGaY3L75qEXU9zw-rS1pQUFVbEJxoPQtJQSq,False,0,False,carmenbrads,False,1694315215,1696331672
1902,753500,322,0,7200000,7200000,193,0,0,0,False,7078428963472196651,False,False,False,0,MS4wLjABAAAAQ3hTzfLVvd8lkxgFYLoZeLs-mlEQKF3kohCAVa17oqmxHrYbnS7s3Jk_fKvVOy6R,False,0,False,casper.capital,False,1694315215,1696331672
10500,1695,336,0,60200,60200,10,0,0,0,False,6578127680402325509,False,False,False,0,MS4wLjABAAAAsDlrErHBXv54iTb4GuauO3AJ6MUtlrFrIKV1dRxkvdCkkjF0NgotvnPbYRMtMSc7,False,0,False,rosariomera,False,1694315215,1696331672
25300,127300,352,0,1800000,1800000,569,0,0,0,False,6789178514228593670,False,False,False,0,MS4wLjABAAAA-zc8hvl1Ug45lx-xCSuG7xw2lSRsXpXJwbvG1jtLSsAjeQR_R9H8rawvcu1pLnc4,False,0,False,soyjonathanalef,False,1694315215,1696331672
26500,2638,63,0,20000,20000,178,0,0,0,False,7065638836822737926,False,False,False,0,MS4wLjABAAAA7ytfhoWWnHncxpe8wxlTdP7t3U8y5hklfUkSkzFp1M3qaKAki5KN1o9xr4OPf6Hx,False,0,False,dartasd,False,1694315215,1696331672
