diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
29000,66200,462,0,3200000,3200000,2644,0,0,0,False,195043854704947200,False,False,False,0,MS4wLjABAAAAAD6LdlpBUZ4M9hzYn6aQIKZ7sCPhgk76D6SGsuw3RLkMFDt1hWD36u4MVnGm4f-o,False,0,False,king_greedy,False,1694115158,1696161950
2629,235600,32,0,2500000,2500000,14,0,0,0,False,7089993041561601029,False,False,False,0,7285846562197310241,MS4wLjABAAAAcw1wuHEsK6_xCJ2E7Ojm-Aqz9M3FBEiMpi8ja2sA3ljYfDooMvYiF7NYgC81aCEy,False,0,False,alzx_t921,False,1694115158,1696161950
1007,21500,21,0,894000,894000,65,0,0,0,False,6966483095207330818,False,False,False,0,MS4wLjABAAAAlj0kawUCCKc7n81OIFQDZD-eNdlGIVGt6B8rV6-2HGfsFoKtXPNxQHHA6q7Lcw3l,False,0,False,mememan696969696969,False,1694115158,1696161950
96,268500,19,0,1400000,1400000,281,0,0,0,False,6869688874236953605,False,False,False,0,MS4wLjABAAAAf3P58ujUL1noF0SwlLy9x_E7DBuJhYnyUdoNDh_YeT3Wo0m1QtLJA2UBrloaVK-x,False,0,False,xiaomi.greece,True,1694115158,1696161950
907,11700000,1,0,86400000,86400000,57,0,0,0,False,122691397647757312,False,False,False,0,MS4wLjABAAAAUw13wtq_1mGDlu0pqou2kdnkyvcSNBn2mhibU6iJNuiSXplSl7w0GES9wCEE2nd4,False,0,False,ksi,True,1694115158,1696161950
22300,2400000,138,0,110800000,110800000,1983,0,0,0,False,6727761606816941061,False,False,False,0,MS4wLjABAAAAWn40oZFEt9z-IGFeGi9o1OD4YagofX0twcdFpoxyXl_u1wBuliNYNX2Yx-wNk6Or,False,0,False,614lyfe,False,1694115158,1696161950
1068,39900,9,0,1900000,1900000,194,0,0,0,False,7123241916980790315,False,False,False,0,MS4wLjABAAAASmbeIcgAGO3xkW3zTcJTTDmzlf2VFkYwFR9UmSBXPK8mfTgll2EI7era6SqVi0Iu,False,0,False,vxmpclips,False,1694115158,1696161950
27,455900,2,0,9800000,9800000,394,0,0,0,False,7155885892183868462,False,False,False,0,MS4wLjABAAAAK94GTl57cOTjyNXGpuiosX2xC9ivPHd79NqWfEMH9YnFvT7yTQww-OhjNQ8uo0vW,False,0,False,groxs_mc,False,1694115158,1696161950
30000,2500000,151,0,31500000,31500000,316,0,0,0,False,5945302,False,False,False,0,MS4wLjABAAAAFR5ff4NDkhbYndKi7RHvDJNhDhJkzCq-kdQd_ZVeLgA,False,0,False,michiscottt,False,1694115158,1696161950
3610,6800000,136,0,113600000,113600000,959,0,0,0,False,6668025465947799557,False,False,False,0,MS4wLjABAAAAD_gET_c5Ljp39qLVd-VDsM1TjJPV9xCElJV6fxzxVERYyPAgT-SqMzu-ldPR6z53,False,0,False,tayoricci,True,1694115158,1696161950
329,163900,43,0,4200000,4200000,501,0,0,0,False,6893655849455174661,False,False,False,0,MS4wLjABAAAAR5irlOdvnN9aS0PnjWRf_kyrIHLBTSGoMS-MzcBULhvCcpw9JKAagctc8CeRDFIy,False,0,True,jokergreeting,False,1694115158,1696161950
3,395400,0,0,8500000,8500000,471,0,0,0,False,7260909065723544622,False,False,False,0,MS4wLjABAAAAvV-fE7knTBsFboabX6YvtYQqXF8E9nInLX1IPYBkG5HkJFZCXJxSIycR4SV8zm0T,False,0,False,olimaomega.fi,False,1694115158,1696161950
