diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
2196,158400,21,0,4400000,4400000,389,0,3,0,False,7089983048398193690,False,False,False,0,MS4wLjABAAAAEzkRt_8r3GaguJaPZxaFKrP35__wKVSxGpGAch6txPj_9xE9eh1N3scQaoT_1xdn,False,1,False,nessfanky_,False,1684256736,1694932334
6975,611800,215,0,14300000,14300000,538,0,3,0,False,7093240540653995034,False,False,False,0,MS4wLjABAAAAsqaS3x-nKIzBeGKRN96ikj-pZaWKSt-MnuvYYPyl3IKcRP9AOsLs-V5coAh2k0vm,False,0,False,kanggus_76,False,1684256736,1694932334
10300,41300,268,0,125600,125600,2,0,0,0,False,6849921000235189250,False,False,False,0,MS4wLjABAAAAVTbk4wrnIg7fprYLX-Famc5BwUeunLTBHuNejm27AoUXK5MAULdo45oH8ZtNdxv6,False,0,True,ridho_hsn,False,1684256736,1694932334
550,4240,3998,0,120,120,2,0,0,0,False,7262177184252822533,False,False,False,0,MS4wLjABAAAAomtltQyubRXDhSRhhno2vGwwnH9XZPVtfcqWW_Ij0QjcdwwFFh3KjcvJrgV8T45u,False,0,False,luizasantos202123,False,1684256736,1694932334
7,94000,5,0,981200,981200,41,0,0,0,False,7223124654042940443,False,False,False,0,MS4wLjABAAAAqMdwIZIecZyBsu_qzsEu49Uyh2aQ-lSUh2XJyQbQrPk-BfWAKYv1H7TEJrvDcV6i,False,0,False,firasathss,False,1684256736,1694932334
886,40300,2829,0,44800,44800,86,0,0,0,False,6916677692734112770,False,False,False,0,MS4wLjABAAAAGR4d_CknU-G_AuXGIXLX5vHy4YGawm1jTgZDsVeBk4MYZsMNCiteW0MfKRZnKY9u,False,0,True,enjitaaaaa,False,1684256736,1694932334
3105,1300000,6,0,13400000,13400000,851,0,0,0,False,7034420463863006234,False,False,False,0,7285783945906522885,MS4wLjABAAAAIb4w5t0aT5bEp9ELkCXbRz9iVUILWmRP7rtlMzZqNoT0xg-pqGXPXi5nVLYtUsVl,False,0,True,skuy.ltd,False,1684256736,1694932334
183,18600,66,0,547,547,2,0,0,3,False,7260553038288749573,False,False,False,0,MS4wLjABAAAAzBItCI8TOI7mrRmAGdS7CRg1uaszv2YXW8AfbtyAFkAsKpQJqnVMBZ47pE_aY-1Q,False,0,False,yudd.shy,False,1684256736,1694932334
499,2277,2009,0,4,4,0,0,0,0,False,7269838829112214533,False,False,False,0,MS4wLjABAAAAs6rTUzKJnImpE9shNBgJ1J-4VmwrF5Amlqj-X8dgJ_Fw3_l0L-ZMEPc1rtBOOXi8,False,0,False,larissapereira2223,False,1684256736,1694932334
14700,17900,31,0,27200,27200,0,0,0,0,False,7192860072274592794,False,False,False,0,MS4wLjABAAAAMEdtkdrA8ffBt5WzoZ6PZ1WriDAX1Iw9lWsK4DMYoGG4Gwx-w_VwI_Ui3WJTp6HQ,False,0,False,rizalyttacok,False,1684256736,1694932334
2210,1552,305,0,2784,2784,26,0,0,0,False,6956345819701363718,False,True,False,0,MS4wLjABAAAAIqN39bPz9BytEMfJyHjTTjHfW2hewcFL0BYBe_6SnG3G5nh56UWzobYSG0NrxMjI,False,0,False,familly_lovers,False,1684256736,1694932334
7469,4556,117,0,9267,9267,13,0,3,3,False,6819870221526057986,False,False,True,0,MS4wLjABAAAA_14aDK6ewxvS0ybGVMIEaJi0LCwxCI-Yi1iTYMmdHw_lGkTFK6Gylo6SElhCkuiq,True,3,False,phyllisym,False,1684256736,1694932334
733,13000,1447,0,424,424,89,0,0,0,False,6920561641772172290,False,False,False,0,MS4wLjABAAAA8Zp84QnHyZMCy5RDeA7wZZsSY_wPZpqKrAdTOaQuLorwWnH33CTbCFYhexTlMJhD,False,0,False,omndutpsdepen,False,1684256736,1694932334
244,21600,472,0,2174,2174,78,0,0,0,False,7098946131100451886,False,False,False,0,MS4wLjABAAAA-nHbstZl6cBZE3wcIOeYtR8nw6GRCb6B4fSueMOeg5rip3wAFckSvKhFsmkbD5TR,False,0,False,gamehuang8,False,1684256736,1694932334
1802,126300,1408,0,4885,4885,267,0,0,0,False,6785891750814958593,False,False,False,0,MS4wLjABAAAAi_7LbHqHCpC-J1upxSI9WPA2CB1emqYfhSkaOfGVq1vmuQEwN01qdal_075C8j5q,False,0,False,dephiiraphikamiss,False,1684256736,1694932334
327,33600,967,0,89000,89000,72,0,0,0,False,6952753422245348354,False,False,False,0,7285863895273884422,MS4wLjABAAAAU-7Pdo-s0RjzLlKWR52ki-u1-GJHoTVpO1eAnoxqMFsMVeY9DjMZBCQ6YNNBbQHl,False,0,True,paramexgarut09,False,1684256736,1694932334
4674,173500,435,0,2200000,2200000,930,0,0,0,False,6856786964336215042,False,False,False,0,MS4wLjABAAAATH5SruJWw372BZnNFs8asSrVRNTFhteIdW3rjqjQDxoF7VesbE-wK7dEDFtUHay6,False,0,True,fadhilahayyy,False,1684256736,1694932334
27800,1623,11,0,28800,28800,83,0,3,3,False,6961827762164237313,False,False,False,0,MS4wLjABAAAAc84pBnlK-EEIrpPFuWHrCVg8_fqpc8IY-LGKU1Q-YOWhyZFqWjnvPsWCA1HRmCxX,False,3,False,malihmalih20,False,1684256736,1694932334
15,11300,44,0,11300,11300,10,0,0,0,False,7265989968317137926,False,False,False,0,MS4wLjABAAAARTesifTkYa5dlOPqV6dUS3pZcjJ3SpuzVpMjIcv1B33L5S6A1H4HRNIa277-k16P,False,0,False,squad_thoriq24,False,1684256736,1694932334
1898,185600,1105,0,1300000,1300000,209,0,0,0,False,6818957031534494721,False,False,False,0,7285835601962617606,MS4wLjABAAAA5U8PifaM88vpT3yVq8PqhPw-vKOMUyzPTmJmqBpaQKbaJWU3HiwD8ShvmTm91PFe,False,0,False,suryamiharja1,False,1684256736,1694932334
4831,282,52,0,3637,3637,31,0,3,1,False,7156274617014256642,False,False,False,0,MS4wLjABAAAAvuSEOQgj6w6y28kzjjA98uZ-WwFp06OSkyG9nToEKMNuMwajsP8aSgSCVdyhUzZ9,False,0,False,pansis270allbase,False,1684256736,1694932334
33,38,29,0,67,67,6,0,3,3,False,7129051792122643457,False,False,True,0,MS4wLjABAAAAE_rMqZ346ypGccrjqV5hVNiFBLGiSCvBYPpwguGexk-dH1provJGWOVg-0rCv5gk,True,3,False,mom_abidbyan,False,1684256736,1694932334
7775,35900000,229,0,608000000,608000000,1677,0,0,0,False,6770280819560711174,False,False,False,0,MS4wLjABAAAASEmPkQ07QckWEhq8EorcNTrX0xaIcNkzkrKhR-GdJtMSYAMfzM6pE4UHzr7iS0_w,False,0,False,noelgoescrazy,True,1684256736,1694932334
294,403,393,0,901,901,423,0,0,0,False,6897337811448841217,False,False,False,0,MS4wLjABAAAAtabrL6DAIz5Qdadgu5_5oHAt5l7LdWI4WqS4s6JLi_vvcPYBY2Qjq1q32J5Xs7u7,False,0,False,mufida047,False,1684256736,1694932334
192,6097,23,0,134700,134700,24,0,0,0,False,7264913087395644422,False,False,False,0,MS4wLjABAAAA1JRJt_G7ighgUgdecONlo8XsD-fB0CbsZEJL2V4yB1CUt9j4aVl3OZHT6pZOMTOH,False,0,False,najistiker,False,1684256736,1694932334
