diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
18700,1794,138,0,4332,4332,139,0,0,0,False,6833238626848818181,False,False,False,0,MS4wLjABAAAAmzUXtmvFtGhjEPA2REKMHOoQx2dMYWLN-f7_BLAFhTZ9trX8-OJgdypYd5YvPllh,False,0,False,evelioking,False,1696085776,1696299724
717,100400,1258,0,264500,264500,130,0,0,0,False,7240908203528356870,False,False,False,0,MS4wLjABAAAAkFAFyExGa5OtPBLFQYtckUZNaY4cIZegJThEsQs3gk2RRqsooDsqTZ0SrVwM12cR,False,0,False,akko_313,False,1696085776,1696299724
3093,59900,59,0,97100,97100,82,0,3,3,False,6826740741511955461,False,False,False,0,MS4wLjABAAAAO1W4TaBkB3PiBjPYT-noVMlevMmP7zAacElik1QPPiv0DGA0qDxkErIaU5MSbXIy,False,3,False,ssminuch,False,1696085776,1696299724
43,103,136,0,0,0,0,0,0,0,False,7269923153161602053,False,False,False,0,MS4wLjABAAAAcPyGYKONt7BmeE7n1YkaXsSKPERohgvZHH76EmErxJwWuKsW2I4zxCKVjX4oR50d,False,0,False,vio2448,False,1696085776,1696299724
11,134,192,0,0,0,0,0,0,0,False,7271072298974381062,False,False,False,0,MS4wLjABAAAA2v6GTDQXwPFx6JU89P9pFRXlrOQfXGkFMLKCx9yhI8W0xduLF6zRZYhwFYhzwsj7,False,0,False,vio28785,False,1696085776,1696299724
357,304,352,0,20,20,1,0,0,0,False,7049745405408199685,False,False,False,0,MS4wLjABAAAAk1HxfPQv1IiyrKPnOM-vl-cA-qvheQ4fiwlI34iGWHVavIKgropmRq4HJLrFa2r3,False,0,False,mario..albertoa,False,1696085776,1696299724
30000,19500,176,0,1100000,1100000,63,0,0,0,False,7122307040080954374,False,False,False,0,MS4wLjABAAAAbFoddLi5cvYvqHVL0Vm5Ht-DMcyZhK7AA0mSfqO22csQt80hKcoFBxS4tmEsNXgf,False,0,False,bimo_63,False,1696085776,1696299724
331,1160,18,0,19700,19700,66,0,0,0,False,7197038652504540166,False,False,False,0,MS4wLjABAAAAFwsPoE4jRZ-IHeUPBFEaGmLgMlIlva8EnbIqbYnoIqkVDR6suBo2KRjLfn5qYEmk,False,0,False,megamastertoons,False,1696085776,1696299724
7856,1757,1170,0,6556,6556,339,0,0,0,False,6971983880212857861,False,False,False,0,MS4wLjABAAAAiDMpkNp3ZZk_45Nw_sm6Dhewuy21LIFBqWa9Jbxww4xoWetzE6ZMvnDsAE9lcIxI,False,0,False,sally_ecuatorianoface,False,1696085776,1696299724
9037,660000,470,0,3300000,3300000,90,0,0,0,False,7079612019914605573,False,False,False,0,MS4wLjABAAAApCT9anyPVTj6r5tDMbGrPNMxNM2JYzHu3oaetwIjT_Wt9vXzNukBvgg6d7rdFkA0,False,0,False,irlandagl1,False,1696085776,1696299724
35,54500,0,0,0,0,0,0,0,0,False,7170050129915085830,False,False,False,0,7285721845247363845,MS4wLjABAAAAP2hAgU564DBrx8Yv8bIfzVros8wZ4ko3-TkRD8FV7-5MCivaHepJ1CgPlnY3tA1M,False,0,False,ferjon3,False,1696085776,1696299724
10800,152800,41,0,1500000,1500000,85,0,0,0,False,6993451503017067526,False,False,False,0,MS4wLjABAAAAX85_Y2HDxG2-0A1OUs4v3qww2xmEIig0wdV7BzngdIwLAX1TWfzMIP9oDMGpWKTb,False,0,False,sietekid,False,1696085776,1696299724
1216,3030,2890,0,2056,2056,41,0,0,0,False,7203070431316706309,False,False,False,0,MS4wLjABAAAA6WWpONoTtSc4EUC6OFHuSVlPJaF93tHqE5ayZEef3d4j85U84XDCsetnJnfFFkz4,False,0,False,riddsc,False,1696085776,1696299724
1082,139400,495,0,38200,38200,44,0,0,0,False,6515826743213822976,False,False,False,0,MS4wLjABAAAAFrgT7t-zpHvYAuhH8YJnD-x4h_Mr4tkeSKBz7PcVarG84uQSrU3TEszLwyQJFdQv,False,0,False,gaskygod,False,1696085776,1696299724
1120,37800,26,0,152000,152000,130,0,0,0,False,7102297639504741378,False,False,False,0,MS4wLjABAAAAMtqQOz7TEeLivEbHonYdOQwyKjak75KCc8Fo2NErCMuy1o9BAqnMCRdjgfJ1G8PB,False,0,False,random_content140,False,1696085776,1696299724
