diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
0,180,0,0,1124,1124,10,0,0,0,False,7290168988243756064,False,False,False,0,MS4wLjABAAAAgvZfUXQ9FYDdYniqBmVR-Fh38zHfN5xw8QBk5tC2H238i_VioYph2hdN-K2w1_B3,False,0,False,littlemissy94,False,1697895417,1699118868
0,8744,1,0,21900,21900,79,0,0,0,False,7241643106042512427,False,False,False,0,MS4wLjABAAAA1EkY9UnRUmIpoYazOswzayFyQXi1JkoH354kdR5o8eM3ErSlFDEv-cLqCLmP7sHB,False,0,False,baersolutions,False,1697895417,1699118868
40,1137,10,0,7631,7631,61,0,0,0,False,7285922674244830251,False,False,False,0,MS4wLjABAAAASATkX4w5xVShSQhLevYNfHhDVV8DQ_GW6OtFIppsaqY-qNwEXObsNf6vYwpCjQki,False,0,False,tere197679,False,1697895417,1699118868
811,3820,806,0,15300,15300,376,0,0,0,False,7288361381538530346,False,False,False,0,MS4wLjABAAAAKJ1NuLxDarZDUCxbsXJScFZrg7GZ4sXdPFf-hULwzUBjsvIUJMHfhw0EpEXPuX2e,False,0,False,lovebugwings6,False,1697895417,1699118868
64,526,277,0,539,539,12,0,0,0,False,7236775625121547310,False,False,False,0,MS4wLjABAAAAQcw6a3hi1Yj15ijvR7SCpZF5__zjzbbUAA6VWLeFviKm-CPmrv17mTpnMjqgMxaF,False,0,False,brandymerryman,False,1697895417,1699118868
278,1565,4273,0,26200,26200,32,0,3,0,False,7218853907341837317,False,False,False,0,MS4wLjABAAAAv2WGdKQ7OfW1lRkDwVIop4SKeMsMcxJrua-mYal1sDUNrPpczcHYrRfRAwZmHeTe,False,0,False,6.7luccy2,False,1697895417,1699118868
1604,2276,4412,0,12500,12500,108,0,0,0,False,6981823706025411589,False,False,False,0,MS4wLjABAAAAja5Q-AK9D31MZU1GZSgnHPiij-kDzNusWVEaMTp698UgnsORPJgFLKosnthLHXqU,False,0,True,classywithmeg,False,1697895417,1699118868
28,34700,1,0,531900,531900,90,0,0,0,False,7117387940607853611,False,False,False,0,MS4wLjABAAAAWt-Zn61wL1HIUmPvjazTmcFunYmi9qRw_nCVmjdWqq0wDuGgTNq6z4bao-sbvbQq,False,0,False,the.wind.down,False,1697895417,1699118868
2,10700,0,0,125000,125000,60,0,0,0,False,7280209440154502190,False,False,False,0,MS4wLjABAAAAnZePcO-HjTJnJZU3Hq_TyGhouLHX9pF9ZFfclhgRql6XIcuzQMVbITlVvucr1cvI,False,0,False,the.free.press,False,1697895417,1699118868
252,3068,3114,0,42100,42100,87,0,0,0,False,7206538105339167787,False,False,False,0,MS4wLjABAAAADygCgnyW7p6t9hr3eAnXGmqsKWhuoPaHXFJwmIbe1yCtVjZNMyyyM1mleqnIET-j,False,0,False,brookexdd,False,1697895417,1699118868
