diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
66,236,259,0,2,2,0,0,0,0,False,6969730948699816965,False,False,False,0,MS4wLjABAAAAAICIo_v0qWuVcGg1GXlAfkWndDXrA1Fej1-0Fx44kPR2MuKS6jueHSo30dpwqT6j,False,0,False,dianepeoples1,False,1698897227,1699000780
2,78,325,0,15,15,1,0,3,3,False,7296277873140515846,False,False,True,0,MS4wLjABAAAAIw2qfsidkcrawHmcJKJgW1pvmTe0NUNo8x4TqqgpUfVe1_knp3RqFIuqsoLs3uR7,True,3,False,kaylayoungx0,False,1698897227,1699000780
1015,77,562,0,12,12,1,1,3,3,False,6540368150280541184,False,False,True,0,MS4wLjABAAAAYYdunY6ZyJa5tNBpkkEBxpDWwLj9fr18LXrcmg6oNBzrH5lflYRo3R2Eo-zjTEYF,True,3,False,rachelboitnott1,False,1698897227,1699000780
73,10,5,0,0,0,0,0,0,0,False,7071143836840330246,False,False,False,0,MS4wLjABAAAAedGo26Q7VeQaSLrStyfLLwRr51i1aj7E83uv5a64dE9KgJ1E3m2OuxXwCx3dMi0z,False,0,False,jijiez83,False,1698897227,1699000780
465900,249,108,0,0,0,0,0,3,3,False,6785000940010243078,False,False,True,0,MS4wLjABAAAAlGrirk8zDYHPxdNk1m1SCk-OwqBfc2ZC7TXEJgdv4p_jdJyzc8aG21jPC-BQKlnY,True,3,False,sunsetloverlifeishort,False,1698897227,1699000780
44200,497,3336,0,586,586,25,0,3,3,False,6838641109633434629,False,False,True,0,MS4wLjABAAAAwdvgIRSmxZp5baa6qAg7FXcni0gHysH91wagoHgaeeDmAKK9zB6P15Wc9we2jyWQ,True,3,False,daisydoo1223,False,1698897227,1699000780
9250,95300,9999,0,444100,444100,2392,0,0,0,False,7066126126907425839,False,True,False,0,MS4wLjABAAAAsWtYrXczN7vCZxVBBfef2Pr_AzUYTSAcpsTlN4UGoQHWIusTtv9bnDM1vO1s-skM,False,0,False,angelmoonlight83,False,1698897227,1699000780
101,123,8,0,31,31,6,0,3,3,False,7213410086730941482,False,True,True,0,MS4wLjABAAAAnd6QoByLCypVChAWF_u9ZblcEAEgDDMJ5UlUpkC388r8QrkMfuUJz8kKQQjRrqyx,True,3,False,kathytomasekayres,False,1698897227,1699000780
26800,115,778,0,2344,2344,21,0,0,0,False,7142719031794467883,False,False,False,0,MS4wLjABAAAAlsgyEC1JUnaiMf1zxPoncCCts_gyJ_nMA45iJwzxSQGbYK3os_0iRN8_ezExOZB9,False,0,False,xoxoxonatalie,False,1698897227,1699000780
36200,550,1197,0,1116,1116,38,0,0,0,False,7167156637049504814,False,False,False,0,MS4wLjABAAAA4o1QKZQTcvtobiGFDmpLiKBY00cOrvVzsq7YzJar5sx0VAGDisU82riiJzief0CW,False,0,False,brwneyedvl1984,False,1698897227,1699000780
97200,171,1886,0,0,0,0,0,0,0,False,6807968791566681094,False,False,False,0,MS4wLjABAAAAET3xZ2--t246I8SciuwLIEZe_kaPsMkgVREK_5Gyw-icEzqlBUezK9o1qpf5kCs-,False,0,False,apie2020,False,1698897227,1699000780
2392,1203,512,0,2805,2805,250,0,0,0,False,7108816376123802667,False,False,False,0,MS4wLjABAAAA9v5W5YblOew3wZ_Nnw-x8aB61QSUqLOm2BzplVdnvViOJMCheQZWyCWqjuZR0dQc,False,0,False,charlenebutler71,False,1698897227,1699000780
37200,2827,2084,0,333,333,14,0,0,0,False,6806767161319703558,False,False,False,0,MS4wLjABAAAArNcQd7wxCqoJe6vEAv505vXfdPx3jnY2ZAh1mVLVorBPT0r4rD2v8uK-zKmRyDku,False,0,False,julieturk66,False,1698897227,1699000780
1387,397,61,0,1,1,0,0,0,0,False,7164245003515036718,False,True,False,0,MS4wLjABAAAA3MxaUF2YKx-nZz7-T1OLlVO9LIMsZy8Zlv6W5GxFxv9CqAHx57sKir-9xA_Q-2K1,False,0,False,just.me.bama,False,1698897227,1699000780
21300,557,949,0,371,371,30,0,0,0,False,6810160423762707461,False,False,False,0,MS4wLjABAAAARiDuuQJGkPs35eRMoykvGHc2H8qFJHDNH1r_rKd-7OJYtRQ403FZZrSNLHUEUB2D,False,0,False,dianapadon0,False,1698897227,1699000780
14800,185,1158,0,503,503,12,0,3,1,False,6920707799806739462,False,False,False,0,MS4wLjABAAAAX8bodGcFk-9WtbH6SrpvZyWLmUNkut0uGgGUpydqhVy_NWna2wUXiw9Kbdc63fv3,False,1,False,nathancrites7,False,1698897227,1699000780
71300,1576,1372,0,99100,99100,151,0,0,0,False,6894038255113978886,False,False,False,0,MS4wLjABAAAAZfTK93QPvEKfTzRhLmfktAQpWDyOeEEwpwso1MJGnvQ5Xn83x5uR11Nne4LAyg8u,False,0,False,brandinicole_83,False,1698897227,1699000780
140000,401,3481,0,1,1,0,0,3,0,False,6769863632610034694,False,False,False,0,MS4wLjABAAAAayQhSWB72E9xddDf546j0lrDpj3L2R2J3IpvzCWbV68xQcqrHJQ8mPas7dB69Azw,False,0,False,_joanirachelle,False,1698897227,1699000780
87900,7544,237,0,143500,143500,48,0,3,3,False,6721028657164977158,False,False,False,0,MS4wLjABAAAAkSyCzQMLv1s9d13Y43ChiHbxuM3PbTSpaCHxG2jelL_2eV-3MPlUnO2T0fjG_isu,False,3,False,brittanybarnes2019,False,1698897227,1699000780
