diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
0,13,1,0,0,0,0,0,0,0,False,7269906705068737582,False,False,False,0,MS4wLjABAAAARdF21Rg5DGH25rGm92rY-OtaBDAd96qUaz4Nggzb1cvuhjCVECHNzql_hlpLPlnP,False,0,False,leanne.johnson7,False,1697861354,1698774262
1962,953,2232,0,271,271,7,0,3,3,False,7094140561405428742,False,True,True,0,MS4wLjABAAAA6klEAdWOgp9nvpueTxW4mCRtcQI9joRKFDaBbiJaO83XkPcg3_yNBtPmOXDGY6uZ,True,3,False,lyndondykes02422,False,1697861354,1698774262
131,1319,4975,0,341,341,6,0,0,0,False,7118374144030852102,False,False,False,0,MS4wLjABAAAANO-8yo5Pm4J27YHpFg6kbtmWcOmKGY9Y8tMfc1akf6ijuCZ_zE3usWTAEF1oZFmf,False,0,False,paul091883,False,1697861354,1698774262
15,28,37,0,12,12,1,0,3,3,False,7260973603897164842,False,False,True,0,MS4wLjABAAAArmn_lQ_eUzNBHMy67Y6q7m8fGlfhKShuWa3wj0A188ausjhFgF0FNE7KN6HTgXUk,True,3,False,angie.jamison,False,1697861354,1698774262
904,39,131,0,118,118,13,0,3,3,False,7271659259251164203,False,False,True,0,MS4wLjABAAAAaD-NyTw2EvcSGI4ry2XDlNImUjWlNF28p9voy6J55G3DT2gnASIYrT2PGOSASYHP,True,3,False,user5921788428738,False,1697861354,1698774262
1,98,5,0,0,0,0,0,0,0,False,6908166495118869509,False,False,False,0,MS4wLjABAAAA9UHWVWv7zQ4ljVPAJg7v1SFFka8OxBLJJU0KQ7XBhCNi63Ote69bTD_H2XEttr47,False,0,False,user6212537123326,False,1697861354,1698774262
0,108,8,0,0,0,0,0,0,0,False,6865075924150633477,False,False,False,0,MS4wLjABAAAAH1pZxAbtbyRK4YVnMKOBwV9937HjOMYpRR0N2sdf7m99SG08WPW5wcY4z2OUJean,False,0,False,shelleyanderson59,False,1697861354,1698774262
728,52,82,0,0,0,0,0,0,0,False,124334843391365120,False,False,False,0,MS4wLjABAAAAbrxVzwO8Rv9UQ44VogBiQOM_E_Avja_y_IKyPCoGXDbL93pUijgu0MXOuDJZ7Ffc,False,0,False,danielgarduo1,False,1697861354,1698774262
1449,133,488,0,334,334,26,0,0,0,False,6848784185765168133,False,False,False,0,MS4wLjABAAAAb-k2DH6ng3022B_8UWFVB2LThDDs47kSpGeMK2WBMNGH9a6SkwAUVWsWGlqaOnxR,False,0,False,marcusbachmann,False,1697861354,1698774262
577,1809,9807,0,535,535,62,0,0,0,False,6977503999763481605,False,False,False,0,MS4wLjABAAAANBy2DxxFXhTi5t4vKboNzQ1dkh726CKt2Kvj-IpHwW7AJCB8gveCifMAkX11SGJw,False,0,False,volcanokochen,False,1697861354,1698774262
0,7,11,0,0,0,0,0,0,0,False,7092227866927727662,False,False,False,0,MS4wLjABAAAApLnyUPuPTSLPwcbLckgp2sEfKggWP3Bmia6ZRWQvDj9cLtm2GhWjMZ8WiXApDX7B,False,0,False,janetmiller399,False,1697861354,1698774262
2,3,0,0,0,0,0,0,0,0,False,7132871170988737582,False,False,False,0,MS4wLjABAAAApuCjc2LZUS9FoQ-YVEdx80v09sON9jyMCLY4VEWmSQGqFAm-AwV2_xAOHzTtfQtK,False,0,False,amyfulner8,False,1697861354,1698774262
25,29,22,0,0,0,0,0,0,0,False,6968712309506130949,False,False,False,0,MS4wLjABAAAAAzIW8PuiHfz81UuYj25VzitnjUhGKJUW0ljWCpFmlVs8f1BMacRo_NZiTtdD9zIp,False,0,False,foosninja59,False,1697861354,1698774262
29,20,63,0,0,0,0,0,0,0,False,7206293572166714414,False,False,False,0,MS4wLjABAAAAFk0r1Fke3ZU9cTV_1pIWhSZsxyoO_4MjEX0b5EJ6kz4ZIZTR9-X4pX68iq-lCJlh,False,0,False,stevenperry384,False,1697861354,1698774262
0,9,3,0,0,0,0,0,0,0,False,6829485388035064838,False,False,False,0,MS4wLjABAAAAhm2boqQeQUy0vWhkOWarH50ZAQj7a8F3cyo46KgS4ROF75aYXHSkgzz8XmLok7VS,False,0,False,melisapelsterizz,False,1697861354,1698774262
10,7,3,0,0,0,0,0,0,0,False,7135519606690022443,False,False,False,0,MS4wLjABAAAAFEkPRaup9bJdul8M97_z7PwB3qLKio_fl5FyH4l7ZEF0DyzaOsTebe0hwg_xRaH5,False,0,False,nicholle1394,False,1697861354,1698774262
138,12,25,0,0,0,0,0,0,0,False,6799479389824795653,False,False,False,0,MS4wLjABAAAAMAauPS39DoQSxyIlRCwLVqW2ivJn5jVVz6h1xMm41iHxocucb3VCdR3kl9QEyReQ,False,0,False,lindakolhof,False,1697861354,1698774262
4,6,5,0,0,0,0,0,0,0,False,7139560057789875246,False,False,False,0,MS4wLjABAAAAtTt5A-NL91SxUjixIEop2Bj9TJ7g_FrVKr2HnquFqJTTZiBCyBQsP1Y6zObUi9QQ,False,0,False,gloriavanwyhe,False,1697861354,1698774262
2,4,0,0,0,0,0,0,0,0,False,7237983153506731054,False,False,False,0,MS4wLjABAAAAXnZsBJMlpVaehtDrphsO0k-9Hv5KSXbCdW2bcFi9WH_HKPYUlyZc1pYDdih15alG,False,0,False,chrisjackson2344,False,1697861354,1698774262
0,7,0,0,0,0,0,0,0,0,False,7093911804218377262,False,False,False,0,MS4wLjABAAAAajUGnlknzY37GujghP_7MrO-SBDd4ljNdw4oGcJT23ej8evyGctGmwXXW7ICe23y,False,0,False,chrisswanson7351,False,1697861354,1698774262
1,16,18,0,0,0,0,0,0,0,False,7239149634644018222,False,False,False,0,MS4wLjABAAAAkKkfihaAjtaqgtawp2Veb6sT3f88Bnl07sqst9pOTeP3hFLdp473Vjpumqdw8vwz,False,0,False,michellerunyon5,False,1697861354,1698774262
175,23,57,0,0,0,0,0,0,0,False,6848765097419768837,False,False,False,0,MS4wLjABAAAASpB1Ymjr5gWxAAPSyJxyOUrs03YCHgTZ8Cr07D87P54m-QKs6ls4YB59VAriqj-0,False,0,False,jenniferheywoodgray,False,1697861354,1698774262
0,66,9,0,0,0,0,0,0,0,False,6815509916846375941,False,False,False,0,MS4wLjABAAAAYv3zIxrbYZB_-pKP5IGkTeaYN5ji_Cj3DDMZK1_ISUjsPEmD-Iu3uwdf5eCoiLst,False,0,False,grimreaper1221,False,1697861354,1698774262
12,14,36,0,0,0,0,0,0,0,False,7100589740000445483,False,False,False,0,MS4wLjABAAAAN46ZCWq9ZTNtxFQELC6O-fb-P-tupwvZgfE-qzR6mrihJ9nUyXfHK5ciYASLWquA,False,0,False,donna7383,False,1697861354,1698774262
29,23,34,0,0,0,0,0,0,0,False,7159622129251550254,False,False,False,0,MS4wLjABAAAAuY0ihXF3Mgr4-thYLTSa9yTf8UZTo1P2Efflt9XqnClneD1lK9NYTTyHCxwNKDd9,False,0,False,marylevermann538,False,1697861354,1698774262
1,13,0,0,0,0,0,0,0,0,False,7209386365389341738,False,False,False,0,MS4wLjABAAAA3juKYdoYqDtcBbDvP3Cn-ny6jUddWrXRV5K4ay0XiVkmTPGtSs_CqVx3zvoOy-g1,False,0,False,barryakers26,False,1697861354,1698774262
161,62,43,0,7,7,3,0,0,0,False,7104295406391657518,False,False,False,0,MS4wLjABAAAAwCZVBAmGNOMxLtEEwmGuPI_yAAlnOJRhfxysd1La4_eYCKwlq7v2I8EUq32_u_9p,False,0,False,randalld64,False,1697861354,1698774262
0,29,39,0,0,0,0,0,0,0,False,7098016762793575470,False,False,False,0,MS4wLjABAAAAwGPoJgkI2gUMuGBO8l6WGDuHBGfBf9LpeeIhbB6uAPxDAjjlSTy0t2AgoNeofnUu,False,0,False,lighthouses49,False,1697861354,1698774262
25,20,31,0,3,3,1,0,0,0,False,7236534044501083182,False,False,False,0,MS4wLjABAAAAVNiMRluvy-79h57hPPHA_bM7RZfWXueEx3G66euKKRaZMeXaCgqHM9zuyQ-5HbEZ,False,0,False,juliefuller18,False,1697861354,1698774262
179,307,181,0,41,41,1,0,0,0,False,6984872102214845446,False,False,False,0,MS4wLjABAAAAMQ4WNI13TjC99g7ZaTw5RWh3WXkHhitg0IcjcJa9wRd4fEUom1LndzRhhGuDL9h6,False,0,False,shells9687,False,1697861354,1698774262
36200,550,1197,0,1116,1116,38,0,0,0,False,7167156637049504814,False,False,False,0,MS4wLjABAAAA4o1QKZQTcvtobiGFDmpLiKBY00cOrvVzsq7YzJar5sx0VAGDisU82riiJzief0CW,False,0,False,brwneyedvl1984,False,1677619555,1697861314
63,3,46,0,0,0,0,0,0,0,False,7280737953012745259,False,False,False,0,MS4wLjABAAAADUtU_5ICx2XpJ_g-uP0KFmYVj66XTSzoPqNml1J48bQS6GKmKVh2QL-LgbWBalob,False,0,False,tanyaracine6,False,1677619555,1697861314
20,65,78,0,188,188,66,0,0,0,False,7289154357503886379,False,False,False,0,MS4wLjABAAAAhYO8ZGxPu-vBpWIVo21e1jsGSwL3coXHagUCJ_haHVRy0OwaAmm5NLGL5mMghQkV,False,0,False,lizzyrose1988,False,1677619555,1697861314
