diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
488,2706,2997,0,626,626,38,0,3,3,False,7196723531994940418,False,False,True,0,MS4wLjABAAAAj9t82Xb35pWZETSuL2lsWHbyNsP1K0h0ZygZu43G4eDI4NACW8EFP2liXm3sNyci,True,3,False,mahal_21_516,False,1696778026,1699095672
860,224,150,0,0,0,0,0,0,0,False,6722068055146791937,False,False,False,0,MS4wLjABAAAA92vIMEIvAsEKz3qEBR5dMCveDCXSKY40qU1nCCR6PhgSeCJV6SZsJY-kygUg0imw,False,0,False,christianjosephn,False,1696778026,1699095672
53200,7737,7127,0,3549,3549,103,0,0,0,False,7067131273633973250,False,False,False,0,MS4wLjABAAAASfUct9WexxocUpltaI-wA9xRQS_mFPrudmsk8up3yjguoCfTetlXLengF0zGN3kH,False,0,False,yayowz,False,1696778026,1699095672
521,4749,227,0,9644,9644,79,0,3,0,False,7212452033030636549,False,True,False,0,MS4wLjABAAAAfd4fMUF-PXKKxW7Kn6SbQaL-1uHHecrg3qqeKr8Ufev1hHMxhYEAtEJGHmfrNKGR,False,0,False,prescilla06271988,False,1696778026,1699095672
12300,95900,764,0,853800,853800,91,0,0,3,False,6790321132403999746,False,False,False,0,MS4wLjABAAAAY_AXGW6wn7dRhTaXtrbkQmcYtkjEqvg7IV_vixuCZ2Vt6yTWXuZPVE4OmSZJV9dv,False,3,False,kath.depalma,False,1696778026,1699095672
1374,49000,3068,0,185300,185300,1389,0,0,0,False,7129394229700871169,False,False,False,0,MS4wLjABAAAAPCKRzUdvacwO3j4JNVQ-fWO8U-TIAkffCStPKnOy6Jhwzj0-YRvnGEGWE0G4soj6,False,0,True,gelacio0318,False,1696778026,1699095672
207,14200,1054,0,50900,50900,62,0,0,0,False,7270330031166309381,False,False,False,0,7297695014835145478,MS4wLjABAAAAWh5yqpr5YbA1DYxPPSKJMlUlmula4UjtR8Sa-gWfllhdnlzIlV_CfA3j1ZxWSPcE,False,0,False,louisesun__,False,1696778026,1699095672
407,51300,18,0,782800,782800,11,0,0,0,False,7295566270253974534,False,False,False,0,MS4wLjABAAAAR2C7UXHgc0SkQL1aBNHoBwiOKHO69MN99bo2aDiEIS53bTZ-RvAgDqTvIeWvv4JX,False,0,False,lorrisx_x,False,1696778026,1699095672
2514,48200,951,0,128900,128900,148,0,3,0,False,6791331977514501122,False,False,False,0,MS4wLjABAAAAR_mXgJmTopYnj4L-GbBg17G88QBCvklwNoNhWVHRcJcck76P7BswPwl4sKZqtGLJ,False,0,False,jinjinpau,False,1696778026,1699095672
312,39300,155,0,203800,203800,80,0,0,0,False,7280442286331659270,False,False,False,0,MS4wLjABAAAA46_P_iq5WugPzpeAHlFkCsZ-9_80gznz8sj97Wm0sHmKDCKlg3Wzlc_hh8GcCyOs,False,0,False,04joefreydeguzman,False,1696778026,1699095672
