diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
1394,291,1673,0,859,859,323,0,3,0,False,6736931309866959874,False,True,False,0,MS4wLjABAAAAL1LDF9ZW5bBvJ0p1F8cxkcODef_x3DhUUH4rAwoZJBmPlolKIyLwFeuoQDz8uIRb,False,3,False,epurwanto80,False,1685005023,1691944903
4257,830,2549,0,640,640,36,0,3,0,False,6824165448767538178,False,False,False,0,MS4wLjABAAAAfT3sjiiwIvBsUOOi334O8N_Nk1eYl2m58v0uPEKFFNVeUcFjmhtQliFL1Giky8QH,False,3,False,yhadie_05,False,1685005023,1691944903
517,2800000,202,0,100700000,100700000,199,0,3,0,False,6749485780773635078,False,False,False,0,MS4wLjABAAAAANY_JfczLGHSNjixGn_2-sJiiBNM31ScQKWotS1EXbLHVRRf2t3zTf_FnK3gByYg,False,0,False,jordanflomofficial,False,1685005023,1691944903
1856,1987,1041,0,2493,2493,251,0,0,0,False,6781721750725149697,False,True,False,0,MS4wLjABAAAAWXmblqDzrkObJQDph_Hhidoggiopp5e17-AaWdTtp5P_zVHjXGVUgEf58wXYABwm,False,3,False,hersheymaedenidoprimo,False,1685005023,1691944903
4888,3394,754,0,8922,8922,613,0,0,0,False,6795359354792428545,False,False,False,0,MS4wLjABAAAAbZsYrnpyCQ5Qj0KYDVMggfTxPli6FMjICymwo-E4ll29sNrF3ZEN8UkBCN3gL5XU,False,0,True,jazzy_mavyshop,False,1685005023,1691944903
1181,2043,35,0,10300,10300,114,0,0,0,False,7111584086104458266,False,False,False,0,MS4wLjABAAAAsxCK4w3tRrBIQ2jHD7MJApOY5x6ic-zLV67NHHHcWcIfMamFyxad-_GFBm8PvUuR,False,0,True,affordabudolera,False,1685005023,1691944903
4913,52700,224,0,267100,267100,718,0,0,0,False,7115367417068733441,False,False,False,0,MS4wLjABAAAAqj_VVsu78-8wyykXZN8faC62hWMiLXdJfQQbexS48yy6XA0uJ9x7APhh60hgKIbW,False,0,False,villanuevamae22,False,1685005023,1691944903
5305,435,557,0,1059,1059,133,0,0,0,False,6719346190847083525,False,False,False,0,MS4wLjABAAAAddlz3tRVkpOX26pfZ-aRX3VW4wz1BuO3MoQk3z6oN81MLjqj6OuiJAMg3OakhZbu,False,0,True,affiliatestore5,False,1685005023,1691944903
6369,20200,9922,0,91700,91700,814,0,3,0,False,7073735369246917659,False,True,False,0,MS4wLjABAAAAwynqHK7JDfLADZyYBX_1-_JnR-tC80fw5SXWeSlyyFrvdmJd_fC23A18Lfrwswd3,False,0,False,myleia09,False,1685005023,1691944903
22100,8492,4147,0,40000,40000,2059,0,0,0,False,6919423916340069377,False,True,False,0,MS4wLjABAAAANM6uOgdzF4_e9zStQIDgxAhJmhcti7zLImhcXZEgk5PYF94dPjwA6v-6KR0u5FHQ,False,3,False,jeraldinshop,False,1685005023,1691944903
1199,972,352,0,460,460,22,0,0,0,False,7081465867494867969,False,False,False,0,MS4wLjABAAAArWxip2HwDSJ_slObjy2stK-JadhJXYAK3OW5_9lA-VuciQhirEw2hz9xPgJF4V_k,False,0,True,andreapangilina21,False,1685005023,1691944903
48200,2321,9134,0,5884,5884,1031,0,0,0,False,6576923399606583297,False,False,False,0,MS4wLjABAAAA5qiA79NFYZBQ206dK5C4grtAyhHsoEYwlWUbNQTfgi8Y5BU26igIar-YnF_oa3wR,False,0,False,joyann081,False,1685005023,1691944903
2163,1248,1541,0,3606,3606,225,0,0,0,False,6996252906161308699,False,False,False,0,MS4wLjABAAAAvKUYSMnPKXS5hNP5rc_3J7wq_ymGXODcojvl8qQLls69dmUNy5Sy9NLbGSJG1J1h,False,0,True,gelaiidejesus,False,1685005023,1691944903
5731,2350,287,0,5442,5442,292,0,3,0,False,6591349472436649986,False,False,False,0,MS4wLjABAAAAanjLrL0eZ2ETl0CHvaFHfqLa6CXn-UCsXNoJYLUp5-OJj5n9ZaDvwGKp7SCbve8t,False,0,True,narsroan36,False,1685005023,1691944903
10500,1785,3149,0,2460,2460,200,0,0,0,False,6944646264328897538,False,False,False,0,MS4wLjABAAAAauXDuO-vyUnC1ozBtme8HbAN6RoNUkeoXWLVykuoMqz8Bld96YAxRrGyGGIzhJ4q,False,0,False,mamajessa000029,False,1685005023,1691944903
3681,1007,1071,0,3686,3686,545,0,0,0,False,6953519592699085825,False,False,False,0,MS4wLjABAAAAdvUmkM1LmuiaDuaWCWAcgajCq1w3zbxC_i-VhZ_PiIdcFB0QDtJAbkLp2HI6uW5e,False,0,True,irishapuyan,False,1685005023,1691944903
10600,10300,9413,0,5635,5635,411,0,0,0,False,7007448954788348930,False,True,False,0,MS4wLjABAAAAD1IGLVOfXdTiuQgiu8-_9ilTN2yU-Aa1tgzUEIXZ9N7pcCQcU4Qs5HcVn2q1zGbg,False,0,True,joriesuarez,False,1685005023,1691944903
3208,1225,1146,0,2776,2776,117,0,0,0,False,6958058420671661058,False,False,False,0,MS4wLjABAAAA8hSIxnF5W267oqxHThGToYsMSrzy_i47DY42COjZftZfpjBBNc37ERlaCnp6MeS2,False,0,False,mommydindin_drey,False,1685005023,1691944903
4020,353,345,0,421,421,23,0,0,0,False,7124113208130602010,False,False,False,0,MS4wLjABAAAAdQBf_131-egOC7ICYhXGF2LZFqXTBHpztf6UAleIsgbzbpK7qnz8SMkNDLwVDTUs,False,0,True,kylaluznavarro,False,1685005023,1691944903
2082,2584,2608,0,2923,2923,136,0,0,0,False,7043479428983522310,False,False,False,0,MS4wLjABAAAAsL63ARMxbFHTE1Xty0dvPByxA-gLasqrcU4w2xraeQ9Y0TWSAJakqnhjXOJnMNmt,False,0,True,nildasalazar261,False,1685005023,1691944903
5099,1154,1453,0,8114,8114,45,0,0,0,False,6956128837613831170,False,False,False,0,MS4wLjABAAAARD7FWD7S5IeRT_NGmkNDOLMncFsqxVlnbKxQOEhDQVU1w1g_q8s-apoQQInhvDGm,False,0,True,norhanifamhd,False,1685005023,1691944903
987,1582,718,0,4777,4777,320,0,0,0,False,6850054269434905601,False,False,False,0,MS4wLjABAAAAae8Vjiuqeq6IV2INw4XIR3G5YCtAbK8vKfbe7jmR4BHsA5_TzM4eviQ7a6aCCaQD,False,0,True,bhelrapsing_15,False,1685005023,1691944903
13700,10200,40,0,143100,143100,58,0,0,0,False,7131970346059957250,False,False,False,0,MS4wLjABAAAACrzrwpVdVEtQ36sl1NMeL9FrVKAAv8vkd-Ue4936jOCZ5j5sr5C8U0QQB5UrLnQl,False,0,False,ceaaline,False,1685005023,1691944903
3919,91900,1053,0,1700000,1700000,801,0,3,1,False,6759156598571303937,False,False,False,0,MS4wLjABAAAAEqu8akpsUYp4y9nNC6GPtLRk9gliRJbyjiy88QZ165K7YIac4oH11Uf3w28pn3D_,False,1,False,theresamat,False,1685005023,1691944903
1597,53200,636,0,269400,269400,513,0,3,0,False,6932129410242069506,False,False,False,0,MS4wLjABAAAAwQYJ2WETM7sPgaQxqY3ptOxBGWJhkUj5RQxCryeWa7QrGqecY5Zt3lV3Y-3YSGNR,False,0,True,abbystodomingoofficial,False,1685005023,1691944903
5023,1835,1761,0,3370,3370,577,0,0,0,False,7160995096438866950,False,False,False,0,MS4wLjABAAAASDEUamqj3idhMn1dxYc5WeW3fuOtgvpn_kGneVJEY1kf-LKG1AsX2Gw6vbIY8iH2,False,0,True,ljaneshop,False,1685005023,1691944903
14600,2725,2540,0,8384,8384,632,0,3,0,False,6996337229930284033,False,True,False,0,MS4wLjABAAAAfAlPeLfqIXeqbxEmcyt9GZNUyNiMtOZJ168Z7oJnY2-p6OukAYNWbDZiJZCZkD-z,False,0,False,novembershp,False,1685005023,1691944903
11500,4525,63,0,33200,33200,651,0,0,0,False,6566008512861405186,False,False,False,0,MS4wLjABAAAAPPBx8RfRfdZ7eXBJJ3ac-dgUzGj7rEbTKIzmA6RaL3nCzOLHZf9n0dPpMnyYwRpK,False,0,False,urprinsesa,False,1685005023,1691944903
2568,62300,1354,0,828200,828200,914,0,3,0,False,7142058356370490395,False,False,False,0,MS4wLjABAAAA5r9wt7bMwCniJ9JsDpSbJhyrxikFE9NqdWPHY9BlXRSSWd_hRNXcfU1lorywEHtS,False,0,False,itsmemaylss,False,1685005023,1691944903
501,1405,63,0,62900,62900,192,0,0,0,False,7126929021548397595,False,False,False,0,MS4wLjABAAAArfKNpteEgwy-IwGFx5dGNqFBgx_UxoOBGTrfUFXRp9qJMvcBTAQaUxGXzTbJJeMD,False,0,True,enaj.r,False,1685005023,1691944903
9476,1966,3766,0,8083,8083,269,0,3,0,False,6964350180239131649,False,False,False,0,MS4wLjABAAAA8yRptF_VdguN_P512MRgDw3wUycFWytZwLXwUZmToDGeMEB10jzV6B9HUXJ6R42y,False,0,True,mar.ugc.affiliate,False,1684775034,1684940675
31500,1231,5527,0,884,884,89,0,0,0,False,7024479570792268802,False,True,False,0,MS4wLjABAAAAQtrJ7gXZi52FT7WHMIYIppXnC-nmMTE6s0Mp082tVpiDO1CwJ0KfxheWUjtj9ejV,False,0,False,angelitobaterzal24,False,1684775034,1684940675
10300,884600,251,0,57100000,57100000,1655,0,0,0,False,6773432157605889030,False,False,False,0,MS4wLjABAAAARA2u1TGJppoX2hxhayb-Y7xNQRli8UyyczUwGSd8rZRRgrXQQRpBse0JF5kvA44S,False,0,False,stephaniepena__,False,1684775034,1684940675
2488,263100,435,0,1900000,1900000,1324,0,0,3,False,6805839479312843777,False,False,False,0,MS4wLjABAAAA2msH7tBtc5VZR7rcHPSDeQSGcOLmqAPadXuyx05hyVEljEyhZ0lODOOZqWzpHa8p,False,0,True,ciao_onlinestore,False,1684775034,1684940675
7229,4242,9996,0,2541,2541,340,0,0,0,False,6630274829101514753,False,False,False,0,MS4wLjABAAAAP2Xo4s6_LuXb37YZwQ6y-dSMPg_ZA2Q3L4waW6kePbWLOThYRNq2iXcnips5XGuw,False,0,False,aiv_eiram,False,1684775034,1684940675
3841,1470,158,0,15800,15800,155,0,0,0,False,18441704,False,False,False,0,MS4wLjABAAAA4nyQJA6OTkuEzZhm8CVgr5hUgU1TdDfgc4SzIjX_m_c,False,0,True,rhonabelles,False,1684775034,1684940675
2813,5103,7972,0,6834,6834,346,0,0,0,False,6936003332545119233,False,False,False,0,MS4wLjABAAAAwrAgvJ8ioemJv7SWRDf-IrPjGhDGdF8bD_edqKXalRthNtqoeOyjLkxUKmrAVeI_,False,0,True,michellecastrobelardo,False,1684775034,1684940675
