diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
38900,26800,13,0,267200,267200,47,0,0,0,False,7014184617301705734,False,False,False,0,MS4wLjABAAAARFeZK-glvQeqERrZt-htOcBFIravQpsG9uy3N2Rkm1S9yse9J-W7HjkC38z0H16Q,False,0,False,whoselegant,False,1693241268,1694614041
4753,42700,3192,0,208500,208500,257,0,0,0,False,7067590075608990726,False,False,False,0,MS4wLjABAAAAXmijdfVT6CD7R31h_4gbtYkL4Q0ZFmtsyKmW79leA8XVqu8G1OTdlUjIQFnz7w7a,False,0,False,ise_kala12,False,1693241268,1694614041
9619,213,443,0,1697,1697,33,1,3,3,False,7209252165276943365,False,False,False,0,MS4wLjABAAAAYHIVaXxDjPiME-g7cXiZ3aT_Cowg9kfYPJH5kuSwRsC54lLdjIqIB3U-OTD_oth4,False,3,False,urfavama_0,False,1693241268,1694614041
15,1627,0,0,14700,14700,88,0,0,0,False,7251125086559421466,False,False,False,0,MS4wLjABAAAAyHDTr69Q9CZor0FEEcc0aSSllJzNotsPsaLqKA5aFcejb1JZpyAUvYNxKSuhod6d,False,0,False,nexzyclothing,False,1693241268,1694614041
2770,395600,40,0,1700000,1700000,373,0,0,0,False,6715100646885327877,False,False,False,0,MS4wLjABAAAA1RCB2SgCR5G2pfhh7jEILt-a4_lYbMBMxG8kUkowe8mMZSAzdtIY-sQcSZD3Wu3k,False,0,False,hub_videos00,False,1693241268,1694614041
88,7,70,0,147,147,17,0,0,0,False,7177015422306436102,False,False,False,0,MS4wLjABAAAAAO9nxn8TXRhN_5iHOeTjxfmhmmKONTTXJSNouwwjuDu1EQ_iYydajElslO5kK-0c,False,0,False,kalamies114,False,1693241268,1694614041
738,150300,14,0,1000000,1000000,110,0,3,1,False,7201797466855965701,False,False,False,0,MS4wLjABAAAAogtuyCJWvEBGrdPz63cu0Cl6De2lPJ1cgH4CImmtFJ-z6R4KCMpmi6vRU5MoeL9N,False,1,False,skylar_goat1,False,1693241268,1694614041
333,29700,43,0,472700,472700,220,0,0,0,False,7135467987851183110,False,False,False,0,MS4wLjABAAAAhPEKgYVx2_ilAVxgKj_kxLRwVKXlHBOU6_eHLpSNDca6ETU5yG9sRDQLhU9ZaJvN,False,0,False,noccofinland,False,1693241268,1694614041
188,25,1,0,0,0,0,0,0,0,False,7202481390016906245,False,False,False,0,MS4wLjABAAAAIKg-4i8D6dGfEmktZN7kQceZ2b92EdA7CLPLEM34PSO2Xz7YgSxs_gI3YvwHj-LM,False,0,False,kala.poika11,False,1693241268,1694614041
1151,12500,581,0,26600,26600,60,0,0,0,False,7252295468612781082,False,False,False,0,MS4wLjABAAAAWl04z5Occ8hTMqspzT9IKlaQx1Jg0_zZkUro0fYaqToqonqvlGl30jz4ELywzyVF,False,0,False,hector.boman,False,1693241268,1694614041
