diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
5942,24,50,0,0,0,7,1,3,3,False,7204460819450561542,False,False,False,0,MS4wLjABAAAAVrmOlUGjz32qr6hEHEx75LxMUL_TxauuV_QCuQMuOfGjhfhjRkPkA_AGTitybeax,False,3,False,user2263674460616,False,1693225591,1696322733
2060,1066,2330,0,122,122,1,0,0,0,False,7244871319727326214,False,False,False,0,MS4wLjABAAAAsbFZe7B0JP1a5YAV0yw5ESdJULWTg2eV8xO2k3mVa2xvyvcC2IkYzNQ5EeHpCeqO,False,0,False,_pablo_m_xq,False,1693225591,1696322733
329,19600,8,0,305200,305200,96,0,0,0,False,7263879510524511233,False,False,False,0,MS4wLjABAAAAuhXlnlXTa-j7QxEeyUZujjfglPRHOGXqkr-aN8Pn-4dNUMGZ_fxWNEpFezXBhNRv,False,0,False,hikayeler6236,False,1693225591,1696322733
562,209,580,0,92,92,33,0,3,1,False,7252367801906136069,False,False,False,0,MS4wLjABAAAAAGxTNV3sHaAeyk7aJgz6fx_PnDS1c3rDIBtfxG1ZcTnZshT1otREQHJwZsWX01YB,False,1,False,rabitlend0,False,1693225591,1696322733
11300,660,2023,0,440,440,26,0,0,0,False,7249330792508965893,False,False,False,0,MS4wLjABAAAAihyr10PsEFIM2J_R_Wuor2czqig5OjDvRPC-JPRE9mDgqMW6mGkABtoCTjLNm1_5,False,0,False,reddeadredemption47,False,1693225591,1696322733
7163,5569,4545,0,71200,71200,163,0,0,0,False,7216396377856099333,False,False,False,0,MS4wLjABAAAA4Ec6kRdlv5Zutf2RI-wzs99mPZ5USS-KF6B4qxEdsYa7-VV0Bxp8CEBGxG46l5lM,False,0,False,im.ruya,False,1693225591,1696322733
293,30,160,0,0,0,0,0,0,0,False,6973960238337082374,False,False,False,0,MS4wLjABAAAAojAS4VhJpkcJ_fH-05Fvg5j0z5Fdsd5WYK85oxzNRxAt6Z3nyI1EsUVej0LHCPdF,False,0,False,berenece1980,False,1693225591,1696322733
9611,5149,9999,0,16600,16600,303,0,0,0,False,7107626626007073797,False,False,False,0,MS4wLjABAAAAMik0hSrN9EIZXhKBgYfKfsloKjcGbTWBbGeOaqOyS7SeRjAM1yTgDh2MVBPgA7mf,False,0,False,xsenawps,False,1693225591,1696322733
8039,98,168,0,1430,1430,238,1,3,3,False,7175199751037797382,False,False,False,0,MS4wLjABAAAAOYxEhJEvhV5daRAsslpTGaP9nwKwMVTI7G8SkGy1-GIyTubINksCSFmpkrSaQZU7,False,3,False,frenzi_hr2,False,1693225591,1696322733
23700,4327,4505,0,14600,14600,678,0,0,0,False,6988123461893899265,False,False,False,0,MS4wLjABAAAAy7GHk2p7rPvDz1L9ts8lJz3mCIWqfGjHyAnyyh7kR6-HXyNEBov9NOMhvO1CtWKS,False,0,False,yeonsaw_00,False,1693225591,1696322733
