diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
704,18,3,0,257,257,11,0,0,0,False,7257965001414870043,False,False,False,0,MS4wLjABAAAAKWmYAvBY4RofJkP6R1ZyFkGGenXJr2nPuDLBO8Z5KX32RlMsq0KGyb3I3sQnrqa5,False,0,False,yourbuddyforchristmas,False,1690143285,1694975381
595,45600,85,0,19800,19800,3,0,3,0,False,6595008872242708485,False,False,False,0,MS4wLjABAAAAK5w4oBa1zgA7mtpGN4XknEYPJ_FG78fqg0E25AofSd3ThP6QS1VC96sIySqLVpje,False,3,False,shahjee2024,False,1690143285,1694975381
551,30400,515,0,34000,34000,83,0,0,0,False,6937978237771547653,False,False,False,0,MS4wLjABAAAAezInFPgj6moN1Lfyy89aW8-KW9ion6F3zKoA7w6Y9T5D2xqZAdKAbm3zFmIS4Rsf,False,0,False,brainuser55,False,1690143285,1694975381
2,206400,21,0,2598,2598,0,0,0,0,False,6867826103605888005,False,False,False,0,MS4wLjABAAAAVI-ZQUJfL5AV2McFifSDbqyp3HkMOdVdhD-00ljWrbWdOISb7Rl6ausc_baVZSKt,False,0,False,beest_king,False,1690143285,1694975381
2464,29200,9257,0,55000,55000,307,0,0,1,False,6814015955614696453,False,True,False,0,MS4wLjABAAAAEgzUn6EFduJHyoB2TQjTC5cm_gwLomW2BCzzvnhoet8GnM26KB2KRR5fkPaI923n,False,0,False,clauditaaa69,False,1690143285,1694975381
96100,881,9993,0,183,183,15,0,3,1,False,6992993912768070662,False,False,False,0,MS4wLjABAAAAVHw1ZaW2g2W2OUnxIA5wwhJrm1qh3Q1cFAhGG61wzMThvoG2kWy8HSIzrltwgms6,False,1,False,marius__1_,False,1690143285,1694975381
3478,5827,1359,0,0,0,0,0,0,0,False,7146117999656158250,False,False,False,0,MS4wLjABAAAAIGW6QP9_An7R7RXOEewSMUy2LlMZJmn9DynNAEmdgwnnz6agCZ2UyzPIUiWfNkwI,False,0,False,a_happy_day1234567,False,1690143285,1694975381
1940,131700,170,0,6300000,6300000,260,0,0,0,False,7184246375144571950,False,False,False,0,MS4wLjABAAAA-fPLiSAP49tTiBmdakXUk7N0jJe3SYz7VhmYb-RZgvP2SQP2Y6tKWI0O1y0A4LEu,False,0,False,astroguyco,False,1690143285,1694975381
11,8,29,0,13,13,1,0,0,0,False,7256850646288040986,False,False,False,0,MS4wLjABAAAAJYmxrcqtxSU7lBeCs_4fN4PLxLH3Llu1MiNJFS9mthl3uP_IK3HIzOYYDUg8Q7jV,False,0,False,dragon_ball_2011,False,1690143285,1694975381
382,4923,1832,0,273,273,0,0,0,0,False,7126810778925696046,False,False,False,0,MS4wLjABAAAAKeSUD0uddxrsWYy_i_slEBiN40nqNwGZP_un-cplJtGfBu2qZp_aLAHlmrSCLI1z,False,0,False,abcd_021400,False,1690143285,1694975381
