diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
561,184,137,0,0,0,0,0,0,0,False,7015419856469607429,False,False,False,0,MS4wLjABAAAAhhY7-zmuMfTZk6KwLSIZadGirtorpUuEFsa2A3uGDSmLzJqXLgTzDkKppt6ahCRH,False,0,False,nidiapadilla96,False,1696229837,1696362330
46000,2200000,4590,0,70900000,70900000,3453,0,0,0,False,6753049285782471685,False,False,False,0,MS4wLjABAAAArjWZ7hiBbh1OFTHGCvlmn4jBDLkNLNDxkcT7fvi0fDsbP4P-5jED8lPrXvqj7M_R,False,0,False,brayam_10,False,1696229837,1696362330
74,1399,260,0,1315,1315,61,0,0,0,False,6629696798654316550,False,False,False,0,7285843965781478150,MS4wLjABAAAA-vljPX0smish9eClUfi-yyrti0JVMCu1blNWp7foFSsA9BTkKtKSkQJNv1NfmNni,False,0,False,chombito2.0,False,1696229837,1696362330
34400,6315,5438,0,20500,20500,234,0,0,1,False,6785365157147001862,False,False,False,0,MS4wLjABAAAAtsgCRiEBV3JFrj0RGQDQDediAmWO8sWbQ7YRVmdjL6CEHudZzITQhDjiE0OY27es,False,3,False,luna_kaleru30,False,1696229837,1696362330
96400,4862,296,0,5967,5967,42,0,0,0,False,6805724169344091141,False,False,False,0,MS4wLjABAAAA7Z8E3f36iRD0MKOK0A9VHc9azwXd3wanCmqYs5fWzKDmgLbFtRVM01-qQAYj-noc,False,0,False,coachsenoralove,False,1696229837,1696362330
26600,7412,6364,0,15700,15700,316,0,0,0,False,7009453977604686854,False,True,False,0,MS4wLjABAAAAbxgZ1EoEagSDTS3ESeu3veELTW_r3wVpxVbV35vBYy8aZ-geVBnXfFjSo99Cr8mb,False,0,False,tomasito_ayala00,False,1696229837,1696362330
254,1520,1158,0,10900,10900,110,0,0,0,False,7164225808244229163,False,False,False,0,MS4wLjABAAAArayhk9erKHWlbhIsllbqZ0BUkPEDXFV9R4azyYwLMFECavO4zgX1bbyFl8z-Zzqr,False,0,False,greisyperdomog,False,1696229837,1696362330
14900,13000,8870,0,12100,12100,24,0,0,0,False,6684346180338582534,False,False,False,0,MS4wLjABAAAAFGKLhI9ybAJbTIcIo8O39OCN6tkphrAZolTcE9O9bRhUgdN2K4uGVcvA0AYsnmKm,False,0,False,maiyelin10_,False,1696229837,1696362330
25500,230200,174,0,1500000,1500000,1185,0,0,0,False,7011102188975031301,False,False,False,0,MS4wLjABAAAAktu4xYMzPN_WQgr7pTuw8hiY2HKvPUg2x_NhgvhmEjG_WfREoHVZ_xqGLu3qjWRr,False,0,False,kevin_oficial504,False,1696229837,1696362330
33600,39600,8149,0,578500,578500,672,0,3,0,False,6789994034775524357,False,False,False,0,MS4wLjABAAAA8o6dFqmIMlaZjYQaILXQtEZTnoO3RqSIt6HEkNDb-axKoFSZT4mCBE1zDSHZ82jD,False,3,False,almaliss1,False,1696229837,1696362330
