diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
590,10400,10,0,742600,742600,168,0,3,0,False,7262689647951823877,False,False,False,0,MS4wLjABAAAAcbV2kzxZSpTo7toUuCVaBrLbBBcaQfa_kiZDZbQ2LsBvm8aa6FP9jsPysrB9EPsy,False,0,False,faerkaa,False,1695975779,1696340039
16600,342100,399,0,3200000,3200000,451,0,0,0,False,7101255145623979014,False,False,False,0,MS4wLjABAAAAamWqKD6amRncpVpFB1md3EJST6ZEfANd1ODEJM-Ub7KLj-NhYaeFMLmTOBHGEhz8,False,0,False,filmicninja,False,1695975779,1696340039
28,6570,1,0,756500,756500,30,0,0,0,False,7283532308249805830,False,False,False,0,MS4wLjABAAAAuqUpuH9pMIPFOKCtHYANIuI_38TqhkKR9uo_DQiCcn7x6SAY9a24ir5B9H_lSpz2,False,0,False,not_joniii8,False,1695975779,1696340039
2958,362100,78,0,2500000,2500000,23,0,3,0,False,7016188262223037445,False,False,False,0,MS4wLjABAAAAgPrg-LG2e4QAXFvCmDPiJcsvNp8q-M0v0MHVE6dZXwIqvLl9uDvxc-pkEXcUJNO1,False,0,False,buurmantenusss,False,1695975779,1696340039
25900,2438,24,0,142100,142100,48,0,0,0,False,6785512441017107461,False,False,False,0,MS4wLjABAAAAcVX4c3Lps55HBkwdo5D2Wwn8s3j41vjGFGQXoAq-Ge-b6C9xxJrzrz2jMsCDYuuK,False,0,False,dazaisabaka,False,1695975779,1696340039
2476,78900,89,0,2000000,2000000,192,0,0,0,False,7149285163302863918,False,False,False,0,MS4wLjABAAAAUrAu4fMRs7cHDdcHpCjOKmgQqvRlGG3Je4vNNCMcncAeg2uwaBLKt16qT9uQtFWq,False,0,False,hokofun,False,1695975779,1696340039
9257,2152,60,0,67100,67100,88,0,0,0,False,7228079090091672582,False,False,False,0,MS4wLjABAAAA-SRPyZG8dp_XIDRcmvk867qDaFQVcCAUqNDM1r42BF3aGw6u_b191pJNf6ELyJk2,False,0,False,__w1nn,False,1695975779,1696340039
75,778,6,0,44800,44800,33,0,0,0,False,7041729991176258562,False,False,False,0,MS4wLjABAAAAZ24HQkJWfr-OP0T5N_ueB3UPBUq90oJtTCzxvT-DZAH0EhyiVx3ZKlJViG4bo5F5,False,0,False,kinicknick,False,1695975779,1696340039
2491,2099,64,0,195400,195400,136,0,3,3,False,7249091463852672043,False,False,False,0,MS4wLjABAAAAJld7GZ23pBUWCuRZRi8fhgKJb-sx5UzAgaSTG7EpPLF2WzbOytZBlPgc4_ZXFlsN,False,3,False,seccoe,False,1695975779,1696340039
124100,526,142,0,2634,2634,18,0,3,3,False,7061134313404482565,False,False,False,0,MS4wLjABAAAAm1C2m4GGzpRfYD2v5s0oeWT1gZ8f5g1MJCzcJxCITjq4GwncDhEovw0ld3LK6jDN,False,3,False,heswwiq.22,False,1695975779,1696340039
