diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
614,2100000,43,0,33100000,33100000,410,0,0,0,False,6701921036809831430,False,False,False,0,MS4wLjABAAAA6zYqrGnEbKOdEKQ46iu8_NPT-l1v4ta8W_gJ5QwgEMTiDaW6-qOMZroGbTQcTGOA,False,0,True,boss,True,1691666472,1696152357
833,2959,1798,0,40,40,1,0,0,0,False,7219300747014980613,False,False,False,0,MS4wLjABAAAAMIwZ1BwZmVtKQremFhRw9rWaJgHpnaVNIs_1pfQg_KNoI0w8ojKlwceMjS4Yf0Bz,False,0,False,jennysqhloh,False,1691666472,1696152357
4121,37900,6,0,67500,67500,105,0,0,3,False,6826136050168087557,False,False,False,0,MS4wLjABAAAA3QvbUJEv_Dx3yOLBdSorzJLREmF-PT4Y4KB_zGz9RKVFUhIX5muB94jwngYSs6aF,False,3,False,supermarioworldmods,False,1691666472,1696152357
92,63800,5,0,696000,696000,70,0,0,0,False,7266075687538639905,False,False,False,0,MS4wLjABAAAAuUZtuhEL5GI5kl71hPkcA-Ihz0amTNbP1TW6A04T69dQkFj4Z1vkhMspR6dL-jJm,False,0,False,mr.theorys,False,1691666472,1696152357
8,1200000,1,0,154200,154200,68,0,0,0,False,7133353053726491691,False,False,False,0,MS4wLjABAAAAOvMfhwtS2FklPFoQUEcmqWrJYpYBK1qo9ifwYroVdG8EzD-fb2PyKsYEQm9r238N,False,0,False,monopolygo,True,1691666472,1696152357
122200,924,4749,0,1838,1838,8,0,3,1,False,215538926181027840,False,False,False,0,MS4wLjABAAAAXSqZqh8RdOi12xNmPcTV0Bib_DX5NFWopZOtxBmy6ZGUnn6mYxIhMf_v9Wg_KTAD,False,1,False,nadine20.rvv,False,1691666472,1696152357
186,980900,27,0,7400000,7400000,1379,0,0,0,False,7086319928984880174,False,False,False,0,MS4wLjABAAAA35ddWm-M5aATkFSfFaP7dwFDq9dGqigmJvYWW40BrFhsPHDD1ekFW_wBC4mw_Ix9,False,0,False,buildmyhouse123,False,1691666472,1696152357
6760,1100000,95,0,26200000,26200000,456,0,0,0,False,7099234169490342918,False,False,False,0,MS4wLjABAAAA1pxkvyN2H2a3Cpeuthq1PKZHi4S8yym22ZWCQwkkGIqF_8517h6ZZtfFICYobo8P,False,0,False,theslimshadylp_,False,1691666472,1696152357
22800,2293,1339,0,241,241,2,0,3,3,False,261255396445831168,False,False,False,0,MS4wLjABAAAA2QMoc8Wj-Kk7VJWTUD_0rl33jTpJ7AnIxgoRltWYbqua8keR8jshUMo0E80Br27_,False,3,False,king_goldkrone,False,1691666472,1696152357
11700,3855,9806,0,1567,1567,133,0,0,0,False,6606619059851247622,False,True,False,0,MS4wLjABAAAAwPiBGfcGntoGO2BlOCR0Xg1OmFPRxiXEZUKCyE9ySTWBEckWzHb_0dgaOlMedB18,False,0,False,tiktoklebtbro,False,1691666472,1696152357
46500,5677,3902,0,14200,14200,305,0,0,1,False,6815839205643764742,False,False,False,0,MS4wLjABAAAATqjy7T_zi37LC4pfFClJD7BUJkenQFXgkI-jSojcWTZjgXviUxTleGSt3XSaNPLC,False,3,False,___shadow___person08,False,1691666472,1696152357
429,1319,1829,0,307,307,17,0,0,0,False,6521420732198010890,False,False,False,0,MS4wLjABAAAAuCLSzeagkrfiHOpUEN4oqIyYf7GC8SoOo2zaKvCFYNUnHCriq7PNcIuy-REsfdFF,False,0,False,marcelkanoniczak3,False,1691666472,1696152357
504,657200,0,0,4700000,4700000,345,0,0,0,False,7231853441382269978,False,False,False,0,MS4wLjABAAAABDPC_auJrZYph_gqTZ6b9EF9MHv9CePW-JShtt9Fua6gg0cxJDPJiZQ5vos0kB74,False,0,False,yansuevu.01,False,1691666472,1696152357
18000,441,542,0,3334,3334,35,0,3,3,False,6808610970077725702,False,False,False,0,MS4wLjABAAAAowds4p8_I0bQHL-SlD6J-XGmaPepCQSj4qFh6buLU1DefF-kgYk6DvAgAiKk3Ady,False,3,False,96undbvb,False,1691666472,1696152357
318,573700,74,0,22200000,22200000,106,0,0,0,False,6644484596418347013,False,False,False,0,MS4wLjABAAAAjMnNm0HBt-3axDM6zcHwEh6iu8NdFZGBSFDykwtwQxtPkcR8IzkbpBzCN14KMCti,False,0,False,throwbackhits_2,False,1691666472,1696152357
208,36800,582,0,298100,298100,150,0,3,0,False,7040198484494451718,False,False,False,0,MS4wLjABAAAA_blonD350_cFTY-32B6Q_RCRkAbNzAmQltMt2STZzHDzC1fL_Ss4A6GHWwX5OgIF,False,0,False,krm_936,False,1691666472,1696152357
