diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
3936,596800,10,0,9700000,9700000,63,0,0,0,False,6773368485039244293,False,False,False,0,MS4wLjABAAAA0o88ki6ET0QJ3xQESduxlrIL91mVIfGPGODqDtCn2P0YibziWxVEuWtYwKkplyaV,False,0,False,zakuryyy,False,1695733656,1696317838
5,22600,6,0,383000,383000,129,0,0,0,False,7035012536207377409,False,False,False,0,MS4wLjABAAAAfW07hbL-gqK7OfB1fmW7UEHscypYhP6cVOhBkhM6V9OV3ToL5F28WBzbcupVxIp7,False,0,False,christopherluxonmp,True,1695733656,1696317838
15,59000,1,0,1100000,1100000,348,0,0,0,False,6838390900097025029,False,False,False,0,MS4wLjABAAAAzPixHgtk66eM-Z7e96ufVKx6XqO3FFXUkHBMU_lUPD6jXWc1eK8MPf230qi_Dank,False,0,False,newzealandnationalparty,True,1695733656,1696317838
39400,106200,867,0,1100000,1100000,83,0,0,0,False,6563666682941538310,False,False,False,0,MS4wLjABAAAAJj66FkHVtugXXx8s3GYxRhdj5J5Di0Zd_HL32KIy5OvUXZ3tNINF6MYBYn5RpQiJ,False,0,False,pjscherling,False,1695733656,1696317838
1701,1200000,4,0,15600000,15600000,138,0,0,0,False,6920313116744860677,False,False,False,0,MS4wLjABAAAAj0MocqWJRt2BAsQ60PSQQPd5fWF_UP6YVBpwyS8n-dIhM046kkjOX5Gj_e_vyMJo,False,0,False,brandon.keeney2,False,1695733656,1696317838
18400,21700,984,0,2900000,2900000,65,0,0,0,False,7136031246070678574,False,False,False,0,MS4wLjABAAAAH9O7pIvMToYzu4G7ICWxG36gjXf95FesZmpwxmwf2mGv8hCjxyZiNrza0pXv-fzU,False,0,False,d1lilbull,False,1695733656,1696317838
6269,154,1455,0,474,474,72,1,3,3,False,7101216609251525638,False,False,False,0,MS4wLjABAAAA_ByLHef71MrDXl5tpaAuvk-WweWndSGQkQRsEYHzOPeHyTBWu9Icil5tympaizfV,False,3,False,jordan123218,False,1695733656,1696317838
260,85,190,0,156,156,14,0,0,0,False,7261426017644971009,False,False,False,0,MS4wLjABAAAAFqy46ilLx5EL17p6-aeuNNha6_np05JJMbi3Lcud8VTQn8ECIbPEDWaIxd-7adgU,False,0,False,newzealand_vr,False,1695733656,1696317838
4326,2263,109,0,13800,13800,130,0,0,0,False,7266059907496543233,False,False,False,0,MS4wLjABAAAAWKfGbeCJllMBpsnZfcmxNCxUzinOExKgiNcyhO6cNWq85RoEAiAr9RNZPczEHyRH,False,0,False,h0rizon.tech,False,1695733656,1696317838
364,949,1282,0,183,183,14,0,0,0,False,7250652309700920326,False,False,False,0,MS4wLjABAAAAm6mjjPzC6x_EClpaJWG8N6o-BgLNhs1N0Bkny6USh6Rld_PT10rmgj-oCgQs_am-,False,0,False,cobyiscracked,False,1695733656,1696317838
