diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
96100,951600,970,0,48800000,48800000,1121,0,0,0,False,3740969,False,False,False,0,MS4wLjABAAAA1pIeT3KmGvB0OL7cHB5JIU17-HR0ldJVfGh7tAfo1TA,False,0,False,ziggityler,False,1690023826,1695412503
1,79700,1,0,66700,66700,7,0,0,0,False,7182542977104921627,False,False,False,0,MS4wLjABAAAAAHgKZrH75L0szE4f16hqAdM1UWnTkMexoSZUIZOSYMJhPEf0hR9peCWsCPFyYGOL,False,0,False,sweetie_fox_cosplay,False,1690023826,1695412503
495,702100,10,0,33400000,33400000,209,0,0,0,False,6736055566202438661,False,False,False,0,MS4wLjABAAAAYMfianOrN7YafGCzs7kSY5TFV6mQTzWcNxJGpUDHA7uDn4OSg31PAD9d8rO40hHU,False,0,False,deanlm,False,1690023826,1695412503
1,21600,0,0,1200000,1200000,102,0,0,0,False,7276774319689745441,False,False,False,0,MS4wLjABAAAAZSd-ztJLSKAHTbfExnYAMwLE5bhPPG_cgdayGmE_2YxIqSsWsaIuoUNbPWynSQXy,False,0,False,embikerus,False,1690023826,1695412503
28,755500,4,0,783100,783100,8,0,0,0,False,7269817257529066528,False,False,False,0,MS4wLjABAAAARoZy2vcfyg3Egl1zNm-XHYhyxYd_Q-Phk9yBoRCaUWNpEVebXrPr5fURLkkJh8fE,False,0,False,isrhaul2,False,1690023826,1695412503
205,1600000,5,0,52500000,52500000,121,0,0,0,False,7192777103946908678,False,False,False,0,MS4wLjABAAAAg792-vZRUYcJACsPAPxBrJUlI9BPDqcT9SjU17h5q6qP2yU6uJoveN8Dh_nrzDTK,False,0,False,summerhaysbros,False,1690023826,1695412503
6073,909300,0,0,18500000,18500000,342,0,0,0,False,7199104096706905094,False,False,False,0,MS4wLjABAAAAjTv420Z74hFNkqahEd65yITpR7WFtVLrdhq7Puq5Ncq6mc_4NBXkcTTBaswgoGiH,False,0,False,python_is_trash,False,1690023826,1695412503
1501,911100,91,0,4600000,4600000,151,0,0,0,False,6721403191215391749,False,False,False,0,MS4wLjABAAAAO0pgaWH2oFtNxJgE6K9CqT11J3U8wRCO8sLM_1yqlfsakaHAdB7SMaCi9vmQnS6H,False,0,False,isrhaul,False,1690023826,1695412503
233,280400,214,0,5100000,5100000,592,0,0,0,False,7230828148408976389,False,False,False,0,MS4wLjABAAAASdc9Sq7aLkEVHAx0klnpzkK7tLgWLkJtp87yeDUGD6hrIh2D07E7ncvRi8uqIc0q,False,0,False,peterijfz1r,False,1690023826,1695412503
332,74800,15,0,3900000,3900000,339,0,0,0,False,7231076221156230150,False,False,False,0,MS4wLjABAAAAwqLcmrtjg6AxvZByXztzDsczABWcF_Lfm_pmcF3amjy0jIc6Prfq9Iv05aGsRAGN,False,0,False,oxidersujo2,False,1690023826,1695412503
486,15800,4,0,1000000,1000000,5,0,0,0,False,7168004195470984194,False,False,False,0,MS4wLjABAAAAJGHhhm5nom5YWUjZqndd5SEmSyJBLWsCT4lMJzTd7IXubamUyvb0MClZNa_kVroM,False,0,False,xaul38,False,1690023826,1695412503
2208,32600000,232,0,5600000000,1300000000,2365,0,0,0,False,6646764999833403398,False,False,False,0,MS4wLjABAAAAV-FnuTQImr7z9AvHTeDfA1zge-srWKQv8vEEQT5mKno29McR2xS1-br6cXWZUUHx,False,0,True,barstoolsports,True,1690023826,1695412503
144300,342100,591,0,10100000,10100000,160,0,0,1,False,6850586993278583813,False,False,False,0,MS4wLjABAAAAg9EMXPxYCAWKop8LOVFziVtZ738OQnmG-v805OT5-Vzfdkrs6ZVhp8NqFNZDGQYF,False,1,False,myriam.attie,False,1690023826,1695412503
13700,1000000,513,0,84300000,84300000,1684,0,0,0,False,6645071646217109509,False,False,False,0,MS4wLjABAAAA2L56ImpAefuSDwMtjQ70Vwq-KPd9M0t9I975mwLQS1p206T_slkSBWtviWrcPmnu,False,0,False,kennyhaller,False,1690023826,1695412503
288100,36000,348,0,1300000,1300000,127,0,0,3,False,6801937018514736133,False,False,False,0,MS4wLjABAAAA_GnbHKl6eQq59gj3gpc0daNHPppmViGflhoX952A7BX3UZjCrTPY3jRzgCVPf6Ns,False,3,False,kempy.val,False,1690023826,1695412503
70300,4900000,4320,0,221100000,221100000,1042,0,0,0,False,6738228746299868166,False,False,False,0,MS4wLjABAAAAnMht24zfrR5cput7a5Epj-CxKU2XMuntUVZkCw5jcEZ_WhNr_EIjGzHe_kR6CRYK,False,0,False,paulfoisy,True,1690023826,1695412503
6002,1400000,10,0,32400000,32400000,894,0,0,0,False,6639015738227589122,False,False,False,0,MS4wLjABAAAAaUYlrdkSoVCilJV5_cwOrYQ-OzWxUGAgC4fwYtddnG3EoiWsS3VWfb7_uFMnVVF1,False,0,False,black.mood_,False,1690023826,1695412503
48,19400,4,0,641100,641100,118,0,0,0,False,6746078632509228038,False,False,False,0,MS4wLjABAAAAe43T39YQITXrsWb8hjz0MldckJWsJJEpLTzOz7Gt0wbiqWm_RB1lULj0m2vrMSHH,False,0,False,ibrahimbalsak,False,1690023826,1695412503
477,90900,113,0,848700,848700,218,0,0,0,False,6943978232355046405,False,False,False,0,MS4wLjABAAAAXVcSYScLlIAHWWIRncZHvK1kHt7YzUOv3HONjRpk8Ki6naTmsDLJfyCJBOVK2zTJ,False,0,False,ayemteo,False,1690023826,1695412503
385100,30400000,2408,0,2400000000,0,3404,0,0,0,False,6732675975610074118,False,False,False,0,MS4wLjABAAAAA2kM2Gtlz16uiw_OgD_xmL6sqfg42RMHLY7g-gzuP62dR1uVTmHdMpB-6-pyJEe7,False,0,False,brookemonk_,True,1690023826,1695412503
109700,1200000,47,0,401800000,401800000,914,0,0,0,False,6557705724516122626,False,False,False,0,MS4wLjABAAAABe2T7CO5Q1k8wnmqXZXTshh8JNVPcjZ_xUaCYHDtesCUNXrUrf7154fUidZTYkMr,False,0,False,remyeasterling,False,1690023826,1695412503
