diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
1033,1200000,18,0,21100000,21100000,1057,0,0,0,False,6862260573267887110,False,False,False,0,MS4wLjABAAAAxOjHxw25EnSrkcEY85W8ptN-KpH_QA7mtxivlybUjvftObg_F09jMXfaLHbVjSDL,False,0,False,trippy,True,1693691487,1694794903
991,972700,126,0,9900000,9900000,25,0,0,0,False,6883656967304512517,False,False,False,0,MS4wLjABAAAA-avnM6snRxNOoNrKG-1UZ_8Bb8nz7IYstGD6nTn5NJ7l2CmWHIYpz4YGBJ22C-OX,False,0,False,stevenbaltay,False,1693691487,1694794903
40,2359,9,0,5524,5524,20,0,0,0,False,6963352531573523458,False,False,False,0,MS4wLjABAAAABa28_8t6_pe5O9XqaIUIeWvcefbs79ihEq6Oq-KA-7Ew74XxXQLJm-NKUc_4_fnC,False,0,False,senhor_focado,False,1693691487,1694794903
115100,129400,266,0,15900,15900,0,0,3,0,False,131553159067336704,False,False,False,0,MS4wLjABAAAAIx04LJ73MouR8XBl6Zn5_jBQ4Oe4lcJCeFN0kiEqfvpF8lo1KRL6K22rPZBSplLF,False,0,False,cbcgod,False,1693691487,1694794903
4406,18900,87,0,839000,839000,126,0,0,0,False,6756443398796542981,False,False,False,0,7285823401384495880,MS4wLjABAAAAJx7HQUFz1Kjtn9S3ca9BHnSpB6gI9AI9emOgcRjLLaQrsljOk9I7mhb1--cn5YKn,False,0,False,captainbiscuit0,False,1693691487,1694794903
57,64300,6,0,39700,39700,23,0,0,0,False,7030338149751604250,False,False,False,0,MS4wLjABAAAApjOwfA90yfsVwPU2E2MS1Ji-BUPASuXHuIDer5hH4FHm31xjkVg9icNpCKkcGixE,False,0,False,streamaccom,False,1693691487,1694794903
551,30400,515,0,34000,34000,83,0,0,0,False,6937978237771547653,False,False,False,0,MS4wLjABAAAAezInFPgj6moN1Lfyy89aW8-KW9ion6F3zKoA7w6Y9T5D2xqZAdKAbm3zFmIS4Rsf,False,0,False,brainuser55,False,1693691487,1694794903
223,23100,8,0,54900,54900,37,0,0,0,False,6805907876604593157,False,False,False,0,MS4wLjABAAAAahUjUD4WqCSKq1K-2zAVJKH-pWJBDV3BzDgLEYrZvhiHGcDh_GbtGkTA59Q75FPy,False,0,False,geekprojects,False,1693691487,1694794903
1677,476300,208,0,103100,103100,0,0,0,0,False,6802998053853086725,False,False,False,0,7285818503184354091,MS4wLjABAAAASz07JVp6wBoU8TEA0_BvQBoZSgI7XARbkbi1jkG7jf15QUMHQIi4o7U4ciE3zF9X,False,0,False,weteta4165,False,1693691487,1694794903
418,143700,82,0,1600000,1600000,73,0,3,0,False,7256828242895963141,False,False,False,0,MS4wLjABAAAA2l1Yr_iUMJqLr_qywGJVAMCbJqss73jvuuHZL-_ADyXndDlJOrgxEl__XxsnFjkx,False,0,False,maisfatoscuriosos,False,1693691487,1694794903
6187,3200000,130,0,56600000,56600000,266,0,3,0,False,6819789447091143685,False,False,False,0,MS4wLjABAAAAeX2qO6bCA0G-ieavvOeZ2G9IehsT7KYDjzPih6VyQxA7nzG-Le1uz7slHFBnB6QO,False,3,False,thelovelyhorrorshow,False,1693691487,1694794903
3050,227300,219,0,4100000,4100000,918,0,0,0,False,7099893818166133765,False,False,False,0,MS4wLjABAAAAQEK0gvPxPFNxdj-Lcs4pRQ7W4cBVUFSd24KlI-wcnEM_vsb0Bx-lQ5KeRWz6Vdrm,False,3,False,soapqueen.asmr,False,1693691487,1694794903
112,49100,20,0,1000000,1000000,435,0,0,0,False,7192816969794765867,False,False,False,0,MS4wLjABAAAAx0Hf12uIAMAmAuN9l159WEBRKh-FCu-nkJsNbv8QhGOhBttxSixNw3XkeDJc2arg,False,0,False,decommission,False,1693691487,1694794903
47,544800,9,0,11200000,11200000,621,0,0,0,False,7133827687047037995,False,False,False,0,MS4wLjABAAAA14EECLW8jBU3bhItqcMIwIDCVBrm2Yc0twtTiSFy9YLTMoEhYbCVPJH6wVEdrW3p,False,0,False,satisfyingvip0,False,1693691487,1694794903
498,854700,19,0,5300000,5300000,123,0,0,0,False,7203291721573188654,False,False,False,0,MS4wLjABAAAAonRkk8ylYqEOikblP72FwGgEcUlAQJ6kYQh2KOGOyxtCTcL2DRiwU92FbxQs4n35,False,0,False,born_of_you_yst,False,1693691487,1694794903
