diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
4234,135200,47,0,5100000,5100000,65,0,0,0,False,7043991667125175301,False,False,False,0,MS4wLjABAAAAjqPt43Hs62eFgp0Ed-Dxnb6x5bObMsDr5dxVJcuYXhVHUuxFY2pqGwrbAzQ_bA67,False,0,False,theblackhacker.27,False,1694280251,1696199394
7906,189700,36,0,3400000,3400000,194,0,0,0,False,6798951097815237638,False,False,False,0,MS4wLjABAAAAnuhsTqEgS38sZHWon3e-wEjN-E00QR9vkWZMSx0CNmrdUutG201RgqHgCM4SEqwM,False,0,False,skydimers,False,1694280251,1696199394
4250,671800,291,0,18200000,18200000,210,0,0,0,False,6788010378040230917,False,False,False,0,MS4wLjABAAAANmArPLQ_z1GmEE70zdWV2_2wNMW3fkLSmVF_3d3_h1dzZMD6e_MqGON2O6eo9Jz-,False,0,False,iraagg,False,1694280251,1696199394
56,484700,22,0,9000000,9000000,438,0,0,0,False,6980433496348328965,False,False,False,0,MS4wLjABAAAAj3zYlCpoqk_A6miz2_2Inzsx4-7ZjU6z7T_PB84h4IPmnOtul00yYnIn8mUsVA0k,False,0,False,heysoyhiper,False,1694280251,1696199394
884,57800,140,0,801700,801700,238,0,0,0,False,6911980773962056710,False,False,False,0,MS4wLjABAAAAXX2X3GXxIpMxkE5Eff_aIgc0OQ85mtQ1fmOE4mIDP3GjmwU3Ry9kC1km-qef8ZlY,False,0,False,curiosojess,False,1694280251,1696199394
44700,134,894,0,822,822,36,0,3,3,False,6791269252194190341,False,False,False,0,MS4wLjABAAAAh4zseMcIXe6a4gipBeUFYoVDpROa7ZxB_2l4-voLKXcFHEKtjizDsJg-z00_ViZA,False,3,False,martinn_y,False,1694280251,1696199394
1273,378800,4,0,18200000,18200000,1340,0,0,0,False,7207857358029587462,False,False,False,0,MS4wLjABAAAA_nD6PZNWgedZqPSzZymWihXtk9ZeLY4AYaHVaFe21SYVOjBoc6spI3Rkp8G1k-Jv,False,0,False,leonjp_,False,1694280251,1696199394
4488,1984,474,0,98200,98200,74,0,0,0,False,7226590555663713285,False,False,False,0,MS4wLjABAAAAK6vqj4t_jqlQ2OKQDYRPP8i6syNTCdVkrr-4jLAbdVod2dE4XkYFml--6s0Clszr,False,0,False,futbol_10777,False,1694280251,1696199394
322,56600,38,0,159800,159800,300,0,0,0,False,7021333893908677637,False,False,False,0,MS4wLjABAAAAUlMraIwBl3xdnOv8-5RtsyBXZjl9NGi-ENprHQljX8TxABElfTegRpe85JjzR3lr,False,0,False,tarckff,False,1694280251,1696199394
42700,1102,3153,0,1570,1570,44,0,0,0,False,7240914007606871046,False,False,False,0,MS4wLjABAAAAggxF75e1Hi_hpnwXqcH36m2L2MKFSfIT1Sl0J92KpOnO1ELjb1VqicJBa1nQ3j2E,False,0,False,stumble_colector,False,1694280251,1696199394
9,1001,16,0,29400,29400,211,0,0,0,False,7035591196386952197,False,False,False,0,MS4wLjABAAAAaXtpfLJUwA-wFHUG5PXeZnxx2KpqSHGILuL8qerI99AXE8Bs2cblnJYdL9dsOZt0,False,0,False,solomancosg,False,1694280251,1696199394
961,2805,538,0,3055,3055,100,0,0,0,False,7254693239184360454,False,False,False,0,MS4wLjABAAAA3W0f7pH9F83IldBsHv-PUoMWNAH0TpjsJNYpIFStL0eZaPdF2vX7mpmEMkd3ma04,False,0,False,_.vitinho_bs._,False,1694280251,1696199394
6935,2275,44,0,47400,47400,3,0,0,3,False,6808281632631391238,False,False,False,0,MS4wLjABAAAAMh1Col44X53OeQwYvpX3b0E7cc0C5gwpczmthaKl6oUHaq3hMGgfHjTzMYsoZ9ZT,False,3,False,naxo._17,False,1694280251,1696199394
7731,1862,2812,0,8113,8113,298,0,0,0,False,7187574204979512326,False,False,False,0,MS4wLjABAAAAEQxq_NbrPIqS9FxcRNVPe_6E9DDwK4h2eAVswd5T4prZ_gxHtp11h3_wvpBNR8OO,False,0,False,cristobalrubio85,False,1694280251,1696199394
