diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
10200,1209,224,0,7388,7388,98,0,0,0,False,7238303610710639643,False,False,False,0,MS4wLjABAAAAEkEzXqv_-R7zzKHe1iIgqTaMDvScBYDdd27U3pbCCG4n5Fiin47K3iTDxcrOsEeJ,False,0,False,ivythefurry,False,1694700890,1696344361
0,50000,0,0,55000,55000,2,0,3,1,False,7224170576976692230,False,False,False,0,MS4wLjABAAAA_U4I6dR5-jbXBLG0sHLHTevzqIS4UL4DqPn4u8lRyHTEQy08hgxDGmwxZTjbanP0,False,1,False,makomako.music,False,1694700890,1696344361
20900,2200000,225,0,125600000,125600000,1769,0,0,0,False,6732367744770556934,False,False,False,0,MS4wLjABAAAAA6Xh8XC4pT1XH6m8sqzyuWYfe6FlP675Ps7MeeVu0NtJWB285UtWKzDA5TTdGUml,False,0,False,pupcik_dupcik,True,1694700890,1696344361
25700,193400,70,0,13500000,13500000,461,0,0,0,False,6851269693891642374,False,False,False,0,MS4wLjABAAAAH_6o2GIo5szBGZpan6gxXnP5ZQVsSzkHbxf1eC2la7FcKbwgFV5-q05rnO5NdE_Q,False,0,False,joniicio,False,1694700890,1696344361
296,3134,31,0,76800,76800,66,0,0,0,False,7208239402329179141,False,False,False,0,MS4wLjABAAAA1EKwfK4NYVj2etNm7jfYQzUOPfixqGpuUyIxFRzPh4iJmizTbT3-UMd7FLK9SrXn,False,0,False,geralt._.wiedzmin,False,1694700890,1696344361
39500,12800,69,0,1000000,1000000,21,0,0,0,False,7183427764362773509,False,False,False,0,MS4wLjABAAAAsnIaFG9EvWIPN3XtdkNQWjWSktgA4pe8NRuYBDnhr7PLfAFU76QvvmJYrBFyqHaN,False,0,False,mrsomeone_exe,False,1694700890,1696344361
0,31600,0,0,2000000,2000000,57,0,0,0,False,7281738797288113183,False,False,False,0,MS4wLjABAAAA9gbR5Exa74HZ-uJDK3MA6TcQgdQUsePGHTQo7N0uNHUw9ld9WsqeLjOSKLAKDKas,False,0,False,avacadoanimations,False,1694700890,1696344361
17600,114700,551,0,42200,42200,28,0,0,0,False,6753064475778515970,False,False,False,0,7285837898837527301,MS4wLjABAAAAHAC2cTibOJipKiDyx7sz2NBHXeZy19g39uI_zr-OPePtZqhZGU2775AR1OBEvkTM,False,0,False,yovilon,False,1694700890,1696344361
1343,73300,13,0,1300000,1300000,92,0,0,0,False,7236675412444464129,False,True,False,0,MS4wLjABAAAADR7rpsf7-MxdcI0XI_5TGq5bs6wn6gDx9XptljV2_3YBAqp3RaMpEtPmHGJMqHq4,False,0,False,user4946139518581,False,1694700890,1696344361
17000,177600,305,0,2500000,2500000,709,0,0,0,False,7243162674895471622,False,False,False,0,MS4wLjABAAAApv39XBqjTRiEEyeprjYvWtnlp84SSZC7rWSzZImJitPOF-BEr6jmlsG1pAuUWevC,False,0,False,un_.fan_..de_.fnaf,False,1694700890,1696344361
1,18400,1,0,309800,309800,3,0,3,0,False,7276181990721340449,False,False,False,0,MS4wLjABAAAAY7O5dlYKoIukIauLoAj1e1tH5a1Oj32UCHSg9FIsYxJXAVc5dAfgYcQrR9u96-Cd,False,0,False,maci3kzklanu,False,1694700890,1696344361
6798,1127,4062,0,2461,2461,208,0,0,0,False,7191138962076877829,False,False,False,0,MS4wLjABAAAArSCtuNuOnHX3wL6wmurK-GdXVngFXjW9nwBxZdCnTn39kbDCedslx_lu-FDPAwbV,False,0,False,cat_man_lilek_2,False,1694700890,1696344361
19000,1187,322,0,6082,6082,68,0,0,0,False,7182612354986460166,False,False,False,0,MS4wLjABAAAAwRkIjqTJSt9gmW66Jyq9m4C-n0ZhkvVfh5ZopPIHVe_pwnmM-NDBz5Ngp-Ubnq7c,False,0,False,wietrzna.lapa,False,1694700890,1696344361
13,4662,5505,0,228,228,3,0,0,0,False,6705614130315052038,False,False,False,0,MS4wLjABAAAAJV4nh02t69oapJF99sYe1jaROy67JikYw8vr35oBA9om-bVsuVYf-44s9S0cIKmK,False,0,False,kasia123qw,False,1694700890,1696344361
439,1862,75,0,18900,18900,46,0,0,0,False,7149869524228031493,False,False,False,0,MS4wLjABAAAAx9icnT6eArGkjPPYtkmqMpccQf5LrKW5R0oOeWxDow_7EzirCx5bGgkqIhoMgy9q,False,0,False,rurus69,False,1694700890,1696344361
37,4261,1506,0,80,80,5,0,0,0,False,7207093508078076933,False,False,False,0,MS4wLjABAAAAO6SopyaSLntor6VQOZrhRA_FlXsM0nB7OPswb1NsBWe-HNltqF0VM2szEwaenHbY,False,0,False,bli0ff,False,1694700890,1696344361
36400,784,82,0,13200,13200,0,0,3,3,False,6977611195126645766,False,False,False,0,MS4wLjABAAAA0NCmkiTFInAoVq6rLtUOs_-w_NCaB2HH8XEJfP2N8laOAshNnGsx_Z9RW7_K7fWA,False,3,False,.hitomi._,False,1694700890,1696344361
18300,1480,2289,0,7271,7271,95,0,0,0,False,7136489957854823429,False,False,False,0,MS4wLjABAAAAWhK5UlwoMp0nAJFkaAoC-R7KYbjyHqOKPaTTADFp1TqR36ozcpICGhbcc93CI2_a,False,0,False,fp._koneko_._,False,1694700890,1696344361
