diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
95,41,15,0,126,126,11,0,0,0,False,7216096638816142341,False,False,False,0,MS4wLjABAAAAxLfuBgfP60VfGZAV7rpTG_YfHwjN1T9n6TpmbsbZaFYKPwRy1L-CA94rQyoJY_CX,False,0,False,barry224310,False,1695308209,1696185328
3,31,12,0,2,2,1,0,0,0,False,7071370400929006598,False,False,False,0,MS4wLjABAAAA_ABwBeQjmKJ_0R5kJmB0Eux-3MQtgQnZoevo501dAjvv_S4PoOMRuDL-x6FeEI98,False,0,False,dimoh320,False,1695308209,1696185328
2054,1137,1068,0,205,205,118,0,0,0,False,7116915883243324422,False,True,False,0,MS4wLjABAAAAPMs_4D1nq4qv2DIIRcHgqSAuTxVHpwyj6fQSxW6jaNme4QphdZ6T6LlbcqA-uo8m,False,0,False,ninadoumbouya1,False,1695308209,1696185328
2,17,0,0,0,0,0,0,3,1,False,7116083724760630278,False,False,False,0,MS4wLjABAAAAKaP1f4aHKxqWddpDmK0-VLgIgTJRcV6Zqh1nk1OVk5s4i9C6l83tD0nl05oMUn2M,False,1,False,user24650639024266,False,1695308209,1696185328
3,1004,1,0,0,0,0,0,0,0,False,6899888846605419522,False,False,False,0,MS4wLjABAAAAWkl8wuexEbkR2h02De3DSEvujessyL_fWO2Towso0VLLNqnREaTZqFWn5ifXl3bW,False,0,False,hadja8999,False,1695308209,1696185328
5799,1897,4357,0,254,254,71,0,0,0,False,7218968082449941510,False,False,False,0,MS4wLjABAAAAEsLPpJzCWeUs71YXsFE_1qkXPb853FYjGwsEUn1lQVzxcF993herX7SmuNFGa9Yl,False,0,False,user755717328675,False,1695308209,1696185328
1638,1430,795,0,2543,2543,1,0,3,1,False,6970058210356003846,False,False,False,0,MS4wLjABAAAAPynFoVzcrvjdxG1zRMbAr9ihP43BivR0CJD_ROP5ooeiN4yOobKMofSXY0s5pgJ2,False,1,False,bigouraiofficiel,False,1695308209,1696185328
35200,12800,9979,0,193600,193600,2878,0,3,1,False,6852291866071843846,False,False,False,0,MS4wLjABAAAAKN_25QeCGxP636-VsS0h0xmkJOCfXOr9Axw5pnc81Fl5BzOhV_iAxFy9xjpxpOZR,False,3,False,jessicaaminanabon,False,1695308209,1696185328
2155,2121,2850,0,1314,1314,46,0,0,0,False,7271950947088565254,False,False,False,0,MS4wLjABAAAAaGB7O1FHdgevqkuQGENWy-U-_rzfcwWZzQ4v1g70X52K1R4Ynavhcs4292Ukxydf,False,0,False,zeinabe62016,False,1695308209,1696185328
2855,4131,4691,0,5920,5920,99,0,0,0,False,122765831024836608,False,False,False,0,MS4wLjABAAAAyzorJv_FoTKfoVj1HGMQwXMSSFvHf-kXeL_uCFEc4_u_kVEDk7VeXeowz3EQJKQy,False,0,False,camcambitches,False,1695308209,1696185328
2212,1432,545,0,1862,1862,216,0,0,0,False,6818477485232063494,False,False,False,0,MS4wLjABAAAA5PcygoaOPqynvdahqiTl81W8sVZgThmKTxd12aniDhx4_3WYucSYWZsLMqs71fnb,False,0,False,lyly.lah51,False,1695308209,1696185328
1530,2793,884,0,18300,18300,225,0,0,0,False,7261951818828448801,False,False,False,0,7285836573204286240,MS4wLjABAAAAuXhpaPjvzieLP6uirlrU_7PXa_upeL9z21bGnNczOn61DoxHGVRfJHJFW5rN0JYn,False,0,False,nanaaa0170,False,1695308209,1696185328
1550,8233,874,0,378500,378500,47,0,0,0,False,7211966381528663046,False,False,False,0,MS4wLjABAAAAwqY7xKXBToQkZXneu3dUScnTvOKXm2BMbBYR3Q1o3uWP9E86cZtB6Y3mEkFpTMSX,False,0,False,syh_mr_asura,False,1695308209,1696185328
234,82800,15,0,342100,342100,90,0,0,0,False,7160630922730226693,False,False,False,0,MS4wLjABAAAAOeGCK3qxnO-cC0xxCgyXbkemNBFeGyNfTPmIR8aBTRBNi75OwrHRUH0F5e30Tspc,False,0,False,ma_guinee224,False,1695308209,1696185328
27,33500,38,0,54600,54600,51,0,3,0,False,7107347283410387974,False,False,False,0,MS4wLjABAAAA0IC6cqNqhZ6dFkLS9CVXLdUgkcecvI9Mr6o4fAomc5XGGuRpzN-_wRpvsB15xFhB,False,0,False,schadownet,False,1695308209,1696185328
5004,4535,4879,0,20800,20800,123,0,0,0,False,7255440583807779866,False,False,False,0,MS4wLjABAAAAuzkGwWGzPS7UoFju77Zx0wj6Bd-2WHP5ru0GfXBnoC9SQqHdfH1W2M7NAHbEcrMu,False,0,False,laurynenoel15,False,1695308209,1696185328
536,2457,2504,0,13000,13000,266,0,3,3,False,7203369867486069766,False,False,True,0,MS4wLjABAAAARBPee8t2C5S0iCMp8AdhQCL-0jkCAE_5Sd7AeWgm-ORSu3pOPSvllcBvf3PeBKkm,True,3,False,isabelle621300,False,1695308209,1696185328
7686,18700,7794,0,81300,81300,1255,0,0,0,False,6966744529198121989,False,False,False,0,MS4wLjABAAAAzygv0Lhi4KbbCWR26Cp6ZHksAT_qldJFGdhvRC4KaqvOMiVgyZnSd4GGziixKeXV,False,0,False,adatour1,False,1695308209,1696185328
2098,1918,1712,0,1075,1075,19,0,3,0,False,6842452953451447302,False,True,False,0,MS4wLjABAAAABtED7ZLeQyWjrekfm5CCrws6VNbGG5-eCa0wpjD3aPjERquV_CzziU-eum6i_7a7,False,0,False,ibrahim_architecte224,False,1695308209,1696185328
14900,3183,2315,0,15600,15600,166,0,0,0,False,7106531688474788869,False,True,False,0,7285850720891390752,MS4wLjABAAAAhNowg6M5dzvSa_gQ2ti4xt0MlLnLoAM8RyVuvO0gJUU-4z_fVajSX2aZyo0dBoR9,False,0,False,ouattarahi,False,1695308209,1696185328
3303,39800,29,0,107000,107000,16,0,3,0,False,7097869092879959045,False,False,False,0,MS4wLjABAAAAaWz_b-uRSY0QOLemNEmNy44BNXgAJDkkBLN9KuogPpWyZwGC032lOkegvPHIPdUC,False,0,False,bad.commando,False,1695308209,1696185328
