diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
0,1415,1481,0,0,0,0,0,0,0,False,7280762357734655008,False,False,False,0,MS4wLjABAAAAVv1eh8-2BCobbGU7JDyQH5CgIPPCfnuOTDR4sWzLwTkNbHnubqNrjzh-vkRM9T2L,False,0,False,kondyy777,False,1694873571,1696346258
1,2286,3170,0,0,0,0,0,0,0,False,7280762998355264544,False,False,False,0,MS4wLjABAAAAcp53OGkP2FpAodWLC74znI8iMSZdBYhI4G5Vu0gX2p3EFjaYOX0x4mJQkD3Rfk8h,False,0,False,dewidd75,False,1694873571,1696346258
879,1088,1932,0,332,332,5,0,3,3,False,6990714229436744709,False,False,False,0,MS4wLjABAAAAjt7KxZJHjKqur1y_LcqFuagoqH-54egSTrf56JufS505Wq4-61sH-gdaUonmebMO,False,3,False,franus404,False,1694873571,1696346258
7,3199,5626,0,2,2,0,0,0,0,False,7272797034851632160,False,False,False,0,MS4wLjABAAAAboB3pmihY0uE2qUyzGGs8xttXet8JsFE0XbNMzGLsNOBA6h7UgyxPqYM-P9oW5_e,False,0,False,middy7772,False,1694873571,1696346258
8359,193,604,0,52,52,2,1,3,3,False,7025864744747090949,False,False,False,0,MS4wLjABAAAAArXl74wJuoZ_51iBEy3ahJOoSidcw6Ovc_H6amMoF-O-FUig62hk-_C8iVgjn3wO,False,3,False,om_hajihohaj_uwu,False,1694873571,1696346258
0,1834,4325,0,2262,2262,111,0,0,0,False,7024872401893032965,False,False,False,0,MS4wLjABAAAAxyzUkDvLbnwsF2_osj9UZqiDusTkfD2MqyMgqohFX5laBywIsJ3OofqqJ4ItH5RN,False,0,False,literaturedawn,False,1694873571,1696346258
2092,150,656,0,444,444,69,1,3,3,False,7253548632476271642,False,False,False,0,MS4wLjABAAAAVkLHRGLjrdP5v3DgKLMUeb1fM_aiF5k5QlIc7soUJUw6RxSyICDE1jqrEQIt2yH5,False,3,False,tokiohotel1309,False,1694873571,1696346258
3860,417,463,0,4244,4244,439,0,0,0,False,7218972216964072474,False,False,False,0,MS4wLjABAAAAGIXs3pwPHYVu3uPnYdW8BvTwsHj-p2wyChc6xmNYmN72IjruvRPINu1nywKPAb89,False,0,False,_dragons._.by._.julie,False,1694873571,1696346258
5753,20,212,0,122,122,12,0,0,0,False,7260570923827725338,False,False,False,0,MS4wLjABAAAA7-fX1qnhn-UeL3ZSJWw0bHntI0a9ueDdMlpkMm9ySJQwCK9p82dgJ_DJTn8Ps306,False,0,False,carolia1m,False,1694873571,1696346258
1250,234,1246,0,135,135,53,0,0,0,False,7238551294054614042,False,False,False,0,MS4wLjABAAAAYHPI8j4waGXCqUFqcJla1HJ-LvDrpfue8IfyA1yqMHT78_uxnLSKpNMqiF0VU3vr,False,0,False,przychopata,False,1694873571,1696346258
8881,2678,3634,0,22900,22900,111,0,0,0,False,6893518699031839750,False,False,False,0,MS4wLjABAAAAIhwX5WhvcDGCV_jEWO6ciQ-dIgKKid6XOpw-btt1eU5WbEabL1hfnRiSw9M49a75,False,0,False,filipwojciechwinnik,False,1694873571,1696346258
28800,1186,6085,0,1455,1455,5,0,0,0,False,7206005399635133446,False,False,False,0,MS4wLjABAAAAaGn62YtwnJpUkVMIiuBiOE130cRdiE5hRVXiywbHET9kBusw42huADsqsIOw0z3f,False,0,False,olexkq,False,1694873571,1696346258
16400,2701,5530,0,20000,20000,1629,0,0,0,False,6986584832453559302,False,False,False,0,MS4wLjABAAAA7ivqDKXEGBf_IrRSqgvcQgq2oECfPveG6yg4s974UZKsVxOysDk7xlPwhrOUzP7T,False,0,False,jangawlowicz0gimal.com,False,1694873571,1696346258
