diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
989,604,229,0,61300,61300,36,0,0,0,False,7244596782403355654,False,False,False,0,MS4wLjABAAAAKCTsnx24nsMTG7hgxUjX6U-Rlb3d9gSkKOvzj3wWHPQt_aDF60sP-5EhAqeKS0hm,False,0,False,mertakcin842,False,1691733286,1695172240
2849,459,917,0,735,735,84,0,0,0,False,6918224157759947777,False,True,False,0,MS4wLjABAAAA8yrt-KZ7y8XFtkOwJBVHDSxfte-BDkAiF5JK9tX1kfe7iqanUdFxEFC05tCTt6Vs,False,0,False,x31_kaan,False,1691733286,1695172240
2230,633900,44,0,12800000,12800000,727,0,0,0,False,7215182309690016774,False,False,False,0,MS4wLjABAAAAVse9AIZYH-kzO0dxRAw4GnVK3sybxeKt4JrvIAd5pQxGEaBvl17w2CzAyHsypyuq,False,0,False,angelxx0_,False,1691733286,1695172240
1268,379500,18,0,11900000,11900000,285,0,0,0,False,6969463784767849473,False,False,False,0,MS4wLjABAAAA5lJmssnwm3n9pXf0BbruA4lxA5et3PtjblGYt_ICgmdwWzhXyybQXICemuU6xSZP,False,0,False,mengozi,False,1691733286,1695172240
14800,1100000,158,0,59500000,59500000,318,0,0,0,False,7012183634736546821,False,False,False,0,MS4wLjABAAAAXvfcNnvZ6Abq7wFBYk7LO2S1OnWDGeRQBbb1z-i0WbVkZeRUf6riStHo2KnCReOx,False,0,False,julianseyebrows,False,1691733286,1695172240
108,173400,5,0,3300000,3300000,46,0,0,0,False,7014718423440245762,False,False,False,0,MS4wLjABAAAA8B-U6zgrDQZ_AalxTQICUT945vQGG6OuWmI7lpv74Rhro79zGDymzPkEV5bRTKvW,False,0,False,berkay.igit,False,1691733286,1695172240
2208,32600000,232,0,5600000000,1300000000,2365,0,0,0,False,6646764999833403398,False,False,False,0,MS4wLjABAAAAV-FnuTQImr7z9AvHTeDfA1zge-srWKQv8vEEQT5mKno29McR2xS1-br6cXWZUUHx,False,0,True,barstoolsports,True,1691733286,1695172240
29000,851,1275,0,1935,1935,16,0,0,0,False,6865242171441873926,False,False,False,0,MS4wLjABAAAABZN6uJU3ZkLAJTjyHOyYHv8QFUVDJd4QiwMuwNswWQ0qtH-GUHqdx73UFMCSgAtq,False,3,False,c1ps13.xx,False,1691733286,1695172240
2262,9381,54,0,80100,80100,194,0,0,0,False,7002309328153953282,False,False,False,0,MS4wLjABAAAAPPGQLzNoC7qgDqu3D02NFKPIavhQu-NMzo_-Q6IgDagc8lB7v3BilnUblGwe6TTh,False,0,False,kayserisporfk1966_,False,1691733286,1695172240
136300,26900,1962,0,191800,191800,216,0,0,0,False,6624919393011335173,False,False,False,0,MS4wLjABAAAAilZ9Zbx_W5yKIpzGfReVf8rq9U7ijtYISTbNYIzDyGhe1KBn_lBFAmAPr6HffVPs,False,0,False,maradona_47_,False,1691733286,1695172240
20700,4797,3612,0,19200,19200,86,0,3,3,False,7140163733854127109,False,False,False,0,MS4wLjABAAAAmZzqWI_YhgglDBuhG7pINvg3ZIWG0oYBUu19NJfmzkZe-Jph_xnuMO2WLePgGTQ4,False,3,False,ro3oodalmezan,False,1691733286,1695172240
17,24900,64,0,371500,371500,82,0,3,0,False,7086741920945128475,False,False,False,0,MS4wLjABAAAA__iv6DVy0n_jxe5npn-Bkz7ZQrEzo52GenLN6bgRY9Xe2LJj_3KQyHZuNqgW8LtF,False,0,False,jericfinds,False,1691733286,1695172240
19,408,7,0,9720,9720,10,0,0,0,False,7271017933215548422,False,False,False,0,MS4wLjABAAAA0g8sTTymznFqihTpqCIw6CK9D94vw4ezkdDarHzkCpAzPZvz58LranJ8ehQK2n4N,False,0,False,dedexgames1,False,1691733286,1695172240
147,204300,1,0,9000000,9000000,492,0,0,0,False,6858248820539884549,False,False,False,0,MS4wLjABAAAAhhiV9PklYfGO5G3kDkQonkVczGWZvS2hsGyCNhZwlpuHlmwlciWmQrJ_60Z-Hu6z,False,0,False,bilginfinity,False,1691733286,1695172240
2253,44800,51,0,1600000,1600000,128,0,0,0,False,6632244642018639877,False,False,False,0,MS4wLjABAAAADKZtOB4Cndyin5P1Pr8SL1E9BcbTFCLI6BR71FVjL7dvxQ45X8-qg1OnK1qUNdbF,False,0,False,ismailburakdervisoglu,False,1691733286,1695172240
1,7,0,0,37,37,2,0,0,0,False,7270590902530425889,False,False,False,0,MS4wLjABAAAAQmE8B4mEH3JpbxhWcaW9_w8lKNoL66lzZjZT0hPg5Fvb-r8mezprAcX2zRnfLqE0,False,0,False,whatwhouldyouratherr,False,1691733286,1695172240
1707,346,1054,0,442,442,22,0,0,0,False,7038160754496111618,False,False,False,0,MS4wLjABAAAAgyiWYGVEUFJox3550zdtJxu-Rpoa6pwtJaAMxrwZbslvkBE9zZcfX7LfO6KrZO0b,False,0,False,limoncu.edits0,False,1691733286,1695172240
9510,3616,8,0,12900,12900,5,0,0,0,False,6946882479337292802,False,False,False,0,MS4wLjABAAAAgKRnkHOQQloLPG6Lfg04PKaAbNHDZ6rJFFrVT0C8YYs4u2_MPTimAIra57gtZwfc,False,0,False,victorycrow_yt,False,1691733286,1695172240
142,225000,11,0,5400000,5400000,192,0,0,0,False,7193119406301266950,False,False,False,0,MS4wLjABAAAACcUXdWQMohZDbgbA5v3gcynfk-adJCc9W1sxmv7FO4UsLPLybRIjjvQlQkoYnWHu,False,0,False,kayzerbey,False,1691733286,1695172240
2410,345,400,0,683,683,68,0,0,0,False,7166527062684599301,False,False,False,0,MS4wLjABAAAAUPqx08kT1dcrR8i91kc2SVLLfAaDGEpHrjgx86kSIKx6reahQNnezlFI_mxYgOrS,False,0,False,ugurcolakoglu9,False,1691733286,1695172240
1042,4351,781,0,3617,3617,90,0,3,3,False,6887230078184752133,False,False,False,0,MS4wLjABAAAA1-Zyk2_-im5qoRlAFY0oL-xXuu4JJZdH5O3jKWvAUWyvWWTm5nESqSYW29fo3CxM,False,3,False,bakbiaress,False,1691733286,1695172240
9986,197700,1,0,8900000,8900000,222,0,0,0,False,7082408543126782981,False,False,False,0,MS4wLjABAAAAkC7KUvaBaADeFt8PqS3Gj1Ma9vFkdSuvmz3VzMZkYWYlhh4kugh1m3JVOUt2BfWX,False,0,False,alitareyiz,False,1691733286,1695172240
20,76700,6,0,2000000,2000000,84,0,0,0,False,7247938014331585542,False,False,False,0,MS4wLjABAAAAWztWtDGsDT0_ARNYyUJ5eRbztYREIYJDbybgd4ACovym9M5Ji-BOxBO8WCk2aN_s,False,0,False,2afacan,False,1691733286,1695172240
338,83700,145,0,2800000,2800000,510,0,0,0,False,7097964937096512517,False,False,False,0,MS4wLjABAAAALCvtrW6qv-57Q9XiIzp3_XuZ8jghhbCPjgSSbjPLEbl-lnugaVBn0CE5Fb5lN-kL,False,0,False,panterumuter,False,1691733286,1695172240
0,764800,0,0,3200000,3200000,213,0,3,3,False,6945749807374402562,False,False,False,0,MS4wLjABAAAAf23Jvhxes-PArTN51SMc0mGkWg4ny12xS6WfFK0G57rlc-3X3hnLLbGDK_j3BNjG,False,3,False,official_efootball,True,1691733286,1695172240
14600,224800,53,0,4900000,4900000,329,0,3,3,False,6750988116980892677,False,False,False,0,MS4wLjABAAAAlpuUYY6cRxGtGZdkDd6SMZ0Pg3P20NPqJsiQmqVMgDmhflyZc0jae0RiK_IHVBgj,False,3,False,ardenpapazyan,True,1691733286,1695172240
362,245200,1,0,4300000,4300000,97,0,0,0,False,7230792161883898886,False,False,False,0,MS4wLjABAAAAKSHlktpWQ3Zw6TxTZUz5NWQz5YbocBu3w5UAz6Ldc3OyB5H6SCO6DVbRMZ024B63,False,0,False,wangvideoz,False,1691733286,1695172240
2193,233100,265,0,514400,514400,1,0,0,0,False,7222310757302535173,False,False,False,0,MS4wLjABAAAAztnTg454dzzZxcc4Of6DKQECBk4BeF-9YofHixjwsFaYtw8mlrFjocq678pAwzyn,False,0,False,crisronjnr,False,1691733286,1695172240
5813,179,619,0,1105,1105,59,0,0,0,False,7141399995588887558,False,False,False,0,MS4wLjABAAAA4DWXub6yYAbmn4aCXNbx5WbKI1Mo9XJTN7w5Ba7MBrXdYlnsESAONx-qOINQX6O8,False,0,False,gfb_adiyaman_02,False,1687895442,1691567926
7233,595,733,0,4426,4426,265,0,0,0,False,7236824986245055493,False,False,False,0,MS4wLjABAAAAJbqkftfGypYK2gr1prZ2MWS6jCIgrasY3et8oDc9TQocvifPDTvkrALEFn2lYEjd,False,0,False,gohererdo,False,1687895442,1691567926
169,12600,26,0,88800,88800,136,0,0,0,False,7179611150790165509,False,False,False,0,MS4wLjABAAAAAZAxJTGEllNtnXgLr1vC6heyc_b9IHUaWTPdXmRazZAIvU64rtjsNQWuzqXY7ncx,False,0,False,ibrahimisiktas,False,1687895442,1691567926
782,112100,170,0,11000,11000,4,0,0,0,False,6808849771492983814,False,False,False,0,MS4wLjABAAAAWpmK4CwdWtnacCMqT940gJEHNQ4-AafTmRDDfvEfJftHzeugxYZLAdkp0qZWMWex,False,0,False,reachpm0,False,1687895442,1691567926
1303,13600,398,0,108000,108000,118,0,0,0,False,7082064717653640193,False,False,False,0,MS4wLjABAAAA_ZyJjEWAauiiZUDLMOrAQvoDxEyG67jcHmrxRZzYB-8IL3SDx9myPWOKNlBKOtsb,False,0,False,cemysn31,False,1687895442,1691567926
44,159100,17,0,4900000,4900000,114,0,0,0,False,7243451494560433158,False,False,False,0,MS4wLjABAAAA4Fey-zHrXk5mWmwGmvDdsi73V7ZXZJF_dCpnMjjFbAwHsKW3-vyFk2TKOyOs8zGo,False,0,False,heathyfitnessguide,False,1687895442,1691567926
5125,75000,850,0,2100000,2100000,58,0,0,0,False,7178344894746002434,False,False,False,0,MS4wLjABAAAA-cXiz8WBk_RLcRSHQIXJd39eFDVuzvqf3QqwZiF-cz7xlYj42-OpGE5MxR8Y0Vlz,False,0,False,dootofdoots,False,1687895442,1691567926
3,994,1290,0,8,8,2,0,0,0,False,7263201162547430406,False,False,False,0,MS4wLjABAAAAYLW3iHxzXaRkIhoaov0kkRUQB6M6MZ8RrHAeCgBLbAgrVVNgWfRRtohzECgOUw09,False,0,False,speed_7733,False,1687895442,1691567926
8,5466,39,0,5766,5766,11,0,0,0,False,7262637714180326406,False,False,False,0,MS4wLjABAAAAQ3bH4GJ1yn6p7KDjWKW0nRk8Ez91F-0FfMmff0NmGxIWyB_2g55lEV4SraRdOxje,False,0,False,ricarrdo.amp,False,1687895442,1691567926
62,114300,2,0,813400,813400,40,0,0,0,False,7211073249508279298,False,False,False,0,MS4wLjABAAAAuLJ8o8kwqzYOLq86JZ0RMMICfmKGHgne9Y7oT44QZXHD2c3ExI9er7AHla2heR2X,False,0,False,dizaynpaleti,False,1687895442,1691567926
5356,337800,25,0,3600000,3600000,141,0,0,0,False,7129156051592578074,False,False,False,0,MS4wLjABAAAA6jAQ4OE8XLZOf5gSLpZjCBIfWfUPiRyMD8iMbJ6SfJfLcYQJakgdzoLGS9Du59Rh,False,0,False,thinfunny_99501,False,1687895442,1691567926
49,309800,19,0,3500000,3500000,73,0,3,0,False,7249025222182601734,False,False,False,0,MS4wLjABAAAA0uo6BCIAKF8EHrXC4y8AQrfV_2WkwBnROowR0uqfpZwi72hvJboDRwRsMAf-EG6D,False,0,False,grimearth,False,1687895442,1691567926
108,1250,831,0,218600,218600,27,0,0,0,False,7228264824840029189,False,False,False,0,MS4wLjABAAAAoeB4tD81Mn7EO8U1HgNOlYgOsmGYDYXLA9b4-95CW6dIpNP7ZuKTpSnAdF9R_tTx,False,0,False,essekmafyasi,False,1687895442,1691567926
18300,30900,13,0,17700,17700,5,0,3,1,False,6547605564662022150,False,False,False,0,MS4wLjABAAAAgMUca9iSM3a9nFBCb6r1RRKfb1NfSoLnbHxhjJbZWd5oUcZA8XMr8HRNx14lU0ep,False,1,False,sariangona,False,1687895442,1691567926
157,23400,2,0,2400000,2400000,0,0,0,0,False,7188597677843907590,False,False,False,0,MS4wLjABAAAAz2KPoJ8CJ6THBMqezO0sGwfHDNTYXn4_AvFzC__M8I5i6BeBCzqMOgLnhO4j8tHw,False,0,False,lothersmlly,False,1687895442,1691567926
4439,239,4,0,1781,1781,4,0,0,0,False,7157580194646836229,False,False,False,0,MS4wLjABAAAAgSxMdAPfPTCpyV1G72k1_ENi8XolCdSaxuZl9OdzMtekKxt1XJ6c6dv1q5DwF4AG,False,0,False,akparti_kazanacak,False,1687895442,1691567926
2259,76100,49,0,2400000,2400000,121,0,0,0,False,7068653673790817281,False,False,False,0,MS4wLjABAAAAawsF7NppbkxRdZvKcKh_D8OJcfQ8fGs6aYsNxwnMYQVVWCnE-P26ifAB-xjt1eWB,False,3,False,jacob.tako,False,1687895442,1691567926
20300,273700,300,0,6700000,6700000,44,0,0,0,False,7044842686105584645,False,False,False,0,MS4wLjABAAAAeKhEF6dpx8XDm31hF-IlTNAeqNqqapgjtAo-C9Yqo-AO399VOsxqqU_zZJCazXU0,False,0,False,hamzaelkholy1234,False,1687895442,1691567926
157,21900,0,0,582200,582200,103,0,0,0,False,7068749832193934337,False,False,False,0,MS4wLjABAAAApdqfBC4n9YP279mT6l2883cAV9seoVk7ReFxMkytjsRlAUbolR0ZZkdSVVzJBch8,False,0,False,etutfutbol,False,1687895442,1691567926
5,119300,0,0,831300,831300,67,0,3,0,False,7151230354723243009,False,False,False,0,MS4wLjABAAAA3BncIz3Mi1H-3-6jWu3-ThKQTOpxfaqmEt6YvFf0wBV1fGx1LsCCglA2wq_zN3gC,False,3,False,cubbeliahmethoca,True,1687895442,1691567926
1289,10600,18,0,810800,810800,11,0,0,0,False,6884687507633587202,False,False,False,0,MS4wLjABAAAAcLCL3-av6oFnaM5QcyEtD1lFxh1QAoZs1fn8n2w8mrn6jWoxyX8Bw0cEWl9DcVfT,False,3,False,asgarof_o1,False,1687895442,1691567926
97,5120,1,0,28200,28200,44,0,0,0,False,7248644591993734171,False,False,False,0,MS4wLjABAAAAIQxOQ-gHh1CJ6MkyOXfI1GZ3m-ZUsCUlQs_oR2QirKT0MGzxXwzo_F8L8GJKTmBg,False,0,False,sallytandia2,False,1687895442,1691567926
32500,88,16,0,77,77,3,0,0,0,False,7132709260908250114,False,False,False,0,MS4wLjABAAAAXaMCQXf1lvTZEq1D6A6ciMh7iGFiPFmxWAY43Ug5xctoc0LLcT10qKfWhYNNNFEu,False,0,False,aslan1907fb,False,1687895442,1691567926
1,216200,0,0,4400000,4400000,796,0,0,0,False,6835256847022179333,False,False,False,0,MS4wLjABAAAARlLSG73dFBZwF8a8u4v9akmI_xf1M5wefikASnQR9z_AT5VKUn5EwnOPbxgRU-66,False,0,False,huseyincevikresmi,False,1687895442,1691567926
3906,1500000,4972,0,46500000,46500000,13,0,3,0,False,7195535882903372806,False,False,False,0,MS4wLjABAAAAQtpK82J_Wx7rgstY7QH8d60aes_ntelw_wDgUT9siAP1cNzbysJ0K1L5CjWehYne,False,0,False,ppetcentral,False,1687895442,1691567926
1457,3513,108,0,19700,19700,17,0,3,1,False,6853488464131425285,False,False,False,0,MS4wLjABAAAATIrxizJbbtSsrqbnwlz5l0m9UBgxf7D4x6-ixdmcYZC3HxlBvPniZ-UeE16E4fKp,False,1,False,emirbilgin30,False,1687895442,1691567926
4736,17700,37,0,347700,347700,259,0,0,0,False,6839924793983321093,False,False,False,0,MS4wLjABAAAAe2khD2-PYDrV6Y-b8EoL2rxHl22XYDyDkuYET-7v3GVePCyKWyIc1gTbowZkwgyo,False,0,False,.absoluter.cr7,False,1687895442,1691567926
