diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
37,10,1,0,296,296,5,0,0,0,False,7285178995074827269,False,False,False,0,MS4wLjABAAAAKn47jByJoK5PQP94TJ3EZ3BmVf7UQr7SLcEI71OfL-RDy7ilgoDgUd9Y8c0gCWo2,False,0,False,futiuba2,False,1594492811,1696249394
15500,50200,73,0,1300000,1300000,359,0,0,0,False,7121065612793463814,False,False,False,0,MS4wLjABAAAATkwoTxf1yG8F2yEdWzy5gx9Rlzv1dBOoVVFDmLGjZSVat8v3eXGV-_qgX7OITJIQ,False,0,False,dechapasimulacao,False,1594492811,1696249394
126,64000,475,0,241000,241000,109,0,0,0,False,7264251371514938374,False,False,False,0,MS4wLjABAAAAp9rHlGzzqTEhhHdHBUv9VWpl_EQ46wlQjPV_Wwt3L18q4UO9T8RF3isnrJ-9rcNp,False,0,False,receitascuram,False,1594492811,1696249394
1,4,1,0,34,34,3,0,0,0,False,7283119928524669958,False,False,False,0,MS4wLjABAAAAorHChhgTEqYBUZDyYW_BZsEan6f7QFk4jydYHLUTnAAUFQFuoNsJ4KGHL_xer54n,False,0,False,escrevendo.histri,False,1594492811,1696249394
1677,476300,208,0,103100,103100,0,0,0,0,False,6802998053853086725,False,False,False,0,7285818503184354091,MS4wLjABAAAASz07JVp6wBoU8TEA0_BvQBoZSgI7XARbkbi1jkG7jf15QUMHQIi4o7U4ciE3zF9X,False,0,False,weteta4165,False,1594492811,1696249394
8311,102,1559,0,4,4,4,0,0,0,False,7239853072151053317,False,False,False,0,MS4wLjABAAAA_hv0V2MkyTBDz3QJF8EW-KykSMlk75MRkTwcU-N3V8LQsPd_OfNEFRFaiaCW6f-c,False,0,False,dariomendoza892,False,1594492811,1696249394
86,42100,0,0,349100,349100,45,0,3,0,False,6958452932900013062,False,False,False,0,MS4wLjABAAAAdfD1YLLu5LDfpqj9fSRgIixXPZhGjztZiHtsQ16Zj4DCyDFMUSmFS9FbnUi30h4V,False,0,False,cangaceirismo,False,1594492811,1696249394
551,30400,515,0,34000,34000,83,0,0,0,False,6937978237771547653,False,False,False,0,MS4wLjABAAAAezInFPgj6moN1Lfyy89aW8-KW9ion6F3zKoA7w6Y9T5D2xqZAdKAbm3zFmIS4Rsf,False,0,False,brainuser55,False,1594492811,1696249394
1002,709700,102,0,15100000,15100000,411,0,0,0,False,7249775316540785669,False,False,False,0,MS4wLjABAAAArJyWLyFC6hx0UU1mMlTjhwqV-G1VGEL7F1uetjol4a5VT0XMx-PdVGXtX2nExsND,False,0,False,edu_showoficial,False,1594492811,1696249394
2924,369100,101,0,7500000,7500000,1042,0,0,0,False,6774422110963352582,False,False,False,0,MS4wLjABAAAABGfsFFYoN4n1j9o5chSn9JcxXu5UIKs35_F0alPwAQgFUQDMsXxRDc0kb2dPXCQT,False,0,False,sporttvportugal,True,1594492811,1696249394
14,1600000,120,0,33400000,33400000,3609,0,0,0,False,6977359372767183877,False,False,False,0,MS4wLjABAAAAmPSmyBTZYl3vsdwDqbJPI2Yr5UEjoa76zs69TpfYbMNRx89IJ-_Y3f4jxxWsM8Us,False,0,False,sportv,True,1594492811,1696249394
20600,1700000,920,0,28400000,28400000,531,0,0,0,False,6798693067925013509,False,False,False,0,MS4wLjABAAAAum80vvWryY62zrp2w5WRoZf2kREfDgVu8A9b7xaKzyEKumRRtPeDm3dsthlbPaPA,False,0,False,canaldoguiamparo,False,1594492811,1696249394
1176,171800,12,0,5000000,5000000,467,0,0,0,False,7139253717207892997,False,False,False,0,MS4wLjABAAAAyNwak4GyADN2R745daid2_6LLky7rnDG8VWnkT1o9V8dRL3i3V2Wu4rALULAUoDI,False,0,False,vtdoviadutooficial01,False,1594492811,1696249394
38,418700,3,0,2700000,2700000,60,0,0,1,False,6814501405292135429,False,False,False,0,MS4wLjABAAAA4TDha4KqTyj76fpXEDbx5ZDSeD94JeLW_P374aiE5vfM3AgzH8jjGlCMe5W3aiia,False,1,False,curiosidadesasolta,False,1594492811,1696249394
82,91200,9,0,858800,858800,199,0,0,0,False,7085800471812473861,False,False,False,0,MS4wLjABAAAArbs_g34_DgBWbR-Z4qZob_G--o1NjehNqN58oSW3sx3wX6BzA7FKqt6Hbro767oF,False,0,False,depfilipebarros,True,1594492811,1696249394
134,325500,9,0,5700000,5700000,149,0,0,0,False,6940987041464435717,False,False,False,0,MS4wLjABAAAASi5CESRZEbkQBL9JYGV85ca8Fe1ohDH6MtYU3iAOSFvm5PKKuU4TSaNYApHr7j5z,False,0,False,memebrofficial,False,1594492811,1696249394
488,1100000,622,0,9300000,9300000,1147,0,0,0,False,6862107820022088709,False,False,False,0,MS4wLjABAAAA8iGnlJzUfwhIhEuUuh5di7s1ymDKfvY9WHK8EFdpwpmU6rm8EgCGaupi3ZQEwN5i,False,0,False,julioluchmann,False,1594492811,1696249394
15500,1000000,1195,0,35100000,35100000,512,0,0,0,False,7140816337245012998,False,False,False,0,MS4wLjABAAAA-QmSdyC52IxVXRpmKglyHWy4GPSRvgmMVY59tNbRxONJeqU6TnRFyEQdCcWeKF4G,False,0,False,nerdatleta44oficial,False,1594492811,1696249394
