diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
271,616500,21,0,14100000,14100000,262,0,0,0,False,7239389646332036123,False,False,False,0,MS4wLjABAAAA28-M-KMOg4h6lxihNFCdh-yUujO_am5v-LcXquh7CmcoZ-bDNua4wcFdl5KuhJ3o,False,0,False,dbfitstyle,False,1682770406,1688896051
7275,525,139,0,0,0,0,0,0,0,False,6875345030186566662,False,False,False,0,MS4wLjABAAAAGjMZAggXZSroRKvBd3fazU9KKL74yh8LnUpeplOpMLv6taHw-gpqTVVIX93iVObD,False,0,False,ich_weis_nicht.3,False,1682770406,1688896051
288,422400,2,0,3200000,3200000,0,0,0,0,False,6556808203576131590,False,False,False,0,MS4wLjABAAAAeoHureBkP9VQw-yD-lnMMK3sVFRuGh0uWKw1GT_2wxP_A8_sdjrqXS7r0pb0Csj-,False,0,False,doublebubblegames,False,1682770406,1688896051
551,30400,515,0,34000,34000,83,0,0,0,False,6937978237771547653,False,False,False,0,MS4wLjABAAAAezInFPgj6moN1Lfyy89aW8-KW9ion6F3zKoA7w6Y9T5D2xqZAdKAbm3zFmIS4Rsf,False,0,False,brainuser55,False,1682770406,1688896051
3798,145100,879,0,2100000,2100000,346,0,0,0,False,7130020726106883077,False,False,False,0,MS4wLjABAAAAcQ3zeChI4hDV2UvXFTe7XYdnoTTkzPfCSvDnt421M1-DTbcnTqVXUqDgcq5zwiXR,False,0,False,mindsetpep,False,1682770406,1688896051
1264,7,56,0,0,0,0,1,3,3,False,7015619323679015942,False,False,False,0,MS4wLjABAAAAI0h9Ec8oSbkZg3YBoaVIYmk88nUlmF2HpaOCKqog1YCNTVqtdg6ONyyWHkECrU77,False,3,False,dedenge112,False,1682770406,1688896051
1218,701900,72,0,4300000,4300000,198,0,0,0,False,7089570865859724294,False,False,False,0,MS4wLjABAAAAKegB8lEokvDFFM-DoFfwBFoFkF9zVfYqs2eGPIiOKQ2yRILL1gExyBUJSIcVynlh,False,0,False,superiormenofficial,False,1682770406,1688896051
124,141900,40,0,1200000,1200000,5,0,0,0,False,7152864974061601797,False,False,False,0,MS4wLjABAAAAOq5paP7kY1c1MBioaOykZ5Rvqp-UB1Jes_nd4KfSCb7lFX6yhAH30bcpZqivbMID,False,0,False,james_minecraft,False,1682770406,1688896051
12400,1200000,57,0,18200000,18200000,395,0,3,0,False,7171241999487566853,False,False,False,0,MS4wLjABAAAA0wlTrNQUvO1s3ktolraLeBspwLCHO3vRfh-yirFEZQlmrYuUS_XxwOuUvuP9Hi7u,False,0,False,dailyboostyou,False,1682770406,1688896051
147,69800,0,0,541500,541500,197,0,0,0,False,7195586423549281285,False,False,False,0,MS4wLjABAAAAXdff5Kw7Ks_FMFhd02z8CGGzw30R6DKtJ7EJLZgqB06k7Qla1WOpSouW5Ud_afEg,False,0,False,motivationtaste,False,1682770406,1688896051
