diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
377,44300,23,0,69100,69100,34,0,0,0,False,6765461156943365125,False,False,False,0,MS4wLjABAAAAMv35HpZsKUHs36BxmrzsSOhiiUzVjenVLAJprn5dVDXSmh59v8HRTjuBezULooLZ,False,0,False,ethrudy,True,1692191985,1694959496
6654,174,1238,0,158,158,4,0,0,0,False,6924167219485295621,False,False,False,0,MS4wLjABAAAA_rXONFS0a_Ov20REbSjGPVG612dxx0i0lio56hXsr23li1-atCxKEQbRO-lrq-9x,False,0,False,itsluis_23,False,1692191985,1694959496
13500,8839,46,0,116600,116600,229,0,0,0,False,7037110540230247426,False,False,False,0,MS4wLjABAAAA0ZyR1vcB6cIZyxFNSHYztWBNW7ga7MdhSnjiBJzjdOw_sn3AirNs4I3uboDs9_rY,False,0,False,_kpop_backgrounds,False,1692191985,1694959496
28700,48300,31,0,1000000,1000000,67,0,0,0,False,7154980636838724654,False,False,False,0,MS4wLjABAAAA-T5ath5rCCrYCDxDjYP4zhUQCxCqpnuLz9dHkRBxX8cRF08I3VhUqN3qIIDGA2lI,False,0,False,rblxjukes,False,1692191985,1694959496
2849,21900,14,0,495000,495000,12,0,3,0,False,7260830558183506949,False,False,False,0,MS4wLjABAAAA2l_mRoIsN6RpOFWZDmPDEqxJcgqs6hezNzjGGpOzCpcEhj2onm3eaY9ox8D1W6E7,False,0,False,trd_richyy,False,1692191985,1694959496
2782,62800,25,0,1300000,1300000,100,0,0,0,False,7249258847184258091,False,False,False,0,MS4wLjABAAAAXysJvnFr3P2yrT0gLSaRSnQ6h5IGY4JyKB0R_5YHimRkao091f1hQdiyo5CTfylT,False,0,False,the_filipino_grandma,False,1692191985,1694959496
15900,1154,2141,0,625,625,9,0,0,0,False,7240171255359112238,False,False,False,0,MS4wLjABAAAAxhtJK50bSSXlQ6EbDD97NHvYQqsxg-p8zWGk3tiKaAoi3NrkBO84L9W93nHrRbrq,False,0,False,ihaverabiesallthetime,False,1692191985,1694959496
111,8928,60,0,365000,365000,102,0,0,0,False,7262753850284835886,False,False,False,0,MS4wLjABAAAAmwTqZ5gyFHpgTxTZF1b4-ajDkW5L0Q8kvZkdZyjfABgAvOkgbW-27fE55rNmKWcD,False,0,False,christmas.all.year1389,False,1692191985,1694959496
811,787,22,0,75600,75600,5,0,0,0,False,7260418359106470918,False,False,False,0,MS4wLjABAAAAfPVIhuHWetmahhSSl7pDq8jPkfNIHqXMIPyTd_NrePSxmBCZ7IqB2RRZtE-nT5Z5,False,0,False,.n3wje1ns_,False,1692191985,1694959496
2658,17400000,65,0,303000000,303000000,493,0,0,0,False,6834290048143049733,False,False,False,0,MS4wLjABAAAAEuh22qcjCA4J9HIIBYyqYqu2sMIs57Y-iQZhMeCAg_TWmWYAEAwTLI7zm8Q6z41d,False,0,False,cookingwithlynja,True,1692191985,1694959496
