diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
2755,942700,313,0,12000000,12000000,314,0,0,0,False,6858744143163114501,False,False,False,0,MS4wLjABAAAA6ItM1eU8_p-vsmzw_gEUUbxNbP9454JAxQ15IFrA0tNaRiaJ288s_9U6K2kuyOdW,False,0,False,umutwaa,False,1693050810,1696350980
203,149300,418,0,104600,104600,147,0,3,0,False,130793160078692352,False,False,False,0,MS4wLjABAAAA9D8OwTVdCw7F8NgaOvPR0i0yDWwbdvftpoOXkRd9OCqwDetjwKwOjj3WL3PzbQ8r,False,0,False,wolfgangquaiser,False,1693050810,1696350980
1822,93500,9335,0,38700,38700,422,0,0,0,False,7047981671211271174,False,False,False,0,MS4wLjABAAAAXJvzgTFfBDQzgKGnv9SvCH_wAlCcDjjmoo7_Y8wUtNY60jAyz5qUfbj9c_b_yy60,False,0,False,danielsellner,False,1693050810,1696350980
1022,42800,20,0,1200000,1200000,61,0,0,0,False,7097687662399849477,False,False,False,0,MS4wLjABAAAAJ3ey8ne3o438pOtjeRYooQP9KenjL-130vSI1BxgipGeChuYS9KniK5OoefCerMC,False,0,False,ki.anie,False,1693050810,1696350980
758,42900,396,0,9428,9428,24,0,0,0,False,6733182286253212678,False,False,False,0,MS4wLjABAAAAnlpqdq7vGFrtrYAWnjLOJPfuFHw86dt_fzPQAYt-loiLLH22jl5a-pJ3Up5PZwHW,False,0,False,official.masco,False,1693050810,1696350980
11000,162900,1172,0,618900,618900,433,0,0,0,False,6637692803323625474,False,False,False,0,MS4wLjABAAAA2ZQlQdibCRGRQIIwCv747T3cfMVHC-fmy9plazWqGQ6kidG6UK7yO6Hjcn2F7A5i,False,0,False,sakura3525,False,1693050810,1696350980
1096,8271,304,0,189200,189200,169,0,3,0,False,7092954951501366278,False,False,False,0,7285843449206164256,MS4wLjABAAAANaAjZnU_SXvQWGs6_Ltq2607ZVq1Wu9H-HZq_GV4ex1Pf_xkzUFU36Udoxa935zs,False,3,False,ano.live,False,1693050810,1696350980
46,2759,62,0,8276,8276,69,0,3,3,False,6627791533847248902,False,False,False,0,7285845288790854433,MS4wLjABAAAAMDCwNw4pcvc-OYZ1cNky_o_gFGgbgBbmccvO7DWz6jhkcLgi5vUMSIXdlZkvMqcO,False,3,False,max.reidl,False,1693050810,1696350980
1313,11400,3175,0,1562,1562,19,0,0,0,False,7281373645850526753,False,False,False,0,MS4wLjABAAAAdbhwOJi0nwwQZJrEzGSueeAMZkz0pQ-vG91nTvNboyccm9hzxKsccY2MpcImofno,False,0,False,wladi.mir8,False,1693050810,1696350980
82,24700,6,0,334200,334200,13,0,0,0,False,7275373303199777825,False,False,False,0,MS4wLjABAAAA19KLYgnCFfGJWtAD4UoL0_KZiJmPR1gGmkeJDFNN4P-UgcmjPpZzXHiHDk0FMKaJ,False,0,False,wenwuerdestduvernaschen,False,1693050810,1696350980
1112,123,221,0,828,828,29,0,0,0,False,7109799767647962118,False,False,False,0,MS4wLjABAAAABLFCfuatwW_CBIPgmVLtNU7B7ldwcVbyxa4tqOCg6e3tFxf_B9iHSouJrYv3ynEl,False,0,False,ronaldofatlum,False,1693050810,1696350980
62600,80100,263,0,3000000,3000000,34,0,0,0,False,6930023300223566854,False,False,False,0,MS4wLjABAAAAThwXafPdfzyV7cUgb5USSmZMwMbbjPIfxZ6HKU5hrdWqEnxvjSeNImKe2Lry8kz2,False,0,False,what.would.you.rather88,False,1693050810,1696350980
6,25200,2,0,449900,449900,130,0,0,0,False,7194188151841637381,False,False,False,0,MS4wLjABAAAA6U4vL7svDXqOlJYBsa2DURpv9WO3xoeLcwVTxnQepPf8VQd_2VCZVmdyLBdfYO_9,False,0,False,mens.kindom,False,1693050810,1696350980
551,30400,515,0,34000,34000,83,0,0,0,False,6937978237771547653,False,False,False,0,MS4wLjABAAAAezInFPgj6moN1Lfyy89aW8-KW9ion6F3zKoA7w6Y9T5D2xqZAdKAbm3zFmIS4Rsf,False,0,False,brainuser55,False,1693050810,1696350980
27,21300,0,0,634000,634000,46,0,0,0,False,7249776304126641158,False,False,False,0,MS4wLjABAAAA4uKI3Aqd5fS0j3SquvTjc_NDyowTuAHEd7NxM5-zVe0qJP6BIItZeQmFgTY1q3ax,False,0,False,3dillusionn,False,1693050810,1696350980
14,23,114,0,0,0,0,0,0,0,False,7154017053422257158,False,False,False,0,MS4wLjABAAAACRoVFmG7u7uDd5-EhKQj1LWNrm237EUVb3jMkrcYoLPpUWAIlUsyz5fcJzU1N1jE,False,0,False,damianreal33,False,1693050810,1696350980
