diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
943,459400,53,0,7500000,7500000,383,0,0,0,False,6873101959772636161,False,False,False,0,MS4wLjABAAAAYfScE1t4yVb0zu8fnbefQE99FBKWFpNlT37OHBiO6FoUr6YNByBGqEja1rymq-Le,False,0,False,thewalkinkdad,False,1687728135,1695587821
33900,1936,1807,0,18200,18200,302,0,0,0,False,7030555899816150022,False,False,False,0,MS4wLjABAAAAzn3GdL8p8dfdw-U4mZOVF5LIJsE5vay2bh2qSw1-PlsbHF-tmFxvGLl6Wi-CiSG0,False,0,False,alexandre15.23.2021,False,1687728135,1695587821
296,44200,21,0,328400,328400,250,0,0,0,False,6904042825916056581,False,False,False,0,MS4wLjABAAAAu6gdQvZR7Wy1uGwLzI2BJsXCTN95g7VBHDEoP9IV729upWgRyt3WVmTiKzkLm8Bu,False,0,False,tanguykerlerouxmusic,False,1687728135,1695587821
629,295600,146,0,4100000,4100000,783,0,0,0,False,7040593480381318150,False,True,False,0,MS4wLjABAAAAyoUYyG9LQwXr0JgoKAj5Zs4bbtTzU74ur1b2O23KzeeuqOGwfKtb3K1kvSDcpOnc,False,0,False,thevoice..mundo,False,1687728135,1695587821
7281,11700,1755,0,165000,165000,275,0,0,0,False,7260349304480810027,False,False,False,0,MS4wLjABAAAAZGQtYwJxdYYDy9t0XUcEuoJeNLMAXiuyE_wlv0rlU1xUnmu9-0bbP80GbGRKgkR_,False,0,False,totallyflex29,False,1687728135,1695587821
128,265000,16,0,5500000,5500000,267,0,0,1,False,7264598515611386912,False,False,False,0,MS4wLjABAAAA5O4S2E9vqLABMic9WFn5na1ksoRTvmpHdVPbDG4uw5qfXz6RkqJbzuq6XZ4z9Qz8,False,0,False,cocobongoaddict,False,1687728135,1695587821
6461,18700,136,0,376700,376700,660,0,3,0,False,6890578865228661766,False,False,False,0,MS4wLjABAAAAm_F8SGZhEHz-kMjLPCCo-i5vnf3UG7CKNMmQBz66CZIZTxD3EsemwOdRGCsfx0oy,False,0,False,nokiyaa3310,False,1687728135,1695587821
3536,346800,1681,0,2400000,2400000,359,0,0,0,False,6700164549667046406,False,False,False,0,MS4wLjABAAAAVQw4YtdjI7WGn0wkrJbdzV-Au47rGAXJJt3rJO0FIfRp39sEbXl36nPKYTrHEZbf,False,0,False,kojikobura,False,1687728135,1695587821
4781,588200,285,0,14800000,14800000,529,0,0,0,False,7019698643591218181,False,False,False,0,MS4wLjABAAAAfrKVKj53bXx38hy8o2Tmb4xt8gupHhUUMl-ZUVGB7eJyoXwux2zK--o6a9SQE__e,False,0,False,noemieetrudy,False,1687728135,1695587821
422,471300,248,0,7800000,7800000,304,0,0,0,False,6913988286000808965,False,False,False,0,MS4wLjABAAAAxcLl-YOOnII3ka1bji69ScPw09EkUNcnwN_dBohaesme0jeb0Qg7DMNyJxP0ILjZ,False,0,False,seb_le_videaste,False,1687728135,1695587821
132,69100,5300,0,201500,201500,146,0,0,0,False,6785907305859859461,False,False,False,0,MS4wLjABAAAA5q-oUH-17gKCj7jCHlwSzosYcHf_HdrRL83e0F8rsLu_b6VPPTNybrX1ZjcwH5uy,False,0,False,etatsunisdafrique2,False,1687728135,1695587821
551,30400,515,0,34000,34000,83,0,0,0,False,6937978237771547653,False,False,False,0,MS4wLjABAAAAezInFPgj6moN1Lfyy89aW8-KW9ion6F3zKoA7w6Y9T5D2xqZAdKAbm3zFmIS4Rsf,False,0,False,brainuser55,False,1687728135,1695587821
