diggCount,followerCount,followingCount,friendCount,heart,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,ftc,id,isADVirtual,openFavorite,privateAccount,relation,secUid,secret,stitchSetting,ttSeller,uniqueId,verified,start_time,end_time
1490,63400,0,0,4900000,4900000,51,0,0,0,False,7245729078426256411,False,False,False,0,MS4wLjABAAAAs98AMpi5wxMdEcvw_baZSVq6jIUb0Tv3coNBDc0kGOvsqvmhRZvqRE9ZEck9kxvR,False,0,False,neutronised,False,1688938597,1696355241
36,5,2,0,27,27,1,0,0,0,False,7284625314251588640,False,False,False,0,MS4wLjABAAAAZxbZhPAdFtRqlacIJsFHYtp3_gWMMvyiUxCngQAZsuyosd8UmXn7x6V-RgmPFFdi,False,0,False,merciasmenfc,False,1688938597,1696355241
4,249000,1,0,1200000,1200000,7,0,0,0,False,7281016756608959520,False,False,False,0,MS4wLjABAAAAeIfxabfGymhiNk7o18ViGWTO2EdZCFSLBCYL1BQSZ7hor_wmYvmas1h5PhEoZ9jD,False,0,False,ajshabeel_live,False,1688938597,1696355241
0,239300,1,0,1400000,1400000,11,0,0,0,False,7282006968935793697,False,False,False,0,MS4wLjABAAAAJNBPaD3O6fKesMPrw89DzyDA-NKuEvMnf5s-gabNJXQOQibL87rieA6yL3qVQuuk,False,0,False,nikoeveryday,False,1688938597,1696355241
2272,144600,162,0,4100000,4100000,190,0,0,0,False,7111622982610928642,False,False,False,0,MS4wLjABAAAArVRvIZ5fNBZxwXDfnWZVt19lawz2dnJZ2WD51QvmJRsC2cHQrFmI1QnnkYroei-S,False,0,False,subthewaysurfz,False,1688938597,1696355241
7833,8259,540,0,22100,22100,102,0,0,0,False,7057606008516346886,False,False,False,0,7285848344893590304,MS4wLjABAAAAqny2dm9zplbdCzLCutCLcsGZlqD1l8ZfgqBNWqAIyIsfcIbl_OclxHNwmrJRygwW,False,0,False,morpheuzz.live,False,1688938597,1696355241
56900,2600000,564,0,117200000,117200000,208,0,0,0,False,6617690441537028102,False,False,False,0,MS4wLjABAAAAuXLA6uJ5Rfun44ncPJOq4Xv2C51wu4BEAK23Ggw0-TSlqh3148Al97Teu8B_e9B7,False,0,False,ezekielthe1st,False,1688938597,1696355241
15,43,64,0,0,0,0,0,0,3,False,6958088246099739654,False,False,False,0,MS4wLjABAAAAgY-36I-bhKqG9HR5muCIGIf8eIjmXW3gSN7BT93sfvpuTPWIpS6bzwG3k-FzK31t,False,3,False,yiddo2345,False,1688938597,1696355241
995,48,49,0,4212,4212,31,0,0,0,False,7271001962005709857,False,False,False,0,MS4wLjABAAAAJ152jL-93LcyFIgcWs8p7-Z3zMRY6-de0Xo0oFC3Inz0RW9K8E7yNY5YDe5CzDfm,False,0,False,mattmansey,False,1688938597,1696355241
46,14,23,0,48,48,1,0,0,0,False,7250934627022881819,False,False,False,0,MS4wLjABAAAAiWxf05Jg5LcnhPZ1JIqmB9Fz1rA28_9fSoiAD8HAwrxt4vbch7M4LbLBVYey_L6v,False,0,False,ftbl.messi..30,False,1688938597,1696355241
520,9700000,114,0,596900000,596900000,578,0,0,0,False,6760368158794155013,False,False,False,0,MS4wLjABAAAAm3_z9-GdAYI_Ze5E1GT_lp6napMh63gnn8TPJiQ5Mbpbw183U2F7tYXRkNPFFUN8,False,0,False,dylan.page,False,1688938597,1696355241
603,56500,32,0,187800,187800,255,0,0,0,False,7088643215234188293,False,False,False,0,7285839371465476897,MS4wLjABAAAAsBJyiiopY0gDEBIHqkwC3xgmUOSr88PBWiTN_3OCxrhrDJVLdtJthLflt11-Itxy,False,0,False,thelogboi,False,1688938597,1696355241
3456,80700,41,0,4600000,4600000,346,0,3,3,False,6788963933183099910,False,False,False,0,MS4wLjABAAAAurKkNLzMIhg-66vMBXxHJuFf-pos2YUf6bTcogRPje81ppHCiPknwLLZrW3j-iz0,False,3,False,fatherlessgingerclips,False,1688938597,1696355241
95,300600,1431,0,625100,625100,140,0,0,0,False,6731311071912625157,False,False,False,0,MS4wLjABAAAADL4SDYB0ySpu8iBBkvB1fBiuez2ySQWyML_XmCWnaf_VMQTgmgZK-qahAWPTq4po,False,0,False,shakilplays,False,1688938597,1696355241
551,30400,515,0,34000,34000,83,0,0,0,False,6937978237771547653,False,False,False,0,MS4wLjABAAAAezInFPgj6moN1Lfyy89aW8-KW9ion6F3zKoA7w6Y9T5D2xqZAdKAbm3zFmIS4Rsf,False,0,False,brainuser55,False,1688938597,1696355241
92,3700000,61,0,68800000,68800000,319,0,0,0,False,7168975688707130410,False,False,False,0,MS4wLjABAAAAv0ccjCfR1BZsilr0O0ghHqBMf2kgQoaw5C3mRKXXB5tWgsDSodciFBPMeJgcNd-7,False,0,False,joshlilj,False,1688938597,1696355241
8036,49700,885,0,1100000,1100000,49,0,0,0,False,7264385801336914977,False,False,False,0,MS4wLjABAAAAb3LMYAvGhMc0q40gI2RZl4vpPWDNvCLaVzropREy3TeHoHBG_UZ4aR2n0fwvIjTZ,False,0,False,mrbeaststiktok,False,1688938597,1696355241
1416,1083,432,0,2609,2609,2,0,0,0,False,7192690829701137414,False,False,False,0,MS4wLjABAAAAZ1CxbwMAA-tiRfKoM7tTCIFara3b5YRRIjDVcOXVinhYDvVACcVTEBKckWsAcJe3,False,0,False,jack.ginge,False,1688938597,1696355241
10200,9800000,427,0,180200000,180200000,3285,0,0,0,False,160822079959736320,False,False,False,0,MS4wLjABAAAAhIB9TB7M0IlBNyge2BpxJL0dMV30Qd4kyRwZsYIBl_9cRDf8tMN2LQX_VnK-JfTh,False,0,False,redbull,True,1688938597,1696355241
257,2900000,26,0,27500000,27500000,239,0,0,0,False,6825499330435646470,False,False,False,0,MS4wLjABAAAAha4o36-2Q1ey2cyCM3NVDpKySS-XB6K3B0NpfQxrGbKR1ZPQUi6z09LxruLXvQ-j,False,0,False,redbullmotorsports,True,1688938597,1696355241
382,7491,83,0,3741,3741,0,0,0,0,False,7180721111213245445,False,False,False,0,MS4wLjABAAAAOxahnOTQWYRRZiFX138Y0_jPEc2gzudzSxRSewDSMghiwi1pFnDf6PM9A3VXeB5I,False,0,False,k0yzs,False,1688938597,1696355241
6628,161900000,79,0,2400000000,0,1139,0,0,0,False,127905465618821121,False,False,False,0,MS4wLjABAAAAwAg0rSzO65WQfz4RzQgGv2Xdv108BgPXhRrrmNVIHQZ9PO8-flwwRtEppYTS0OjA,False,0,False,khaby.lame,True,1688938597,1696355241
1780,32600000,896,0,370500000,370500000,217,0,0,0,False,6531081683746165760,False,True,False,0,MS4wLjABAAAAKxXMUvcQ2Eo_vVxLn554nbLCdsrBKtxlu_FVhnG8TX92Zo2EezMi3FA0iQ7LJZzq,False,0,False,rosalia,True,1688938597,1696355241
219,5700000,104,0,25400000,25400000,264,0,0,0,False,210934700603887616,False,False,False,0,MS4wLjABAAAArZxLO2lQJ5fl_7iVZOOTiOiMz6QLkyt5Gh-iSREuysEmpRtYLO_C3JvJ9sqnwBVM,False,0,False,djkhaled,True,1688938597,1696355241
1177,87600000,326,0,861500000,861500000,314,0,0,0,False,6614519312189947909,False,False,False,0,MS4wLjABAAAABKjQkOz_IIzXXzEAl_9LGsWhvK-gBnlczwRPXK8EmxAp6K3X0qiaP5_OEqmm0XwG,False,0,False,mrbeast,True,1688938597,1696355241
1536,12700000,41,0,102400000,102400000,206,0,0,0,False,6653097460997521414,False,False,False,0,MS4wLjABAAAALoMs_1FxFHHnkPE6B8ZjTGsca2zm60Xi_xW1qRt6duyJllmKfA1O0gxgn7UtySfz,False,0,False,steveharvey,True,1688938597,1696355241
40,10600000,9,0,70600000,70600000,37,0,0,0,False,7145745525584806917,False,False,False,0,MS4wLjABAAAA7d3BTXg-7lcnDFAKWCdL9rzZWu_2RamaMCDfgnWmibf5qUBD5XJSZzLeGHNnHDEJ,False,0,False,zlatanibrahimovic,True,1688938597,1696355241
172,9800000,138,0,71900000,71900000,52,0,0,0,False,7134709640907457542,False,False,False,0,MS4wLjABAAAAJJCnyBdw_VieIF_UmmvFBP-NisyKd7Llw8X_h7k3CAZvFOYt2DBiL3MbowXmMvu2,False,0,False,paulodybala,True,1688938597,1696355241
401,1700000,52,0,27000000,27000000,486,0,0,0,False,6911364922812417029,False,False,False,0,MS4wLjABAAAAf_NfPUBVKf2e_OTSW09piJ2BCqUKVqCqLxuFRfJ8HmqbPFbm_0qHJlCU9Vo7arOq,False,0,False,universalpics,True,1688938597,1696355241
76,2200000,45,0,4400000,4400000,23,0,0,0,False,6789397472962003974,False,True,False,0,MS4wLjABAAAA6npVPVY41KaXBOU9zxDWxsdIF4CG8i7lNJFUyy5giX7FnI23T8StfrUGCfyxam05,False,0,False,idriselba,True,1688856239,1688938596
294,659800,14,0,1800000,1800000,51,0,0,0,False,6770044525303661573,False,False,False,0,MS4wLjABAAAA3dYctbpMlDHsFsqtfBuukDiwmUjT42II-iZFhOXgllWWu0lf95h9UF7zO111KhUV,False,0,False,inaki.godoy,True,1688856239,1688938596
272,26800000,120,0,155100000,155100000,236,0,0,0,False,6644633379692199942,False,False,False,0,MS4wLjABAAAAd_FL7FSUAR9eyQ0FbVWj2FbSbF7ch--LV4APbDXDSRPNAdp4PxsDzTtrwuDOwghx,False,0,False,snoopdogg,True,1688856239,1688938596
2081,31900000,494,0,709600000,709600000,503,0,0,0,False,12680137,False,False,False,0,MS4wLjABAAAAksQJPMV6Q6KdY9RQhThsGp2jNZXLtN2td0XlAEzkd-U,False,0,False,lelepons,True,1688856239,1688938596
11900,151200000,1287,0,11500000000,0,2523,0,0,0,False,5831967,False,False,False,0,MS4wLjABAAAA-VASjiXTh7wDDyXvjk10VFhMWUAoxr8bgfO1kAL1-9s,False,0,False,charlidamelio,True,1688856239,1688938596
4965,717200,57,0,17600000,17600000,266,0,0,0,False,6967199010056111110,False,False,False,0,MS4wLjABAAAAkHiqYjsvy9GzSuHBnWeFYLO93NXbeuQk9TlBfYUCNu8wRikp2Dbdt9vGnv70zyFz,False,0,False,nickmayhugh,True,1688856239,1688938596
13200,26500000,501,0,545400000,545400000,1012,0,3,0,False,7835848,False,False,False,0,MS4wLjABAAAA1c2PR-vaVMl8C9GMrMZpKii3MwD8tfavNmGcvj44IGg,False,0,False,jeremylynch,True,1688856239,1688938596
21900,25600000,33,0,437400000,437400000,366,0,0,0,False,6938389778388337670,False,False,False,0,MS4wLjABAAAAcAh1vcYhCyc4KgB9U1D51tYOW-QQ8ZuCnVvIEWww8nupK--n8YcT8y8BmziL0EBC,False,0,False,luvadepedreiro,True,1688856239,1688938596
18,6300000,2,0,46300000,46300000,508,0,0,0,False,6846818941341090822,False,False,False,0,MS4wLjABAAAAe9-cMzt0RM9Sw37j6F1f5E1Ivztji59O-Kzwd6ZjeFvBPbcLmURa-5CtczRBTBn0,False,0,False,xbox,True,1688856239,1688938596
3839,9700000,3174,0,466800000,466800000,938,0,0,0,False,6665036207858368518,False,False,False,0,MS4wLjABAAAAgeQDnDejRVpwXoGlesSJOftiq8Qx4fFS8O_JbdnEP1soaYxiPwEHTTaCc8VYQ0kN,False,0,False,blakegray,True,1688856239,1688938596
1152,9500000,129,0,179500000,179500000,308,0,0,0,False,6738620329851470849,False,False,False,0,MS4wLjABAAAARuyFeALRkJ8cuHEW75U8YWG7A0uvnT-628u8a54R_2efiQQx-fyanXOZD2UPxKD6,False,0,False,vietmyusa,True,1688856239,1688938596
680,20900000,6,0,112100000,112100000,172,0,0,0,False,132667022575992832,False,False,False,0,MS4wLjABAAAAYbp6OaRgezXn4Bp5dmoM2dfBYOASM9M5I3bMLpjp0OdD7Y6JLua2DSAs1EUaVJ45,False,0,False,jbalvin,True,1688856239,1688938596
1571,75100000,578,0,307100000,307100000,790,0,0,0,False,107955,False,False,False,0,MS4wLjABAAAAv7iSuuXDJGDvJkmH_vz1qkDZYo1apxgzaxdBSeIuPiM,False,0,False,tiktok,True,1688856239,1688938596
209,557900,18,0,653100,653100,10,0,0,0,False,6899830413591626753,False,False,False,0,MS4wLjABAAAAP7PXgDTtvJEdSQ60r_kCgHn3UQrsTncra6I2_iW2Qqp_dCrVGbnuktAZ7PwsN8Ui,False,0,False,lucatoniofficial,True,1688856239,1688938596
555,1200000,8,0,5700000,5700000,67,0,0,0,False,6864921424634266625,False,False,False,0,MS4wLjABAAAAkVwJsoibPPfrzJXNYMBCSb0vCPoVhONpheOSpucsEKjr0oUyPSH9Swzv0OxOAq0g,False,0,False,alessandrodelpiero,True,1688856239,1688938596
